,XYL
2014-01-02,29.67732048034668
2014-01-03,29.94664192199707
2014-01-06,29.894508361816406
2014-01-07,29.98138999938965
2014-01-08,29.964017868041992
2014-01-09,30.08565902709961
2014-01-10,30.328880310058594
2014-01-13,30.42446517944336
2014-01-14,30.910991668701172
2014-01-15,31.59731101989746
2014-01-16,31.831863403320312
2014-01-17,31.771066665649414
2014-01-21,31.206357955932617
2014-01-22,31.70156478881836
2014-01-23,30.789350509643555
2014-01-24,29.260311126708984
2014-01-27,29.008365631103516
2014-01-28,29.460126876831055
2014-01-29,28.87804412841797
2014-01-30,28.982301712036133
2014-01-31,28.982301712036133
2014-02-03,28.495790481567383
2014-02-04,31.510427474975586
2014-02-05,30.858840942382812
2014-02-06,31.675491333007812
2014-02-07,32.109886169433594
2014-02-10,32.040382385253906
2014-02-11,32.23151779174805
2014-02-12,32.492156982421875
2014-02-13,32.8744010925293
2014-02-14,33.1690559387207
2014-02-18,33.622344970703125
2014-02-19,32.79420471191406
2014-02-20,33.744388580322266
2014-02-21,33.87513732910156
2014-02-24,34.345882415771484
2014-02-25,33.787986755371094
2014-02-26,34.215118408203125
2014-02-27,34.31972122192383
2014-02-28,34.30228042602539
2014-03-03,33.648502349853516
2014-03-04,33.814117431640625
2014-03-05,33.561336517333984
2014-03-06,33.386993408203125
2014-03-07,33.683372497558594
2014-03-10,33.1690559387207
2014-03-11,32.99470901489258
2014-03-12,32.602420806884766
2014-03-13,32.027095794677734
2014-03-14,32.0706787109375
2014-03-17,32.08811569213867
2014-03-18,32.06196594238281
2014-03-19,31.76557731628418
2014-03-20,31.678407669067383
2014-03-21,31.626094818115234
2014-03-24,31.129222869873047
2014-03-25,31.922496795654297
2014-03-26,31.242538452148438
2014-03-27,31.190237045288086
2014-03-28,31.382022857666016
2014-03-31,31.74814224243164
2014-04-01,32.38450622558594
2014-04-02,32.92497634887695
2014-04-03,32.48910140991211
2014-04-04,32.515254974365234
2014-04-07,31.71326446533203
2014-04-08,31.41689682006836
2014-04-09,32.26245880126953
2014-04-10,31.303565979003906
2014-04-11,30.70207977294922
2014-04-14,30.614900588989258
2014-04-15,30.41440773010254
2014-04-16,30.93744659423828
2014-04-17,30.771812438964844
2014-04-21,30.963581085205078
2014-04-22,31.129222869873047
2014-04-23,31.103063583374023
2014-04-24,31.20766830444336
2014-04-25,30.867704391479492
2014-04-28,30.82411766052246
2014-04-29,31.76557731628418
2014-04-30,32.7680549621582
2014-05-01,32.2188720703125
2014-05-02,32.1317024230957
2014-05-05,32.05324935913086
2014-05-06,32.192726135253906
2014-05-07,32.44552230834961
2014-05-08,32.515254974365234
2014-05-09,32.41936492919922
2014-05-12,33.15161895751953
2014-05-13,33.09059143066406
2014-05-14,32.91624450683594
2014-05-15,32.4542350769043
2014-05-16,32.16658401489258
2014-05-19,33.153297424316406
2014-05-20,32.610958099365234
2014-05-21,33.08331298828125
2014-05-22,33.1970329284668
2014-05-23,33.608154296875
2014-05-27,33.713138580322266
2014-05-28,33.3807373046875
2014-05-29,32.14732360839844
2014-05-30,32.62843704223633
2014-06-02,32.82962417602539
2014-06-03,32.567203521728516
2014-06-04,32.26103973388672
2014-06-05,32.68967056274414
2014-06-06,33.0220832824707
2014-06-09,33.33698272705078
2014-06-10,33.35448455810547
2014-06-11,33.205787658691406
2014-06-12,33.03957748413086
2014-06-13,33.765628814697266
2014-06-16,33.651920318603516
2014-06-17,33.74812698364258
2014-06-18,34.04554748535156
2014-06-19,34.4129524230957
2014-06-20,34.70161437988281
2014-06-23,34.797828674316406
2014-06-24,34.31672286987305
2014-06-25,34.43919372558594
2014-06-26,34.229248046875
2014-06-27,34.3342170715332
2014-06-30,34.18551254272461
2014-07-01,34.229248046875
2014-07-02,33.80937957763672
2014-07-03,34.13303756713867
2014-07-07,33.24077224731445
2014-07-08,32.680931091308594
2014-07-09,32.83837890625
2014-07-10,32.575950622558594
2014-07-11,32.45348358154297
2014-07-14,32.82087707519531
2014-07-15,32.567203521728516
2014-07-16,32.88212203979492
2014-07-17,32.129844665527344
2014-07-18,32.75966262817383
2014-07-21,32.934608459472656
2014-07-22,32.890865325927734
2014-07-23,32.654685974121094
2014-07-24,32.549705505371094
2014-07-25,32.226051330566406
2014-07-28,31.893646240234375
2014-07-29,32.540950775146484
2014-07-30,31.867401123046875
2014-07-31,30.870182037353516
2014-08-01,30.5990047454834
2014-08-04,30.87893295288086
2014-08-05,31.16758918762207
2014-08-06,31.176345825195312
2014-08-07,31.5262508392334
2014-08-08,31.54374885559082
2014-08-11,31.981111526489258
2014-08-12,31.9373779296875
2014-08-13,32.138572692871094
2014-08-14,32.09483337402344
2014-08-15,32.1210823059082
2014-08-18,32.71592712402344
2014-08-19,32.8121337890625
2014-08-20,33.2495231628418
2014-08-21,33.048309326171875
2014-08-22,32.71592712402344
2014-08-25,33.08331298828125
2014-08-26,32.934608459472656
2014-08-27,32.742164611816406
2014-08-28,32.59345626831055
2014-08-29,32.59345626831055
2014-09-02,33.29325485229492
2014-09-03,33.109554290771484
2014-09-04,33.135799407958984
2014-09-05,33.03957748413086
2014-09-08,33.064144134521484
2014-09-09,32.80084228515625
2014-09-10,32.75695037841797
2014-09-11,32.83595657348633
2014-09-12,32.60773849487305
2014-09-15,32.634071350097656
2014-09-16,32.92371368408203
2014-09-17,32.827171325683594
2014-09-18,33.15193176269531
2014-09-19,33.15193176269531
2014-09-22,32.765724182128906
2014-09-23,32.81839370727539
2014-09-24,32.80961608886719
2014-09-25,32.045982360839844
2014-09-26,32.12498092651367
2014-09-29,31.81777000427246
2014-09-30,31.150705337524414
2014-10-01,30.59772491455078
2014-10-02,30.729387283325195
2014-10-03,30.78205108642578
2014-10-06,31.229694366455078
2014-10-07,29.974538803100586
2014-10-08,30.39585304260254
2014-10-09,29.298686981201172
2014-10-10,28.526281356811523
2014-10-13,28.00841522216797
2014-10-14,28.701824188232422
2014-10-15,29.22846794128418
2014-10-16,29.877992630004883
2014-10-17,30.027193069458008
2014-10-20,29.588327407836914
2014-10-21,30.290523529052734
2014-10-22,29.895540237426758
2014-10-23,30.764495849609375
2014-10-24,31.01903533935547
2014-10-27,30.84990119934082
2014-10-28,32.13604736328125
2014-10-29,31.45772933959961
2014-10-30,31.545827865600586
2014-10-31,32.030338287353516
2014-11-03,31.748445510864258
2014-11-04,31.66034698486328
2014-11-05,32.05675506591797
2014-11-06,32.6910285949707
2014-11-07,32.62936019897461
2014-11-10,32.84079360961914
2014-11-11,32.90244674682617
2014-11-12,33.078636169433594
2014-11-13,32.99054718017578
2014-11-14,33.14030075073242
2014-11-17,33.23720169067383
2014-11-18,33.6600456237793
2014-11-19,32.89362716674805
2014-11-20,32.99935531616211
2014-11-21,33.695281982421875
2014-11-24,33.82741928100586
2014-11-25,33.818603515625
2014-11-26,33.95074462890625
2014-11-28,33.774566650390625
2014-12-01,33.86265563964844
2014-12-02,33.49267578125
2014-12-03,34.25905990600586
2014-12-04,33.9771842956543
2014-12-05,33.99479293823242
2014-12-08,33.31648635864258
2014-12-09,33.58076095581055
2014-12-10,32.45317459106445
2014-12-11,32.576507568359375
2014-12-12,31.889392852783203
2014-12-15,31.92462921142578
2014-12-16,31.951051712036133
2014-12-17,32.51485061645508
2014-12-18,33.563148498535156
2014-12-19,33.99479293823242
2014-12-22,34.12693405151367
2014-12-23,34.10931396484375
2014-12-24,34.14453887939453
2014-12-26,34.31193161010742
2014-12-29,34.23263931274414
2014-12-30,33.85386276245117
2014-12-31,33.53670883178711
2015-01-02,33.5455207824707
2015-01-05,31.45772933959961
2015-01-06,31.272743225097656
2015-01-07,31.51939582824707
2015-01-08,31.757244110107422
2015-01-09,31.158218383789062
2015-01-12,30.47991371154785
2015-01-13,30.55039405822754
2015-01-14,30.356586456298828
2015-01-15,30.145160675048828
2015-01-16,30.36539077758789
2015-01-20,30.303730010986328
2015-01-21,30.920360565185547
2015-01-22,31.122997283935547
2015-01-23,30.982046127319336
2015-01-26,30.99965476989746
2015-01-27,30.60324478149414
2015-01-28,30.180400848388672
2015-01-29,30.092308044433594
2015-01-30,30.039453506469727
2015-02-02,30.60324478149414
2015-02-03,31.175844192504883
2015-02-04,30.735383987426758
2015-02-05,30.708948135375977
2015-02-06,30.99965476989746
2015-02-09,30.92918586730957
2015-02-10,31.175844192504883
2015-02-11,31.052507400512695
2015-02-12,31.369646072387695
2015-02-13,31.89234161376953
2015-02-17,31.733150482177734
2015-02-18,31.688926696777344
2015-02-19,31.538562774658203
2015-02-20,31.865812301635742
2015-02-23,31.671236038208008
2015-02-24,31.803897857666016
2015-02-25,31.87466049194336
2015-02-26,31.635848999023438
2015-02-27,31.573944091796875
2015-03-02,31.9896240234375
2015-03-03,31.927722930908203
2015-03-04,31.565095901489258
2015-03-05,31.467823028564453
2015-03-06,31.105199813842773
2015-03-09,31.175947189331055
2015-03-10,30.689512252807617
2015-03-11,30.583402633666992
2015-03-12,31.105199813842773
2015-03-13,30.60992431640625
2015-03-16,30.981382369995117
2015-03-17,30.662992477416992
2015-03-18,31.724285125732422
2015-03-19,31.432449340820312
2015-03-20,31.83043098449707
2015-03-23,31.04328155517578
2015-03-24,31.01675033569336
2015-03-25,30.72490119934082
2015-03-26,30.662992477416992
2015-03-27,30.92831802368164
2015-03-30,31.264392852783203
2015-03-31,30.972532272338867
2015-04-01,31.317459106445312
2015-04-02,31.653547286987305
2015-04-06,31.90117835998535
2015-04-07,31.90117835998535
2015-04-08,31.175947189331055
2015-04-09,30.919475555419922
2015-04-10,31.131738662719727
2015-04-13,31.096351623535156
2015-04-14,31.131738662719727
2015-04-15,31.388233184814453
2015-04-16,31.688926696777344
2015-04-17,31.07866859436035
2015-04-20,31.361684799194336
2015-04-21,31.27324676513672
2015-04-22,31.361684799194336
2015-04-23,31.750837326049805
2015-04-24,31.51203727722168
2015-04-27,32.104610443115234
2015-04-28,32.16651153564453
2015-04-29,32.39645767211914
2015-04-30,32.741390228271484
2015-05-01,32.84750747680664
2015-05-04,32.63527297973633
2015-05-05,32.405303955078125
2015-05-06,32.30802917480469
2015-05-07,32.44951629638672
2015-05-08,32.63527297973633
2015-05-11,32.5556640625
2015-05-12,32.27262878417969
2015-05-13,32.53797149658203
2015-05-14,32.80329895019531
2015-05-15,32.57334899902344
2015-05-18,32.7325439453125
2015-05-19,32.52912902832031
2015-05-20,32.5556640625
2015-05-21,32.84750747680664
2015-05-22,32.71486282348633
2015-05-26,32.26295852661133
2015-05-27,32.40501022338867
2015-05-28,32.58259201049805
2015-05-29,32.46714782714844
2015-06-01,32.49378967285156
2015-06-02,32.57368850708008
2015-06-03,32.813392639160156
2015-06-04,32.33397674560547
2015-06-05,32.29847717285156
2015-06-08,32.08540344238281
2015-06-09,32.04989242553711
2015-06-10,32.422760009765625
2015-06-11,32.76900100708008
2015-06-12,32.44052505493164
2015-06-15,32.06763458251953
2015-06-16,32.360618591308594
2015-06-17,32.29847717285156
2015-06-18,32.76014709472656
2015-06-19,32.35173416137695
2015-06-22,32.848907470703125
2015-06-23,33.11525344848633
2015-06-24,33.07086181640625
2015-06-25,32.813392639160156
2015-06-26,32.79563522338867
2015-06-29,32.19194030761719
2015-06-30,32.91105651855469
2015-07-01,32.680233001708984
2015-07-02,32.60920333862305
2015-07-06,32.18305587768555
2015-07-07,32.29847717285156
2015-07-08,31.579341888427734
2015-07-09,31.55272102355957
2015-07-10,31.419544219970703
2015-07-13,32.014373779296875
2015-07-14,32.3961181640625
2015-07-15,31.91672134399414
2015-07-16,31.97885513305664
2015-07-17,31.79242515563965
2015-07-20,31.75690460205078
2015-07-21,31.241979598999023
2015-07-22,31.055543899536133
2015-07-23,30.780323028564453
2015-07-24,30.744815826416016
2015-07-27,30.540605545043945
2015-07-28,30.877981185913086
2015-07-29,31.27749252319336
2015-07-30,31.26861000061035
2015-07-31,30.65601921081543
2015-08-03,30.052316665649414
2015-08-04,29.95466423034668
2015-08-05,30.087825775146484
2015-08-06,29.901397705078125
2015-08-07,29.741579055786133
2015-08-10,30.26539421081543
2015-08-11,29.812602996826172
2015-08-12,29.883621215820312
2015-08-13,29.732707977294922
2015-08-14,29.919147491455078
2015-08-17,29.981292724609375
2015-08-18,29.66168212890625
2015-08-19,29.43084716796875
2015-08-20,28.99582862854004
2015-08-21,28.47201919555664
2015-08-24,27.442163467407227
2015-08-25,27.04264259338379
2015-08-26,27.85942840576172
2015-08-27,28.738361358642578
2015-08-28,29.03133773803711
2015-08-31,28.93414306640625
2015-09-01,27.757165908813477
2015-09-02,27.98007583618164
2015-09-03,28.8449764251709
2015-09-04,28.247570037841797
2015-09-08,28.925230026245117
2015-09-09,28.630985260009766
2015-09-10,28.648815155029297
2015-09-11,28.969820022583008
2015-09-14,28.72906494140625
2015-09-15,29.45130157470703
2015-09-16,29.754470825195312
2015-09-17,29.495885848999023
2015-09-18,28.755815505981445
2015-09-21,29.094646453857422
2015-09-22,28.889564514160156
2015-09-23,28.33673858642578
2015-09-24,28.996562957763672
2015-09-25,28.951980590820312
2015-09-28,28.595312118530273
2015-09-29,28.523984909057617
2015-09-30,29.29079818725586
2015-10-01,29.14813804626465
2015-10-02,29.87929916381836
2015-10-05,29.92388916015625
2015-10-06,29.772300720214844
2015-10-07,30.35186767578125
2015-10-08,31.19894027709961
2015-10-09,31.109771728515625
2015-10-12,30.88686752319336
2015-10-13,30.610458374023438
2015-10-14,30.20029067993164
2015-10-15,30.976028442382812
2015-10-16,30.976028442382812
2015-10-19,30.88686752319336
2015-10-20,31.100858688354492
2015-10-21,30.95820426940918
2015-10-22,31.76069450378418
2015-10-23,32.2689323425293
2015-10-26,32.01927185058594
2015-10-27,31.965770721435547
2015-10-28,32.4383544921875
2015-10-29,32.402671813964844
2015-10-30,32.46508026123047
2015-11-02,32.80614471435547
2015-11-03,32.74348068237305
