,NWS
2014-01-02,15.864556312561035
2014-01-03,15.722674369812012
2014-01-06,15.563054084777832
2014-01-07,15.359098434448242
2014-01-08,15.288151741027832
2014-01-09,15.341358184814453
2014-01-10,15.37682819366455
2014-01-13,15.146265983581543
2014-01-14,15.288151741027832
2014-01-15,15.20833969116211
2014-01-16,15.110797882080078
2014-01-17,15.093058586120605
2014-01-21,14.862494468688965
2014-01-22,14.782684326171875
2014-01-23,14.67626953125
2014-01-24,14.32155704498291
2014-01-27,14.32155704498291
2014-01-28,14.197406768798828
2014-01-29,14.117593765258789
2014-01-30,14.011181831359863
2014-01-31,13.842695236206055
2014-02-03,13.363828659057617
2014-02-04,13.363828659057617
2014-02-05,13.57665729522705
2014-02-06,13.887030601501465
2014-02-07,15.075325012207031
2014-02-10,15.20833969116211
2014-02-11,15.518712997436523
2014-02-12,15.341358184814453
2014-02-13,15.305886268615723
2014-02-14,15.270414352416992
2014-02-18,15.332489013671875
2014-02-19,15.297014236450195
2014-02-20,15.172865867614746
2014-02-21,15.270414352416992
2014-02-24,15.518712997436523
2014-02-25,15.62513256072998
2014-02-26,15.598526954650879
2014-02-27,15.660599708557129
2014-02-28,15.864556312561035
2014-03-03,15.696072578430176
2014-03-04,15.864556312561035
2014-03-05,15.864556312561035
2014-03-06,15.837956428527832
2014-03-07,15.55418586730957
2014-03-10,15.500977516174316
2014-03-11,15.403432846069336
2014-03-12,15.518712997436523
2014-03-13,15.137395858764648
2014-03-14,15.119661331176758
2014-03-17,15.146265983581543
2014-03-18,15.385695457458496
2014-03-19,15.288151741027832
2014-03-20,15.172865867614746
2014-03-21,15.084192276000977
2014-03-24,15.0398530960083
2014-03-25,14.93343734741211
2014-03-26,14.649665832519531
2014-03-27,14.631929397583008
2014-03-28,14.667403221130371
2014-03-31,14.809287071228027
2014-04-01,15.0132474899292
2014-04-02,15.030985832214355
2014-04-03,14.800421714782715
2014-04-04,14.818154335021973
2014-04-07,14.835892677307129
2014-04-08,14.764951705932617
2014-04-09,14.91569995880127
2014-04-10,14.614192962646484
2014-04-11,14.419102668762207
2014-04-14,14.54325008392334
2014-04-15,14.44570541381836
2014-04-16,14.55212116241455
2014-04-17,14.605324745178223
2014-04-21,14.773816108703613
2014-04-22,14.862494468688965
2014-04-23,15.004380226135254
2014-04-24,15.030985832214355
2014-04-25,14.880230903625488
2014-04-28,14.880230903625488
2014-04-29,14.90683364868164
2014-04-30,14.667403221130371
2014-05-01,14.862494468688965
2014-05-02,14.924569129943848
2014-05-05,14.93343734741211
2014-05-06,14.764951705932617
2014-05-07,14.667403221130371
2014-05-08,14.69400405883789
2014-05-09,15.430036544799805
2014-05-12,15.474370956420898
2014-05-13,15.350225448608398
2014-05-14,14.90683364868164
2014-05-15,14.685136795043945
2014-05-16,14.809287071228027
2014-05-19,14.782684326171875
2014-05-20,14.569855690002441
2014-05-21,14.631929397583008
2014-05-22,14.871362686157227
2014-05-23,14.844758033752441
2014-05-27,14.951173782348633
2014-05-28,14.818154335021973
2014-05-29,14.756082534790039
2014-05-30,14.711739540100098
2014-06-02,14.880230903625488
2014-06-03,15.004380226135254
2014-06-04,15.084192276000977
2014-06-05,15.314754486083984
2014-06-06,15.314754486083984
2014-06-09,15.297014236450195
2014-06-10,15.234945297241211
2014-06-11,15.22607707977295
2014-06-12,14.942305564880371
2014-06-13,14.835892677307129
2014-06-16,14.835892677307129
2014-06-17,14.90683364868164
2014-06-18,15.137395858764648
2014-06-19,15.217206954956055
2014-06-20,15.172865867614746
2014-06-23,14.93343734741211
2014-06-24,15.075325012207031
2014-06-25,15.252679824829102
2014-06-26,15.55418586730957
2014-06-27,15.563054084777832
2014-06-30,15.474370956420898
2014-07-01,15.60739517211914
2014-07-02,15.71380615234375
2014-07-03,15.758147239685059
2014-07-07,15.633996963500977
2014-07-08,15.589656829833984
2014-07-09,15.669466018676758
2014-07-10,15.527586936950684
2014-07-11,15.571919441223145
2014-07-14,15.598526954650879
2014-07-15,15.660599708557129
2014-07-16,15.633996963500977
2014-07-17,15.518712997436523
2014-07-18,15.651732444763184
2014-07-21,15.55418586730957
2014-07-22,15.527586936950684
2014-07-23,15.563054084777832
2014-07-24,15.722674369812012
2014-07-25,15.61626148223877
2014-07-28,15.509843826293945
2014-07-29,15.42116641998291
2014-07-30,15.412297248840332
2014-07-31,15.26154613494873
2014-08-01,15.394566535949707
2014-08-04,15.42116641998291
2014-08-05,15.270414352416992
2014-08-06,15.20833969116211
2014-08-07,15.075325012207031
2014-08-08,14.853625297546387
2014-08-11,15.022117614746094
2014-08-12,14.924569129943848
2014-08-13,14.862494468688965
2014-08-14,15.04871940612793
2014-08-15,14.90683364868164
2014-08-18,14.93343734741211
2014-08-19,14.853625297546387
2014-08-20,15.155133247375488
2014-08-21,15.24381160736084
2014-08-22,15.19947338104248
2014-08-25,15.350225448608398
2014-08-26,15.297014236450195
2014-08-27,15.332489013671875
2014-08-28,15.332489013671875
2014-08-29,15.305886268615723
2014-09-02,15.128532409667969
2014-09-03,15.297014236450195
2014-09-04,15.341358184814453
2014-09-05,15.42116641998291
2014-09-08,15.305886268615723
2014-09-09,15.04871940612793
2014-09-10,15.181737899780273
2014-09-11,15.030985832214355
2014-09-12,14.889097213745117
2014-09-15,14.827020645141602
2014-09-16,14.818154335021973
2014-09-17,14.782684326171875
2014-09-18,14.800421714782715
2014-09-19,14.93343734741211
2014-09-22,14.791552543640137
2014-09-23,14.773816108703613
2014-09-24,14.747210502624512
2014-09-25,14.560986518859863
2014-09-26,14.747210502624512
2014-09-29,14.631929397583008
2014-09-30,14.303820610046387
2014-10-01,14.028918266296387
2014-10-02,13.878165245056152
2014-10-03,13.975708961486816
2014-10-06,13.975708961486816
2014-10-07,13.59439468383789
2014-10-08,13.957976341247559
2014-10-09,13.532320022583008
2014-10-10,13.275150299072266
2014-10-13,12.884965896606445
2014-10-14,12.929306030273438
2014-10-15,12.840627670288086
2014-10-16,12.627799034118652
2014-10-17,12.645535469055176
2014-10-20,12.796287536621094
2014-10-21,13.310623168945312
2014-10-22,13.177605628967285
2014-10-23,13.390435218811035
2014-10-24,13.585525512695312
2014-10-27,13.363828659057617
2014-10-28,13.363828659057617
2014-10-29,13.425904273986816
2014-10-30,13.354964256286621
2014-10-31,13.346094131469727
2014-11-03,13.390435218811035
2014-11-04,13.071188926696777
2014-11-05,13.177605628967285
2014-11-06,13.292885780334473
2014-11-07,13.159870147705078
2014-11-10,13.24854850769043
2014-11-11,13.230813980102539
2014-11-12,13.30175495147705
2014-11-13,13.142133712768555
2014-11-14,13.28402042388916
2014-11-17,13.24854850769043
2014-11-18,13.221942901611328
2014-11-19,13.28402042388916
2014-11-20,13.088926315307617
2014-11-21,13.1510009765625
2014-11-24,13.346094131469727
2014-11-25,13.31949234008789
2014-11-26,13.479111671447754
2014-11-28,13.346094131469727
2014-12-01,13.346094131469727
2014-12-02,13.505715370178223
2014-12-03,13.52345085144043
2014-12-04,13.44364070892334
2014-12-05,13.505715370178223
2014-12-08,13.292885780334473
2014-12-09,13.399299621582031
2014-12-10,13.186473846435547
2014-12-11,13.106661796569824
2014-12-12,12.99138069152832
2014-12-15,12.636665344238281
2014-12-16,12.627799034118652
2014-12-17,12.743080139160156
2014-12-18,12.840627670288086
2014-12-19,12.9381742477417
2014-12-22,13.080059051513672
2014-12-23,13.292885780334473
2014-12-24,13.230813980102539
2014-12-26,13.337226867675781
2014-12-29,13.417035102844238
2014-12-30,13.46137809753418
2014-12-31,13.372700691223145
2015-01-02,13.28402042388916
2015-01-05,12.982512474060059
2015-01-06,12.831761360168457
2015-01-07,12.778552055358887
2015-01-08,13.071188926696777
2015-01-09,13.195343017578125
2015-01-12,13.053457260131836
2015-01-13,13.035719871520996
2015-01-14,12.97364616394043
2015-01-15,12.893834114074707
2015-01-16,12.893834114074707
2015-01-20,12.805157661437988
2015-01-21,12.814023971557617
2015-01-22,13.035719871520996
2015-01-23,13.000248908996582
2015-01-26,13.28402042388916
2015-01-27,13.221942901611328
2015-01-28,13.080059051513672
2015-01-29,12.822893142700195
2015-01-30,12.805157661437988
2015-02-02,12.840627670288086
2015-02-03,13.417035102844238
2015-02-04,13.399299621582031
2015-02-05,13.49685001373291
2015-02-06,13.984579086303711
2015-02-09,14.3392915725708
2015-02-10,14.454571723937988
2015-02-11,14.454571723937988
2015-02-12,14.507781982421875
2015-02-13,14.55212116241455
2015-02-17,14.685136795043945
2015-02-18,14.64079761505127
