,WELL
2014-01-02,33.92976379394531
2014-01-03,33.61924743652344
2014-01-06,34.405052185058594
2014-01-07,34.38603210449219
2014-01-08,34.15789794921875
2014-01-09,34.233951568603516
2014-01-10,35.159175872802734
2014-01-13,35.45704650878906
2014-01-14,34.943721771240234
2014-01-15,35.203548431396484
2014-01-16,35.52675247192383
2014-01-17,35.22890090942383
2014-01-21,35.7675666809082
2014-01-22,35.83094024658203
2014-01-23,35.50774002075195
2014-01-24,35.438026428222656
2014-01-27,35.64715576171875
2014-01-28,35.989376068115234
2014-01-29,35.926002502441406
2014-01-30,36.15412902832031
2014-01-31,36.70549011230469
2014-02-03,36.4329833984375
2014-02-04,36.52170181274414
2014-02-05,36.06542205810547
2014-02-06,36.17146682739258
2014-02-07,36.563514709472656
2014-02-10,36.69206619262695
2014-02-11,36.72419738769531
2014-02-12,36.52495574951172
2014-02-13,36.62778854370117
2014-02-14,36.54424285888672
2014-02-18,36.60850143432617
2014-02-19,36.8463020324707
2014-02-20,36.36428451538086
2014-02-21,36.492820739746094
2014-02-24,37.29619598388672
2014-02-25,37.05840301513672
2014-02-26,37.21908950805664
2014-02-27,37.36046600341797
2014-02-28,37.75251770019531
2014-03-03,37.829654693603516
2014-03-04,38.311683654785156
2014-03-05,38.47877502441406
2014-03-06,37.95175552368164
2014-03-07,37.46329879760742
2014-03-10,37.33475875854492
2014-03-11,37.829654693603516
2014-03-12,38.118873596191406
2014-03-13,37.68825912475586
2014-03-14,37.8746452331543
2014-03-17,37.662540435791016
2014-03-18,37.5275764465332
2014-03-19,36.74990463256836
2014-03-20,36.66633987426758
2014-03-21,37.42474365234375
2014-03-24,37.25764083862305
2014-03-25,37.55328369140625
2014-03-26,37.328330993652344
2014-03-27,37.778228759765625
2014-03-28,38.003177642822266
2014-03-31,38.30524826049805
2014-04-01,38.22813034057617
2014-04-02,38.47877502441406
2014-04-03,38.23455810546875
2014-04-04,38.845115661621094
2014-04-07,39.333587646484375
2014-04-08,39.912010192871094
2014-04-09,39.80275344848633
2014-04-10,39.63563919067383
2014-04-11,39.699913024902344
2014-04-14,39.648502349853516
2014-04-15,40.310489654541016
2014-04-16,40.38118362426758
2014-04-17,39.809181213378906
2014-04-21,39.963436126708984
2014-04-22,39.7127685546875
2014-04-23,39.67421340942383
2014-04-24,40.0791130065918
2014-04-25,39.963436126708984
2014-04-28,40.561153411865234
2014-04-29,40.46474075317383
2014-04-30,40.548282623291016
2014-05-01,40.651126861572266
2014-05-02,40.554718017578125
2014-05-05,40.837501525878906
2014-05-06,40.721824645996094
2014-05-07,40.895355224609375
2014-05-08,41.855323791503906
2014-05-09,41.90739822387695
2014-05-12,41.855323791503906
2014-05-13,41.65357971191406
2014-05-14,41.634056091308594
2014-05-15,42.01154708862305
2014-05-16,42.46061325073242
2014-05-19,41.92692947387695
2014-05-20,42.180755615234375
2014-05-21,41.634056091308594
2014-05-22,41.41927719116211
2014-05-23,41.985511779785156
2014-05-27,41.93342971801758
2014-05-28,40.5797004699707
2014-05-29,40.787967681884766
2014-05-30,41.152427673339844
2014-06-02,41.30863571166992
2014-06-03,41.45832443237305
2014-06-04,41.334659576416016
2014-06-05,42.13520431518555
2014-06-06,41.705650329589844
2014-06-09,41.23052978515625
2014-06-10,40.91814041137695
2014-06-11,40.99623107910156
2014-06-12,40.9702033996582
2014-06-13,41.11338806152344
2014-06-16,40.85955047607422
2014-06-17,40.43000411987305
2014-06-18,40.41048049926758
2014-06-19,41.02225875854492
2014-06-20,41.26958084106445
2014-06-23,41.334659576416016
2014-06-24,41.23052978515625
2014-06-25,40.86606216430664
2014-06-26,40.93764877319336
2014-06-27,40.76193618774414
2014-06-30,40.787967681884766
2014-07-01,41.04179382324219
2014-07-02,40.573184967041016
2014-07-03,40.29982376098633
2014-07-07,40.547149658203125
2014-07-08,40.67732238769531
2014-07-09,40.781463623046875
2014-07-10,40.9311408996582
2014-07-11,40.885589599609375
2014-07-14,40.98971176147461
2014-07-15,41.1198844909668
2014-07-16,41.36720275878906
2014-07-17,41.451812744140625
2014-07-18,41.842323303222656
2014-07-21,41.82279968261719
2014-07-22,41.8943977355957
2014-07-23,42.02454376220703
2014-07-24,42.10917282104492
2014-07-25,41.96596908569336
2014-07-28,42.14170455932617
2014-07-29,41.887874603271484
2014-07-30,41.6731071472168
2014-07-31,41.41276168823242
2014-08-01,42.03105926513672
2014-08-04,42.10917282104492
2014-08-05,41.77072525024414
2014-08-06,41.718650817871094
2014-08-07,41.576969146728516
2014-08-08,41.583560943603516
2014-08-11,41.65606689453125
2014-08-12,41.853759765625
2014-08-13,42.802734375
2014-08-14,43.2903938293457
2014-08-15,43.039974212646484
2014-08-18,43.283809661865234
2014-08-19,43.41561508178711
2014-08-20,43.7319450378418
2014-08-21,43.738525390625
2014-08-22,43.58037185668945
2014-08-25,43.56718063354492
2014-08-26,43.93623352050781
2014-08-27,44.120750427246094
2014-08-28,44.1998291015625
2014-08-29,44.53593826293945
2014-09-02,44.32504653930664
2014-09-03,44.53593826293945
2014-09-04,44.50298309326172
2014-09-05,45.02359390258789
2014-09-08,44.7138557434082
2014-09-09,44.298683166503906
2014-09-10,43.639678955078125
2014-09-11,43.81760787963867
2014-09-12,41.68242263793945
2014-09-15,41.906471252441406
2014-09-16,42.08440399169922
2014-09-17,42.01850891113281
2014-09-18,41.44515609741211
2014-09-19,41.87353515625
2014-09-22,41.603336334228516
2014-09-23,41.32655334472656
2014-09-24,41.38585662841797
2014-09-25,41.28701400756836
2014-09-26,41.590152740478516
