,EMN
2014-01-02,58.310543060302734
2014-01-03,58.23065185546875
2014-01-06,57.932857513427734
2014-01-07,57.70769500732422
2014-01-08,57.52611541748047
2014-01-09,57.5987548828125
2014-01-10,57.693153381347656
2014-01-13,56.77799987792969
2014-01-14,57.59148025512695
2014-01-15,57.96918487548828
2014-01-16,57.98371124267578
2014-01-17,58.02003860473633
2014-01-21,57.845703125
2014-01-22,56.54554748535156
2014-01-23,55.34709930419922
2014-01-24,54.206748962402344
2014-01-27,54.025177001953125
2014-01-28,54.635292053222656
2014-01-29,54.25031661987305
2014-01-30,55.180023193359375
2014-01-31,56.62544250488281
2014-02-03,55.28172302246094
2014-02-04,55.928165435791016
2014-02-05,56.52376174926758
2014-02-06,56.741668701171875
2014-02-07,57.497066497802734
2014-02-10,58.223388671875
2014-02-11,57.96918487548828
2014-02-12,59.30565643310547
2014-02-13,59.90851593017578
2014-02-14,60.169986724853516
2014-02-18,60.15544509887695
2014-02-19,59.596187591552734
2014-02-20,60.148197174072266
2014-02-21,61.25949478149414
2014-02-24,61.07793045043945
2014-02-25,62.305423736572266
2014-02-26,62.39260482788086
2014-02-27,63.05358123779297
2014-02-28,63.5038948059082
2014-03-03,63.30778121948242
2014-03-04,63.58379364013672
2014-03-05,63.431243896484375
2014-03-06,63.8961296081543
2014-03-07,63.58379364013672
2014-03-10,63.42398452758789
2014-03-11,62.821109771728516
2014-03-12,62.28876876831055
2014-03-13,61.58863067626953
2014-03-14,61.04166793823242
2014-03-17,61.6761589050293
2014-03-18,61.92411422729492
2014-03-19,61.64698028564453
2014-03-20,62.35439682006836
2014-03-21,62.77735137939453
2014-03-24,62.20124435424805
2014-03-25,62.58047103881836
2014-03-26,61.486515045166016
2014-03-27,61.54487609863281
2014-03-28,62.42731475830078
2014-03-31,62.87215805053711
2014-04-01,62.80654525756836
2014-04-02,63.71086502075195
2014-04-03,63.57961654663086
2014-04-04,63.090999603271484
2014-04-07,61.73448181152344
2014-04-08,61.76365661621094
2014-04-09,62.98157501220703
2014-04-10,61.34798049926758
2014-04-11,61.741783142089844
2014-04-14,62.0699462890625
2014-04-15,62.90864944458008
2014-04-16,64.4912109375
2014-04-17,64.60061645507812
2014-04-21,63.92236328125
2014-04-22,64.58600616455078
2014-04-23,64.60061645507812
2014-04-24,63.67440414428711
2014-04-25,61.523006439208984
2014-04-28,61.87306213378906
2014-04-29,62.857608795166016
2014-04-30,63.57231140136719
2014-05-01,62.70443344116211
2014-05-02,62.602352142333984
2014-05-05,62.646114349365234
2014-05-06,62.296016693115234
2014-05-07,63.018062591552734
2014-05-08,62.22310256958008
2014-05-09,62.58774948120117
2014-05-12,62.95240020751953
2014-05-13,62.42731475830078
2014-05-14,62.44921112060547
2014-05-15,61.20210266113281
2014-05-16,61.391719818115234
2014-05-19,62.39814376831055
2014-05-20,61.80012512207031
2014-05-21,61.97517013549805
2014-05-22,62.04808044433594
2014-05-23,62.93783950805664
2014-05-27,62.79926300048828
2014-05-28,63.12014389038086
2014-05-29,64.19951629638672
2014-05-30,64.36722564697266
2014-06-02,64.99441528320312
2014-06-03,65.33719635009766
2014-06-04,65.78205871582031
2014-06-05,65.27885437011719
2014-06-06,65.54869079589844
2014-06-09,65.40283203125
2014-06-10,65.61431884765625
2014-06-11,65.17501831054688
2014-06-12,64.70646667480469
2014-06-13,65.04325103759766
2014-06-16,64.35504913330078
2014-06-17,64.17198944091797
2014-06-18,64.48680877685547
2014-06-19,64.0987777709961
2014-06-20,64.50145721435547
2014-06-23,64.19396209716797
2014-06-24,63.82057189941406
2014-06-25,63.85722351074219
2014-06-26,63.78396987915039
2014-06-27,63.996280670166016
2014-06-30,63.95235824584961
2014-07-01,64.21593475341797
2014-07-02,64.1793212890625
2014-07-03,64.83094787597656
2014-07-07,64.26717376708984
2014-07-08,64.06217193603516
2014-07-09,63.8937873840332
2014-07-10,63.52040481567383
2014-07-11,63.5716552734375
2014-07-14,63.5350456237793
2014-07-15,62.883426666259766
2014-07-16,63.29343795776367
2014-07-17,63.05182647705078
2014-07-18,63.35200500488281
2014-07-21,63.41056823730469
2014-07-22,64.02555084228516
2014-07-23,64.43555450439453
2014-07-24,64.40630340576172
2014-07-25,64.94806671142578
2014-07-28,64.91876983642578
2014-07-29,59.683990478515625
2014-07-30,59.51559829711914
2014-07-31,57.67791748046875
2014-08-01,57.44364929199219
2014-08-04,57.985408782958984
2014-08-05,57.787723541259766
2014-08-06,58.12453842163086
2014-08-07,57.817039489746094
2014-08-08,58.46865463256836
2014-08-11,58.46865463256836
2014-08-12,58.571136474609375
2014-08-13,59.31792449951172
2014-08-14,59.36186981201172
2014-08-15,59.05435562133789
2014-08-18,59.49360275268555
2014-08-19,59.71327590942383
2014-08-20,60.0500602722168
2014-08-21,60.02808380126953
2014-08-22,59.55219650268555
2014-08-25,59.96221923828125
2014-08-26,59.66202163696289
2014-08-27,59.58881378173828
2014-08-28,60.36490249633789
2014-08-29,60.379520416259766
2014-09-02,60.818790435791016
2014-09-03,60.70166015625
2014-09-04,60.452720642089844
2014-09-05,61.03110885620117
2014-09-08,61.04575729370117
2014-09-09,60.73826217651367
2014-09-10,61.18487548828125
2014-09-11,60.53790283203125
2014-09-12,61.059879302978516
2014-09-15,60.97166442871094
2014-09-16,61.55250930786133
2014-09-17,61.434844970703125
2014-09-18,62.221553802490234
2014-09-19,62.3538703918457
2014-09-22,61.633358001708984
2014-09-23,60.86136245727539
2014-09-24,61.868621826171875
2014-09-25,60.449649810791016
2014-09-26,60.78049087524414
2014-09-29,60.567298889160156
