,DE
2014-01-02,73.58296203613281
2014-01-03,73.90906524658203
2014-01-06,73.2976303100586
2014-01-07,73.62371826171875
2014-01-08,72.83293151855469
2014-01-09,72.53947448730469
2014-01-10,73.17533874511719
2014-01-13,72.9715576171875
2014-01-14,73.12641906738281
2014-01-15,73.20796203613281
2014-01-16,73.23238372802734
2014-01-17,72.84111022949219
2014-01-21,72.86556243896484
2014-01-22,72.27859497070312
2014-01-23,71.6427001953125
2014-01-24,69.74320983886719
2014-01-27,70.11821746826172
2014-01-28,70.59105682373047
2014-01-29,70.05298614501953
2014-01-30,70.58289337158203
2014-01-31,70.07745361328125
2014-02-03,69.115478515625
2014-02-04,69.38450622558594
2014-02-05,69.05026245117188
2014-02-06,69.64537048339844
2014-02-07,70.56658935546875
2014-02-10,71.21879577636719
2014-02-11,71.30029296875
2014-02-12,70.84378814697266
2014-02-13,69.98778533935547
2014-02-14,69.97960662841797
2014-02-18,69.3763427734375
2014-02-19,68.71601104736328
2014-02-20,69.39266204833984
2014-02-21,69.04212951660156
2014-02-24,69.13179016113281
2014-02-25,68.5203628540039
2014-02-26,68.7649154663086
2014-02-27,69.2703857421875
2014-02-28,70.05298614501953
2014-03-03,70.89266967773438
2014-03-04,70.62366485595703
2014-03-05,70.86006164550781
2014-03-06,71.92803192138672
2014-03-07,72.39270782470703
2014-03-10,72.16443634033203
2014-03-11,72.64546203613281
2014-03-12,72.4253158569336
2014-03-13,71.72422790527344
2014-03-14,71.08834075927734
2014-03-17,71.32475280761719
2014-03-18,71.47148895263672
2014-03-19,71.16172790527344
2014-03-20,71.38997650146484
2014-03-21,73.24057006835938
2014-03-24,72.15631866455078
2014-03-25,72.63727569580078
2014-03-26,72.00955963134766
2014-03-27,72.04235076904297
2014-03-28,72.77213287353516
2014-03-31,74.45306396484375
2014-04-01,74.93685913085938
2014-04-02,75.35502624511719
2014-04-03,75.48621368408203
2014-04-04,75.2976303100586
2014-04-07,74.74002838134766
2014-04-08,75.87980651855469
2014-04-09,76.56855773925781
2014-04-10,76.04380798339844
2014-04-11,75.44520568847656
2014-04-14,75.79779815673828
2014-04-15,75.71581268310547
2014-04-16,76.37997436523438
2014-04-17,76.58499145507812
2014-04-21,76.35537719726562
2014-04-22,76.5357666015625
2014-04-23,76.72437286376953
2014-04-24,76.98677825927734
2014-04-25,76.37178802490234
2014-04-28,76.06840515136719
2014-04-29,76.8555679321289
2014-04-30,76.5357666015625
2014-05-01,76.43737030029297
2014-05-02,76.1913833618164
2014-05-05,76.00279998779297
2014-05-06,76.06840515136719
2014-05-07,77.5115737915039
2014-05-08,77.3065414428711
2014-05-09,77.35574340820312
2014-05-12,76.78996276855469
2014-05-13,76.75717163085938
2014-05-14,75.19103240966797
2014-05-15,74.78925323486328
2014-05-16,74.83844757080078
2014-05-19,74.34647369384766
2014-05-20,73.75609588623047
2014-05-21,73.78068542480469
2014-05-22,73.78889465332031
2014-05-23,73.78068542480469
2014-05-27,74.55144500732422
2014-05-28,74.54325866699219
2014-05-29,74.69902801513672
2014-05-30,74.75645446777344
2014-06-02,74.7646713256836
2014-06-03,74.48584747314453
2014-06-04,74.48584747314453
2014-06-05,74.8630599975586
2014-06-06,75.68302917480469
2014-06-09,76.25700378417969
2014-06-10,75.8060073852539
2014-06-11,74.96143341064453
2014-06-12,74.1824722290039
2014-06-13,74.1824722290039
2014-06-16,74.10045623779297
2014-06-17,74.28905487060547
2014-06-18,74.77283477783203
2014-06-19,75.0926284790039
2014-06-20,75.4698257446289
2014-06-23,74.93685913085938
2014-06-24,74.31364440917969
2014-06-25,74.40387725830078
2014-06-26,74.62673950195312
2014-06-27,74.96514129638672
2014-06-30,74.74229431152344
2014-07-01,74.3543472290039
2014-07-02,74.57720184326172
2014-07-03,75.4273681640625
2014-07-07,74.94039916992188
2014-07-08,74.38735961914062
2014-07-09,73.5949478149414
2014-07-10,72.73651123046875
2014-07-11,73.074951171875
2014-07-14,73.05844116210938
2014-07-15,73.09969329833984
2014-07-16,73.83431243896484
2014-07-17,72.16695404052734
2014-07-18,72.33203887939453
2014-07-21,72.34031677246094
2014-07-22,72.96761322021484
2014-07-23,72.18347930908203
2014-07-24,71.79552459716797
2014-07-25,71.1269302368164
2014-07-28,70.99484252929688
2014-07-29,70.84627532958984
2014-07-30,70.5160903930664
2014-07-31,70.25198364257812
2014-08-01,70.128173828125
2014-08-04,70.384033203125
2014-08-05,70.4005355834961
2014-08-06,70.49958038330078
2014-08-07,70.46658325195312
2014-08-08,71.79552459716797
2014-08-11,71.9441146850586
2014-08-12,71.38282775878906
2014-08-13,69.74021911621094
2014-08-14,70.07038116455078
2014-08-15,69.99609375
2014-08-18,71.07740020751953
2014-08-19,70.7472152709961
2014-08-20,70.87928771972656
2014-08-21,71.1599349975586
2014-08-22,69.96308898925781
2014-08-25,70.25198364257812
2014-08-26,69.41828918457031
2014-08-27,69.21192932128906
2014-08-28,69.31098937988281
2014-08-29,69.41002655029297
2014-09-02,69.1458969116211
2014-09-03,68.65065002441406
2014-09-04,68.60114288330078
2014-09-05,68.33700561523438
2014-09-08,68.45252227783203
2014-09-09,67.89128112792969
2014-09-10,67.66840362548828
2014-09-11,67.75092315673828
2014-09-12,67.64362335205078
2014-09-15,68.24617767333984
2014-09-16,68.45252227783203
2014-09-17,68.98082733154297
2014-09-18,69.45958709716797
2014-09-19,69.03860473632812
2014-09-22,69.12113952636719
2014-09-23,68.77445983886719
2014-09-24,69.1458969116211
2014-09-25,68.61761474609375
2014-09-26,68.8670654296875
2014-09-29,68.45965576171875
2014-09-30,68.16867065429688
2014-10-01,67.80282592773438
2014-10-02,67.93585968017578
2014-10-03,68.31001281738281
2014-10-06,68.8753662109375
2014-10-07,66.52242279052734
2014-10-08,67.6032943725586
2014-10-09,67.47026062011719
2014-10-10,67.32891845703125
2014-10-13,67.88595581054688
2014-10-14,70.13912200927734
2014-10-15,70.61304473876953
2014-10-16,69.93962860107422
2014-10-17,69.2495346069336
2014-10-20,68.34324645996094
2014-10-21,69.65691375732422
2014-10-22,69.35760498046875
2014-10-23,70.81256866455078
2014-10-24,71.02875518798828
2014-10-27,70.32205963134766
2014-10-28,71.07864379882812
2014-10-29,70.79595947265625
2014-10-30,70.86250305175781
2014-10-31,71.12023162841797
2014-11-03,70.67124938964844
2014-11-04,70.29708099365234
2014-11-05,70.64629364013672
2014-11-06,72.97430419921875
2014-11-07,73.71427917480469
2014-11-10,73.614501953125
2014-11-11,73.5396728515625
2014-11-12,73.3900146484375
2014-11-13,72.716552734375
2014-11-14,72.76642608642578
2014-11-17,72.17613983154297
2014-11-18,72.5752182006836
2014-11-19,71.77706146240234
2014-11-20,70.9788818359375
2014-11-21,72.39232635498047
2014-11-24,72.76642608642578
2014-11-25,72.99091339111328
2014-11-26,72.32579803466797
2014-11-28,72.01815795898438
2014-12-01,74.47916412353516
2014-12-02,73.42325592041016
2014-12-03,74.97805786132812
2014-12-04,74.47089385986328
2014-12-05,74.60388946533203
2014-12-08,73.8639144897461
