,HPQ
2014-01-02,9.013294219970703
2014-01-03,9.234877586364746
2014-01-06,9.218584060668945
2014-01-07,9.1827392578125
2014-01-08,8.944862365722656
2014-01-09,8.996996879577637
2014-01-10,9.026326179504395
2014-01-13,9.163187026977539
2014-01-14,9.4010648727417
2014-01-15,9.397807121276855
2014-01-16,9.632427215576172
2014-01-17,9.710633277893066
2014-01-21,9.743217468261719
2014-01-22,9.723669052124023
2014-01-23,9.570514678955078
2014-01-24,9.283758163452148
2014-01-27,9.319598197937012
2014-01-28,9.449946403503418
2014-01-29,9.456460952758789
2014-01-30,9.531410217285156
2014-01-31,9.449946403503418
2014-02-03,9.137117385864258
2014-02-04,9.23161792755127
2014-02-05,9.12734317779541
2014-02-06,9.283758163452148
2014-02-07,9.472756385803223
2014-02-10,9.388032913208008
2014-02-11,9.567253112792969
2014-02-12,9.58680534362793
2014-02-13,9.720410346984863
2014-02-14,9.782322883605957
2014-02-18,9.638941764831543
2014-02-19,9.59658145904541
2014-02-20,9.83771800994873
2014-02-21,9.707375526428223
2014-02-24,9.749736785888672
2014-02-25,9.736701011657715
2014-02-26,9.743217468261719
2014-02-27,9.694340705871582
2014-02-28,9.736701011657715
2014-03-03,9.687821388244629
2014-03-04,9.814908027648926
2014-03-05,9.756254196166992
2014-03-06,9.805132865905762
2014-03-07,9.886598587036133
2014-03-10,9.790009498596191
2014-03-11,9.793280601501465
2014-03-12,9.688507080078125
2014-03-13,9.465856552124023
2014-03-14,9.518245697021484
2014-03-17,9.652488708496094
2014-03-18,10.006103515625
2014-03-19,10.353177070617676
2014-03-20,10.30733871459961
2014-03-21,10.461231231689453
2014-03-24,10.356451034545898
2014-03-25,10.660958290100098
2014-03-26,10.592198371887207
2014-03-27,10.454681396484375
2014-03-28,10.490697860717773
2014-03-31,10.595471382141113
2014-04-01,10.880331993103027
2014-04-02,11.004755020141602
2014-04-03,10.805022239685059
2014-04-04,10.687151908874512
2014-04-07,10.706795692443848
2014-04-08,10.624939918518066
2014-04-09,10.713347434997559
2014-04-10,10.73953914642334
2014-04-11,10.624939918518066
2014-04-14,10.772282600402832
2014-04-15,10.60529613494873
2014-04-16,10.638038635253906
2014-04-17,10.454681396484375
2014-04-21,10.457954406738281
2014-04-22,10.402288436889648
2014-04-23,10.392470359802246
2014-04-24,10.477599143981934
2014-04-25,10.340080261230469
2014-04-28,10.539811134338379
2014-04-29,10.7919282913208
2014-04-30,10.824667930603027
2014-05-01,10.687151908874512
2014-05-02,10.638038635253906
2014-05-05,10.641310691833496
2014-05-06,10.520163536071777
2014-05-07,10.582374572753906
2014-05-08,10.55290412902832
2014-05-09,10.595471382141113
2014-05-12,10.746086120605469
2014-05-13,10.89670181274414
2014-05-14,10.795202255249023
2014-05-15,10.611844062805176
2014-05-16,10.647857666015625
2014-05-19,10.841038703918457
2014-05-20,10.73953914642334
2014-05-21,10.647857666015625
2014-05-22,10.40556526184082
2014-05-23,11.040771484375
2014-05-27,10.837767601013184
2014-05-28,10.919618606567383
2014-05-29,11.014575958251953
2014-05-30,10.968737602233887
2014-06-02,10.945817947387695
2014-06-03,11.030948638916016
2014-06-04,11.05386734008789
2014-06-05,11.089882850646973
2014-06-06,11.080060958862305
2014-06-09,11.099800109863281
2014-06-10,11.057031631469727
2014-06-11,10.938597679138184
2014-06-12,10.984658241271973
2014-06-13,11.566951751708984
2014-06-16,11.481415748596191
2014-06-17,11.484709739685059
2014-06-18,11.418911933898926
2014-06-19,11.343242645263672
2014-06-20,11.257711410522461
2014-06-23,11.356405258178711
2014-06-24,11.16888427734375
2014-06-25,11.05045223236084
2014-06-26,11.15572738647461
2014-06-27,11.15572738647461
