,MTCH
2014-01-02,18.461767196655273
2014-01-03,18.59493637084961
2014-01-06,18.809640884399414
2014-01-07,19.211868286132812
2014-01-08,19.114028930664062
2014-01-09,18.921070098876953
2014-01-10,18.883020401000977
2014-01-13,18.741695404052734
2014-01-14,19.573331832885742
2014-01-15,19.480926513671875
2014-01-16,19.88043785095215
2014-01-17,19.521692276000977
2014-01-21,19.752702713012695
2014-01-22,19.86956787109375
2014-01-23,19.660301208496094
2014-01-24,19.17382049560547
2014-01-27,19.14935874938965
2014-01-28,19.521692276000977
2014-01-29,18.926504135131836
2014-01-30,19.184690475463867
2014-01-31,19.035213470458984
2014-02-03,18.393821716308594
2014-02-04,18.71179962158203
2014-02-05,17.676332473754883
2014-02-06,17.77960777282715
2014-02-07,18.20086097717285
2014-02-10,18.230756759643555
2014-02-11,17.988874435424805
2014-02-12,17.774171829223633
2014-02-13,18.094867706298828
2014-02-14,18.581348419189453
2014-02-18,18.969987869262695
2014-02-19,19.32601547241211
2014-02-20,20.307126998901367
2014-02-21,20.20928955078125
2014-02-24,20.15493392944336
2014-02-25,20.320716857910156
2014-02-26,20.573467254638672
2014-02-27,20.83709144592285
2014-02-28,21.070819854736328
2014-03-03,21.084407806396484
2014-03-04,21.293676376342773
2014-03-05,21.704057693481445
2014-03-06,21.03548812866211
2014-03-07,20.92677879333496
2014-03-10,20.78545379638672
2014-03-11,20.56803321838379
2014-03-12,20.720226287841797
2014-03-13,19.894027709960938
2014-03-14,20.233747482299805
2014-03-17,20.241901397705078
2014-03-18,20.657718658447266
2014-03-19,20.29353904724121
2014-03-20,19.918487548828125
2014-03-21,19.774446487426758
2014-03-24,19.52984619140625
2014-03-25,19.380369186401367
2014-03-26,19.56245994567871
2014-03-27,19.63855743408203
2014-03-28,19.44559669494629
2014-03-31,19.40211296081543
2014-04-01,19.728242874145508
2014-04-02,19.676607131958008
2014-04-03,19.456466674804688
2014-04-04,19.021623611450195
2014-04-07,19.03249740600586
2014-04-08,18.847688674926758
2014-04-09,19.181974411010742
2014-04-10,18.581348419189453
2014-04-11,18.70364761352539
2014-04-14,18.24434471130371
2014-04-15,18.401975631713867
2014-04-16,18.652008056640625
2014-04-17,18.662879943847656
2014-04-21,18.79061508178711
2014-04-22,18.877582550048828
2014-04-23,18.90204429626465
2014-04-24,18.76072120666504
2014-04-25,17.86113929748535
2014-04-28,17.469783782958984
2014-04-29,18.138351440429688
2014-04-30,18.013336181640625
2014-05-01,17.68992042541504
2014-05-02,17.6817684173584
2014-05-05,17.77960777282715
2014-05-06,17.206159591674805
2014-05-07,16.844696044921875
2014-05-08,17.217029571533203
2014-05-09,17.30943489074707
2014-05-12,17.67905044555664
2014-05-13,17.556751251220703
2014-05-14,17.3719425201416
2014-05-15,17.162675857543945
