,CMCSA
2014-01-02,20.455780029296875
2014-01-03,20.304698944091797
2014-01-06,20.284818649291992
2014-01-07,21.004451751708984
2014-01-08,20.972644805908203
2014-01-09,21.02432632446289
2014-01-10,21.286733627319336
2014-01-13,20.738069534301758
2014-01-14,20.996503829956055
2014-01-15,21.49745750427246
2014-01-16,21.286733627319336
2014-01-17,21.286733627319336
2014-01-21,21.19528579711914
2014-01-22,21.366256713867188
2014-01-23,21.103845596313477
2014-01-24,20.833484649658203
2014-01-27,20.86927604675293
2014-01-28,21.211191177368164
2014-01-29,21.095897674560547
2014-01-30,21.545169830322266
2014-01-31,21.648550033569336
2014-02-03,20.9805908203125
2014-02-04,21.278783798217773
2014-02-05,21.22312355041504
2014-02-06,21.48154640197754
2014-02-07,21.72408103942871
2014-02-10,21.608776092529297
2014-02-11,21.867212295532227
2014-02-12,21.962629318237305
2014-02-13,21.060110092163086
2014-02-14,21.3503475189209
2014-02-18,21.282760620117188
2014-02-19,20.50349235534668
2014-02-20,20.579021453857422
2014-02-21,20.296741485595703
2014-02-24,20.336502075195312
2014-02-25,20.185420989990234
2014-02-26,20.149639129638672
2014-02-27,20.30867576599121
2014-02-28,20.551197052001953
2014-03-03,20.27686882019043
2014-03-04,20.419998168945312
2014-03-05,20.630718231201172
2014-03-06,20.718191146850586
2014-03-07,20.527347564697266
2014-03-10,20.483612060546875
2014-03-11,20.364336013793945
2014-03-12,20.2689208984375
2014-03-13,20.06217384338379
2014-03-14,20.133737564086914
2014-03-17,20.18939971923828
2014-03-18,19.966753005981445
2014-03-19,19.831579208374023
2014-03-20,20.121809005737305
2014-03-21,19.879283905029297
2014-03-24,19.998554229736328
2014-03-25,19.748077392578125
2014-03-26,19.72819709777832
2014-03-27,19.521453857421875
2014-03-28,19.704345703125
2014-03-31,19.985925674438477
2014-04-01,19.941991806030273
2014-04-02,20.32940673828125
2014-04-03,20.417274475097656
2014-04-04,20.04183578491211
2014-04-07,19.60249900817871
2014-04-08,19.510639190673828
2014-04-09,19.88607406616211
2014-04-10,19.338890075683594
2014-04-11,19.155168533325195
2014-04-14,19.434749603271484
2014-04-15,19.334897994995117
2014-04-16,19.638439178466797
2014-04-17,19.610483169555664
2014-04-21,19.922021865844727
2014-04-22,20.30143928527832
2014-04-23,20.453224182128906
2014-04-24,20.517122268676758
2014-04-25,20.357362747192383
2014-04-28,20.648921966552734
2014-04-29,20.58901023864746
2014-04-30,20.672882080078125
2014-05-01,20.812681198120117
2014-05-02,20.780725479125977
2014-05-05,20.952468872070312
2014-05-06,20.692855834960938
2014-05-07,20.664899826049805
2014-05-08,20.409284591674805
2014-05-09,20.36934471130371
2014-05-12,20.229555130004883
2014-05-13,20.01388168334961
2014-05-14,19.902042388916016
2014-05-15,20.093759536743164
2014-05-16,20.045833587646484
2014-05-19,20.32940673828125
2014-05-20,20.229555130004883
2014-05-21,20.509130477905273
2014-05-22,20.648921966552734
2014-05-23,20.756763458251953
2014-05-27,20.792705535888672
2014-05-28,20.708829879760742
2014-05-29,20.79669761657715
2014-05-30,20.84862518310547
2014-06-02,20.99240493774414
2014-06-03,20.89654541015625
2014-06-04,20.88456916809082
2014-06-05,21.052318572998047
2014-06-06,21.13219451904297
2014-06-09,21.148168563842773
2014-06-10,21.120216369628906
2014-06-11,21.052318572998047
2014-06-12,21.036340713500977
2014-06-13,20.956464767456055
2014-06-16,20.908533096313477
2014-06-17,20.84862518310547
2014-06-18,21.032344818115234
2014-06-19,21.144180297851562
2014-06-20,21.064302444458008
2014-06-23,20.940479278564453
2014-06-24,21.024356842041016
2014-06-25,21.25201416015625
2014-06-26,21.40778160095215
2014-06-27,21.61945915222168
2014-06-30,21.529226303100586
2014-07-01,21.70168113708496
2014-07-02,21.882160186767578
2014-07-03,22.018524169921875
2014-07-07,21.729755401611328
2014-07-08,21.38082504272461
2014-07-09,21.95034408569336
2014-07-10,21.80194854736328
2014-07-11,21.878149032592773
2014-07-14,22.078683853149414
2014-07-15,22.014514923095703
2014-07-16,22.078683853149414
2014-07-17,21.737775802612305
2014-07-18,21.874141693115234
2014-07-21,21.585369110107422
2014-07-22,21.91023826599121
2014-07-23,21.942317962646484
2014-07-24,22.11077117919922
2014-07-25,21.813976287841797
2014-07-28,21.95034408569336
2014-07-29,22.054616928100586
2014-07-30,22.223064422607422
2014-07-31,21.549278259277344
2014-08-01,21.412914276123047
2014-08-04,21.59740447998047
2014-08-05,21.328685760498047
2014-08-06,21.216392517089844
2014-08-07,21.12815284729004
2014-08-08,21.45703125
2014-08-11,21.557294845581055
2014-08-12,21.57735252380371
2014-08-13,21.70168113708496
2014-08-14,21.805957794189453
2014-08-15,21.91023826599121
2014-08-18,21.95034408569336
2014-08-19,21.85809898376465
2014-08-20,21.914247512817383
