,PARA
2014-01-02,51.14065170288086
2014-01-03,51.051719665527344
2014-01-06,50.94661331176758
2014-01-07,51.24576950073242
2014-01-08,50.728294372558594
2014-01-09,50.52615737915039
2014-01-10,50.93043518066406
2014-01-13,49.272911071777344
2014-01-14,49.038429260253906
2014-01-15,49.3214225769043
2014-01-16,49.15971374511719
2014-01-17,48.9090690612793
2014-01-21,48.270301818847656
2014-01-22,49.135459899902344
2014-01-23,48.270301818847656
2014-01-24,47.21112060546875
2014-01-27,47.041316986083984
2014-01-28,47.461769104003906
2014-01-29,46.66939163208008
2014-01-30,47.84178924560547
2014-01-31,47.477928161621094
2014-02-03,45.52933120727539
2014-02-04,46.79065704345703
2014-02-05,47.655818939208984
2014-02-06,48.74734115600586
2014-02-07,48.917152404785156
2014-02-10,48.98991775512695
2014-02-11,49.24055862426758
2014-02-12,50.00869369506836
2014-02-13,52.24028396606445
2014-02-14,52.52326202392578
2014-02-18,53.59864044189453
2014-02-19,53.218624114990234
2014-02-20,53.29139709472656
2014-02-21,53.412662506103516
2014-02-24,53.7360954284668
2014-02-25,53.17011260986328
2014-02-26,52.99223327636719
2014-02-27,53.68758010864258
2014-02-28,54.23739242553711
2014-03-03,53.32373809814453
2014-03-04,54.512298583984375
2014-03-05,54.47995376586914
2014-03-06,54.61741638183594
2014-03-07,54.59312057495117
2014-03-10,54.07472229003906
2014-03-11,53.53204345703125
2014-03-12,53.37813949584961
2014-03-13,52.616737365722656
2014-03-14,52.9488410949707
2014-03-17,53.329532623291016
2014-03-18,53.7021369934082
2014-03-19,53.4105224609375
2014-03-20,53.596824645996094
2014-03-21,53.20804214477539
2014-03-24,52.04975128173828
2014-03-25,51.142574310302734
2014-03-26,50.18677520751953
2014-03-27,49.789894104003906
2014-03-28,50.24348831176758
2014-03-31,50.057186126708984
2014-04-01,51.18307113647461
2014-04-02,51.312652587890625
2014-04-03,50.72138595581055
2014-04-04,49.86278533935547
2014-04-07,48.96369934082031
2014-04-08,48.98800277709961
2014-04-09,50.51078796386719
2014-04-10,48.5830078125
2014-04-11,47.530029296875
2014-04-14,47.61912155151367
2014-04-15,47.92692947387695
2014-04-16,48.84220886230469
2014-04-17,49.11760330200195
2014-04-21,48.36431121826172
2014-04-22,48.41291809082031
2014-04-23,47.295135498046875
2014-04-24,47.19792938232422
2014-04-25,47.01973342895508
2014-04-28,46.185462951660156
2014-04-29,46.53373718261719
2014-04-30,46.78483581542969
2014-05-01,46.55804443359375
2014-05-02,46.355552673339844
2014-05-05,47.13313293457031
2014-05-06,45.999149322509766
2014-05-07,45.8857536315918
2014-05-08,46.98733139038086
2014-05-09,45.95865249633789
2014-05-12,46.493247985839844
2014-05-13,46.16923522949219
2014-05-14,45.310672760009766
2014-05-15,45.67515563964844
2014-05-16,46.19355392456055
2014-05-19,46.460853576660156
2014-05-20,46.242149353027344
2014-05-21,47.805416107177734
2014-05-22,48.02412414550781
2014-05-23,49.20669174194336
2014-05-27,48.971797943115234
2014-05-28,48.98800277709961
2014-05-29,48.72071075439453
2014-05-30,48.28331756591797
2014-06-02,48.85840606689453
2014-06-03,48.29141616821289
2014-06-04,48.469600677490234
2014-06-05,48.98800277709961
2014-06-06,49.093509674072266
2014-06-09,49.296417236328125
2014-06-10,49.612937927246094
2014-06-11,50.156707763671875
2014-06-12,49.41004180908203
2014-06-13,49.06105422973633
2014-06-16,49.263954162597656
2014-06-17,48.78510665893555
2014-06-18,49.694095611572266
2014-06-19,48.99611282348633
2014-06-20,47.91669845581055
2014-06-23,47.884239196777344
2014-06-24,47.754390716552734
2014-06-25,50.708587646484375
2014-06-26,50.31090545654297
2014-06-27,49.694095611572266
2014-06-30,50.43264389038086
2014-07-01,51.06568908691406
2014-07-02,52.18568801879883
2014-07-03,52.18568801879883
2014-07-07,51.62568283081055
2014-07-08,51.44713592529297
2014-07-09,51.885406494140625
2014-07-10,50.156707763671875
2014-07-11,49.79147720336914
2014-07-14,49.247703552246094
2014-07-15,48.2900276184082
2014-07-16,49.385684967041016
2014-07-17,50.018741607666016
2014-07-18,49.91322326660156
2014-07-21,49.04481887817383
2014-07-22,48.20886993408203
2014-07-23,47.859886169433594
2014-07-24,47.486541748046875
2014-07-25,46.8535041809082
2014-07-28,46.837257385253906
