,CFG
2014-09-24,16.226428985595703
2014-09-25,16.205333709716797
2014-09-26,16.3459415435791
2014-09-29,16.331892013549805
2014-09-30,16.465469360351562
2014-10-01,16.47951889038086
2014-10-02,16.40921974182129
2014-10-03,16.331892013549805
2014-10-06,15.917088508605955
2014-10-07,15.832720756530762
2014-10-08,15.994420051574709
2014-10-09,15.804594993591309
2014-10-10,15.663984298706056
2014-10-13,15.783507347106934
2014-10-14,15.783507347106934
2014-10-15,15.361676216125488
2014-10-16,15.326520919799805
2014-10-17,15.410884857177734
2014-10-20,15.734288215637209
2014-10-21,16.04363250732422
2014-10-22,15.888962745666504
2014-10-23,16.191272735595703
2014-10-24,16.296733856201172
2014-10-27,16.064720153808594
2014-10-28,16.36703872680664
2014-10-29,16.50764274597168
2014-10-30,16.47951889038086
2014-10-31,16.60607147216797
2014-11-03,16.873233795166016
2014-11-04,16.66143798828125
2014-11-05,16.87323570251465
2014-11-06,17.15562629699707
2014-11-07,16.922657012939453
2014-11-10,16.908533096313477
2014-11-11,16.90146827697754
2014-11-12,16.844995498657227
2014-11-13,16.816755294799805
2014-11-14,16.915597915649414
2014-11-17,16.943832397460938
2014-11-18,16.75322151184082
2014-11-19,16.746156692504883
2014-11-20,16.739091873168945
2014-11-21,16.781455993652344
2014-11-24,17.120332717895508
2014-11-25,16.965011596679688
2014-11-26,17.10620880126953
2014-11-28,17.388608932495117
2014-12-01,16.929710388183594
2014-12-02,17.085033416748047
2014-12-03,17.10620880126953
2014-12-04,17.22622299194336
2014-12-05,17.75572967529297
2014-12-08,17.678068161010742
2014-12-09,17.762788772583008
2014-12-10,17.40273094177246
2014-12-11,17.43096923828125
2014-12-12,17.268592834472656
2014-12-15,17.289766311645508
2014-12-16,17.120332717895508
2014-12-17,17.339189529418945
2014-12-18,17.706300735473633
2014-12-19,17.64982795715332
2014-12-22,17.720426559448242
2014-12-23,17.960464477539062
2014-12-24,18.009885787963867
2014-12-26,17.868684768676758
2014-12-29,17.91104507446289
2014-12-30,17.78396987915039
2014-12-31,17.550989151000977
2015-01-02,17.480379104614258
2015-01-05,17.07091522216797
2015-01-06,16.88030242919922
2015-01-07,16.943832397460938
2015-01-08,17.07091522216797
2015-01-09,16.86617088317871
2015-01-12,16.859111785888672
2015-01-13,16.852052688598633
2015-01-14,16.548473358154297
2015-01-15,16.209596633911133
2015-01-16,16.371984481811523
2015-01-20,16.308435440063477
2015-01-21,16.43552017211914
2015-01-22,17.042673110961914
2015-01-23,16.739091873168945
2015-01-26,17.007375717163086
2015-01-27,17.04973030090332
2015-01-28,16.844995498657227
2015-01-29,17.11327362060547
2015-01-30,16.87323570251465
2015-02-02,16.943832397460938
2015-02-03,17.220325469970703
2015-02-04,17.021814346313477
2015-02-05,17.26286506652832
2015-02-06,17.36920166015625
2015-02-09,17.199052810668945
2015-02-10,17.596065521240234
2015-02-11,17.702404022216797
2015-02-12,17.957626342773438
2015-02-13,18.042701721191406
2015-02-17,18.12068748474121
2015-02-18,17.87255096435547
2015-02-19,17.737857818603516
2015-02-20,17.90091323852539
2015-02-23,17.659870147705078
2015-02-24,17.674049377441406
2015-02-25,17.6953182220459
2015-02-26,17.617332458496094
2015-02-27,17.61024284362793
2015-03-02,17.617332458496094
2015-03-03,17.752033233642578
2015-03-04,17.65277862548828
2015-03-05,17.936359405517578
2015-03-06,18.078149795532227
2015-03-09,17.886728286743164
2015-03-10,17.72367286682129
2015-03-11,17.80166244506836
2015-03-12,18.071063995361328
2015-03-13,17.560619354248047
2015-03-16,17.94344711303711
2015-03-17,18.1490478515625
2015-03-18,17.858375549316406
2015-03-19,17.581880569458008
2015-03-20,17.581880569458008
2015-03-23,17.553524017333984
2015-03-24,17.241592407226562
2015-03-25,17.014720916748047
2015-03-26,17.099803924560547
2015-03-27,17.355016708374023
2015-03-30,17.241592407226562
2015-03-31,17.106889724731445
2015-04-01,17.269948959350586
2015-04-02,17.45427894592285
2015-04-06,17.546436309814453
2015-04-07,17.65277862548828
2015-04-08,17.72367286682129
2015-04-09,17.752033233642578
2015-04-10,17.80166244506836
2015-04-13,18.042701721191406
2015-04-14,17.82292938232422
2015-04-15,18.1490478515625
2015-04-16,18.071063995361328
2015-04-17,17.80875015258789
2015-04-20,17.80166244506836
2015-04-21,17.752033233642578
2015-04-22,18.071063995361328
2015-04-23,18.177406311035156
2015-04-24,18.127771377563477
2015-04-27,18.06397247314453
2015-04-28,18.27665901184082
2015-04-29,18.49641990661621
2015-04-30,18.46806526184082
2015-05-01,18.489416122436523
2015-05-04,18.71715927124023
2015-05-05,18.674449920654297
2015-05-06,18.396900177001953
2015-05-07,18.46806907653809
2015-05-08,18.368436813354492
2015-05-11,18.553470611572266
2015-05-12,18.61040687561035
2015-05-13,18.66734313964844
2015-05-14,18.845260620117188
2015-05-15,18.45383644104004
2015-05-18,18.71715927124023
2015-05-19,19.115697860717773
2015-05-20,19.037416458129883
2015-05-21,19.101465225219727
2015-05-22,19.15839576721191
2015-05-26,19.00182723999023
2015-05-27,19.05164909362793
2015-05-28,19.09434509277344
2015-05-29,19.101465225219727
2015-06-01,19.179750442504883
2015-06-02,19.35055160522461
2015-06-03,19.656578063964844
2015-06-04,19.74909210205078
2015-06-05,20.154748916625977
2015-06-08,19.955480575561523
2015-06-09,19.98394775390625
2015-06-10,19.9270076751709
2015-06-11,19.58540916442871
2015-06-12,19.599637985229492
2015-06-15,19.862958908081055
2015-06-16,20.104930877685547
2015-06-17,19.862958908081055
2015-06-18,19.976829528808594
2015-06-19,20.062232971191406
2015-06-22,20.11916160583496
2015-06-23,20.062232971191406
2015-06-24,19.96259498596191
2015-06-25,19.485769271850582
2015-06-26,19.599637985229492
2015-06-29,19.165515899658203
2015-06-30,19.43595314025879
2015-07-01,19.528474807739254
2015-07-02,19.32208251953125
2015-07-06,19.22244644165039
2015-07-07,19.030302047729492
2015-07-08,18.95912742614746
2015-07-09,19.20109748840332
2015-07-10,19.4288330078125
2015-07-13,19.393251419067383
2015-07-14,19.606754302978516
2015-07-15,19.784679412841797
2015-07-16,20.00529670715332
2015-07-17,19.862958908081055
2015-07-20,19.898548126220703
2015-07-21,19.01606178283691
2015-07-22,19.24380111694336
2015-07-23,18.823911666870117
2015-07-24,18.61040687561035
2015-07-27,18.460954666137695
2015-07-28,18.62463760375977
2015-07-29,18.503650665283203
2015-07-30,18.9251651763916
2015-07-31,18.62510681152344
2015-08-03,18.59653091430664
2015-08-04,18.76799774169922
2015-08-05,19.04661750793457
2015-08-06,19.039478302001953
2015-08-07,19.0751953125
2015-08-10,19.425268173217773
2015-08-11,19.175216674804688
2015-08-12,18.59653091430664
2015-08-13,18.71798515319824
2015-08-14,18.84657859802246
2015-08-17,18.77513885498047
2015-08-18,18.975173950195312
2015-08-19,18.760852813720703
2015-08-20,18.0964298248291
2015-08-21,17.553464889526367
2015-08-24,16.4532527923584
2015-08-25,16.503259658813477
2015-08-26,17.281984329223633
2015-08-27,17.489166259765625
2015-08-28,17.639196395874023
2015-08-31,17.732070922851562
2015-09-01,16.924768447875977
2015-09-02,17.239120483398438
2015-09-03,17.503456115722656
2015-09-04,17.210540771484375
2015-09-08,17.596328735351562
2015-09-09,17.432016372680664
2015-09-10,17.460590362548828
2015-09-11,17.374858856201172
2015-09-14,17.439159393310547
2015-09-15,17.882102966308594
2015-09-16,17.774938583374023
2015-09-17,17.174823760986328
2015-09-18,16.967639923095703
2015-09-21,17.074800491333008
2015-09-22,16.8604736328125
2015-09-23,16.674718856811523
2015-09-24,16.60327911376953
2015-09-25,16.867618560791016
2015-09-28,16.16747283935547
2015-09-29,16.5889892578125
2015-09-30,17.046222686767578
2015-10-01,16.789026260375977
2015-10-02,16.724735260009766
2015-10-05,16.946203231811523
2015-10-06,16.689014434814453
2015-10-07,16.74616050720215
2015-10-08,16.80331802368164
2015-10-09,16.760456085205078
2015-10-12,16.83189582824707
2015-10-13,16.760456085205078
2015-10-14,16.367515563964844
2015-10-15,16.80331802368164
2015-10-16,16.5889892578125
2015-10-19,16.596132278442383
2015-10-20,16.710439682006836
2015-10-21,16.553268432617188
2015-10-22,16.338945388793945
2015-10-23,17.303421020507812
2015-10-26,16.8604736328125
2015-10-27,16.810461044311523
2015-10-28,17.274839401245117
2015-10-29,17.224828720092773
2015-10-30,17.36056900024414
2015-11-02,17.467735290527344
2015-11-03,17.5179500579834
2015-11-04,17.596860885620117
2015-11-05,17.654247283935547
2015-11-06,18.457693099975582
2015-11-09,18.558124542236328
2015-11-10,18.651378631591797
2015-11-11,18.715944290161133
2015-11-12,18.299869537353516
2015-11-13,18.31421661376953
2015-11-16,18.42182350158691
2015-11-17,18.36443328857422
2015-11-18,18.79485511779785
2015-11-19,18.737462997436523
2015-11-20,18.665721893310547
2015-11-23,18.46486473083496
2015-11-24,18.74464225769043
2015-11-25,18.837894439697266
2015-11-27,18.931148529052734
2015-11-30,19.103315353393555
2015-12-01,19.01006126403809
2015-12-02,19.110490798950195
2015-12-03,18.98853302001953
2015-12-04,19.454830169677734
2015-12-07,19.017230987548828
2015-12-08,18.94549560546875
2015-12-09,18.723115921020508
2015-12-10,18.8665828704834
2015-12-11,18.371612548828125
2015-12-14,18.450519561767575
2015-12-15,19.038755416870117
2015-12-16,19.304176330566406
2015-12-17,18.99571418762207
2015-12-18,18.579647064208984
2015-12-21,18.67290687561035
2015-12-22,18.830718994140625
2015-12-23,19.02440643310547
2015-12-24,19.081802368164062
2015-12-28,18.94549560546875
2015-12-29,19.09614372253418
2015-12-30,18.8665828704834
2015-12-31,18.78767967224121
2016-01-04,18.507905960083008
2016-01-05,18.42182350158691
2016-01-06,18.13488006591797
2016-01-07,17.639896392822266
2016-01-08,17.08753204345703
2016-01-11,17.144916534423828
2016-01-12,17.144916534423828
2016-01-13,16.657121658325195
2016-01-14,16.427560806274414
2016-01-15,16.011493682861328
2016-01-19,15.946929931640623
2016-01-20,15.49499225616455
2016-01-21,15.30130386352539
2016-01-22,14.906753540039062
2016-01-25,14.196572303771973
2016-01-26,14.555253982543944
2016-01-27,15.21522045135498
2016-01-28,15.595423698425291
2016-01-29,15.243916511535645
2016-02-01,14.906753540039062
2016-02-02,14.567963600158691
2016-02-03,14.45263385772705
2016-02-04,14.582380294799805
2016-02-05,14.308464050292969
2016-02-08,13.839926719665527
2016-02-09,14.092214584350586
2016-02-10,13.594844818115234
2016-02-11,13.075850486755373
2016-02-12,13.616464614868164
2016-02-16,13.955259323120115
2016-02-17,14.164300918579102
2016-02-18,13.77505588531494
2016-02-19,13.86876106262207
2016-02-22,14.27242660522461
2016-02-23,13.962470054626465
2016-02-24,13.695760726928713
2016-02-25,13.825515747070312
2016-02-26,14.229169845581056
2016-02-29,13.861557006835938
2016-03-01,14.611221313476562
2016-03-02,15.10858917236328
2016-03-03,15.45458698272705
2016-03-04,15.807790756225586
2016-03-07,15.51946258544922
2016-03-08,15.079758644104004
2016-03-09,14.92117691040039
2016-03-10,15.14462947845459
2016-03-11,15.793375968933104
2016-03-14,15.92312717437744
2016-03-15,15.995209693908691
2016-03-16,15.577125549316406
2016-03-17,15.66362476348877
2016-03-18,15.915915489196776
2016-03-21,15.858254432678224
2016-03-22,15.807790756225586
2016-03-23,15.634791374206545
2016-03-24,15.562710762023926
2016-03-28,15.418545722961426
2016-03-29,15.28158950805664
2016-03-30,15.31762981414795
2016-03-31,15.1013822555542
2016-04-01,15.389710426330566
2016-04-04,15.505044937133787
2016-04-05,14.9644193649292
2016-04-06,15.382505416870115
2016-04-07,14.986050605773926
2016-04-08,15.04371452331543
2016-04-11,15.166255950927734
2016-04-12,15.505044937133787
2016-04-13,16.290752410888672
2016-04-14,16.4493350982666
2016-04-15,16.254701614379883
2016-04-18,16.37724494934082
2016-04-19,16.651165008544922
2016-04-20,16.838581085205078
2016-04-21,16.96112060546875
2016-04-22,17.025999069213867
2016-04-25,16.852996826171875
2016-04-26,16.975540161132812
2016-04-27,17.025999069213867
2016-04-28,16.752073287963867
2016-04-29,16.47095489501953
2016-05-02,16.710094451904297
2016-05-03,16.311534881591797
2016-05-04,15.934727668762209
2016-05-05,16.021684646606445
2016-05-06,16.00718879699707
2016-05-09,15.833277702331545
2016-05-10,16.202842712402344
2016-05-11,16.086898803710938
2016-05-12,15.768060684204102
2016-05-13,15.507190704345703
2016-05-16,15.731828689575195
2016-05-17,15.811538696289062
2016-05-18,16.76081085205078
2016-05-19,16.59414291381836
2016-05-20,16.652116775512695
2016-05-23,16.644868850708008
2016-05-24,16.847766876220703
2016-05-25,17.16660499572754
2016-05-26,16.920230865478516
2016-05-27,17.09414291381836
2016-05-31,17.065162658691406
2016-06-01,17.10138702392578
2016-06-02,17.268054962158203
2016-06-03,16.768056869506836
2016-06-06,17.007186889648438
2016-06-07,17.014434814453125
2016-06-08,16.99993896484375
2016-06-09,16.579652786254883
2016-06-10,16.275304794311523
2016-06-13,15.999939918518066
2016-06-14,15.441976547241213
2016-06-15,15.478205680847168
2016-06-16,15.173864364624023
2016-06-17,15.28980541229248
2016-06-20,15.441976547241213
2016-06-21,15.615885734558104
2016-06-22,15.48545265197754
2016-06-23,16.028934478759766
2016-06-24,14.456465721130373
2016-06-27,13.362275123596191
2016-06-28,13.746330261230469
2016-06-29,14.144879341125488
2016-06-30,14.478212356567385
2016-07-01,14.239079475402832
2016-07-05,13.695605278015137
2016-07-06,13.760821342468262
2016-07-07,14.07241439819336
2016-07-08,14.384005546569824
2016-07-11,14.579659461975098
2016-07-12,14.811542510986328
2016-07-13,14.898499488830566
2016-07-14,15.210089683532717
2016-07-15,15.202848434448242
2016-07-18,15.202848434448242
2016-07-19,15.239079475402832
2016-07-20,15.449219703674316
2016-07-21,15.710089683532717
2016-07-22,15.797042846679688
2016-07-25,15.963709831237791
2016-07-26,16.297040939331055
2016-07-27,16.362262725830078
2016-07-28,16.26805877685547
2016-07-29,16.18109703063965
2016-08-01,16.173816680908203
2016-08-02,16.064537048339844
2016-08-03,16.363239288330078
2016-08-04,16.472522735595703
2016-08-05,17.040794372558594
2016-08-08,17.08450698852539
2016-08-09,17.11363983154297
2016-08-10,16.93879508972168
2016-08-11,17.048072814941406
2016-08-12,16.953365325927734
2016-08-15,17.15007781982422
2016-08-16,17.040794372558594
2016-08-17,17.07721710205078
2016-08-18,17.040794372558594
2016-08-19,17.179218292236328
2016-08-22,17.12093162536621
2016-08-23,17.142786026000977
2016-08-24,17.11363983154297
2016-08-25,17.222929000854492
2016-08-26,17.572633743286133
2016-08-29,17.820337295532227
2016-08-30,18.01704978942871
2016-08-31,18.046192169189453
2016-09-01,17.864055633544922
2016-09-02,17.980621337890625
2016-09-06,17.703771591186523
2016-09-07,17.900480270385742
2016-09-08,18.15547752380371
2016-09-09,18.075334548950195
2016-09-12,18.26476287841797
2016-09-13,17.936912536621094
2016-09-14,17.776622772216797
2016-09-15,17.83491325378418
2016-09-16,17.55806541442871
2016-09-19,17.623628616333008
2016-09-20,17.609066009521484
2016-09-21,17.711057662963867
2016-09-22,17.66006088256836
2016-09-23,17.783910751342773
2016-09-26,17.456064224243164
2016-09-27,17.711057662963867
2016-09-28,17.783910751342773
2016-09-29,17.521636962890625
2016-09-30,18.002479553222656
2016-10-03,17.922338485717773
2016-10-04,18.206472396850582
2016-10-05,18.62903213500977
2016-10-06,18.716455459594727
2016-10-07,18.57802963256836
2016-10-10,18.607181549072266
2016-10-11,18.184616088867188
2016-10-12,18.395896911621097
2016-10-13,17.864055633544922
2016-10-14,18.06076431274414
2016-10-17,17.907766342163086
2016-10-18,18.104473114013672
2016-10-19,18.43231773376465
2016-10-20,18.61446189880371
2016-10-21,18.92045783996582
2016-10-24,19.197301864624023
2016-10-25,19.277441024780273
2016-10-26,19.57615089416504
2016-10-27,19.57615089416504
2016-10-28,19.197301864624023
2016-10-31,19.277812957763672
2016-11-01,19.643753051757812
2016-11-02,19.102155685424805
2016-11-03,19.226579666137695
2016-11-04,19.329038619995117
2016-11-07,20.01700782775879
2016-11-08,19.72426414489746
2016-11-09,20.639114379882812
2016-11-10,21.663745880126953
2016-11-11,21.846725463867188
2016-11-14,22.60055923461914
2016-11-15,22.644472122192383
2016-11-16,22.49077415466309
2016-11-17,23.22265625
2016-11-18,23.398313522338867
2016-11-21,23.36903953552246
2016-11-22,23.361713409423828
2016-11-23,23.71302032470703
2016-11-25,23.756935119628903
2016-11-28,23.25925636291504
2016-11-29,23.70570373535156
2016-11-30,24.52541160583496
2016-12-01,25.162155151367188
2016-12-02,24.993818283081055
2016-12-05,24.993818283081055
2016-12-06,25.396350860595703
2016-12-07,25.659826278686523
2016-12-08,26.011137008666992
2016-12-09,25.98917579650879
2016-12-12,25.62323570251465
2016-12-13,25.469541549682617
2016-12-14,25.34512710571289
2016-12-15,25.908668518066406
2016-12-16,25.85012435913086
2016-12-19,25.886720657348633
2016-12-20,26.406352996826172
2016-12-21,26.362436294555664
2016-12-22,26.347795486450195
2016-12-23,26.589326858520508
2016-12-27,26.68446922302246
2016-12-28,26.347795486450195
2016-12-29,25.820846557617188
2016-12-30,26.07699966430664
2017-01-03,26.24534034729004
2017-01-04,26.472217559814453
2017-01-05,26.14287567138672
2017-01-06,26.28193473815918
2017-01-09,26.113605499267575
2017-01-10,26.55272674560547
2017-01-11,26.54541015625
2017-01-12,26.28925323486328
2017-01-13,26.56004524230957
2017-01-17,24.97186279296875
2017-01-18,25.60860061645508
2017-01-19,25.41830825805664
2017-01-20,26.216064453125
2017-01-23,26.26729393005371
2017-01-24,26.56736946105957
2017-01-25,27.460264205932617
2017-01-26,27.47490501403809
2017-01-27,27.072364807128903
2017-01-30,26.735700607299805
2017-01-31,26.574073791503903
2017-02-01,26.809167861938477
2017-02-02,26.47855758666992
2017-02-03,27.029579162597656
