,SCHW
2014-01-02,22.666048049926758
2014-01-03,22.736282348632812
2014-01-06,22.657264709472656
2014-01-07,22.42024803161621
2014-01-08,22.68360710144043
2014-01-09,22.692380905151367
2014-01-10,22.52558708190918
2014-01-13,21.796974182128906
2014-01-14,22.464143753051758
2014-01-15,22.850400924682617
2014-01-16,23.52633285522461
2014-01-17,23.5000057220459
2014-01-21,23.52633285522461
2014-01-22,23.52633285522461
2014-01-23,22.94696044921875
2014-01-24,22.1832332611084
2014-01-27,21.788196563720703
2014-01-28,22.121784210205078
2014-01-29,21.647733688354492
2014-01-30,22.200796127319336
2014-01-31,21.788196563720703
2014-02-03,20.76112174987793
2014-02-04,21.182483673095703
2014-02-05,20.997678756713867
2014-02-06,21.508098602294922
2014-02-07,21.648900985717773
2014-02-10,21.789705276489258
2014-02-11,22.361730575561523
2014-02-12,22.50254249572754
2014-02-13,22.704944610595703
2014-02-14,22.39693260192871
2014-02-18,22.986555099487305
2014-02-19,22.493743896484375
2014-02-20,22.986555099487305
2014-02-21,23.1009578704834
2014-02-24,23.347375869750977
2014-02-25,23.10976219177246
2014-02-26,23.206571578979492
2014-02-27,23.250566482543945
2014-02-28,23.32976722717285
2014-03-03,22.757741928100586
2014-03-04,23.602582931518555
2014-03-05,23.699386596679688
2014-03-06,23.708194732666016
2014-03-07,23.760995864868164
2014-03-10,23.89299201965332
2014-03-11,23.628982543945312
2014-03-12,23.461780548095703
2014-03-13,23.188966751098633
2014-03-14,22.924951553344727
2014-03-17,23.32976722717285
2014-03-18,23.51458168029785
2014-03-19,24.27141571044922
2014-03-20,25.019439697265625
2014-03-21,25.107452392578125
2014-03-24,25.019439697265625
2014-03-25,24.491422653198242
2014-03-26,24.45621109008789
2014-03-27,23.90180015563965
2014-03-28,23.92819595336914
2014-03-31,24.05139923095703
2014-04-01,24.157007217407227
2014-04-02,24.55302619934082
2014-04-03,24.08660125732422
2014-04-04,22.924951553344727
2014-04-07,22.528940200805664
2014-04-08,22.590534210205078
2014-04-09,23.241775512695312
2014-04-10,22.124120712280273
2014-04-11,21.868915557861328
2014-04-14,22.26493263244629
2014-04-15,22.977764129638672
2014-04-16,23.62018585205078
2014-04-17,23.796188354492188
2014-04-21,23.910594940185547
2014-04-22,24.16580581665039
2014-04-23,23.972200393676758
2014-04-24,23.840192794799805
2014-04-25,23.628982543945312
2014-04-28,23.206571578979492
2014-04-29,23.39137077331543
2014-04-30,23.36497688293457
2014-05-01,23.39137077331543
2014-05-02,23.49698257446289
2014-05-05,23.39137077331543
2014-05-06,22.775346755981445
2014-05-07,23.11935806274414
2014-05-08,22.934125900268555
2014-05-09,23.25167465209961
2014-05-12,23.860313415527344
2014-05-13,23.383983612060547
2014-05-14,23.110546112060547
2014-05-15,22.052045822143555
2014-05-16,22.052045822143555
2014-05-19,22.06086540222168
2014-05-20,21.884445190429688
2014-05-21,22.290212631225586
2014-05-22,22.581295013427734
2014-05-23,22.625396728515625
2014-05-27,22.466615676879883
2014-05-28,22.307851791381836
2014-05-29,22.53718376159668
2014-05-30,22.237281799316406
2014-06-02,22.378416061401367
2014-06-03,22.201997756958008
2014-06-04,22.22846031188965
2014-06-05,22.625396728515625
2014-06-06,22.90765953063965
2014-06-09,23.331064224243164
2014-06-10,23.031158447265625
2014-06-11,22.969409942626953
2014-06-12,22.581295013427734
2014-06-13,22.942943572998047
2014-06-16,22.828271865844727
2014-06-17,24.08083152770996
2014-06-18,23.948514938354492
2014-06-19,23.948514938354492
2014-06-20,24.213146209716797
2014-06-23,24.063194274902344
2014-06-24,23.613327026367188
2014-06-25,23.886770248413086
2014-06-26,23.683895111083984
2014-06-27,23.939697265625
2014-06-30,23.754457473754883
2014-07-01,24.098464965820312
2014-07-02,24.169034957885742
2014-07-03,24.78649139404297
2014-07-07,24.63654136657715
2014-07-08,23.97498321533203
2014-07-09,23.89558982849121
2014-07-10,23.728002548217773
2014-07-11,23.904420852661133
2014-07-14,24.248428344726562
2014-07-15,24.19550132751465
2014-07-16,24.31017303466797
2014-07-17,23.913240432739258
2014-07-18,24.530689239501953
2014-07-21,24.477766036987305
2014-07-22,24.31899070739746
2014-07-23,24.301349639892578
2014-07-24,24.513044357299805
2014-07-25,24.257246017456055
2014-07-28,24.61890411376953
2014-07-29,24.627723693847656
2014-07-30,25.13932991027832
2014-07-31,24.477766036987305
2014-08-01,24.213146209716797
2014-08-04,24.424850463867188
2014-08-05,24.18667984008789
2014-08-06,24.35464096069336
2014-08-07,23.99220085144043
2014-08-08,24.469566345214844
2014-08-11,24.49608612060547
2014-08-12,24.398836135864258
2014-08-13,24.390003204345703
2014-08-14,24.42536163330078
2014-08-15,24.107120513916016
2014-08-18,24.628686904907227
2014-08-19,24.602170944213867
2014-08-20,25.061857223510742
2014-08-21,25.132577896118164
2014-08-22,25.25633430480957
2014-08-25,25.56574249267578
2014-08-26,25.495023727416992
2014-08-27,25.167938232421875
2014-08-28,25.061857223510742
2014-08-29,25.20330238342285
2014-09-02,25.380102157592773
2014-09-03,24.911575317382812
2014-09-04,25.159095764160156
2014-09-05,25.318222045898438
2014-09-08,25.512704849243164
2014-09-09,25.35358428955078
2014-09-10,25.9105167388916
2014-09-11,25.8486328125
2014-09-12,26.096160888671875
2014-09-15,25.866308212280273
2014-09-16,25.990066528320312
2014-09-17,26.697288513183594
2014-09-18,27.21002197265625
2014-09-19,26.847570419311523
2014-09-22,26.67960548400879
2014-09-23,26.423242568969727
2014-09-24,26.47628402709961
2014-09-25,26.096160888671875
2014-09-26,26.45860481262207
2014-09-29,26.290639877319336
2014-09-30,25.981237411499023
2014-10-01,25.450828552246094
2014-10-02,25.6806640625
2014-10-03,26.14035415649414
2014-10-06,26.25528335571289
2014-10-07,25.17677879333496
2014-10-08,25.397777557373047
2014-10-09,23.983362197875977
2014-10-10,23.187742233276367
2014-10-13,22.250688552856445
2014-10-14,22.347930908203125
2014-10-15,22.383289337158203
2014-10-16,22.54240608215332
2014-10-17,22.842979431152344
2014-10-20,22.736888885498047
2014-10-21,23.417585372924805
2014-10-22,22.993255615234375
2014-10-23,23.45294761657715
2014-10-24,23.594392776489258
2014-10-27,23.346866607666016
2014-10-28,23.9479923248291
2014-10-29,24.42536163330078
2014-10-30,24.531444549560547
2014-10-31,25.344743728637695
2014-11-03,25.141414642333984
2014-11-04,25.24750328063965
2014-11-05,25.495546340942383
2014-11-06,25.725872039794922
2014-11-07,25.31836700439453
2014-11-10,25.619564056396484
2014-11-11,25.55756187438965
2014-11-12,25.495546340942383
2014-11-13,25.504411697387695
2014-11-14,25.57527732849121
2014-11-17,25.29179573059082
2014-11-18,25.477825164794922
2014-11-19,25.26521873474121
2014-11-20,25.105758666992188
2014-11-21,25.052614212036133
2014-11-24,25.176631927490234
2014-11-25,25.132333755493164
2014-11-26,25.07032012939453
2014-11-28,25.088037490844727
2014-12-01,24.503358840942383
2014-12-02,25.052614212036133
2014-12-03,25.71701431274414
2014-12-04,25.699298858642578
2014-12-05,26.54974365234375
2014-12-08,26.62061309814453
2014-12-09,26.780067443847656
2014-12-10,26.151100158691406
2014-12-11,26.292837142944336
2014-12-12,25.468971252441406
2014-12-15,25.460107803344727
2014-12-16,24.91086769104004
2014-12-17,25.858753204345703
2014-12-18,26.585176467895508
2014-12-19,26.48773193359375
2014-12-22,26.629467010498047
2014-12-23,27.160995483398438
2014-12-24,27.169851303100586
2014-12-26,27.04582977294922
2014-12-29,27.07240867614746
2014-12-30,26.886369705200195
2014-12-31,26.744638442993164
2015-01-02,26.771202087402344
2015-01-05,25.876476287841797
2015-01-06,24.928586959838867
2015-01-07,25.415821075439453
2015-01-08,26.08022117614746
2015-01-09,25.203205108642578
2015-01-12,24.955169677734375
2015-01-13,24.972871780395508
2015-01-14,24.122440338134766
2015-01-15,23.626344680786133
2015-01-16,23.83009910583496
2015-01-20,23.697214126586914
2015-01-21,23.652923583984375
2015-01-22,24.4945011138916
2015-01-23,24.08700180053711
2015-01-26,24.23760223388672
2015-01-27,23.750370025634766
2015-01-28,22.99736785888672
2015-01-29,23.316287994384766
2015-01-30,23.015092849731445
2015-02-02,23.564332962036133
2015-02-03,24.46792984008789
2015-02-04,24.459070205688477
2015-02-05,24.787561416625977
2015-02-06,25.844045639038086
2015-02-09,25.559947967529297
2015-02-10,25.91507339477539
2015-02-11,25.790775299072266
2015-02-12,26.598684310913086
2015-02-13,25.861797332763672
2015-02-17,26.403366088867188
2015-02-18,25.8262882232666
2015-02-19,25.994977951049805
2015-02-20,26.323461532592773
2015-02-23,26.199172973632812
2015-02-24,26.474388122558594
2015-02-25,26.385602951049805
2015-02-26,26.518781661987305
2015-02-27,26.048242568969727
2015-03-02,26.78512191772461
2015-03-03,26.589805603027344
2015-03-04,26.518781661987305
2015-03-05,26.82063102722168
2015-03-06,27.557514190673828
2015-03-09,27.504247665405273
2015-03-10,26.90941047668457
2015-03-11,27.23790740966797
2015-03-12,27.566394805908203
2015-03-13,26.936054229736328
2015-03-16,27.3355655670166
2015-03-17,27.433212280273438
2015-03-18,26.429996490478516
2015-03-19,26.11927604675293
2015-03-20,26.64307975769043
2015-03-23,26.554292678833008
2015-03-24,26.44776153564453
2015-03-25,25.932823181152344
2015-03-26,26.438880920410156
2015-03-27,26.83838653564453
2015-03-30,26.953807830810547
2015-03-31,27.024829864501953
2015-04-01,26.572046279907227
2015-04-02,26.64307975769043
2015-04-06,26.607559204101562
2015-04-07,26.429996490478516
2015-04-08,26.78512191772461
2015-04-09,27.166879653930664
2015-04-10,27.255653381347656
2015-04-13,27.450977325439453
2015-04-14,27.033706665039062
2015-04-15,27.104734420776367
2015-04-16,27.095849990844727
2015-04-17,26.856143951416016
2015-04-20,26.740732192993164
2015-04-21,26.776241302490234
2015-04-22,27.042587280273438
2015-04-23,27.078100204467773
2015-04-24,26.740732192993164
2015-04-27,26.714096069335938
2015-04-28,27.06922149658203
2015-04-29,27.35331916809082
2015-04-30,27.078100204467773
2015-05-01,27.264543533325195
2015-05-04,27.859365463256836
2015-05-05,27.752832412719727
2015-05-06,27.59272003173828
2015-05-07,27.726144790649414
2015-05-08,27.823989868164062
2015-05-11,28.500022888183594
2015-05-12,28.259849548339844
2015-05-13,28.197589874267578
2015-05-14,28.295434951782227
2015-05-15,27.7617244720459
2015-05-18,28.33991813659668
2015-05-19,28.233169555664062
2015-05-20,28.162010192871094
2015-05-21,28.001895904541016
2015-05-22,27.93963050842285
2015-05-26,27.823989868164062
2015-05-27,28.250953674316406
2015-05-28,28.375486373901367
2015-05-29,28.15311622619629
2015-06-01,27.966318130493164
2015-06-02,28.135326385498047
2015-06-03,28.722396850585938
2015-06-04,28.695720672607422
2015-06-05,29.558542251586914
2015-06-08,29.371749877929688
2015-06-09,29.371749877929688
2015-06-10,29.7364444732666
2015-06-11,29.700870513916016
2015-06-12,29.67418098449707
2015-06-15,29.39842987060547
2015-06-16,29.56744384765625
2015-06-17,29.416221618652344
2015-06-18,29.416221618652344
2015-06-19,29.060415267944336
2015-06-22,29.68307113647461
2015-06-23,29.78092384338379
2015-06-24,29.416221618652344
2015-06-25,29.576337814331055
2015-06-26,29.825387954711914
2015-06-29,28.695720672607422
2015-06-30,29.04262351989746
2015-07-01,29.4606990814209
2015-07-02,29.220537185668945
2015-07-06,28.909208297729492
2015-07-07,28.81135368347168
2015-07-08,28.046367645263672
2015-07-09,28.624557495117188
2015-07-10,29.202743530273438
2015-07-13,29.772029876708984
2015-07-14,30.038877487182617
2015-07-15,29.93214225769043
2015-07-16,30.919496536254883
2015-07-17,30.946182250976562
2015-07-20,31.124094009399414
2015-07-21,31.07071876525879
2015-07-22,31.35537338256836
2015-07-23,31.097396850585938
2015-07-24,30.96398162841797
2015-07-27,30.31463623046875
2015-07-28,30.67043113708496
2015-07-29,30.972864151000977
2015-07-30,31.301998138427734
2015-07-31,31.026241302490234
2015-08-03,30.86612892150879
2015-08-04,31.31977653503418
2015-08-05,31.524721145629883
2015-08-06,31.275224685668945
2015-08-07,31.212858200073242
2015-08-10,31.560352325439453
2015-08-11,30.954448699951172
2015-08-12,30.161439895629883
2015-08-13,30.34856414794922
2015-08-14,30.589130401611328
2015-08-17,30.330726623535156
2015-08-18,30.22380828857422
2015-08-19,29.493160247802734
2015-08-20,28.682323455810547
2015-08-21,27.559627532958984
2015-08-24,26.33000373840332
2015-08-25,25.661724090576172
2015-08-26,26.499296188354492
2015-08-27,27.051738739013672
2015-08-28,27.35468864440918
2015-08-31,27.06955337524414
2015-09-01,25.92012596130371
2015-09-02,26.196346282958984
2015-09-03,26.517122268676758
2015-09-04,25.929039001464844
2015-09-08,27.711105346679688
2015-09-09,27.247766494750977
2015-09-10,27.265581130981445
2015-09-11,27.167573928833008
2015-09-14,26.935897827148438
2015-09-15,27.461618423461914
2015-09-16,27.720012664794922
2015-09-17,26.534936904907227
2015-09-18,25.349864959716797
2015-09-21,25.88448143005371
2015-09-22,25.242938995361328
2015-09-23,25.376596450805664
2015-09-24,24.841978073120117
2015-09-25,25.323139190673828
2015-09-28,24.307355880737305
2015-09-29,24.574668884277344
2015-09-30,25.447879791259766
2015-10-01,25.43897247314453
2015-10-02,24.59248161315918
2015-10-05,25.278583526611328
2015-10-06,24.645954132080078
2015-10-07,25.064735412597656
2015-10-08,25.242938995361328
2015-10-09,25.144927978515625
2015-10-12,25.29640769958496
2015-10-13,25.029094696044922
2015-10-14,24.752880096435547
2015-10-15,25.483522415161133
2015-10-16,25.55480194091797
2015-10-19,25.394426345825195
2015-10-20,26.15179443359375
2015-10-21,25.715190887451172
2015-10-22,26.24089241027832
2015-10-23,27.11410903930664
2015-10-26,27.13193130493164
2015-10-27,26.597309112548828
2015-10-28,27.56853675842285
2015-10-29,27.621994018554688
2015-10-30,27.194299697875977
2015-11-02,27.951684951782227
2015-11-03,28.058603286743164
2015-11-04,28.067527770996094
2015-11-05,28.18358612060547
2015-11-06,29.91548728942871
2015-11-09,29.897626876831055
2015-11-10,29.75480079650879
2015-11-11,29.933332443237305
2015-11-12,29.272724151611328
2015-11-13,28.844207763671875
2015-11-16,29.094173431396484
2015-11-17,29.29056739807129
2015-11-18,29.817289352416992
2015-11-19,29.49591064453125
2015-11-20,29.76372528076172
2015-11-23,29.719085693359375
2015-11-24,29.906558990478516
2015-11-25,30.07618522644043
2015-11-27,30.120820999145508
2015-11-30,30.09403419494629
2015-12-01,30.37077522277832
2015-12-02,29.986907958984375
2015-12-03,29.44233512878418
2015-12-04,30.8082218170166
2015-12-07,30.42435073852539
2015-12-08,30.227951049804688
2015-12-09,29.43341636657715
2015-12-10,29.692302703857422
2015-12-11,28.36212921142578
2015-12-14,28.790645599365234
2015-12-15,29.62088966369629
2015-12-16,30.183311462402344
2015-12-17,29.647666931152344
2015-12-18,28.48711585998535
2015-12-21,28.75493812561035
2015-12-22,29.370920181274414
2015-12-23,29.513763427734375
2015-12-24,29.504833221435547
2015-12-28,29.558393478393555
2015-12-29,29.96013069152832
2015-12-30,29.68337631225586
2015-12-31,29.397706985473633
2016-01-04,28.549610137939453
2016-01-05,28.460330963134766
2016-01-06,27.487255096435547
2016-01-07,26.04995346069336
2016-01-08,25.889263153076172
2016-01-11,25.657150268554688
2016-01-12,26.103513717651367
2016-01-13,24.737638473510742
2016-01-14,25.103654861450195
2016-01-15,24.12165641784668
2016-01-19,23.666357040405273
2016-01-20,22.55937385559082
2016-01-21,21.764827728271484
2016-01-22,23.05929946899414
2016-01-25,22.4700984954834
2016-01-26,22.720060348510742
2016-01-27,22.5415096282959
2016-01-28,22.157638549804688
2016-01-29,22.791481018066406
2016-02-01,22.568294525146484
2016-02-02,21.5237979888916
2016-02-03,21.764827728271484
2016-02-04,22.291545867919922
2016-02-05,21.746980667114258
2016-02-08,21.077430725097656
2016-02-09,20.83639144897461
2016-02-10,20.31726837158203
2016-02-11,19.88765525817871
2016-02-12,20.4246768951416
2016-02-16,21.104902267456055
2016-02-17,21.910432815551758
2016-02-18,21.624021530151367
2016-02-19,21.874631881713867
2016-02-22,21.96413230895996
2016-02-23,21.5971622467041
2016-02-24,21.194408416748047
2016-02-25,21.561365127563477
2016-02-26,22.787565231323242
2016-02-29,22.420602798461914
2016-03-01,23.61994743347168
2016-03-02,23.933210372924805
2016-03-03,24.264373779296875
2016-03-04,24.300174713134766
2016-03-07,24.640281677246094
2016-03-08,23.87055778503418
2016-03-09,23.763154983520508
2016-03-10,23.84370994567871
2016-03-11,25.239961624145508
2016-03-14,24.917747497558594
2016-03-15,24.82823944091797
2016-03-16,24.094314575195312
2016-03-17,24.765588760375977
2016-03-18,25.39211654663086
2016-03-21,25.311569213867188
2016-03-22,25.427913665771484
2016-03-23,25.08780288696289
2016-03-24,25.141504287719727
2016-03-28,25.141504287719727
2016-03-29,25.078857421875
2016-03-30,25.21311378479004
2016-03-31,25.078857421875
2016-04-01,25.401063919067383
2016-04-04,25.052003860473633
2016-04-05,24.51498031616211
2016-04-06,24.908794403076172
2016-04-07,23.61994743347168
2016-04-08,23.816850662231445
2016-04-11,24.201717376708984
2016-04-12,24.568687438964844
2016-04-13,25.61587142944336
2016-04-14,25.723276138305664
2016-04-15,25.535324096679688
2016-04-18,25.82172966003418
2016-04-19,25.75012969970703
2016-04-20,26.036542892456055
2016-04-21,26.07234001159668
2016-04-22,26.600406646728516
