,KEY
2014-01-02,8.886296272277832
2014-01-03,8.906353950500488
2014-01-06,8.986592292785645
2014-01-07,9.053454399108887
2014-01-08,9.113631248474121
2014-01-09,9.200557708740234
2014-01-10,9.113631248474121
2014-01-13,9.0066499710083
2014-01-14,9.073514938354492
2014-01-15,9.147067070007324
2014-01-16,9.046770095825195
2014-01-17,9.053454399108887
2014-01-21,9.367718696594238
2014-01-22,9.454647064208984
2014-01-23,9.147067070007324
2014-01-24,8.645584106445312
2014-01-27,8.598775863647461
2014-01-28,8.665642738342285
2014-01-29,8.605463981628418
2014-01-30,8.672329902648926
2014-01-31,8.531913757324219
2014-02-03,8.231022834777832
2014-02-04,8.344687461853027
2014-02-05,8.27782917022705
2014-02-06,8.45836067199707
2014-02-07,8.518539428710938
2014-02-10,8.471736907958984
2014-02-11,8.56534481048584
2014-02-12,8.632206916809082
2014-02-13,8.61214542388916
2014-02-14,8.638894081115723
2014-02-18,8.638894081115723
2014-02-19,8.451674461364746
2014-02-20,8.531913757324219
2014-02-21,8.592089653015137
2014-02-24,8.672329902648926
2014-02-25,8.625523567199707
2014-02-26,8.699075698852539
2014-02-27,8.699075698852539
2014-02-28,8.843441009521484
2014-03-03,8.756150245666504
2014-03-04,9.004598617553711
2014-03-05,8.971024513244629
2014-03-06,9.159040451049805
2014-03-07,9.333627700805664
2014-03-10,9.387345314025879
2014-03-11,9.253046035766602
2014-03-12,9.246335983276367
2014-03-13,9.226189613342285
2014-03-14,9.259759902954102
2014-03-17,9.36720085144043
2014-03-18,9.380629539489746
2014-03-19,9.535070419311523
2014-03-20,9.689509391784668
2014-03-21,9.642511367797852
2014-03-24,9.575358390808105
2014-03-25,9.669367790222168
2014-03-26,9.54178524017334
2014-03-27,9.387345314025879
2014-03-28,9.494782447814941
2014-03-31,9.561929702758789
2014-04-01,9.649222373962402
2014-04-02,9.62907886505127
2014-04-03,9.70294189453125
2014-04-04,9.54178524017334
2014-04-07,9.320196151733398
2014-04-08,9.36048412322998
2014-04-09,9.407489776611328
2014-04-10,9.065032958984375
2014-04-11,8.850157737731934
2014-04-14,8.937451362609863
2014-04-15,9.03145694732666
