,TFC
2014-01-02,24.516319274902344
2014-01-03,24.623001098632812
2014-01-06,24.95636749267578
2014-01-07,25.356414794921875
2014-01-08,25.429759979248047
2014-01-09,25.603103637695312
2014-01-10,25.776464462280273
2014-01-13,25.696456909179688
2014-01-14,25.629783630371094
2014-01-15,25.856477737426758
2014-01-16,25.82313346862793
2014-01-17,25.856477737426758
2014-01-21,26.209854125976562
2014-01-22,26.176517486572266
2014-01-23,25.843137741088867
2014-01-24,25.509767532348633
2014-01-27,25.196393966674805
2014-01-28,25.256404876708984
2014-01-29,24.923032760620117
2014-01-30,25.24973487854004
2014-01-31,24.94303321838379
2014-02-03,24.276281356811523
2014-02-04,24.516319274902344
2014-02-05,24.43630599975586
2014-02-06,24.729673385620117
2014-02-07,24.863019943237305
2014-02-10,25.036373138427734
2014-02-11,25.083053588867188
2014-02-12,24.982418060302734
2014-02-13,25.109888076782227
2014-02-14,25.22392463684082
2014-02-18,25.19710350036621
2014-02-19,24.693950653076172
2014-02-20,24.942171096801758
2014-02-21,24.969003677368164
2014-02-24,25.29100799560547
2014-02-25,25.190383911132812
2014-02-26,25.364805221557617
2014-02-27,25.163551330566406
2014-02-28,25.358097076416016
2014-03-03,25.083051681518555
2014-03-04,25.452011108398438
2014-03-05,25.753902435302734
2014-03-06,26.008827209472656
2014-03-07,26.28386688232422
2014-03-10,26.317405700683594
2014-03-11,26.156421661376953
2014-03-12,26.176538467407227
2014-03-13,25.88807487487793
2014-03-14,25.807567596435547
2014-03-17,26.069198608398438
2014-03-18,26.2033634185791
2014-03-19,26.29057502746582
2014-03-20,26.68637466430664
2014-03-21,26.961421966552734
2014-03-24,26.9547119140625
2014-03-25,27.35051918029785
2014-03-26,27.189512252807617
2014-03-27,26.626005172729492
2014-03-28,26.719924926757812
2014-03-31,26.94800567626953
2014-04-01,27.129140853881836
2014-04-02,27.310270309448242
2014-04-03,27.229772567749023
2014-04-04,26.860797882080078
2014-04-07,26.55891990661621
2014-04-08,26.55891990661621
2014-04-09,26.726627349853516
2014-04-10,26.089323043823242
2014-04-11,25.928327560424805
2014-04-14,26.055776596069336
2014-04-15,26.263744354248047
2014-04-16,26.391202926635742
2014-04-17,25.445314407348633
2014-04-21,25.358097076416016
2014-04-22,25.566059112548828
2014-04-23,25.52581787109375
2014-04-24,25.364805221557617
2014-04-25,25.042795181274414
2014-04-28,24.928756713867188
2014-04-29,24.975711822509766
2014-04-30,25.042795181274414
2014-05-01,24.982418060302734
2014-05-02,25.083051681518555
2014-05-05,25.156843185424805
2014-05-06,24.78786849975586
2014-05-07,25.01596450805664
2014-05-08,25.042795181274414
2014-05-09,25.230642318725586
2014-05-12,25.61972427368164
2014-05-13,25.425182342529297
2014-05-14,25.114633560180664
2014-05-15,24.851327896118164
2014-05-16,24.864831924438477
2014-05-19,25.14162826538086
2014-05-20,25.040361404418945
2014-05-21,25.229393005371094
2014-05-22,25.27665901184082
2014-05-23,25.472436904907227
2014-05-27,25.63447380065918
2014-05-28,25.74249267578125
2014-05-29,25.58045768737793
2014-05-30,25.600723266601562
2014-06-02,25.708728790283203
2014-06-03,25.762739181518555
2014-06-04,25.75599479675293
2014-06-05,25.911270141601562
2014-06-06,26.12055206298828
2014-06-09,26.397367477416992
2014-06-10,26.390613555908203
2014-06-11,26.2825870513916
2014-06-12,25.951780319213867
2014-06-13,25.91802215576172
2014-06-16,25.789745330810547
2014-06-17,26.005786895751953
2014-06-18,26.242082595825195
2014-06-19,26.215072631835938
2014-06-20,26.458120346069336
2014-06-23,26.50538444519043
2014-06-24,26.377113342285156
2014-06-25,26.410865783691406
2014-06-26,26.34336280822754
2014-06-27,26.5256290435791
2014-06-30,26.620155334472656
2014-07-01,26.829444885253906
2014-07-02,26.7686824798584
2014-07-03,26.991470336914062
2014-07-07,26.991470336914062
2014-07-08,26.728174209594727
2014-07-09,26.782182693481445
2014-07-10,26.734922409057617
2014-07-11,26.795686721801758
2014-07-14,26.714672088623047
2014-07-15,27.05898094177246
2014-07-16,26.748424530029297
2014-07-17,25.85050392150879
2014-07-18,26.2623348236084
2014-07-21,25.2023868560791
2014-07-22,25.31040382385254
2014-07-23,25.34416961669922
2014-07-24,25.53318977355957
2014-07-25,25.593965530395508
2014-07-28,25.384672164916992
2014-07-29,25.263151168823242
2014-07-30,25.411685943603516
2014-07-31,24.993099212646484
2014-08-01,24.777069091796875
2014-08-04,24.87158203125
2014-08-05,24.6082820892334
2014-08-06,24.655851364135742
2014-08-07,24.438385009765625
2014-08-08,24.547109603881836
2014-08-11,24.601482391357422
2014-08-12,24.53352165222168
2014-08-13,24.68984031677246
2014-08-14,24.696626663208008
2014-08-15,24.58108901977539
2014-08-18,24.914100646972656
2014-08-19,24.96846580505371
2014-08-20,25.002445220947266
2014-08-21,25.226709365844727
2014-08-22,25.17234992980957
2014-08-25,25.41699981689453
2014-08-26,25.484966278076172
2014-08-27,25.267492294311523
2014-08-28,25.267492294311523
2014-08-29,25.369430541992188
2014-09-02,25.505353927612305
2014-09-03,25.505353927612305
2014-09-04,25.600500106811523
2014-09-05,25.539335250854492
2014-09-08,25.484966278076172
2014-09-09,25.328657150268555
2014-09-10,25.709226608276367
2014-09-11,25.790781021118164
2014-09-12,25.933494567871094
2014-09-15,25.85875129699707
2014-09-16,25.879127502441406
2014-09-17,25.994659423828125
2014-09-18,26.25292205810547
2014-09-19,26.24612045288086
2014-09-22,26.028644561767578
2014-09-23,25.716032028198242
2014-09-24,25.68204689025879
2014-09-25,25.274288177490234
2014-09-26,25.505353927612305
2014-09-29,25.3558406829834
2014-09-30,25.287878036499023
2014-10-01,25.233505249023438
2014-10-02,25.37623405456543
2014-10-03,25.559722900390625
2014-10-06,25.61408805847168
2014-10-07,25.39661407470703
2014-10-08,25.750009536743164
2014-10-09,25.321863174438477
2014-10-10,25.206331253051758
2014-10-13,25.179140090942383
2014-10-14,25.335451126098633
2014-10-15,24.438385009765625
2014-10-16,24.118972778320312
2014-10-17,23.921886444091797
2014-10-20,24.037418365478516
2014-10-21,24.513137817382812
2014-10-22,24.560707092285156
2014-10-23,24.628673553466797
2014-10-24,24.914100646972656
2014-10-27,24.982065200805664
2014-10-28,25.315065383911133
2014-10-29,25.539335250854492
2014-10-30,25.471372604370117
2014-10-31,25.743209838867188
2014-11-03,25.750009536743164
2014-11-04,25.770401000976562
2014-11-05,25.927698135375977
2014-11-06,26.167078018188477
2014-11-07,26.112363815307617
2014-11-10,26.290178298950195
2014-11-11,26.214950561523438
2014-11-12,25.76355743408203
2014-11-13,25.702001571655273
2014-11-14,25.599414825439453
2014-11-17,25.537866592407227
2014-11-18,25.606250762939453
2014-11-19,25.702001571655273
2014-11-20,25.804588317871094
2014-11-21,25.65412139892578
2014-11-24,26.037128448486328
2014-11-25,26.002925872802734
2014-11-26,25.920867919921875
