,STX
2014-01-02,33.04795837402344
2014-01-03,33.88890838623047
2014-01-06,33.966453552246094
2014-01-07,35.06984329223633
2014-01-08,35.564876556396484
2014-01-09,34.598655700683594
2014-01-10,34.8253059387207
2014-01-13,34.914772033691406
2014-01-14,35.982364654541016
2014-01-15,36.28654479980469
2014-01-16,36.17919158935547
2014-01-17,36.50126266479492
2014-01-21,36.525123596191406
2014-01-22,36.3819694519043
2014-01-23,36.22690200805664
2014-01-24,34.93265151977539
2014-01-27,34.622520446777344
2014-01-28,30.727863311767578
2014-01-29,31.998252868652344
2014-01-30,31.670202255249023
2014-01-31,31.527074813842773
2014-02-03,30.471391677856445
2014-02-04,29.81532096862793
2014-02-05,29.290468215942383
2014-02-06,29.59734344482422
2014-02-07,29.795896530151367
2014-02-10,30.018516540527344
2014-02-11,29.705646514892578
2014-02-12,29.6093692779541
2014-02-13,29.844030380249023
2014-02-14,30.168947219848633
2014-02-18,29.910221099853516
2014-02-19,29.501068115234375
2014-02-20,30.096738815307617
2014-02-21,30.535974502563477
2014-02-24,30.78268051147461
2014-02-25,30.499876022338867
2014-02-26,31.125627517700195
2014-02-27,31.239971160888672
2014-02-28,31.40241241455078
2014-03-03,31.46259307861328
2014-03-04,31.998090744018555
2014-03-05,31.625041961669922
2014-03-06,30.14487648010254
2014-03-07,29.65750503540039
2014-03-10,30.168947219848633
2014-03-11,30.01250457763672
2014-03-12,30.535974502563477
2014-03-13,29.946313858032227
2014-03-14,30.174970626831055
2014-03-17,30.51793670654297
2014-03-18,31.245981216430664
2014-03-19,31.08953857421875
2014-03-20,31.9499568939209
2014-03-21,32.18461608886719
2014-03-24,31.889799118041992
2014-03-25,33.171390533447266
2014-03-26,33.42409896850586
2014-03-27,32.97886276245117
2014-03-28,33.0450553894043
2014-03-31,33.79114532470703
2014-04-01,34.296573638916016
2014-04-02,34.39283752441406
2014-04-03,34.531227111816406
2014-04-04,33.730979919433594
2014-04-07,33.0691032409668
2014-04-08,33.418094635009766
2014-04-09,33.50835418701172
2014-04-10,32.461395263671875
2014-04-11,32.12445068359375
2014-04-14,32.9848747253418
2014-04-15,33.02098083496094
2014-04-16,33.49631881713867
2014-04-17,33.43614196777344
2014-04-21,33.50835418701172
2014-04-22,33.49631881713867
2014-04-23,32.557674407958984
2014-04-24,32.45538330078125
2014-04-25,31.721309661865234
2014-04-28,31.649105072021484
2014-04-29,32.18461608886719
2014-04-30,31.637081146240234
2014-05-01,30.535974502563477
2014-05-02,30.71047019958496
2014-05-05,30.391569137573242
2014-05-06,30.241159439086914
2014-05-07,30.07868194580078
2014-05-08,29.65148162841797
2014-05-09,29.813941955566406
2014-05-12,30.21453857421875
2014-05-13,30.80936050415039
2014-05-14,31.106773376464844
2014-05-15,30.88826560974121
2014-05-16,31.070356369018555
2014-05-19,31.392044067382812
2014-05-20,30.876134872436523
2014-05-21,31.058212280273438
2014-05-22,31.32527732849121
2014-05-23,31.531654357910156
2014-05-27,32.38746643066406
2014-05-28,32.24179458618164
2014-05-29,32.20536804199219
2014-05-30,32.612037658691406
2014-06-02,32.66667556762695
2014-06-03,32.50279235839844
2014-06-04,32.551334381103516
2014-06-05,32.99441909790039
2014-06-06,33.68635177612305
2014-06-09,33.170440673828125
2014-06-10,33.09760284423828
2014-06-11,33.07939529418945
2014-06-12,32.909454345703125
2014-06-13,33.601383209228516
2014-06-16,33.935211181640625
2014-06-17,34.487548828125
2014-06-18,34.669639587402344
2014-06-19,34.341880798339844
2014-06-20,34.15372085571289
2014-06-23,33.95948791503906
2014-06-24,33.98377227783203
2014-06-25,34.45720291137695
2014-06-26,34.42079162597656
2014-06-27,34.548240661621094
2014-06-30,34.487548828125
2014-07-01,35.737892150878906
2014-07-02,35.82893371582031
2014-07-03,35.968536376953125
2014-07-07,35.786441802978516
2014-07-08,35.62256622314453
2014-07-09,35.4951057434082
2014-07-10,35.70755386352539
2014-07-11,36.0838737487793
2014-07-14,36.217376708984375
2014-07-15,36.22953796386719
2014-07-16,37.212806701660156
2014-07-17,36.10813522338867
2014-07-18,35.683258056640625
2014-07-21,35.55580520629883
2014-07-22,35.95638656616211
2014-07-23,35.92604446411133
2014-07-24,36.162757873535156
2014-07-25,36.11420822143555
2014-07-28,35.88964080810547
2014-07-29,36.04743957519531
2014-07-30,36.472312927246094
2014-07-31,35.56793212890625
2014-08-01,35.3190803527832
2014-08-04,35.628631591796875
2014-08-05,34.827449798583984
2014-08-06,34.82133102416992
2014-08-07,34.76017761230469
2014-08-08,34.83967590332031
2014-08-11,34.858036041259766
2014-08-12,34.735713958740234
2014-08-13,35.426761627197266
2014-08-14,35.70806884765625
2014-08-15,35.9282341003418
2014-08-18,36.21565246582031
2014-08-19,36.44192123413086
2014-08-20,36.58869171142578
2014-08-21,36.95561981201172
2014-08-22,36.918922424316406
2014-08-25,37.27974319458008
2014-08-26,37.09627914428711
2014-08-27,37.41427993774414
2014-08-28,37.97078323364258
2014-08-29,38.27043914794922
2014-09-02,37.805667877197266
2014-09-03,37.73227310180664
2014-09-04,37.27974319458008
2014-09-05,37.49989700317383
2014-09-08,37.48155212402344
2014-09-09,37.20024108886719
2014-09-10,37.46320724487305
2014-09-11,37.22469711303711
2014-09-12,37.3103141784668
2014-09-15,35.98325729370117
2014-09-16,36.23399353027344
2014-09-17,36.06888198852539
2014-09-18,36.56422805786133
2014-09-19,35.659156799316406
2014-09-22,35.22494125366211
2014-09-23,34.729591369628906
2014-09-24,35.12710952758789
2014-09-25,34.405479431152344
2014-09-26,34.71736526489258
2014-09-29,35.01091384887695
2014-09-30,35.02314758300781
2014-10-01,33.683868408203125
2014-10-02,33.95292663574219
2014-10-03,34.29541015625
2014-10-06,34.34432601928711
2014-10-07,33.78781509399414
2014-10-08,34.89471435546875
2014-10-09,34.38713455200195
2014-10-10,33.59823989868164
2014-10-13,32.39961242675781
2014-10-14,32.14277267456055
2014-10-15,31.77583885192871
2014-10-16,32.03268814086914
2014-10-17,32.38127899169922
2014-10-20,32.93165588378906
2014-10-21,33.76336669921875
2014-10-22,33.19462966918945
2014-10-23,34.564483642578125
2014-10-24,35.68972396850586
2014-10-27,35.92211151123047
2014-10-28,36.36855697631836
2014-10-29,36.83331298828125
2014-10-30,36.78438186645508
2014-10-31,38.42333221435547
2014-11-03,39.24279022216797
2014-11-04,39.071556091308594
2014-11-05,38.9859504699707
2014-11-06,38.56654357910156
2014-11-07,37.96826934814453
2014-11-10,38.09780502319336
2014-11-11,38.122474670410156
2014-11-12,38.4370231628418
2014-11-13,38.30750274658203
2014-11-14,38.77625274658203
2014-11-17,39.46703338623047
2014-11-18,39.87411117553711
2014-11-19,39.85559844970703
2014-11-20,40.42302703857422
2014-11-21,40.05295944213867
2014-11-24,40.72523498535156
2014-11-25,40.7005615234375
2014-11-26,40.614219665527344
2014-11-28,40.77458190917969
2014-12-01,40.66971969604492
2014-12-02,41.65656280517578
2014-12-03,41.230979919433594
2014-12-04,40.762237548828125
2014-12-05,40.95343017578125
2014-12-08,40.85475540161133
2014-12-09,40.558712005615234
2014-12-10,40.22565841674805
2014-12-11,40.398353576660156
2014-12-12,39.49786376953125
2014-12-15,39.294334411621094
2014-12-16,39.02296447753906
2014-12-17,40.09613037109375
2014-12-18,41.69974136352539
2014-12-19,42.18697738647461
2014-12-22,42.32884216308594
2014-12-23,42.34117889404297
2014-12-24,42.446006774902344
2014-12-26,42.40901565551758
2014-12-29,42.057456970214844
2014-12-30,41.477699279785156
2014-12-31,41.01511764526367
2015-01-02,40.71906280517578
2015-01-05,40.50320816040039
2015-01-06,39.3868522644043
2015-01-07,39.63972473144531
2015-01-08,40.35517120361328
2015-01-09,40.97810745239258
2015-01-12,40.11463928222656
2015-01-13,39.935768127441406
2015-01-14,39.837100982666016
2015-01-15,38.412357330322266
2015-01-16,39.10929870605469
2015-01-20,38.930450439453125
2015-01-21,39.03529357910156
2015-01-22,39.436195373535156
2015-01-23,39.46086883544922
2015-01-26,36.426361083984375
2015-01-27,35.19898986816406
2015-01-28,35.482704162597656
2015-01-29,36.204322814941406
2015-01-30,34.8104248046875
2015-02-02,35.649227142333984
2015-02-03,36.543548583984375
2015-02-04,36.96295166015625
2015-02-05,37.25899124145508
2015-02-06,37.30255889892578
2015-02-09,37.58884048461914
2015-02-10,37.464359283447266
2015-02-11,37.8377685546875
2015-02-12,38.06181335449219
2015-02-13,38.4849853515625
2015-02-17,38.05558395385742
2015-02-18,38.074256896972656
2015-02-19,38.24850845336914
2015-02-20,38.69658279418945
2015-02-23,38.57833480834961
2015-02-24,37.77553176879883
2015-02-25,37.35234069824219
2015-02-26,37.763084411621094
2015-02-27,38.03690719604492
2015-03-02,38.310733795166016
