,NOC
2014-01-02,94.22346496582031
2014-01-03,94.51470947265625
2014-01-06,94.69776153564453
2014-01-07,95.28858947753906
2014-01-08,95.85443878173828
2014-01-09,96.22059631347656
2014-01-10,96.83638000488281
2014-01-13,96.22059631347656
2014-01-14,97.45215606689453
2014-01-15,98.09292602539062
2014-01-16,98.43409729003906
2014-01-17,98.39247131347656
2014-01-21,99.18302917480469
2014-01-22,100.12333679199219
2014-01-23,97.77670288085938
2014-01-24,94.40650939941406
2014-01-27,93.78241729736328
2014-01-28,93.20824432373047
2014-01-29,93.3080825805664
2014-01-30,94.24008178710938
2014-01-31,96.15401458740234
2014-02-03,94.24008178710938
2014-02-04,92.20133972167969
2014-02-05,92.70063018798828
2014-02-06,93.43292236328125
2014-02-07,95.67137908935547
2014-02-10,95.13048553466797
2014-02-11,97.27740478515625
2014-02-12,98.25104522705078
2014-02-13,98.90840911865234
2014-02-14,100.09008026123047
2014-02-18,99.90696716308594
2014-02-19,99.06652069091797
2014-02-20,100.36466979980469
2014-02-21,100.24813079833984
2014-02-24,101.62120056152344
2014-02-25,99.59076690673828
2014-02-26,98.79193115234375
2014-02-27,100.38951873779297
2014-02-28,101.23432159423828
2014-03-03,101.2259292602539
2014-03-04,103.92767333984375
2014-03-05,103.42577362060547
2014-03-06,103.45926666259766
2014-03-07,103.96943664550781
2014-03-10,102.64790344238281
2014-03-11,101.8532943725586
2014-03-12,102.39698028564453
2014-03-13,101.15906524658203
2014-03-14,101.57727813720703
2014-03-17,102.4722671508789
2014-03-18,103.71016693115234
2014-03-19,102.78174591064453
2014-03-20,102.3300552368164
2014-03-21,101.94527435302734
2014-03-24,101.2259292602539
2014-03-25,102.1543960571289
2014-03-26,101.76128387451172
2014-03-27,100.32259368896484
2014-03-28,101.88671112060547
2014-03-31,103.1999740600586
2014-04-01,103.67672729492188
2014-04-02,104.21202087402344
2014-04-03,104.57170867919922
2014-04-04,100.9499282836914
2014-04-07,99.77889251708984
2014-04-08,99.4276123046875
2014-04-09,100.64044189453125
2014-04-10,97.99729919433594
2014-04-11,97.58743286132812
2014-04-14,98.6999282836914
2014-04-15,99.46942901611328
2014-04-16,100.8746566772461
2014-04-17,102.04566192626953
2014-04-21,102.2212905883789
2014-04-22,100.19713592529297
2014-04-23,101.76128387451172
2014-04-24,99.6869125366211
2014-04-25,99.52798461914062
2014-04-28,99.62834930419922
2014-04-29,100.75755310058594
2014-04-30,101.63579559326172
2014-05-01,100.8830337524414
2014-05-02,100.9833755493164
2014-05-05,101.16740417480469
2014-05-06,100.05496978759766
2014-05-07,101.14232635498047
2014-05-08,101.401611328125
2014-05-09,101.25942993164062
2014-05-12,102.4137191772461
2014-05-13,102.94068145751953
2014-05-14,101.82820129394531
2014-05-15,99.69526672363281
2014-05-16,99.43596649169922
2014-05-19,100.1051254272461
2014-05-20,98.43223571777344
2014-05-21,98.91740417480469
2014-05-22,99.11812591552734
2014-05-23,100.38951873779297
2014-05-27,100.51499938964844
2014-05-28,100.5986099243164
2014-05-29,101.12864685058594
2014-05-30,102.26445770263672
2014-06-02,102.60942077636719
2014-06-03,102.21399688720703
2014-06-04,102.86182403564453
2014-06-05,104.0564956665039
2014-06-06,104.32574462890625
2014-06-09,104.71277618408203
2014-06-10,104.11540222167969
2014-06-11,102.844970703125
2014-06-12,100.5649642944336
2014-06-13,101.63349151611328
2014-06-16,102.27288055419922
2014-06-17,101.87744903564453
2014-06-18,102.17191314697266
2014-06-19,102.92071533203125
2014-06-20,103.86302185058594
2014-06-23,103.08898162841797
2014-06-24,101.46517944335938
2014-06-25,101.5493392944336
2014-06-26,101.29694366455078
2014-06-27,101.52408599853516
2014-06-30,100.64910888671875
2014-07-01,101.3221664428711
2014-07-02,100.74166870117188
2014-07-03,101.96159362792969
2014-07-07,101.0529556274414
2014-07-08,100.41352844238281
2014-07-09,100.7921142578125
2014-07-10,100.8930892944336
2014-07-11,102.36542510986328
2014-07-14,102.92911529541016
2014-07-15,103.61060333251953
2014-07-16,103.64427185058594
2014-07-17,103.11420440673828
2014-07-18,104.21637725830078
2014-07-21,105.26802062988281
2014-07-22,106.454345703125
2014-07-23,106.52164459228516
2014-07-24,107.623779296875
2014-07-25,107.32090759277344
2014-07-28,107.51441192626953
2014-07-29,106.31970977783203
2014-07-30,105.88221740722656
2014-07-31,103.7115707397461
2014-08-01,104.2584457397461
2014-08-04,103.78730010986328
2014-08-05,103.5433120727539
2014-08-06,101.7848892211914
2014-08-07,101.21282196044922
2014-08-08,103.36662292480469
2014-08-11,103.8966293334961
2014-08-12,103.50965881347656
2014-08-13,105.30168914794922
2014-08-14,105.1755142211914
