,CHD
2014-01-02,28.18316078186035
2014-01-03,28.187463760375977
2014-01-06,28.26921272277832
2014-01-07,28.36817741394043
2014-01-08,28.122926712036133
2014-01-09,28.19176483154297
2014-01-10,28.303634643554688
2014-01-13,28.079893112182617
2014-01-14,28.372480392456055
2014-01-15,28.355270385742188
2014-01-16,28.40260124206543
2014-01-17,28.196067810058594
2014-01-21,28.204669952392578
2014-01-22,28.19176483154297
2014-01-23,28.221891403198242
2014-01-24,27.989543914794922
2014-01-27,27.843242645263672
2014-01-28,28.049768447875977
2014-01-29,27.382848739624023
2014-01-30,27.75287628173828
2014-01-31,27.78730583190918
2014-02-03,26.7030086517334
2014-02-04,27.43017578125
2014-02-05,27.128976821899414
2014-02-06,27.253761291503906
2014-02-07,27.516231536865234
2014-02-10,27.83464241027832
2014-02-11,27.955110549926758
2014-02-12,27.727069854736328
2014-02-13,27.835161209106445
2014-02-14,28.232929229736328
2014-02-18,28.302101135253906
2014-02-19,28.345333099365234
2014-02-20,28.652311325073242
2014-02-21,28.600435256958008
2014-02-24,29.158164978027344
2014-02-25,29.10628318786621
2014-02-26,29.153846740722656
2014-02-27,29.292194366455078
2014-02-28,29.391643524169922
2014-03-03,29.452171325683594
2014-03-04,29.681325912475586
2014-03-05,29.499736785888672
2014-03-06,29.517019271850586
2014-03-07,29.58186912536621
2014-03-10,29.612140655517578
2014-03-11,29.568910598754883
2014-03-12,29.465137481689453
2014-03-13,29.365697860717773
2014-03-14,29.56458854675293
2014-03-17,29.724557876586914
2014-03-18,29.651050567626953
2014-03-19,29.391643524169922
2014-03-20,29.408937454223633
2014-03-21,29.240325927734375
2014-03-24,29.36138153076172
2014-03-25,29.504058837890625
2014-03-26,29.547290802001953
2014-03-27,29.473791122436523
2014-03-28,29.447853088378906
2014-03-31,29.8629207611084
2014-04-01,29.642404556274414
2014-04-02,29.6467342376709
2014-04-03,29.681325912475586
2014-04-04,29.382997512817383
2014-04-07,29.538644790649414
2014-04-08,29.694290161132812
