,APD
2014-01-02,79.54345703125
2014-01-03,79.38642120361328
2014-01-06,79.57915496826172
2014-01-07,78.59412384033203
2014-01-08,78.57986450195312
2014-01-09,78.27295684814453
2014-01-10,78.25151824951172
2014-01-13,77.5020523071289
2014-01-14,78.63697814941406
2014-01-15,79.4078598022461
2014-01-16,79.721923828125
2014-01-17,79.9503173828125
2014-01-21,79.97887420654297
2014-01-22,80.1573257446289
2014-01-23,79.23652648925781
2014-01-24,76.16730499267578
2014-01-27,75.83182525634766
2014-01-28,76.93817138671875
2014-01-29,75.66051483154297
2014-01-30,75.60340118408203
2014-01-31,75.04666900634766
2014-02-03,74.05449676513672
2014-02-04,74.21869659423828
2014-02-05,74.41853332519531
2014-02-06,76.54560089111328
2014-02-07,77.96599578857422
2014-02-10,78.3800048828125
2014-02-11,79.90036010742188
2014-02-12,79.85037994384766
2014-02-13,83.46208953857422
2014-02-14,83.78330993652344
2014-02-18,84.25443267822266
2014-02-19,83.56918334960938
2014-02-20,84.01885223388672
2014-02-21,84.41857147216797
2014-02-24,84.74691772460938
2014-02-25,85.41786193847656
2014-02-26,83.8475341796875
2014-02-27,85.1823501586914
2014-02-28,86.59558868408203
2014-03-03,86.02458190917969
2014-03-04,87.44500732421875
2014-03-05,86.78117370605469
2014-03-06,87.40216064453125
2014-03-07,86.84542083740234
2014-03-10,86.4385757446289
2014-03-11,86.03884887695312
2014-03-12,85.47496032714844
2014-03-13,85.160888671875
2014-03-14,85.48926544189453
2014-03-17,86.26012420654297
2014-03-18,86.95964813232422
2014-03-19,86.39574432373047
2014-03-20,87.2308578491211
2014-03-21,87.18801879882812
2014-03-24,85.78904724121094
2014-03-25,86.33149719238281
2014-03-26,85.23941040039062
2014-03-27,84.53990173339844
2014-03-28,84.27410125732422
2014-03-31,85.52418518066406
2014-04-01,86.21392822265625
2014-04-02,87.47840118408203
2014-04-03,87.04013061523438
2014-04-04,85.56729888916016
2014-04-07,83.90049743652344
2014-04-08,84.14476776123047
2014-04-09,85.10030364990234
2014-04-10,83.23233032226562
2014-04-11,82.72223663330078
2014-04-14,82.7581558227539
2014-04-15,83.56283569335938
2014-04-16,85.26554870605469
2014-04-17,84.7339096069336
2014-04-21,84.45370483398438
2014-04-22,85.61759948730469
2014-04-23,85.11467742919922
2014-04-24,85.10030364990234
2014-04-25,84.14476776123047
2014-04-28,84.07293701171875
2014-04-29,84.1519546508789
2014-04-30,84.4321517944336
2014-05-01,84.36032104492188
2014-05-02,84.93508911132812
2014-05-05,85.74690246582031
2014-05-06,85.34457397460938
2014-05-07,86.15641784667969
2014-05-08,85.52418518066406
2014-05-09,85.2942886352539
2014-05-12,86.127685546875
2014-05-13,85.71100616455078
2014-05-14,85.99837493896484
2014-05-15,84.044189453125
2014-05-16,85.1362533569336
2014-05-19,84.94226837158203
2014-05-20,83.8789291381836
2014-05-21,85.14342498779297
2014-05-22,84.91351318359375
2014-05-23,85.30863952636719
2014-05-27,85.34457397460938
2014-05-28,84.99974060058594
2014-05-29,86.3719482421875
2014-05-30,86.1923599243164
2014-06-02,87.52867126464844
2014-06-03,87.32030487060547
2014-06-04,86.53720092773438
2014-06-05,88.2686767578125
2014-06-06,88.76441192626953
2014-06-09,88.33332824707031
2014-06-10,88.59915161132812
2014-06-11,87.64362335205078
2014-06-12,85.88340759277344
2014-06-13,87.02574920654297
2014-06-16,86.58750915527344
2014-06-17,87.36341857910156
2014-06-18,93.9156723022461
2014-06-19,93.182861328125
2014-06-20,93.93721771240234
2014-06-23,93.49180603027344
2014-06-24,92.83802032470703
2014-06-25,93.06793212890625
2014-06-26,92.55781555175781
2014-06-27,92.95533752441406
2014-06-30,92.96256256103516
2014-07-01,93.42515563964844
2014-07-02,92.96980285644531
2014-07-03,93.54077911376953
2014-07-07,93.17214965820312
