,CLX
2014-01-02,67.15349578857422
2014-01-03,67.3966064453125
2014-01-06,67.11666107177734
2014-01-07,66.65995025634766
2014-01-08,65.55496215820312
2014-01-09,65.6580810546875
2014-01-10,65.76860046386719
2014-01-13,65.635986328125
2014-01-14,66.055908203125
2014-01-15,66.0632553100586
2014-01-16,66.38736724853516
2014-01-17,66.27688598632812
2014-01-21,66.38001251220703
2014-01-22,66.2253189086914
2014-01-23,65.74650573730469
2014-01-24,65.43708038330078
2014-01-27,64.93955993652344
2014-01-28,65.64501953125
2014-01-29,64.66481018066406
2014-01-30,64.95441436767578
2014-01-31,65.5484848022461
2014-02-03,64.13013458251953
2014-02-04,63.72169494628906
2014-02-05,62.79347610473633
2014-02-06,63.16477584838867
2014-02-07,63.58802795410156
2014-02-10,63.951908111572266
2014-02-11,64.47914123535156
2014-02-12,64.2637939453125
2014-02-13,64.57568359375
2014-02-14,65.42967987060547
2014-02-18,64.86531829833984
2014-02-19,64.50884246826172
2014-02-20,64.56827545166016
2014-02-21,64.61280059814453
2014-02-24,64.6499252319336
2014-02-25,64.46430969238281
2014-02-26,64.21180725097656
2014-02-27,64.43460845947266
2014-02-28,64.81332397460938
2014-03-03,64.35291290283203
2014-03-04,65.02124786376953
2014-03-05,64.27864074707031
2014-03-06,64.33060455322266
2014-03-07,64.1895523071289
2014-03-10,64.39004516601562
2014-03-11,64.29350280761719
2014-03-12,64.44944763183594
2014-03-13,64.47172546386719
2014-03-14,64.8801498413086
2014-03-17,65.22171783447266
2014-03-18,65.5187759399414
2014-03-19,64.81332397460938
2014-03-20,64.8801498413086
2014-03-21,65.00641632080078
2014-03-24,65.37025451660156
2014-03-25,64.79105377197266
2014-03-26,65.27372741699219
2014-03-27,65.38510131835938
2014-03-28,65.414794921875
2014-03-31,65.35540771484375
2014-04-01,65.28116607666016
2014-04-02,65.26629638671875
2014-04-03,65.53363037109375
2014-04-04,65.71184539794922
2014-04-07,65.93463134765625
2014-04-08,66.64009857177734
2014-04-09,66.28365325927734
2014-04-10,65.99402618408203
2014-04-11,65.52619934082031
2014-04-14,66.0311508178711
2014-04-15,66.74404907226562
2014-04-16,67.2118911743164
2014-04-17,67.45695495605469
2014-04-21,67.37460327148438
2014-04-22,66.5887680053711
2014-04-23,66.60371398925781
2014-04-24,66.7010269165039
2014-04-25,67.38211059570312
2014-04-28,68.53467559814453
2014-04-29,68.20537567138672
2014-04-30,67.883544921875
2014-05-01,66.91059112548828
2014-05-02,67.0453109741211
2014-05-05,65.3463363647461
2014-05-06,65.37628936767578
2014-05-07,65.76546478271484
2014-05-08,65.8702163696289
2014-05-09,66.24447631835938
2014-05-12,66.0124282836914
2014-05-13,66.5588150024414
2014-05-14,66.70849609375
2014-05-15,66.12472534179688
2014-05-16,66.3492660522461
2014-05-19,66.13220977783203
2014-05-20,66.13220977783203
2014-05-21,66.30433654785156
2014-05-22,65.90766143798828
2014-05-23,66.1097640991211
2014-05-27,66.04237365722656
2014-05-28,66.21453094482422
2014-05-29,66.97045135498047
2014-05-30,67.0752182006836
2014-06-02,66.50643157958984
2014-06-03,66.23698425292969
2014-06-04,66.5887680053711
2014-06-05,66.93303680419922
2014-06-06,66.98539733886719
2014-06-09,69.3504867553711
2014-06-10,68.62450408935547
2014-06-11,68.28022766113281
2014-06-12,67.65901947021484
2014-06-13,67.41204071044922
2014-06-16,67.46443176269531
2014-06-17,67.7862548828125
2014-06-18,68.31764221191406
2014-06-19,68.93883514404297
2014-06-20,68.63947296142578
2014-06-23,68.362548828125
2014-06-24,68.46736145019531
2014-06-25,68.31764221191406
2014-06-26,68.1978988647461
2014-06-27,68.63198852539062
2014-06-30,68.40747833251953
2014-07-01,68.30265045166016
2014-07-02,68.63947296142578
2014-07-03,68.78166961669922
2014-07-07,68.94633483886719
2014-07-08,68.90892791748047
2014-07-09,69.4627685546875
2014-07-10,69.6274185180664
2014-07-11,69.43281555175781
2014-07-14,69.70226287841797
2014-07-15,69.2232666015625
2014-07-16,69.32804107666016
2014-07-17,68.88645935058594
2014-07-18,69.04364013671875
2014-07-21,68.59093475341797
2014-07-22,68.16087341308594
2014-07-23,68.04014587402344
2014-07-24,68.31177520751953
2014-07-25,67.51202392578125
2014-07-28,67.4365463256836
2014-07-29,66.90086364746094
2014-07-30,66.43309020996094
2014-07-31,65.54277801513672
2014-08-01,67.30078125
2014-08-04,65.18061065673828
2014-08-05,65.24853515625
2014-08-06,66.47838592529297
2014-08-07,65.82195281982422
2014-08-08,66.58396911621094
2014-08-11,67.15737915039062
2014-08-12,66.76508331298828
2014-08-13,66.7801513671875
2014-08-14,66.75752258300781
2014-08-15,66.72734832763672
2014-08-18,67.09705352783203
2014-08-19,67.142333984375
2014-08-20,67.10457611083984
2014-08-21,67.46675109863281
2014-08-22,67.30829620361328
2014-08-25,67.19512176513672
2014-08-26,67.10457611083984
2014-08-27,67.05929565429688
2014-08-28,66.88579559326172
2014-08-29,66.84806823730469
2014-09-02,66.89334106445312
2014-09-03,66.95368957519531
2014-09-04,67.00650787353516
2014-09-05,67.7609634399414
2014-09-08,67.36865997314453
2014-09-09,67.52708435058594
2014-09-10,67.85910034179688
2014-09-11,67.96469116210938
2014-09-12,67.13478088378906
2014-09-15,67.51957702636719
2014-09-16,68.04014587402344
2014-09-17,67.7685317993164
2014-09-18,67.82892608642578
2014-09-19,68.33440399169922
2014-09-22,73.35933685302734
2014-09-23,71.56363677978516
2014-09-24,72.08424377441406
2014-09-25,71.7824478149414
2014-09-26,72.15967559814453
2014-09-29,72.6350326538086
2014-09-30,72.46147918701172
2014-10-01,72.02385711669922
2014-10-02,72.40113830566406
2014-10-03,72.78590393066406
2014-10-06,72.71803283691406
2014-10-07,72.92926788330078
2014-10-08,74.5136947631836
2014-10-09,73.5328598022461
2014-10-10,73.25369262695312
