,ROL
2014-01-02,7.558896541595459
2014-01-03,7.640809059143066
2014-01-06,7.6254496574401855
2014-01-07,7.628010272979736
2014-01-08,7.633127212524414
2014-01-09,7.594730854034424
2014-01-10,7.576816082000732
2014-01-13,7.466745853424072
2014-01-14,7.53585958480835
2014-01-15,7.528180122375488
2014-01-16,7.512821197509766
2014-01-17,7.487225532531738
2014-01-21,7.5204997062683105
2014-01-22,7.512821197509766
2014-01-23,7.5204997062683105
2014-01-24,7.448827266693115
2014-01-27,7.430912494659424
2014-01-28,7.3566789627075195
2014-01-29,7.428352355957031
2014-01-30,7.510261058807373
2014-01-31,7.377156734466553
2014-02-03,6.949680805206299
2014-02-04,7.080228328704834
2014-02-05,7.034151077270508
2014-02-06,7.156207084655762
2014-02-07,7.289820671081543
2014-02-10,7.2744035720825195
2014-02-11,7.3617706298828125
2014-02-12,7.459413528442383
2014-02-13,7.523651599884033
2014-02-14,7.600736618041992
2014-02-18,7.703516960144043
2014-02-19,7.654698848724365
2014-02-20,7.600736618041992
2014-02-21,7.60587739944458
2014-02-24,7.590459823608398
2014-02-25,7.551915645599365
2014-02-26,7.60330867767334
2014-02-27,7.575042724609375
2014-02-28,7.672685146331787
2014-03-03,7.616154670715332
2014-03-04,7.767760276794434
2014-03-05,7.718935489654541
2014-03-06,7.7112274169921875
2014-03-07,7.7985944747924805
2014-03-10,7.7343525886535645
2014-03-11,7.652129173278809
2014-03-12,7.613584041595459
2014-03-13,7.559625625610352
2014-03-14,7.672685146331787
2014-03-17,7.747201919555664
2014-03-18,7.8165812492370605
2014-03-19,7.7343525886535645
2014-03-20,7.7497711181640625
2014-03-21,7.85769510269165
2014-03-24,7.726645469665527
2014-03-25,7.739491939544678
2014-03-26,7.70095157623291
2014-03-27,7.680394649505615
2014-03-28,7.677825450897217
2014-03-31,7.770328521728516
2014-04-01,7.94762659072876
2014-04-02,7.903945446014404
2014-04-03,7.875677585601807
2014-04-04,7.760047912597656
2014-04-07,7.736922264099121
2014-04-08,7.772897720336914
2014-04-09,7.821720123291016
2014-04-10,7.626430034637451
2014-04-11,7.621291160583496
2014-04-14,7.6084465980529785
2014-04-15,7.587890148162842
2014-04-16,7.6418538093566895
2014-04-17,7.682962417602539
2014-04-21,7.70866060256958
2014-04-22,7.731786251068115
2014-04-23,7.760047912597656
2014-04-24,7.736922264099121
2014-04-25,7.667545318603516
2014-04-28,7.7574782371521
2014-04-29,7.6855363845825195
2014-04-30,7.7292160987854
2014-05-01,7.7343525886535645
2014-05-02,7.742064476013184
2014-05-05,7.724076747894287
2014-05-06,7.664975166320801
2014-05-07,7.795198917388916
2014-05-08,7.6946306228637695
2014-05-09,7.777145862579346
2014-05-12,7.851928234100342
2014-05-13,7.771990776062012
2014-05-14,7.686894416809082
2014-05-15,7.72815465927124
2014-05-16,7.777145862579346
2014-05-19,7.8287224769592285
2014-05-20,7.712684154510498
2014-05-21,7.746201515197754
2014-05-22,7.771990776062012
