,ROST
2014-01-02,33.36146545410156
2014-01-03,33.388431549072266
2014-01-06,33.3210334777832
2014-01-07,33.13685607910156
2014-01-08,33.105438232421875
2014-01-09,33.53216552734375
2014-01-10,33.53216552734375
2014-01-13,32.921260833740234
2014-01-14,32.88082504272461
2014-01-15,32.68768310546875
2014-01-16,32.37774658203125
2014-01-17,32.067806243896484
2014-01-21,31.632078170776367
2014-01-22,31.111024856567383
2014-01-23,30.765119552612305
2014-01-24,30.46868133544922
2014-01-27,30.670808792114258
2014-01-28,30.44171905517578
2014-01-29,30.392316818237305
2014-01-30,30.52707290649414
2014-01-31,30.504608154296875
2014-02-03,29.61520767211914
2014-02-04,29.547828674316406
2014-02-05,29.77691650390625
2014-02-06,31.133466720581055
2014-02-07,31.155948638916016
2014-02-10,31.052621841430664
2014-02-11,31.232295989990234
2014-02-12,31.06610679626465
2014-02-13,31.254758834838867
2014-02-14,31.182891845703125
2014-02-18,30.688779830932617
2014-02-19,30.455202102661133
2014-02-20,30.38782501220703
2014-02-21,30.297971725463867
2014-02-24,31.115501403808594
2014-02-25,31.461381912231445
2014-02-26,32.20255661010742
2014-02-27,32.48103332519531
2014-02-28,32.701148986816406
2014-03-03,32.472068786621094
2014-03-04,32.5439453125
2014-03-05,32.31932830810547
2014-03-06,32.319332122802734
2014-03-07,32.45448303222656
2014-03-10,32.5941162109375
2014-03-11,32.544551849365234
2014-03-12,32.603111267089844
2014-03-13,32.56708908081055
2014-03-14,32.733760833740234
2014-03-17,33.37336730957031
2014-03-18,32.99501037597656
2014-03-19,32.729251861572266
2014-03-20,32.778812408447266
2014-03-21,32.86888122558594
2014-03-24,33.013023376464844
2014-03-25,32.2833137512207
2014-03-26,32.07610321044922
2014-03-27,32.166194915771484
2014-03-28,32.47699737548828
2014-03-31,32.23827362060547
2014-04-01,32.83735275268555
2014-04-02,33.10761642456055
2014-04-03,33.07157516479492
2014-04-04,32.603111267089844
2014-04-07,31.877904891967773
2014-04-08,32.27430725097656
2014-04-09,32.17971420288086
2014-04-10,31.467998504638672
2014-04-11,31.103158950805664
2014-04-14,31.202239990234375
2014-04-15,31.14369010925293
2014-04-16,31.256305694580078
2014-04-17,31.076120376586914
2014-04-21,31.094135284423828
2014-04-22,31.112152099609375
2014-04-23,30.868907928466797
2014-04-24,30.82387924194336
2014-04-25,30.526578903198242
2014-04-28,30.751794815063477
2014-04-29,30.882431030273438
2014-04-30,30.66621971130371
2014-05-01,30.868907928466797
2014-05-02,30.801349639892578
2014-05-05,30.661706924438477
2014-05-06,30.472524642944336
2014-05-07,30.53108787536621
2014-05-08,31.103158950805664
2014-05-09,31.148174285888672
2014-05-12,31.37791633605957
2014-05-13,31.148174285888672
2014-05-14,31.085134506225586
2014-05-15,30.819374084472656
2014-05-16,31.31934356689453
2014-05-19,31.175216674804688
2014-05-20,30.22928237915039
2014-05-21,30.66621971130371
2014-05-22,30.675216674804688
2014-05-23,31.013051986694336
2014-05-27,30.765302658081055
2014-05-28,30.395946502685547
2014-05-29,30.52207374572754
2014-05-30,30.832889556884766
2014-06-02,30.78783416748047
2014-06-03,30.729276657104492
2014-06-04,30.909452438354492
2014-06-05,30.945486068725586
2014-06-06,31.207509994506836
2014-06-09,31.044872283935547
