,ELV
2014-01-02,77.83589935302734
2014-01-03,77.83589935302734
2014-01-06,76.67649841308594
2014-01-07,78.22238159179688
2014-01-08,79.20142364501953
2014-01-09,79.87135314941406
2014-01-10,79.00391387939453
2014-01-13,78.01628112792969
2014-01-14,78.45426940917969
2014-01-15,75.70601654052734
2014-01-16,73.48159790039062
2014-01-17,73.4215087890625
2014-01-21,74.64966583251953
2014-01-22,73.95397186279297
2014-01-23,73.67914581298828
2014-01-24,72.35655975341797
2014-01-27,72.90621948242188
2014-01-28,72.39950561523438
2014-01-29,73.31843566894531
2014-01-30,75.3710708618164
2014-01-31,73.85950469970703
2014-02-03,73.53316497802734
2014-02-04,73.30127716064453
2014-02-05,73.55892181396484
2014-02-06,74.35762023925781
2014-02-07,72.72586822509766
2014-02-10,72.65713500976562
2014-02-11,73.58468627929688
2014-02-12,72.35655975341797
2014-02-13,73.26691436767578
2014-02-14,75.40538787841797
2014-02-18,75.16492462158203
2014-02-19,75.14776611328125
2014-02-20,75.32811737060547
2014-02-21,76.049560546875
2014-02-24,78.09355163574219
2014-02-25,77.02001190185547
2014-02-26,76.56483459472656
2014-02-27,76.67649841308594
2014-02-28,77.8015365600586
2014-03-03,76.81388854980469
2014-03-04,77.99049377441406
2014-03-05,78.63462829589844
2014-03-06,78.97808837890625
2014-03-07,78.98670196533203
2014-03-10,79.5993881225586
2014-03-11,80.25526428222656
2014-03-12,80.79029846191406
2014-03-13,80.48822021484375
2014-03-14,80.55728149414062
2014-03-17,82.110595703125
2014-03-18,84.31979370117188
2014-03-19,85.47615814208984
2014-03-20,86.04572296142578
2014-03-21,86.0975112915039
2014-03-24,87.13302612304688
2014-03-25,86.02848052978516
2014-03-26,86.21832275390625
2014-03-27,84.31116485595703
2014-03-28,85.76956939697266
2014-03-31,85.90766906738281
2014-04-01,85.51065826416016
2014-04-02,84.84618377685547
2014-04-03,85.6401138305664
2014-04-04,84.21624755859375
2014-04-07,83.37054443359375
2014-04-08,83.40504455566406
2014-04-09,83.54313659667969
2014-04-10,82.6197509765625
2014-04-11,82.02434539794922
2014-04-14,82.30911254882812
2014-04-15,83.24972534179688
2014-04-16,82.5420913696289
2014-04-17,79.3923110961914
2014-04-21,80.2811279296875
2014-04-22,81.28217315673828
2014-04-23,81.71367645263672
2014-04-24,83.31011962890625
2014-04-25,82.84413146972656
2014-04-28,81.94668579101562
2014-04-29,82.31773376464844
2014-04-30,86.88282012939453
2014-05-01,86.96044921875
2014-05-02,87.04676055908203
2014-05-05,88.40159606933594
2014-05-06,88.30667114257812
2014-05-07,90.38639068603516
2014-05-08,89.12648010253906
2014-05-09,90.18794250488281
2014-05-12,92.3453140258789
2014-05-13,91.862060546875
2014-05-14,91.18897247314453
2014-05-15,90.55035400390625
2014-05-16,90.7143325805664
2014-05-19,91.84480285644531
2014-05-20,91.47371673583984
2014-05-21,92.44026184082031
2014-05-22,92.63007354736328
2014-05-23,93.90729522705078
2014-05-27,93.6138916015625
2014-05-28,93.09611511230469
2014-05-29,93.6742935180664
2014-05-30,93.51032257080078
2014-06-02,93.5016860961914
2014-06-03,93.20828247070312
2014-06-04,93.74331665039062
2014-06-05,92.56108856201172
2014-06-06,91.9614486694336
2014-06-09,91.2249526977539
2014-06-10,91.5888442993164
2014-06-11,93.30450439453125
2014-06-12,92.80192565917969
2014-06-13,92.61129760742188
2014-06-16,91.9354476928711
2014-06-17,91.90078735351562
2014-06-18,92.06541442871094
2014-06-19,93.31318664550781
2014-06-20,94.05835723876953
2014-06-23,94.14501953125
2014-06-24,93.50382995605469
2014-06-25,94.22301483154297
2014-06-26,93.6857681274414
2014-06-27,93.19187927246094
2014-06-30,93.24386596679688
2014-07-01,93.9110336303711
2014-07-02,95.59209442138672
2014-07-03,95.45343017578125
2014-07-07,94.56095123291016
2014-07-08,94.84688568115234
2014-07-09,96.06864166259766
2014-07-10,95.97335052490234
2014-07-11,96.09463500976562
2014-07-14,98.04427337646484
2014-07-15,97.71500396728516
2014-07-16,97.20375061035156
2014-07-17,98.29553985595703
2014-07-18,99.58662414550781
2014-07-21,99.15337371826172
2014-07-22,99.92459106445312
2014-07-23,100.0285415649414
2014-07-24,99.86389923095703
2014-07-25,98.35620880126953
2014-07-28,100.14119720458984
2014-07-29,97.52436828613281
2014-07-30,97.45504760742188
2014-07-31,95.150146484375
2014-08-01,96.18128967285156
2014-08-04,96.70118713378906
2014-08-05,95.696044921875
2014-08-06,96.47589874267578
2014-08-07,92.9665756225586
2014-08-08,94.0843505859375
2014-08-11,93.05323791503906
2014-08-12,94.1537094116211
2014-08-13,95.61804962158203
2014-08-14,97.46371459960938
2014-08-15,96.85716247558594
2014-08-18,97.39437103271484
2014-08-19,98.45150756835938
2014-08-20,97.97493743896484
2014-08-21,98.01828002929688
2014-08-22,97.8016357421875
2014-08-25,98.10490417480469
2014-08-26,99.3613510131836
2014-08-27,100.32312774658203
2014-08-28,100.73040771484375
2014-08-29,100.95567321777344
2014-09-02,100.20183563232422
2014-09-03,101.05101776123047
2014-09-04,102.25544738769531
2014-09-05,103.08729553222656
2014-09-08,102.73765563964844
2014-09-09,105.13801574707031
2014-09-10,104.1900634765625
2014-09-11,104.3205337524414
2014-09-12,103.16381072998047
2014-09-15,102.97246551513672
2014-09-16,104.6423110961914
2014-09-17,104.55531311035156
2014-09-18,106.24256896972656
2014-09-19,106.13819122314453
2014-09-22,105.94684600830078
2014-09-23,103.80738830566406
2014-09-24,107.99063110351562
