,CAH
2014-01-02,48.81440353393555
2014-01-03,49.30159378051758
2014-01-06,49.25729751586914
2014-01-07,49.86257553100586
2014-01-08,49.4787483215332
2014-01-09,50.32762145996094
2014-01-10,51.16912841796875
2014-01-13,50.15785217285156
2014-01-14,50.34238815307617
2014-01-15,50.128334045410156
2014-01-16,50.150482177734375
2014-01-17,49.95853805541992
2014-01-21,50.19475173950195
2014-01-22,50.15785217285156
2014-01-23,49.42708206176758
2014-01-24,48.29031753540039
2014-01-27,48.172203063964844
2014-01-28,49.74448776245117
2014-01-29,49.05060958862305
2014-01-30,50.903385162353516
2014-01-31,50.20951461791992
2014-02-03,48.541282653808594
2014-02-04,48.39364242553711
2014-02-05,48.253414154052734
2014-02-06,48.91773986816406
2014-02-07,49.855220794677734
2014-02-10,49.20561599731445
2014-02-11,51.346275329589844
2014-02-12,51.279850006103516
2014-02-13,51.61201095581055
2014-02-14,51.870384216308594
2014-02-18,52.2615966796875
2014-02-19,52.36494445800781
2014-02-20,52.785701751708984
2014-02-21,52.96284866333008
2014-02-24,52.977630615234375
2014-02-25,53.14739227294922
2014-02-26,52.8595085144043
2014-02-27,53.02189636230469
2014-02-28,52.80046081542969
2014-03-03,52.76354217529297
2014-03-04,54.28416442871094
2014-03-05,54.03317642211914
2014-03-06,53.56076431274414
2014-03-07,53.368839263916016
2014-03-10,53.49433898925781
2014-03-11,53.545982360839844
2014-03-12,53.545982360839844
2014-03-13,53.501712799072266
2014-03-14,53.3614616394043
2014-03-17,53.6567268371582
2014-03-18,54.217708587646484
2014-03-19,53.243350982666016
2014-03-20,52.96284866333008
2014-03-21,51.848243713378906
2014-03-24,51.77440643310547
2014-03-25,52.51258087158203
2014-03-26,51.907283782958984
2014-03-27,51.036251068115234
2014-03-28,51.661258697509766
2014-03-31,51.88370132446289
2014-04-01,51.69833755493164
2014-04-02,52.10609817504883
2014-04-03,52.86975860595703
2014-04-04,51.164520263671875
2014-04-07,50.437950134277344
2014-04-08,50.178443908691406
2014-04-09,51.490753173828125
2014-04-10,49.81517028808594
2014-04-11,49.03668212890625
2014-04-14,49.466705322265625
2014-04-15,49.82998275756836
2014-04-16,50.43052291870117
2014-04-17,50.512081146240234
2014-04-21,50.897613525390625
2014-04-22,51.05331802368164
2014-04-23,51.12003707885742
2014-04-24,50.86796569824219
2014-04-25,49.822574615478516
2014-04-28,50.82347106933594
2014-04-29,51.765052795410156
2014-04-30,51.53523635864258
2014-05-01,48.280452728271484
2014-05-02,47.30179977416992
2014-05-05,47.43524169921875
2014-05-06,47.61318588256836
2014-05-07,47.32402420043945
2014-05-08,47.375938415527344
2014-05-09,47.7540397644043
2014-05-12,48.20630645751953
2014-05-13,49.05152130126953
2014-05-14,48.35459899902344
2014-05-15,48.13958740234375
2014-05-16,48.74753189086914
2014-05-19,49.34065246582031
2014-05-20,49.081172943115234
2014-05-21,49.963436126708984
2014-05-22,50.25257873535156
2014-05-23,50.816070556640625
2014-05-27,51.297977447509766
2014-05-28,51.490753173828125
2014-05-29,52.72147750854492
2014-05-30,52.36558532714844
2014-06-02,52.30628204345703
2014-06-03,52.714054107666016
2014-06-04,52.67698669433594
2014-06-05,52.43233108520508
2014-06-06,52.46941375732422
2014-06-09,52.4249267578125
2014-06-10,51.92076110839844
2014-06-11,51.84661102294922
2014-06-12,50.35639190673828
2014-06-13,50.230350494384766
2014-06-16,50.12656784057617
2014-06-17,50.578819274902344
2014-06-18,50.9643440246582
2014-06-19,50.93467712402344
2014-06-20,51.253501892089844
2014-06-23,51.031063079833984
2014-06-24,50.86796569824219
2014-06-25,51.564876556396484
2014-06-26,51.32763671875
2014-06-27,51.53105926513672
2014-06-30,51.083980560302734
2014-07-01,51.87378692626953
2014-07-02,51.851444244384766
2014-07-03,52.462425231933594
2014-07-07,52.44007873535156
2014-07-08,51.985557556152344
2014-07-09,52.33576202392578
2014-07-10,52.53694152832031
2014-07-11,52.51457595825195
2014-07-14,52.6337890625
2014-07-15,52.909481048583984
2014-07-16,52.90203857421875
2014-07-17,52.58909606933594
2014-07-18,52.94671630859375
2014-07-21,52.20907974243164
2014-07-22,52.69340133666992
2014-07-23,53.23731994628906
2014-07-24,53.9675178527832
2014-07-25,53.81106185913086
2014-07-28,54.04947280883789
2014-07-29,53.870662689208984
2014-07-30,54.20594024658203
2014-07-31,53.386348724365234
2014-08-01,53.92279815673828
2014-08-04,52.36555099487305
2014-08-05,52.6561279296875
2014-08-06,52.41770935058594
2014-08-07,52.15693664550781
2014-08-08,52.85732650756836
2014-08-11,53.080848693847656
2014-08-12,52.91692352294922
2014-08-13,53.557708740234375
2014-08-14,53.743995666503906
2014-08-15,53.22240447998047
2014-08-18,53.8035888671875
2014-08-19,54.09418487548828
2014-08-20,54.00478744506836
2014-08-21,54.466732025146484
2014-08-22,54.34007263183594
2014-08-25,54.72750473022461
2014-08-26,54.63064956665039
2014-08-27,54.14634704589844
2014-08-28,54.593414306640625
2014-08-29,54.91378402709961
2014-09-02,55.010658264160156
2014-09-03,55.41301727294922
2014-09-04,55.360862731933594
2014-09-05,56.120880126953125
2014-09-08,56.18791961669922
2014-09-09,56.09847640991211
2014-09-10,56.240074157714844
2014-09-11,56.07615661621094
2014-09-12,56.17302322387695
2014-09-15,55.852630615234375
2014-09-16,56.29224395751953
2014-09-17,55.852630615234375
2014-09-18,56.195369720458984
2014-09-19,56.6945915222168
2014-09-22,56.5306510925293
2014-09-23,56.52320098876953
2014-09-24,57.864383697509766
2014-09-25,56.746726989746094
