,MKTX
2014-01-02,59.52978515625
2014-01-03,61.1318244934082
2014-01-06,59.26581954956055
2014-01-07,59.83019256591797
2014-01-08,58.555843353271484
2014-01-09,57.71841049194336
2014-01-10,58.109806060791016
2014-01-13,56.844573974609375
2014-01-14,57.79122543334961
2014-01-15,57.40892791748047
2014-01-16,57.32699966430664
2014-01-17,56.362159729003906
2014-01-21,57.63650131225586
2014-01-22,57.17226791381836
2014-01-23,56.562400817871094
2014-01-24,55.69766616821289
2014-01-27,54.40512466430664
2014-01-28,56.01626205444336
2014-01-29,54.83295440673828
2014-01-30,57.62739562988281
2014-01-31,57.10854721069336
2014-02-03,55.19703674316406
2014-02-04,56.280216217041016
2014-02-05,55.95254135131836
2014-02-06,55.661258697509766
2014-02-07,55.77958679199219
2014-02-10,54.92397689819336
2014-02-11,55.13386917114258
2014-02-12,54.72317886352539
2014-02-13,54.71405792236328
2014-02-14,54.49502944946289
2014-02-18,54.923973083496094
2014-02-19,53.90178298950195
2014-02-20,54.48588943481445
2014-02-21,54.184715270996094
2014-02-24,54.53150939941406
2014-02-25,53.755767822265625
2014-02-26,54.047821044921875
2014-02-27,53.90178298950195
2014-02-28,53.883544921875
2014-03-03,54.202964782714844
2014-03-04,57.60719299316406
2014-03-05,58.19129180908203
2014-03-06,58.720645904541016
2014-03-07,58.875789642333984
2014-03-10,58.8119010925293
2014-03-11,57.23300552368164
2014-03-12,57.99052047729492
2014-03-13,57.34252166748047
2014-03-14,56.785789489746094
2014-03-17,57.89923858642578
2014-03-18,57.45204544067383
2014-03-19,56.87705993652344
2014-03-20,57.424652099609375
2014-03-21,56.74016189575195
2014-03-24,56.74016189575195
2014-03-25,56.24732208251953
2014-03-26,54.36724090576172
2014-03-27,53.59148025512695
2014-03-28,52.92523956298828
2014-03-31,54.047821044921875
2014-04-01,54.44026184082031
2014-04-02,54.12082290649414
2014-04-03,51.92131042480469
2014-04-04,50.23288345336914
2014-04-07,49.52100372314453
2014-04-08,49.721797943115234
2014-04-09,50.196380615234375
2014-04-10,49.69442367553711
2014-04-11,48.4440803527832
2014-04-14,49.04642105102539
2014-04-15,49.4844970703125
2014-04-16,50.31502914428711
2014-04-17,50.73485565185547
2014-04-21,51.09992218017578
2014-04-22,51.69315719604492
2014-04-23,50.214637756347656
2014-04-24,50.18724822998047
2014-04-25,49.96821975708008
2014-04-28,49.00078582763672
2014-04-29,48.6265983581543
2014-04-30,49.12857437133789
2014-05-01,49.867820739746094
2014-05-02,49.785682678222656
2014-05-05,49.949951171875
2014-05-06,49.70281982421875
2014-05-07,49.858421325683594
2014-05-08,49.803504943847656
2014-05-09,49.86758804321289
2014-05-12,50.87444305419922
2014-05-13,50.03234100341797
2014-05-14,48.61357498168945
2014-05-15,48.412193298339844
2014-05-16,48.84239959716797
2014-05-19,49.82181167602539
2014-05-20,49.16277313232422
2014-05-21,49.47397994995117
2014-05-22,50.09640884399414
2014-05-23,50.36186599731445
2014-05-27,51.62503433227539
2014-05-28,50.62730407714844
2014-05-29,49.9957389831543
2014-05-30,48.833255767822266
2014-06-02,48.45795822143555
2014-06-03,46.04147720336914
2014-06-04,47.487693786621094
2014-06-05,48.18335723876953
2014-06-06,49.45567321777344
2014-06-09,49.73027420043945
2014-06-10,49.556358337402344
2014-06-11,48.924781799316406
2014-06-12,48.796634674072266
2014-06-13,49.766883850097656
2014-06-16,50.21541976928711
2014-06-17,50.58153533935547
2014-06-18,51.45111083984375
2014-06-19,50.80122756958008
2014-06-20,50.92937469482422
2014-06-23,51.27718734741211
2014-06-24,50.87444305419922
2014-06-25,50.81038284301758
2014-06-26,50.73716735839844
2014-06-27,50.61815643310547
2014-06-30,49.48313522338867
2014-07-01,49.14445877075195
2014-07-02,48.265750885009766
2014-07-03,47.506011962890625
2014-07-07,46.590675354003906
2014-07-08,45.739410400390625
2014-07-09,45.05290985107422
2014-07-10,43.98195266723633
2014-07-11,43.47853469848633
2014-07-14,44.39386749267578
2014-07-15,44.146724700927734
2014-07-16,44.03689193725586
2014-07-17,44.46710205078125
2014-07-18,45.40988540649414
2014-07-21,45.85841369628906
2014-07-22,46.105533599853516
2014-07-23,49.3458366394043
2014-07-24,51.65250015258789
2014-07-25,51.24974822998047
2014-07-28,51.2405891418457
2014-07-29,51.606727600097656
2014-07-30,52.12847137451172
2014-07-31,51.469417572021484
2014-08-01,51.12158966064453
2014-08-04,51.52434158325195
2014-08-05,51.340755462646484
2014-08-06,52.001678466796875
2014-08-07,51.028648376464844
2014-08-08,50.82670974731445
2014-08-11,52.59833908081055
2014-08-12,51.83644104003906
2014-08-13,51.93741989135742
2014-08-14,52.14854049682617
2014-08-15,52.59833908081055
2014-08-18,53.4520263671875
2014-08-19,53.42449951171875
2014-08-20,53.3602409362793
2014-08-21,53.020591735839844
2014-08-22,53.21335983276367
2014-08-25,54.72797775268555
2014-08-26,54.63618087768555
2014-08-27,54.44340896606445
2014-08-28,53.82838821411133
2014-08-29,54.08540725708008
2014-09-02,54.66371154785156
2014-09-03,55.095149993896484
2014-09-04,53.617271423339844
2014-09-05,54.434234619140625
2014-09-08,54.87484359741211
2014-09-09,54.957454681396484
2014-09-10,55.058441162109375
2014-09-11,54.39750671386719
2014-09-12,54.21391677856445
2014-09-15,53.250083923339844
2014-09-16,53.78248596191406
2014-09-17,53.98445129394531
2014-09-18,56.573055267333984
2014-09-19,56.683197021484375
2014-09-22,55.57249069213867
2014-09-23,54.434234619140625
2014-09-24,55.7193603515625
2014-09-25,55.12269973754883
2014-09-26,56.352752685546875
2014-09-29,56.95857620239258
2014-09-30,56.78417205810547
2014-10-01,56.774993896484375
2014-10-02,56.71073913574219
2014-10-03,57.32575225830078
2014-10-06,57.55525588989258
2014-10-07,56.91268539428711
2014-10-08,57.56442642211914
2014-10-09,57.050376892089844
2014-10-10,57.399200439453125
2014-10-13,57.42674255371094
2014-10-14,57.91325759887695
2014-10-15,59.30852508544922
2014-10-16,58.5466423034668
2014-10-17,57.702117919921875
2014-10-20,58.70269012451172
2014-10-21,60.24482345581055
2014-10-22,56.13243103027344
2014-10-23,56.224239349365234
2014-10-24,57.050376892089844
2014-10-27,57.931610107421875
2014-10-28,58.78532028198242
2014-10-29,58.739402770996094
2014-10-30,58.959720611572266
2014-10-31,59.345272064208984
2014-11-03,59.27180862426758
2014-11-04,59.787147521972656
2014-11-05,60.50491714477539
2014-11-06,60.39448165893555
2014-11-07,60.146018981933594
2014-11-10,59.76875305175781
2014-11-11,60.05399703979492
2014-11-12,60.65217590332031
2014-11-13,60.79939270019531
