,TMUS
2014-01-02,32.74193572998047
2014-01-03,31.672452926635742
2014-01-06,32.84986877441406
2014-01-07,32.594764709472656
2014-01-08,32.683067321777344
2014-01-09,32.4083366394043
2014-01-10,32.39852523803711
2014-01-13,31.87849998474121
2014-01-14,32.32002258300781
2014-01-15,31.91774559020996
2014-01-16,31.986425399780273
2014-01-17,31.898120880126953
2014-01-21,32.54570007324219
2014-01-22,32.81062316894531
2014-01-23,32.12379837036133
2014-01-24,31.083744049072266
2014-01-27,31.221111297607422
2014-01-28,31.701889038085938
2014-01-29,30.46560287475586
2014-01-30,30.151622772216797
2014-01-31,29.99463653564453
2014-02-03,28.97420883178711
2014-02-04,29.562915802001953
2014-02-05,31.152427673339844
2014-02-06,28.993833541870117
2014-02-07,29.857271194458008
2014-02-10,29.504047393798828
2014-02-11,29.73952865600586
2014-02-12,30.122188568115234
2014-02-13,30.308612823486328
2014-02-14,30.701086044311523
2014-02-18,30.61277961730957
2014-02-19,30.66183853149414
2014-02-20,30.975812911987305
2014-02-21,31.427156448364258
2014-02-24,31.701889038085938
2014-02-25,29.896516799926758
2014-02-26,29.7591495513916
2014-02-27,30.31842613220215
2014-02-28,29.925954818725586
2014-03-03,29.925954818725586
2014-03-04,31.191675186157227
2014-03-05,31.221111297607422
2014-03-06,30.720706939697266
2014-03-07,30.210498809814453
2014-03-10,30.387107849121094
2014-03-11,30.838451385498047
2014-03-12,31.024873733520508
2014-03-13,30.828636169433594
2014-03-14,30.730520248413086
2014-03-17,30.131999969482422
2014-03-18,30.61277961730957
2014-03-19,30.524473190307617
2014-03-20,31.56451988220215
2014-03-21,32.0943603515625
2014-03-24,32.08454895019531
2014-03-25,32.08454895019531
2014-03-26,31.407533645629883
2014-03-27,31.69207763671875
2014-03-28,31.986425399780273
2014-03-31,32.4083366394043
2014-04-01,32.84986877441406
2014-04-02,32.859676361083984
2014-04-03,32.62419509887695
2014-04-04,31.84906005859375
2014-04-07,30.181060791015625
2014-04-08,30.593154907226562
2014-04-09,31.113178253173828
2014-04-10,30.269367218017578
2014-04-11,29.445175170898438
2014-04-14,29.18025779724121
2014-04-15,28.640607833862305
2014-04-16,29.1900691986084
2014-04-17,29.82783317565918
2014-04-21,29.906328201293945
2014-04-22,30.40673065185547
2014-04-23,29.24894142150879
2014-04-24,28.836843490600586
2014-04-25,28.503244400024414
2014-04-28,27.571125030517578
2014-04-29,28.49343490600586
2014-04-30,28.738727569580078
2014-05-01,31.054309844970703
2014-05-02,31.397720336914062
2014-05-05,31.260356903076172
2014-05-06,30.583343505859375
2014-05-07,31.407533645629883
2014-05-08,31.132802963256836
2014-05-09,31.240734100341797
2014-05-12,31.69207763671875
2014-05-13,32.30040740966797
2014-05-14,32.2219123840332
2014-05-15,32.634002685546875
2014-05-16,32.46720886230469
2014-05-19,33.14421844482422
2014-05-20,32.67325210571289
2014-05-21,32.977420806884766
2014-05-22,32.820430755615234
2014-05-23,33.32083511352539
2014-05-27,33.67405319213867
2014-05-28,33.7525520324707
2014-05-29,34.203895568847656
2014-05-30,33.683868408203125
2014-06-02,33.899723052978516
2014-06-03,33.55631637573242
2014-06-04,33.63480758666992
2014-06-05,32.859676361083984
2014-06-06,33.13440704345703
2014-06-09,33.25214767456055
2014-06-10,32.712501525878906
2014-06-11,32.57513427734375
2014-06-12,32.39852523803711
2014-06-13,32.29059600830078
2014-06-16,32.33965301513672
2014-06-17,32.437774658203125
2014-06-18,32.064918518066406
2014-06-19,32.37889862060547
2014-06-20,32.535888671875
2014-06-23,32.437774658203125
2014-06-24,32.15323257446289
2014-06-25,32.39852523803711
2014-06-26,32.653629302978516
2014-06-27,32.653629302978516
2014-06-30,32.98722839355469
2014-07-01,32.78118133544922
2014-07-02,32.72230911254883
2014-07-03,32.70269012451172
2014-07-07,32.36909484863281
2014-07-08,31.937374114990234
2014-07-09,32.4083366394043
2014-07-10,32.26116180419922
2014-07-11,32.86949157714844
2014-07-14,32.39852523803711
2014-07-15,31.495840072631836
2014-07-16,31.63320541381836
2014-07-17,31.35847282409668
2014-07-18,31.613584518432617
2014-07-21,31.191675186157227
2014-07-22,31.034685134887695
2014-07-23,30.907133102416992
2014-07-24,30.553909301757812
2014-07-25,30.602968215942383
2014-07-28,30.563718795776367
2014-07-29,30.553909301757812
2014-07-30,30.3576717376709
2014-07-31,32.32002258300781
2014-08-01,32.790992736816406
2014-08-04,33.05591583251953
2014-08-05,33.27177429199219
2014-08-06,30.475414276123047
2014-08-07,29.29800033569336
2014-08-08,29.376495361328125
2014-08-11,28.88590431213379
2014-08-12,29.052705764770508
2014-08-13,28.591550827026367
2014-08-14,28.150020599365234
2014-08-15,28.513057708740234
2014-08-18,28.297195434570312
2014-08-19,28.405126571655273
2014-08-20,29.121387481689453
2014-08-21,28.61117172241211
2014-08-22,28.47381019592285
2014-08-25,28.67985725402832
2014-08-26,28.91533851623535
2014-08-27,28.88590431213379
2014-08-28,29.27837562561035
2014-08-29,29.513858795166016
2014-09-02,29.857271194458008
2014-09-03,29.906328201293945
2014-09-04,29.670846939086914
2014-09-05,30.09275245666504
2014-09-08,30.210498809814453
2014-09-09,29.71009635925293
2014-09-10,29.945579528808594
2014-09-11,29.87689781188965
2014-09-12,30.249744415283203
2014-09-15,29.808210372924805
2014-09-16,29.71009635925293
2014-09-17,29.857271194458008
2014-09-18,29.906328201293945
2014-09-19,29.504047393798828
2014-09-22,28.43456268310547
2014-09-23,27.904726028442383
2014-09-24,28.346254348754883
2014-09-25,27.95378303527832
2014-09-26,28.356067657470703
2014-09-29,28.43456268310547
2014-09-30,28.326631546020508
2014-10-01,27.580936431884766
2014-10-02,28.25794792175293
2014-10-03,28.532678604125977
2014-10-06,28.77797508239746
2014-10-07,28.287385940551758
2014-10-08,28.39531707763672
2014-10-09,27.85566520690918
2014-10-10,27.090347290039062
2014-10-13,26.4133358001709
2014-10-14,25.912931442260742
2014-10-15,25.255542755126953
2014-10-16,25.186861038208008
2014-10-17,25.61857795715332
2014-10-20,26.452577590942383
2014-10-21,26.84505271911621
2014-10-22,26.540884017944336
2014-10-23,27.24733543395996
2014-10-24,27.590749740600586
2014-10-27,27.463193893432617
2014-10-28,28.307008743286133
2014-10-29,28.051902770996094
2014-10-30,28.307008743286133
2014-10-31,28.640607833862305
2014-11-03,28.758350372314453
2014-11-04,27.91453742980957
2014-11-05,28.002843856811523
2014-11-06,27.629993438720703
2014-11-07,27.806608200073242
2014-11-10,28.25794792175293
2014-11-11,27.993032455444336
2014-11-12,27.826231002807617
2014-11-13,27.443571090698242
2014-11-14,28.012653350830078
2014-11-17,27.423948287963867
2014-11-18,27.3454532623291
2014-11-19,26.933359146118164
2014-11-20,27.394512176513672
2014-11-21,27.983219146728516
2014-11-24,28.336442947387695
2014-11-25,28.39531707763672
2014-11-26,28.689668655395508
2014-11-28,28.640607833862305
2014-12-01,28.022464752197266
2014-12-02,27.45338249206543
2014-12-03,27.76736068725586
2014-12-04,27.904726028442383
2014-12-05,27.65943145751953
2014-12-08,27.66924285888672
2014-12-09,25.36347198486328
2014-12-10,24.86307144165039
2014-12-11,25.157424926757812
2014-12-12,24.833635330200195
2014-12-15,24.774763107299805
2014-12-16,24.107561111450195
2014-12-17,24.627586364746094
2014-12-18,25.42234230041504
2014-12-19,25.952178955078125
2014-12-22,26.1778507232666
2014-12-23,26.099355697631836
2014-12-24,26.16803741455078
2014-12-26,26.521265029907227
