,STE
2014-01-02,41.47072219848633
2014-01-03,41.576171875
2014-01-06,41.69921112060547
2014-01-07,42.45497512817383
2014-01-08,42.81529235839844
2014-01-09,43.360145568847656
2014-01-10,42.99106216430664
2014-01-13,42.99106216430664
2014-01-14,43.47439956665039
2014-01-15,43.52711486816406
2014-01-16,43.64137268066406
2014-01-17,43.412879943847656
2014-01-21,43.58863830566406
2014-01-22,43.729244232177734
2014-01-23,43.28984451293945
2014-01-24,42.331939697265625
2014-01-27,41.18952178955078
2014-01-28,41.25979995727539
2014-01-29,40.87313461303711
2014-01-30,41.00495529174805
2014-01-31,40.328285217285156
2014-02-03,38.65855026245117
2014-02-04,38.37733459472656
2014-02-05,38.3421745300293
2014-02-06,38.5794563293457
2014-02-07,38.298240661621094
2014-02-10,38.72887420654297
2014-02-11,39.41431427001953
2014-02-12,39.27370834350586
2014-02-13,39.81857681274414
2014-02-14,39.76583480834961
2014-02-18,39.95918273925781
2014-02-19,39.15947723388672
2014-02-20,39.83613967895508
2014-02-21,39.721900939941406
2014-02-24,39.89847946166992
2014-02-25,40.039737701416016
2014-02-26,40.79903793334961
2014-02-27,40.878501892089844
2014-02-28,40.74607849121094
2014-03-03,40.78139114379883
2014-03-04,41.87619400024414
2014-03-05,41.48771286010742
2014-03-06,41.9379997253418
2014-03-07,41.8320426940918
2014-03-10,41.84969711303711
2014-03-11,41.2051887512207
2014-03-12,41.12571716308594
2014-03-13,40.843196868896484
2014-03-14,40.613643646240234
2014-03-17,41.08157730102539
2014-03-18,41.699615478515625
2014-03-19,41.52302551269531
2014-03-20,41.999794006347656
2014-03-21,42.167537689208984
2014-03-24,42.06159591674805
2014-03-25,42.176368713378906
2014-03-26,41.92915725708008
2014-03-27,41.999794006347656
2014-03-28,41.840877532958984
2014-03-31,42.158729553222656
2014-04-01,43.09459686279297
2014-04-02,45.20474624633789
2014-04-03,45.30187225341797
2014-04-04,44.52489471435547
2014-04-07,44.127601623535156
2014-04-08,44.09226989746094
2014-04-09,44.613197326660156
2014-04-10,43.589027404785156
2014-04-11,43.129913330078125
2014-04-14,43.765594482421875
2014-04-15,44.003990173339844
2014-04-16,43.74794006347656
2014-04-17,43.68616485595703
2014-04-21,43.96867752075195
2014-04-22,44.1982421875
2014-04-23,43.99516677856445
2014-04-24,44.012821197509766
2014-04-25,43.23584747314453
2014-04-28,43.20053482055664
2014-04-29,42.820899963378906
2014-04-30,42.423583984375
2014-05-01,42.46773147583008
2014-05-02,42.61783981323242
2014-05-05,42.64431381225586
2014-05-06,42.37944030761719
2014-05-07,42.06159591674805
2014-05-08,45.67267990112305
2014-05-09,47.48262023925781
2014-05-12,48.5686149597168
2014-05-13,47.56210708618164
2014-05-14,46.83811950683594
2014-05-15,46.423152923583984
2014-05-16,46.82928466796875
2014-05-19,46.98821258544922
2014-05-20,46.49378967285156
2014-05-21,46.83811950683594
2014-05-22,47.00586700439453
2014-05-23,47.129478454589844
2014-05-27,47.58859634399414
2014-05-28,47.456138610839844
2014-05-29,47.367862701416016
2014-05-30,47.25307846069336
2014-06-02,46.47611618041992
2014-06-03,46.236778259277344
2014-06-04,46.56476593017578
2014-06-05,46.87502670288086
2014-06-06,46.90160369873047
2014-06-09,47.19413757324219
2014-06-10,46.954795837402344
2014-06-11,46.72433090209961
2014-06-12,46.21905517578125
2014-06-13,46.050636291503906
2014-06-16,46.0683708190918
2014-06-17,46.05949401855469
2014-06-18,46.307701110839844
2014-06-19,46.635684967041016
2014-06-20,47.17641830444336
2014-06-23,46.742061614990234
2014-06-24,46.999122619628906
2014-06-25,47.58418273925781
2014-06-26,47.371429443359375
2014-06-27,47.3891716003418
2014-06-30,47.40689468383789
2014-07-01,48.25787353515625
2014-07-02,48.02738952636719
2014-07-03,48.48833465576172
2014-07-07,47.7348747253418
2014-07-08,47.49553680419922
2014-07-09,47.7348747253418
2014-07-10,47.433475494384766
2014-07-11,48.20468521118164
2014-07-14,48.036277770996094
2014-07-15,47.415740966796875
2014-07-16,46.990264892578125
2014-07-17,46.71546173095703
2014-07-18,47.415740966796875
2014-07-21,46.96366500854492
2014-07-22,47.81464385986328
2014-07-23,47.56644821166992
2014-07-24,47.22073745727539
2014-07-25,46.71546173095703
2014-07-28,46.71546173095703
2014-07-29,46.458396911621094
2014-07-30,46.28110122680664
2014-07-31,45.10212707519531
2014-08-01,44.70323944091797
2014-08-04,45.55422592163086
2014-08-05,46.27224349975586
2014-08-06,45.6783332824707
2014-08-07,45.20851516723633
2014-08-08,45.6783332824707
2014-08-11,45.85561752319336
2014-08-12,46.458396911621094
2014-08-13,47.24732971191406
2014-08-14,47.47780990600586
2014-08-15,47.57530975341797
2014-08-18,48.444026947021484
2014-08-19,48.76314926147461
2014-08-20,48.75428009033203
2014-08-21,49.16205596923828
2014-08-22,49.268863677978516
2014-08-25,49.72282791137695
2014-08-26,49.92756271362305
2014-08-27,49.79403305053711
2014-08-28,49.66941452026367
2014-08-29,50.10558319091797
2014-09-02,50.8621940612793
2014-09-03,50.39041519165039
2014-09-04,50.27470397949219
2014-09-05,50.68416213989258
2014-09-08,50.73757553100586
2014-09-09,50.265804290771484
2014-09-10,50.265804290771484
2014-09-11,50.7820930480957
2014-09-12,50.24799728393555
2014-09-15,50.36372375488281
2014-09-16,50.426021575927734
2014-09-17,50.034366607666016
2014-09-18,50.20349884033203
2014-09-19,49.847442626953125
2014-09-22,49.411277770996094
2014-09-23,49.0908203125
2014-09-24,49.518089294433594
2014-09-25,48.64575958251953
2014-09-26,48.53004455566406
2014-09-29,48.512245178222656
2014-09-30,48.03157424926758
2014-10-01,47.97816467285156
2014-10-02,48.00486755371094
2014-10-03,48.627960205078125
2014-10-06,49.1887321472168
2014-10-07,49.98986053466797
2014-10-08,51.35175323486328
2014-10-09,51.18263244628906
2014-10-10,50.185699462890625
2014-10-13,50.34592056274414
2014-10-14,48.948402404785156
2014-10-15,48.89500045776367
2014-10-16,48.948402404785156
2014-10-17,48.59235763549805
2014-10-20,50.07888412475586
2014-10-21,50.45273208618164
2014-10-22,52.482242584228516
2014-10-23,53.71953201293945
2014-10-24,53.05191421508789
2014-10-27,53.123146057128906
2014-10-28,53.71953201293945
2014-10-29,53.78183364868164
2014-10-30,54.155696868896484
2014-10-31,55.010223388671875
2014-11-03,53.870845794677734
2014-11-04,55.57989501953125
2014-11-05,55.77572250366211
2014-11-06,56.060585021972656
2014-11-07,55.56209182739258
2014-11-10,56.6480712890625
2014-11-11,57.404666900634766
2014-11-12,57.360164642333984
2014-11-13,57.796321868896484
2014-11-14,56.6213493347168
2014-11-17,56.318721771240234
2014-11-18,55.998260498046875
2014-11-19,55.35737609863281
2014-11-20,55.24165344238281
2014-11-21,55.27725601196289
2014-11-24,56.554874420166016
2014-11-25,55.84906005859375
2014-11-26,56.47447204589844
2014-11-28,56.95691680908203
2014-12-01,56.554874420166016
2014-12-02,57.0462646484375
2014-12-03,57.01947784423828
2014-12-04,56.73357009887695
2014-12-05,58.25241470336914
2014-12-08,58.225616455078125
2014-12-09,60.49494934082031
2014-12-10,58.96717071533203
2014-12-11,59.23520278930664
2014-12-12,58.56513214111328
2014-12-15,58.073734283447266
2014-12-16,56.876522064208984
2014-12-17,58.341773986816406
2014-12-18,58.45790481567383
2014-12-19,59.53896713256836
2014-12-22,59.485389709472656
2014-12-23,58.88674545288086
2014-12-24,59.64619445800781
2014-12-26,59.59257507324219
2014-12-29,59.26201629638672
2014-12-30,58.824214935302734
2014-12-31,57.939697265625
2015-01-02,58.21668243408203
2015-01-05,57.63594436645508
2015-01-06,57.67168045043945
2015-01-07,58.136268615722656
2015-01-08,59.66404724121094
2015-01-09,59.011844635009766
2015-01-12,57.87717056274414
2015-01-13,57.87717056274414
2015-01-14,57.33217239379883
2015-01-15,56.53700256347656
2015-01-16,57.79677963256836
2015-01-20,57.49299621582031
2015-01-21,57.65381622314453
2015-01-22,58.97610855102539
2015-01-23,59.127986907958984
2015-01-26,60.06610870361328
2015-01-27,59.583648681640625
2015-01-28,58.39535903930664
2015-01-29,59.404964447021484
2015-01-30,58.27030563354492
2015-02-02,57.95759201049805
2015-02-03,59.8606071472168
2015-02-04,59.99462127685547
2015-02-05,60.51283264160156
2015-02-06,59.8427619934082
2015-02-09,58.65446090698242
2015-02-10,59.0565185546875
2015-02-11,58.815284729003906
2015-02-12,58.833152770996094
2015-02-13,58.52045440673828
2015-02-17,58.35962677001953
2015-02-18,58.95823287963867
2015-02-19,58.38642883300781
2015-02-20,59.30669403076172
2015-02-23,58.759796142578125
2015-02-24,58.598392486572266
2015-02-25,58.09634780883789
2015-02-26,57.63910675048828
2015-02-27,57.845298767089844
2015-03-02,58.26668167114258
2015-03-03,56.85910415649414
2015-03-04,56.74254608154297
2015-03-05,57.61219787597656
2015-03-06,56.82323455810547
2015-03-09,57.27150344848633
2015-03-10,58.09634780883789
2015-03-11,57.630123138427734
2015-03-12,58.454959869384766
2015-03-13,59.08255386352539
2015-03-16,60.92942810058594
2015-03-17,60.463226318359375
2015-03-18,60.14047622680664
2015-03-19,61.117698669433594
2015-03-20,62.27425003051758
2015-03-23,61.978389739990234
2015-03-24,62.01425552368164
2015-03-25,61.22527313232422
2015-03-26,61.332889556884766
2015-03-27,62.07699966430664
2015-03-30,63.09905242919922
2015-03-31,63.00043869018555
2015-04-01,61.53908920288086
2015-04-02,61.98736572265625
2015-04-06,62.534244537353516
2015-04-07,62.68667221069336
2015-04-08,63.35908889770508
2015-04-09,63.35011291503906
2015-04-10,63.34115219116211
2015-04-13,62.92873001098633
2015-04-14,62.18459701538086
2015-04-15,62.2652702331543
2015-04-16,62.06804275512695
2015-04-17,61.98736572265625
2015-04-20,62.4893913269043
2015-04-21,62.937705993652344
2015-04-22,63.14389419555664
2015-04-23,63.38594436645508
2015-04-24,63.43977355957031
2015-04-27,61.79011535644531
2015-04-28,62.32802200317383
2015-04-29,61.054927825927734
2015-04-30,59.62046432495117
2015-05-01,59.907371520996094
2015-05-04,60.92942810058594
2015-05-05,60.06874084472656
2015-05-06,59.61151123046875
2015-05-07,60.3108024597168
2015-05-08,61.08183288574219
2015-05-11,60.5080451965332
2015-05-12,60.10460662841797
2015-05-13,60.5080451965332
2015-05-14,61.96943664550781
2015-05-15,62.39079666137695
2015-05-18,63.34115219116211
2015-05-19,63.125980377197266
2015-05-20,62.964599609375
2015-05-21,62.435638427734375
2015-05-22,61.978389739990234
2015-05-26,61.52116394042969
2015-05-27,59.297706604003906
2015-05-28,59.30667495727539
2015-05-29,59.91632080078125
2015-06-01,60.690032958984375
2015-06-02,60.17722702026367
2015-06-03,60.06926727294922
2015-06-04,58.009090423583984
2015-06-05,57.82014465332031
2015-06-08,57.586246490478516
2015-06-09,57.11845016479492
2015-06-10,57.61323928833008
2015-06-11,57.982093811035156
2015-06-12,57.11845016479492
2015-06-15,56.78556823730469
2015-06-16,57.42431640625
2015-06-17,57.47829818725586
