,ODFL
2014-01-02,16.85863494873047
2014-01-03,16.958690643310547
2014-01-06,16.806995391845703
2014-01-07,17.02002716064453
2014-01-08,17.061986923217773
2014-01-09,17.329891204833984
2014-01-10,17.83987045288086
2014-01-13,17.752727508544922
2014-01-14,17.87860107421875
2014-01-15,18.014171600341797
2014-01-16,17.94316864013672
2014-01-17,17.875383377075195
2014-01-21,18.120691299438477
2014-01-22,18.398286819458008
2014-01-23,18.19170379638672
2014-01-24,17.80436897277832
2014-01-27,17.055524826049805
2014-01-28,17.21046257019043
2014-01-29,17.252424240112305
2014-01-30,17.52678871154785
2014-01-31,17.507415771484375
2014-02-03,16.79085350036621
2014-02-04,17.013568878173828
2014-02-05,16.9974308013916
2014-02-06,16.945783615112305
2014-02-07,16.971601486206055
2014-02-10,16.907054901123047
2014-02-11,17.06521987915039
2014-02-12,17.181407928466797
2014-02-13,17.239513397216797
2014-02-14,17.417036056518555
2014-02-18,17.223373413085938
2014-02-19,16.8812255859375
2014-02-20,17.08780860900879
2014-02-21,17.094263076782227
2014-02-24,17.042619705200195
2014-02-25,17.091035842895508
2014-02-26,17.34280014038086
2014-02-27,17.042619705200195
2014-02-28,17.184635162353516
2014-03-03,17.06521987915039
2014-03-04,17.362173080444336
2014-03-05,17.720447540283203
2014-03-06,18.091642379760742
2014-03-07,18.211074829101562
2014-03-10,18.327266693115234
2014-03-11,18.152973175048828
2014-03-12,18.220760345458984
2014-03-13,18.049678802490234
2014-03-14,18.272401809692383
2014-03-17,18.404735565185547
2014-03-18,18.401506423950195
2014-03-19,18.39505958557129
2014-03-20,18.249801635742188
2014-03-21,18.2982234954834
2014-03-24,18.123920440673828
2014-03-25,18.01095199584961
2014-03-26,17.646215438842773
2014-03-27,17.571971893310547
2014-03-28,17.885066986083984
2014-03-31,18.314359664916992
2014-04-01,18.324039459228516
2014-04-02,18.324039459228516
2014-04-03,18.327266693115234
2014-04-04,18.088411331176758
2014-04-07,17.83342933654785
2014-04-08,17.678491592407227
2014-04-09,17.978673934936523
2014-04-10,17.601028442382812
2014-04-11,17.58488655090332
2014-04-14,17.591341018676758
2014-04-15,17.510643005371094
2014-04-16,17.765640258789062
2014-04-17,17.849563598632812
2014-04-21,18.02385711669922
2014-04-22,18.39505958557129
2014-04-23,18.223983764648438
2014-04-24,18.93086051940918
2014-04-25,19.130985260009766
2014-04-28,19.20522689819336
2014-04-29,19.050296783447266
2014-04-30,19.569969177246094
2014-05-01,19.466676712036133
2014-05-02,19.602235794067383
2014-05-05,19.35693359375
2014-05-06,19.321422576904297
2014-05-07,19.363386154174805
2014-05-08,19.398887634277344
2014-05-09,19.29559898376465
2014-05-12,19.699073791503906
2014-05-13,19.886280059814453
2014-05-14,19.757171630859375
2014-05-15,19.718433380126953
