,CARR
2020-03-19,11.295011520385742
2020-03-20,12.000950813293455
2020-03-23,10.862035751342772
2020-03-24,11.012635231018066
2020-03-25,12.659823417663574
2020-03-26,14.54232692718506
2020-03-27,13.69520092010498
2020-03-30,14.965888023376465
2020-03-31,16.236583709716797
2020-04-01,14.1658296585083
2020-04-02,12.4998140335083
2020-04-03,15.925969123840332
2020-04-06,14.532913208007812
2020-04-07,14.354076385498049
2020-04-08,13.422239303588867
2020-04-09,13.911687850952148
2020-04-13,13.168099403381348
2020-04-14,13.055150985717772
2020-04-15,12.575111389160156
2020-04-16,12.132725715637209
2020-04-17,12.93278980255127
2020-04-20,13.601075172424316
2020-04-21,13.826974868774414
2020-04-22,13.921100616455078
2020-04-23,14.796466827392578
2020-04-24,15.295331001281738
2020-04-27,15.813014030456545
2020-04-28,16.001266479492188
2020-04-29,16.60366439819336
2020-04-30,16.669557571411133
2020-05-01,15.784781455993652
2020-05-04,15.436516761779783
2020-05-05,15.031777381896973
2020-05-06,15.332978248596191
2020-05-07,15.445929527282717
2020-05-08,17.281370162963867
2020-05-11,17.271955490112305
2020-05-12,16.754268646240234
2020-05-13,15.474165916442873
2020-05-14,15.577704429626465
2020-05-15,15.728304862976074
2020-05-18,16.518957138061523
2020-05-19,16.726032257080078
2020-05-20,17.6296329498291
2020-05-21,18.307334899902344
2020-05-22,17.930828094482422
2020-05-26,18.363805770874023
2020-05-27,18.815610885620117
2020-05-28,18.44851875305176
2020-05-29,19.267406463623047
2020-06-01,20.538095474243164
2020-06-02,20.105121612548828
2020-06-03,20.914596557617188
2020-06-04,21.34757423400879
2020-06-05,22.17587661743164
2020-06-08,22.938289642333984
2020-06-09,21.846435546875
2020-06-10,20.895771026611328
2020-06-11,19.82274627685547
2020-06-12,20.274547576904297
2020-06-15,20.679285049438477
2020-06-16,20.77341079711914
2020-06-17,20.010995864868164
2020-06-18,20.00158309936523
2020-06-19,20.189838409423828
2020-06-22,21.4040470123291
2020-06-23,21.07461166381836
2020-06-24,20.538095474243164
2020-06-25,20.330257415771484
2020-06-26,19.8106632232666
2020-06-29,20.89708709716797
2020-06-30,20.991559982299805
2020-07-01,21.35999870300293
2020-07-02,21.64341163635254
2020-07-06,22.871538162231445
2020-07-07,22.682600021362305
2020-07-08,22.66370391845703
2020-07-09,22.5881290435791
2020-07-10,23.51394844055176
2020-07-13,22.937673568725582
2020-07-14,23.75957298278809
2020-07-15,24.98769760131836
2020-07-16,25.138856887817383
2020-07-17,25.016048431396484
2020-07-20,24.949914932250977
2020-07-21,25.101070404052734
2020-07-22,25.129409790039062
2020-07-23,25.83794403076172
2020-07-24,25.110515594482425
2020-07-27,24.798757553100582
2020-07-28,24.62870979309082
2020-07-29,25.677343368530273
2020-07-30,25.412822723388672
2020-07-31,25.73402404785156
2020-08-03,26.093019485473633
2020-08-04,26.23472785949707
2020-08-05,26.555925369262695
2020-08-06,26.707080841064453
2020-08-07,27.36838150024414
2020-08-10,27.8312931060791
2020-08-11,27.859630584716797
2020-08-12,28.14305305480957
2020-08-13,27.90687370300293
2020-08-14,27.887977600097656
2020-08-17,28.190282821655273
2020-08-18,27.8312931060791
2020-08-19,27.63290786743164
2020-08-20,27.40616798400879
2020-08-21,27.887977600097656
2020-08-24,28.700429916381836
2020-08-25,28.78545188903809
2020-08-26,29.314496994018555
2020-08-27,28.605958938598633
2020-08-28,28.62485694885254
2020-08-31,28.199731826782227
2020-09-01,28.62485694885254
2020-09-02,29.07831764221191
2020-09-03,27.70848274230957
2020-09-04,28.3414363861084
2020-09-08,27.935211181640625
2020-09-09,28.46425437927246
2020-09-10,27.52898406982422
2020-09-11,27.623455047607425
2020-09-14,27.53843116760254
2020-09-15,28.0485782623291
2020-09-16,28.577617645263672
2020-09-17,28.96495246887207
2020-09-18,29.08776473999023
2020-09-21,27.878528594970703
2020-09-22,28.587064743041992
2020-09-23,27.500646591186523
2020-09-24,28.228073120117188
2020-09-25,28.804349899291992
2020-09-28,29.04052734375
2020-09-29,28.813796997070312
2020-09-30,28.851587295532227
2020-10-01,29.06886863708496
2020-10-02,29.50343894958496
2020-10-05,30.30645179748535
2020-10-06,29.76795959472656
2020-10-07,30.344234466552734
2020-10-08,30.18363571166992
2020-10-09,30.448156356811523
2020-10-12,31.17558860778809
2020-10-13,30.69378089904785
2020-10-14,30.71266746520996
2020-10-15,30.79769515991211
2020-10-16,30.9488468170166
2020-10-19,30.533180236816406
2020-10-20,31.392866134643555
2020-10-21,31.50622940063477
2020-10-22,32.0163688659668
2020-10-23,32.99888229370117
2020-10-26,31.84632873535156
2020-10-27,31.74240493774414
2020-10-28,31.45899200439453
2020-10-29,32.26393508911133
2020-10-30,31.61998176574707
2020-11-02,33.23933792114258
2020-11-03,34.991275787353516
2020-11-04,34.83027648925781
2020-11-05,36.175010681152344
2020-11-06,36.88525390625
2020-11-09,36.74319839477539
2020-11-10,35.80567932128906
2020-11-11,36.04243469238281
2020-11-12,35.94773483276367
2020-11-13,36.2602424621582
2020-11-16,38.35308837890625
2020-11-17,38.22050476074219
2020-11-18,37.30192565917969
2020-11-19,37.05570983886719
2020-11-20,36.49698257446289
2020-11-23,36.71479797363281
2020-11-24,37.28298568725586
2020-11-25,36.56326675415039
2020-11-27,35.80567932128906
2020-11-30,36.051902770996094
2020-12-01,35.606815338134766
2020-12-02,34.87762451171875
2020-12-03,34.74504470825195
2020-12-04,35.70150375366211
2020-12-07,34.88710021972656
2020-12-08,35.322715759277344
2020-12-09,35.83408737182617
2020-12-10,35.549991607666016
2020-12-11,35.19013595581055
2020-12-14,34.67875671386719
2020-12-15,35.67310333251953
2020-12-16,35.985618591308594
2020-12-17,36.64850616455078
2020-12-18,36.73373031616211
2020-12-21,36.478050231933594
2020-12-22,36.12656021118164
2020-12-23,36.250057220458984
2020-12-24,35.993568420410156
2020-12-28,35.87007522583008
2020-12-29,35.309600830078125
2020-12-30,35.841575622558594
