,SYF
2014-07-31,18.679597854614254
2014-08-01,18.679597854614254
2014-08-04,18.679597854614254
2014-08-05,18.679597854614254
2014-08-06,18.66335105895996
2014-08-07,18.62274742126465
2014-08-08,18.638994216918945
2014-08-11,18.62274742126465
2014-08-12,18.679597854614254
2014-08-13,18.825782775878903
2014-08-14,18.68771743774414
2014-08-15,18.679597854614254
2014-08-18,18.817663192749023
2014-08-19,19.824731826782227
2014-08-20,20.45821952819824
2014-08-21,20.62064743041992
2014-08-22,20.59628677368164
2014-08-25,20.401371002197266
2014-08-26,20.344512939453125
2014-08-27,20.685617446899418
2014-08-28,20.864294052124023
2014-08-29,20.94551658630371
2014-09-02,20.94551658630371
2014-09-03,20.94551658630371
2014-09-04,20.87242126464844
2014-09-05,20.929264068603516
2014-09-08,20.17396545410156
2014-09-09,20.33639335632324
2014-09-10,20.06026268005371
2014-09-11,20.01965713500977
2014-09-12,19.89783096313477
2014-09-15,19.61357307434082
2014-09-16,19.74351692199707
2014-09-17,19.938430786132812
2014-09-18,20.035898208618164
2014-09-19,20.63689422607422
2014-09-22,20.17396545410156
2014-09-23,19.962804794311523
2014-09-24,20.238933563232425
2014-09-25,20.0034122467041
2014-09-26,20.117109298706055
2014-09-29,20.06026268005371
2014-09-30,19.938430786132812
2014-10-01,19.67042350769043
2014-10-02,19.962804794311523
2014-10-03,20.165842056274418
2014-10-06,20.303905487060547
2014-10-07,20.182083129882812
2014-10-08,20.320159912109375
2014-10-09,19.938430786132812
2014-10-10,19.65418243408203
2014-10-13,19.865345001220703
2014-10-14,20.182083129882812
2014-10-15,19.914073944091797
2014-10-16,19.979049682617188
2014-10-17,20.125234603881836
2014-10-20,20.068382263183594
2014-10-21,20.441974639892575
2014-10-22,20.612529754638672
2014-10-23,20.961755752563477
2014-10-24,21.205398559570312
2014-10-27,21.546510696411133
2014-10-28,21.806400299072266
2014-10-29,21.928224563598633
2014-10-30,21.757671356201172
2014-10-31,21.94446563720703
2014-11-03,22.2043514251709
2014-11-04,21.93634605407715
2014-11-05,22.3099365234375
2014-11-06,22.39927101135254
2014-11-07,22.86219787597656
2014-11-10,23.365734100341797
2014-11-11,23.641870498657227
2014-11-12,23.5768985748291
2014-11-13,23.54441261291504
2014-11-14,23.5931396484375
2014-11-17,23.658111572265625
2014-11-18,23.51192855834961
2014-11-19,23.503807067871097
2014-11-20,23.74744987487793
2014-11-21,23.690603256225582
2014-11-24,23.52817153930664
2014-11-25,23.276405334472656
2014-11-26,23.390098571777344
2014-11-28,23.560657501220703
2014-12-01,23.455074310302734
2014-12-02,23.5931396484375
2014-12-03,23.552534103393555
2014-12-04,23.67436408996582
2014-12-05,23.755569458007812
2014-12-08,23.966733932495117
2014-12-09,23.974855422973633
2014-12-10,24.0804386138916
2014-12-11,23.974855422973633
2014-12-12,23.552534103393555
2014-12-15,23.252033233642575
2014-12-16,23.09772491455078
2014-12-17,23.4713134765625
2014-12-18,24.161649703979492
2014-12-19,24.364688873291016
2014-12-22,24.24286842346191
2014-12-23,24.364688873291016
2014-12-24,24.454023361206055
2014-12-26,24.770769119262695
2014-12-29,24.738279342651367
2014-12-30,24.364688873291016
2014-12-31,24.161649703979492
2015-01-02,23.942365646362305
2015-01-05,23.755569458007812
2015-01-06,23.43071174621582
2015-01-07,23.7149658203125
2015-01-08,24.34844398498535
2015-01-09,24.121044158935547
2015-01-12,23.98298454284668
2015-01-13,24.129173278808594
2015-01-14,23.67436408996582
2015-01-15,23.16269874572754
2015-01-16,23.54441261291504
2015-01-20,23.63374900817871
2015-01-21,23.698720932006836
2015-01-22,23.5931396484375
2015-01-23,25.15247917175293
2015-01-26,25.44485855102539
2015-01-27,25.43673515319824
2015-01-28,25.379884719848633
2015-01-29,25.36363983154297
2015-01-30,25.063146591186523
2015-02-02,25.30678367614746
2015-02-03,25.282426834106445
2015-02-04,25.379884719848633
2015-02-05,25.98900032043457
2015-02-06,26.102703094482425
2015-02-09,26.31386375427246
2015-02-10,26.8904972076416
2015-02-11,27.24785041809082
2015-02-12,27.296573638916016
2015-02-13,26.63872528076172
2015-02-17,25.92403030395508
2015-02-18,25.91590881347656
2015-02-19,25.891542434692383
2015-02-20,26.468175888061523
2015-02-23,26.492536544799805
2015-02-24,26.28137588500977
2015-02-25,26.224529266357425
2015-02-26,26.35447883605957
2015-02-27,25.948394775390625
2015-03-02,25.956518173217773
2015-03-03,26.102703094482425
2015-03-04,25.899667739868164
2015-03-05,25.956518173217773
2015-03-06,25.339277267456055
2015-03-09,25.972761154174805
2015-03-10,25.25806999206543
2015-03-11,25.62352752685547
2015-03-12,25.899667739868164
2015-03-13,25.842811584472656
2015-03-16,25.948394775390625
2015-03-17,26.175798416137695
2015-03-18,25.92403030395508
2015-03-19,26.28949928283691
2015-03-20,26.192041397094727
2015-03-23,25.810333251953125
2015-03-24,25.704748153686523
2015-03-25,25.11187171936035
2015-03-26,24.860107421875
2015-03-27,24.41341781616211
2015-03-30,24.60021591186523
2015-03-31,24.64894676208496
2015-04-01,24.697677612304688
2015-04-02,24.860107421875
2015-04-06,24.2347412109375
2015-04-07,24.169775009155273
2015-04-08,24.3403263092041
2015-04-09,24.478391647338867
2015-04-10,24.843860626220703
2015-04-13,24.88446998596191
2015-04-14,24.787012100219727
2015-04-15,24.91695785522461
2015-04-16,24.99005126953125
2015-04-17,24.787012100219727
2015-04-20,25.095632553100582
2015-04-21,25.339277267456055
2015-04-22,25.209331512451172
2015-04-23,25.144367218017575
2015-04-24,25.030656814575195
2015-04-27,24.86823272705078
2015-04-28,24.900714874267575
2015-04-29,24.965686798095703
2015-04-30,25.298667907714844
2015-05-01,25.599170684814453
2015-05-04,25.75347328186035
2015-05-05,25.94027328491211
2015-05-06,26.062097549438477
2015-05-07,26.516902923583984
2015-05-08,26.963592529296875
2015-05-11,26.711822509765625
2015-05-12,26.898616790771484
2015-05-13,26.71994972229004
2015-05-14,26.614356994628903
2015-05-15,25.83469009399414
2015-05-18,25.85905647277832
2015-05-19,26.03773307800293
2015-05-20,26.516902923583984
2015-05-21,26.370718002319336
2015-05-22,26.395078659057617
2015-05-26,26.08646011352539
2015-05-27,26.36259651184082
2015-05-28,26.41944122314453
2015-05-29,26.224529266357425
2015-06-01,26.321985244750977
2015-06-02,26.516902923583984
2015-06-03,26.94734764099121
2015-06-04,26.598121643066406
2015-06-05,26.63872528076172
2015-06-08,26.516902923583984
2015-06-09,26.68745994567871
2015-06-10,27.0448055267334
2015-06-11,26.97983741760254
2015-06-12,26.898616790771484
2015-06-15,26.776796340942383
2015-06-16,26.395078659057617
2015-06-17,26.598121643066406
2015-06-18,26.65497589111328
2015-06-19,26.736186981201172
2015-06-22,26.728065490722656
2015-06-23,26.79305076599121
2015-06-24,26.60624122619629
2015-06-25,26.6468505859375
2015-06-26,26.55751037597656
2015-06-29,26.175798416137695
2015-06-30,26.74431037902832
2015-07-01,27.061054229736328
2015-07-02,26.91485595703125
2015-07-06,26.395078659057617
2015-07-07,26.395078659057617
2015-07-08,25.997129440307617
2015-07-09,26.47629737854004
2015-07-10,26.858013153076172
2015-07-13,27.085412979125977
2015-07-14,27.426517486572266
2015-07-15,27.727012634277344
2015-07-16,27.718894958496097
2015-07-17,28.49044609069824
2015-07-20,29.22950553894043
2015-07-21,28.92088508605957
2015-07-22,28.97774314880371
2015-07-23,28.93712997436523
2015-07-24,28.16558074951172
2015-07-27,28.116851806640625
2015-07-28,27.800111770629883
2015-07-29,28.003150939941406
2015-07-30,28.100605010986328
2015-07-31,27.90569305419922
2015-08-03,27.90569305419922
2015-08-04,27.946300506591797
2015-08-05,28.068130493164062
2015-08-06,27.718894958496097
2015-08-07,27.597076416015625
2015-08-10,28.116851806640625
2015-08-11,28.15745735168457
2015-08-12,28.392986297607425
2015-08-13,28.555421829223633
2015-08-14,28.539175033569336
2015-08-17,28.68536949157715
2015-08-18,28.539175033569336
2015-08-19,28.392986297607425
2015-08-20,27.90569305419922
2015-08-21,27.385910034179688
2015-08-24,26.922983169555664
2015-08-25,26.79305076599121
2015-08-26,26.533145904541016
2015-08-27,26.257022857666016
2015-08-28,26.516902923583984
2015-08-31,26.760555267333984
2015-09-01,25.75347328186035
2015-09-02,25.818449020385746
2015-09-03,26.1433162689209
2015-09-04,25.664142608642575
2015-09-08,26.216402053833008
2015-09-09,26.094585418701172
2015-09-10,26.062097549438477
2015-09-11,25.44485855102539
2015-09-14,25.314916610717773
2015-09-15,25.274309158325195
2015-09-16,25.079383850097656
2015-09-17,24.99005126953125
2015-09-18,24.81949806213379
2015-09-21,25.071269989013672
2015-09-22,24.835739135742188
2015-09-23,25.225576400756836
2015-09-24,25.03877639770508
2015-09-25,25.201215744018555
2015-09-28,25.30678367614746
2015-09-29,25.209331512451172
2015-09-30,25.420494079589844
2015-10-01,25.485464096069336
2015-10-02,25.842811584472656
2015-10-05,27.05293083190918
2015-10-06,26.63872528076172
2015-10-07,26.094585418701172
2015-10-08,26.28137588500977
2015-10-09,26.30574607849121
2015-10-12,26.26513671875
2015-10-13,25.842811584472656
2015-10-14,25.607290267944336
2015-10-15,25.43673515319824
2015-10-16,24.486509323120117
2015-10-19,25.45298194885254
2015-10-20,26.26513671875
2015-10-21,26.36259651184082
2015-10-22,25.85093688964844
2015-10-23,25.73723602294922
2015-10-26,25.501708984375
2015-10-27,25.76972198486328
2015-10-28,25.54231834411621
2015-10-29,25.11187171936035
2015-10-30,24.98192596435547
2015-11-02,25.44485855102539
2015-11-03,26.346349716186523
2015-11-04,26.053977966308594
2015-11-05,26.484413146972656
2015-11-06,27.597076416015625
2015-11-09,26.41132354736328
2015-11-10,25.2418212890625
2015-11-11,25.1199951171875
