,DPZ
2014-01-02,61.210060119628906
2014-01-03,61.2455940246582
2014-01-06,61.35213088989258
2014-01-07,61.85819625854492
2014-01-08,61.95588302612305
2014-01-09,62.39982223510742
2014-01-10,63.22554016113281
2014-01-13,62.99467468261719
2014-01-14,63.03908157348633
2014-01-15,63.22554016113281
2014-01-16,63.11012268066406
2014-01-17,63.61620330810547
2014-01-21,63.93583297729492
2014-01-22,65.1611099243164
2014-01-23,64.6816635131836
2014-01-24,63.198883056640625
2014-01-27,62.24886703491211
2014-01-28,62.026912689208984
2014-01-29,60.99695587158203
2014-01-30,61.769439697265625
2014-01-31,62.69279861450195
2014-02-03,60.002567291259766
2014-02-04,60.641841888427734
2014-02-05,59.63852310180664
2014-02-06,60.07358169555664
2014-02-07,61.707275390625
2014-02-10,62.044639587402344
2014-02-11,62.55961227416992
2014-02-12,62.870399475097656
2014-02-13,63.749359130859375
2014-02-14,64.0867919921875
2014-02-18,63.98020553588867
2014-02-19,63.784889221191406
2014-02-20,64.15779876708984
2014-02-21,65.03678131103516
2014-02-24,66.31533813476562
2014-02-25,66.61720275878906
2014-02-26,68.94346618652344
2014-02-27,69.24532318115234
2014-02-28,70.19535064697266
2014-03-03,69.94673919677734
2014-03-04,70.5682601928711
2014-03-05,70.2397232055664
2014-03-06,70.31080627441406
2014-03-07,70.4439697265625
2014-03-10,70.63927459716797
2014-03-11,70.18649291992188
2014-03-12,71.18406677246094
2014-03-13,70.28443145751953
2014-03-14,70.8633804321289
2014-03-17,71.27310943603516
2014-03-18,71.23748779296875
2014-03-19,69.71440124511719
2014-03-20,70.22211456298828
2014-03-21,69.0552978515625
2014-03-24,68.44071960449219
2014-03-25,68.2625732421875
2014-03-26,67.2828369140625
2014-03-27,67.03343200683594
2014-03-28,67.89739990234375
2014-03-31,68.55650329589844
2014-04-01,70.0261459350586
2014-04-02,69.65206146240234
2014-04-03,69.13545227050781
2014-04-04,67.1848373413086
2014-04-07,65.62612915039062
2014-04-08,67.46988677978516
2014-04-09,68.23587799072266
2014-04-10,66.16946411132812
2014-04-11,64.76216888427734
2014-04-14,65.6884536743164
2014-04-15,66.06256866455078
2014-04-16,66.77513885498047
2014-04-17,66.1605453491211
2014-04-21,66.23184204101562
2014-04-22,67.25609588623047
