,CB
2014-01-02,81.16991424560547
2014-01-03,80.9623794555664
2014-01-06,80.68305206298828
2014-01-07,80.0285873413086
2014-01-08,79.03893280029297
2014-01-09,78.93516540527344
2014-01-10,78.7515640258789
2014-01-13,77.8519287109375
2014-01-14,78.47848510742188
2014-01-15,78.71142578125
2014-01-16,78.15716552734375
2014-01-17,77.99652862548828
2014-01-21,77.41014862060547
2014-01-22,77.12096405029297
2014-01-23,75.65099334716797
2014-01-24,74.0525131225586
2014-01-27,74.74332427978516
2014-01-28,75.96428680419922
2014-01-29,75.53050231933594
2014-01-30,76.42212677001953
2014-01-31,75.3537826538086
2014-02-03,74.3818588256836
2014-02-04,74.57463073730469
2014-02-05,74.90397644042969
2014-02-06,75.09677124023438
2014-02-07,75.98836517333984
2014-02-10,76.33377075195312
2014-02-11,77.76356506347656
2014-02-12,76.87998962402344
2014-02-13,77.22540283203125
2014-02-14,77.8921127319336
2014-02-18,78.28568267822266
2014-02-19,77.65111541748047
2014-02-20,77.73944854736328
2014-02-21,78.0688247680664
2014-02-24,77.74749755859375
2014-02-25,77.53868103027344
2014-02-26,77.1932373046875
2014-02-27,77.7234115600586
2014-02-28,78.6150131225586
2014-03-03,77.45030975341797
2014-03-04,78.2937240600586
2014-03-05,78.44635009765625
2014-03-06,78.8399429321289
2014-03-07,78.53468322753906
2014-03-10,78.5588150024414
2014-03-11,78.18929290771484
2014-03-12,78.32585144042969
2014-03-13,78.35799407958984
2014-03-14,78.54271697998047
2014-03-17,79.34600830078125
2014-03-18,79.68338012695312
2014-03-19,78.85603332519531
2014-03-20,79.04879760742188
2014-03-21,79.73155212402344
2014-03-24,79.57897186279297
2014-03-25,79.62713623046875
2014-03-26,78.97235870361328
2014-03-27,78.8915023803711
2014-03-28,79.13399505615234
2014-03-31,80.07982635498047
2014-04-01,80.09600830078125
2014-04-02,79.88582611083984
2014-04-03,80.01518249511719
2014-04-04,79.5381851196289
2014-04-07,78.90765380859375
2014-04-08,79.05318450927734
2014-04-09,80.12834167480469
2014-04-10,79.69989013671875
2014-04-11,80.28191375732422
2014-04-14,80.4436264038086
2014-04-15,80.92865753173828
2014-04-16,81.94723510742188
2014-04-17,81.59962463378906
2014-04-21,81.49452209472656
2014-04-22,81.6804428100586
2014-04-23,82.03617095947266
2014-04-24,82.55355072021484
2014-04-25,82.12508392333984
2014-04-28,82.00386047363281
2014-04-29,82.9334716796875
2014-04-30,82.7152328491211
2014-05-01,82.46463012695312
2014-05-02,82.50504302978516
2014-05-05,82.61820983886719
2014-05-06,82.35950469970703
2014-05-07,83.4023666381836
2014-05-08,82.55355072021484
2014-05-09,82.99008178710938
2014-05-12,83.24068450927734
2014-05-13,83.62871551513672
2014-05-14,83.02240753173828
2014-05-15,82.69097137451172
2014-05-16,82.82839965820312
2014-05-19,83.15984344482422
2014-05-20,82.99815368652344
2014-05-21,83.3376693725586
2014-05-22,83.21642303466797
2014-05-23,83.19217681884766
2014-05-27,83.5478515625
2014-05-28,83.3215103149414
2014-05-29,83.70954132080078
2014-05-30,83.83891296386719
2014-06-02,83.70146179199219
2014-06-03,83.14366912841797
2014-06-04,84.20269012451172
2014-06-05,84.48561096191406
2014-06-06,84.81705474853516
2014-06-09,84.8736572265625
2014-06-10,84.8655776977539
2014-06-11,84.23500061035156
2014-06-12,83.8712387084961
2014-06-13,83.99246978759766
2014-06-16,83.77423095703125
2014-06-17,84.4371109008789
2014-06-18,84.72811889648438
2014-06-19,85.14038848876953
2014-06-20,84.90597534179688
2014-06-23,84.90597534179688
2014-06-24,84.44519805908203
2014-06-25,84.24308013916016
