,TXT
2014-01-02,35.67646408081055
2014-01-03,35.696128845214844
2014-01-06,35.54864501953125
2014-01-07,35.15541076660156
2014-01-08,35.17507553100586
2014-01-09,35.21440124511719
2014-01-10,35.06694030761719
2014-01-13,34.16249465942383
2014-01-14,34.604881286621094
2014-01-15,35.00795364379883
2014-01-16,35.04727554321289
2014-01-17,35.48965835571289
2014-01-21,35.48965835571289
2014-01-22,37.357547760009766
2014-01-23,37.151100158691406
2014-01-24,35.794429779052734
2014-01-27,36.148338317871094
2014-01-28,36.20732498168945
2014-01-29,35.48965835571289
2014-01-30,35.774757385253906
2014-01-31,34.899810791015625
2014-02-03,33.700443267822266
2014-02-04,34.506568908691406
2014-02-05,34.241127014160156
2014-02-06,34.67369842529297
2014-02-07,35.21440124511719
2014-02-10,34.624549865722656
2014-02-11,35.5388298034668
2014-02-12,36.20732498168945
2014-02-13,36.217159271240234
2014-02-14,36.69887924194336
2014-02-18,37.190425872802734
2014-02-19,36.63987731933594
2014-02-20,37.87858581542969
2014-02-21,37.662288665771484
2014-02-24,38.527427673339844
2014-02-25,38.14402389526367
2014-02-26,38.14402389526367
2014-02-27,39.21559143066406
2014-02-28,39.02879333496094
2014-03-03,38.448787689208984
2014-03-04,39.21559143066406
2014-03-05,39.29424285888672
2014-03-06,39.431880950927734
2014-03-07,39.500675201416016
2014-03-10,38.959983825683594
2014-03-11,38.55691146850586
2014-03-12,38.153648376464844
2014-03-13,37.199562072753906
2014-03-14,37.13068771362305
2014-03-17,37.77004623413086
2014-03-18,38.153648376464844
2014-03-19,37.92740249633789
2014-03-20,37.838890075683594
2014-03-21,37.779869079589844
2014-03-24,37.26841354370117
2014-03-25,38.261844635009766
2014-03-26,37.39628219604492
2014-03-27,37.16021728515625
2014-03-28,37.897911071777344
2014-03-31,38.64544677734375
2014-04-01,39.235595703125
2014-04-02,39.76673889160156
2014-04-03,39.4421501159668
2014-04-04,38.438899993896484
2014-04-07,37.592987060546875
2014-04-08,37.54380798339844
2014-04-09,38.64544677734375
2014-04-10,37.34709167480469
2014-04-11,36.35366439819336
2014-04-14,36.756927490234375
2014-04-15,37.09135437011719
2014-04-16,38.25199508666992
2014-04-17,38.89133834838867
2014-04-21,38.79297637939453
2014-04-22,39.4028205871582
2014-04-23,39.4913330078125
2014-04-24,39.07822036743164
2014-04-25,38.61592483520508
2014-04-28,38.61592483520508
2014-04-29,39.333953857421875
2014-04-30,40.229034423828125
2014-05-01,38.34053421020508
2014-05-02,38.40938186645508
2014-05-05,38.73396682739258
2014-05-06,38.31100845336914
2014-05-07,38.31100845336914
2014-05-08,38.065120697021484
2014-05-09,37.82905197143555
2014-05-12,39.206092834472656
2014-05-13,39.333953857421875
2014-05-14,39.04871368408203
2014-05-15,38.52741241455078
2014-05-16,38.57658767700195
2014-05-19,38.60610580444336
2014-05-20,37.46512222290039
2014-05-21,37.47496795654297
2014-05-22,37.455291748046875
2014-05-23,38.143802642822266
2014-05-27,38.37002944946289
2014-05-28,38.44873046875
2014-05-29,38.625770568847656
2014-05-30,38.57658767700195
2014-06-02,38.625770568847656
2014-06-03,38.59625244140625
2014-06-04,38.517578125
2014-06-05,38.93068313598633
2014-06-06,39.52083206176758
2014-06-09,40.2585334777832
2014-06-10,40.11098861694336
2014-06-11,39.550071716308594
2014-06-12,38.75296401977539
2014-06-13,38.772647857666016
2014-06-16,38.72345733642578
2014-06-17,38.93009948730469
2014-06-18,39.058040618896484
2014-06-19,38.8612174987793
2014-06-20,39.087562561035156
2014-06-23,38.556148529052734
2014-06-24,37.24732208251953
2014-06-25,37.444149017333984
2014-06-26,37.444149017333984
2014-06-27,38.19204330444336
2014-06-30,37.680328369140625
2014-07-01,37.867305755615234
2014-07-02,37.562225341796875
2014-07-03,37.719688415527344
2014-07-07,37.10956573486328
2014-07-08,36.58799743652344
2014-07-09,36.74545669555664
2014-07-10,36.74545669555664
2014-07-11,37.28670883178711
2014-07-14,37.94602584838867
2014-07-15,37.75904083251953
2014-07-16,38.379024505615234
2014-07-17,37.7098503112793
2014-07-18,38.14284896850586
2014-07-21,38.19204330444336
2014-07-22,38.27076721191406
2014-07-23,37.591758728027344
2014-07-24,37.38510513305664
2014-07-25,37.03084182739258
2014-07-28,36.42070770263672
2014-07-29,36.115638732910156
2014-07-30,36.29277420043945
2014-07-31,35.790897369384766
2014-08-01,35.623600006103516
2014-08-04,35.6629524230957
2014-08-05,35.94834518432617
2014-08-06,35.58424377441406
2014-08-07,35.57440185546875
2014-08-08,36.71592712402344
2014-08-11,37.19812774658203
2014-08-12,36.97179412841797
2014-08-13,37.611446380615234
2014-08-14,37.13908004760742
2014-08-15,36.893070220947266
2014-08-18,37.365413665771484
2014-08-19,37.680328369140625
2014-08-20,38.319969177246094
2014-08-21,38.40854263305664
2014-08-22,38.231407165527344
2014-08-25,38.31013488769531
2014-08-26,38.14284896850586
2014-08-27,37.88698196411133
2014-08-28,37.40477752685547
2014-08-29,37.39494323730469
2014-09-02,37.81809997558594
2014-09-03,37.41463088989258
2014-09-04,37.11940002441406
2014-09-05,37.72952651977539
2014-09-08,37.444149017333984
2014-09-09,36.824180603027344
2014-09-10,37.218017578125
2014-09-11,36.91279220581055
2014-09-12,35.89864730834961
2014-09-15,35.800201416015625
2014-09-16,36.35157012939453
2014-09-17,36.213722229003906
2014-09-18,36.17435073852539
2014-09-19,36.24326705932617
2014-09-22,35.88880920410156
2014-09-23,35.55403518676758
2014-09-24,35.58358383178711
2014-09-25,34.99281692504883
2014-09-26,36.14479446411133
