,HD
2014-01-02,63.568782806396484
2014-01-03,63.46806335449219
2014-01-06,62.855777740478516
2014-01-07,63.1657829284668
2014-01-08,63.49903869628906
2014-01-09,63.22002029418945
2014-01-10,63.56105422973633
2014-01-13,62.75501251220703
2014-01-14,62.786006927490234
2014-01-15,62.83251953125
2014-01-16,62.97978210449219
2014-01-17,62.778263092041016
2014-01-21,62.359737396240234
2014-01-22,62.15822982788086
2014-01-23,62.18924331665039
2014-01-24,61.35219955444336
2014-01-27,61.1816520690918
2014-01-28,60.87166213989258
2014-01-29,59.43008804321289
2014-01-30,59.623844146728516
2014-01-31,59.561824798583984
2014-02-03,58.19777297973633
2014-02-04,58.10475158691406
2014-02-05,58.329524993896484
2014-02-06,59.027076721191406
2014-02-07,59.25183868408203
2014-02-10,59.22080612182617
2014-02-11,59.445594787597656
2014-02-12,59.89511489868164
2014-02-13,60.13539123535156
2014-02-14,60.398887634277344
2014-02-18,60.119873046875
2014-02-19,59.25183868408203
2014-02-20,60.05012130737305
2014-02-21,60.25162124633789
2014-02-24,60.35237503051758
2014-02-25,62.76274490356445
2014-02-26,63.32079315185547
2014-02-27,63.53004837036133
2014-02-28,63.57655715942383
2014-03-03,63.553279876708984
2014-03-04,64.22760772705078
2014-03-05,64.25859069824219
2014-03-06,63.87107467651367
2014-03-07,63.979583740234375
2014-03-10,63.69282150268555
2014-03-11,63.36541748046875
2014-03-12,62.79637145996094
2014-03-13,61.42445373535156
2014-03-14,61.876583099365234
2014-03-17,62.0324821472168
2014-03-18,62.21955490112305
2014-03-19,62.16498565673828
2014-03-20,62.43001174926758
2014-03-21,62.687232971191406
2014-03-24,62.0948371887207
2014-03-25,61.94673538208008
2014-03-26,61.479026794433594
2014-03-27,61.33095169067383
2014-03-28,61.36212921142578
2014-03-31,61.68169403076172
2014-04-01,61.876583099365234
2014-04-02,62.32088851928711
2014-04-03,61.89218521118164
2014-04-04,61.36212921142578
2014-04-07,60.122718811035156
2014-04-08,60.10710906982422
