,IFF
2014-01-02,66.64979553222656
2014-01-03,66.85990142822266
2014-01-06,66.43194580078125
2014-01-07,66.4941635131836
2014-01-08,66.04286193847656
2014-01-09,66.19847869873047
2014-01-10,66.69650268554688
2014-01-13,65.98059844970703
2014-01-14,66.81322479248047
2014-01-15,67.14006042480469
2014-01-16,67.59916687011719
2014-01-17,67.71588897705078
2014-01-21,68.02715301513672
2014-01-22,67.94157409667969
2014-01-23,67.19452667236328
2014-01-24,66.14401245117188
2014-01-27,66.19068145751953
2014-01-28,67.85594940185547
2014-01-29,66.79766082763672
2014-01-30,67.93379974365234
2014-01-31,67.45132446289062
2014-02-03,65.39698028564453
2014-02-04,65.24134063720703
2014-02-05,65.87163543701172
2014-02-06,66.86769104003906
2014-02-07,67.63030242919922
2014-02-10,68.29951477050781
2014-02-11,68.92205047607422
2014-02-12,68.56410217285156
2014-02-13,70.4705810546875
2014-02-14,71.38884735107422
2014-02-18,72.01138305664062
2014-02-19,71.20987701416016
2014-02-20,71.56779479980469
2014-02-21,71.11647033691406
2014-02-24,71.1553955078125
2014-02-25,71.36548614501953
2014-02-26,72.61054229736328
2014-02-27,72.5093994140625
2014-02-28,72.98408508300781
2014-03-03,73.14747619628906
2014-03-04,74.6882553100586
2014-03-05,74.1435317993164
2014-03-06,74.10462951660156
2014-03-07,74.15910339355469
2014-03-10,74.1435317993164
2014-03-11,73.36534118652344
2014-03-12,73.19418334960938
2014-03-13,72.1670150756836
2014-03-14,72.24478912353516
2014-03-17,72.7895278930664
2014-03-18,72.81288146972656
2014-03-19,72.15141296386719
2014-03-20,72.5638656616211
2014-03-21,72.96851348876953
2014-03-24,72.22147369384766
2014-03-25,72.95606231689453
2014-03-26,72.35432434082031
2014-03-27,72.83099365234375
2014-03-28,73.5655746459961
2014-03-31,74.76116943359375
2014-04-01,75.33943176269531
2014-04-02,75.35506439208984
2014-04-03,75.62857818603516
2014-04-04,74.1203842163086
2014-04-07,73.05763244628906
2014-04-08,72.75285339355469
2014-04-09,73.71405029296875
2014-04-10,71.97139739990234
2014-04-11,71.54159545898438
2014-04-14,72.26837158203125
2014-04-15,72.83099365234375
2014-04-16,73.75310516357422
2014-04-17,74.34700775146484
2014-04-21,74.35482788085938
2014-04-22,74.8783950805664
2014-04-23,74.94871520996094
2014-04-24,74.76898956298828
2014-04-25,74.4095230102539
2014-04-28,74.6205062866211
2014-04-29,75.65204620361328
2014-04-30,76.98832702636719
2014-05-01,76.80074310302734
2014-05-02,76.32405090332031
2014-05-05,76.45691680908203
2014-05-06,76.62883758544922
2014-05-07,78.14485931396484
2014-05-08,77.3634033203125
2014-05-09,76.82421112060547
2014-05-12,77.12897491455078
2014-05-13,76.73823547363281
2014-05-14,76.00369262695312
2014-05-15,75.23005676269531
2014-05-16,76.07401275634766
2014-05-19,76.52725219726562
2014-05-20,75.75362396240234
2014-05-21,76.66009521484375
2014-05-22,76.62883758544922
2014-05-23,77.25399780273438
2014-05-27,77.07427215576172
2014-05-28,77.08206939697266
2014-05-29,77.32431030273438
