,AFL
2014-01-02,25.35693359375
2014-01-03,25.429977416992188
2014-01-06,24.941749572753906
2014-01-07,25.022480010986328
2014-01-08,24.845640182495117
2014-01-09,24.70724868774414
2014-01-10,25.05323600769043
2014-01-13,24.641895294189453
2014-01-14,24.872554779052734
2014-01-15,24.964818954467773
2014-01-16,24.922527313232422
2014-01-17,24.87639617919922
2014-01-21,24.922527313232422
2014-01-22,24.757221221923828
2014-01-23,24.43430519104004
2014-01-24,23.946083068847656
2014-01-27,23.753868103027344
2014-01-28,24.00758171081543
2014-01-29,23.880722045898438
2014-01-30,24.295909881591797
2014-01-31,24.134449005126953
2014-02-03,23.342533111572266
2014-02-04,23.63085174560547
2014-02-05,23.742324829101562
2014-02-06,23.730802536010742
2014-02-07,24.096006393432617
2014-02-10,23.99990463256836
2014-02-11,23.99221420288086
2014-02-12,24.266782760620117
2014-02-13,24.28225326538086
2014-02-14,24.41373634338379
2014-02-18,24.375062942504883
2014-02-19,24.146902084350586
2014-02-20,24.332529067993164
2014-02-21,24.100492477416992
2014-02-24,24.092754364013672
2014-02-25,24.17784309387207
2014-02-26,24.20878028869629
2014-02-27,24.51042366027832
2014-02-28,24.781126022338867
2014-03-03,24.757917404174805
2014-03-04,25.187183380126953
2014-03-05,25.140779495239258
2014-03-06,25.22199058532715
2014-03-07,25.372814178466797
2014-03-10,25.34573745727539
2014-03-11,25.117570877075195
2014-03-12,25.094369888305664
2014-03-13,24.81980323791504
2014-03-14,24.792728424072266
2014-03-17,24.680574417114258
2014-03-18,24.87006378173828
2014-03-19,24.50269317626953
2014-03-20,24.444679260253906
2014-03-21,24.355731964111328
2014-03-24,24.24358558654785
2014-03-25,24.340261459350586
2014-03-26,24.251314163208008
2014-03-27,24.081159591674805
2014-03-28,24.231975555419922
2014-03-31,24.378929138183594
2014-04-01,24.487213134765625
2014-04-02,24.541353225708008
2014-04-03,24.757917404174805
2014-04-04,24.47174835205078
2014-04-07,23.868459701538086
2014-04-08,24.112092971801758
2014-04-09,24.359594345092773
2014-04-10,23.88392448425293
2014-04-11,23.52427864074707
2014-04-14,23.663503646850586
2014-04-15,23.833656311035156
2014-04-16,24.212644577026367
2014-04-17,24.382797241210938
2014-04-21,24.24358558654785
2014-04-22,24.278390884399414
2014-04-23,24.247446060180664
2014-04-24,24.038618087768555
2014-04-25,23.914871215820312
2014-04-28,23.91873550415039
2014-04-29,24.50269317626953
2014-04-30,24.255184173583984
2014-05-01,24.429210662841797
2014-05-02,24.421470642089844
2014-05-05,24.239717483520508
2014-05-06,23.91873550415039
2014-05-07,24.204914093017578
2014-05-08,24.371192932128906
2014-05-09,24.355731964111328
2014-05-12,24.49494743347168
2014-05-13,24.645771026611328
2014-05-14,24.32479476928711
2014-05-15,23.934200286865234
2014-05-16,23.767915725708008
2014-05-19,24.180326461791992
2014-05-20,23.962446212768555
2014-05-21,24.188100814819336
2014-05-22,24.067493438720703
2014-05-23,23.853511810302734
2014-05-27,23.865177154541016
2014-05-28,23.713443756103516
2014-05-29,23.904081344604492
2014-05-30,23.82238006591797
2014-06-02,23.915760040283203
2014-06-03,23.892412185668945
2014-06-04,24.0947265625
2014-06-05,24.102502822875977
2014-06-06,24.328161239624023
2014-06-09,24.53826332092285
2014-06-10,24.62385368347168
2014-06-11,24.2775936126709
2014-06-12,24.153091430664062
2014-06-13,24.106395721435547
2014-06-16,24.176427841186523
2014-06-17,24.495458602905273
2014-06-18,24.522695541381836
2014-06-19,24.440996170043945
2014-06-20,24.549930572509766
2014-06-23,24.491575241088867
2014-06-24,24.304819107055664
2014-06-25,24.355403900146484
2014-06-26,24.3670711517334
2014-06-27,24.402084350585938
2014-06-30,24.21923065185547
2014-07-01,24.378742218017578
2014-07-02,24.328161239624023
2014-07-03,24.62385368347168
2014-07-07,24.6744327545166
2014-07-08,24.440996170043945
2014-07-09,24.479900360107422
2014-07-10,24.285369873046875
2014-07-11,24.378742218017578
2014-07-14,24.433208465576172
2014-07-15,24.44877815246582
2014-07-16,24.553823471069336
2014-07-17,24.58106231689453
2014-07-18,24.787260055541992
2014-07-21,24.740571975708008
2014-07-22,24.752241134643555
2014-07-23,24.740571975708008
2014-07-24,24.87285041809082
2014-07-25,24.740571975708008
2014-07-28,24.763914108276367
2014-07-29,24.56549072265625
2014-07-30,23.880739212036133
2014-07-31,23.24267578125
2014-08-01,23.001455307006836
2014-08-04,22.96644401550293
2014-08-05,22.82637596130371
2014-08-06,22.962553024291992
2014-08-07,22.830270767211914
2014-08-08,23.0286922454834
2014-08-11,23.032583236694336
2014-08-12,23.083162307739258
2014-08-13,23.203773498535156
2014-08-14,23.386634826660156
2014-08-15,23.382741928100586
2014-08-18,23.848596572875977
2014-08-19,23.82901954650879
2014-08-20,23.852506637573242
2014-08-21,23.88382339477539
2014-08-22,23.703752517700195
2014-08-25,23.817277908325195
2014-08-26,23.89556884765625
2014-08-27,24.03258514404297
2014-08-28,23.97386932373047
2014-08-29,23.97386932373047
2014-09-02,23.981693267822266
2014-09-03,23.91122817993164
2014-09-04,23.97386932373047
2014-09-05,24.05999183654785
2014-09-08,23.899484634399414
2014-09-09,23.692005157470703
2014-09-10,23.42579460144043
2014-09-11,23.406227111816406
2014-09-12,23.406227111816406
2014-09-15,23.42579460144043
2014-09-16,23.073476791381836
2014-09-17,22.83468246459961
2014-09-18,22.975608825683594
2014-09-19,22.862077713012695
2014-09-22,22.91688346862793
2014-09-23,22.650678634643555
2014-09-24,22.94820785522461
2014-09-25,22.73680877685547
2014-09-26,22.901229858398438
2014-09-29,22.88947868347168
2014-09-30,22.803361892700195
2014-10-01,22.53324317932129
2014-10-02,22.576303482055664
2014-10-03,22.642852783203125
2014-10-06,22.6271915435791
2014-10-07,22.345333099365234
2014-10-08,22.6271915435791
2014-10-09,22.286617279052734
2014-10-10,22.126110076904297
2014-10-13,21.922534942626953
2014-10-14,22.251380920410156
2014-10-15,21.84424591064453
2014-10-16,21.867734909057617
2014-10-17,22.317930221557617
2014-10-20,22.400146484375
2014-10-21,22.772035598754883
2014-10-22,22.580215454101562
2014-10-23,22.73680877685547
2014-10-24,22.91688346862793
2014-10-27,22.999094009399414
2014-10-28,23.308359146118164
2014-10-29,23.44929313659668
2014-10-30,23.504098892211914
2014-10-31,23.382741928100586
2014-11-03,23.226150512695312
2014-11-04,23.284870147705078
2014-11-05,23.406227111816406
2014-11-06,23.304443359375
2014-11-07,23.053905487060547
2014-11-10,23.120454788208008
2014-11-11,23.112625122070312
2014-11-12,23.179176330566406
2014-11-13,23.15176773071289
2014-11-14,23.21831512451172
2014-11-17,23.301076889038086
2014-11-18,23.289249420166016
2014-11-19,23.27349090576172
2014-11-20,23.249849319458008
2014-11-21,23.549339294433594
2014-11-24,23.726665496826172
2014-11-25,23.643917083740234
2014-11-26,23.517812728881836
2014-11-28,23.537506103515625
2014-12-01,23.356245040893555
2014-12-02,23.49416732788086
2014-12-03,23.52568817138672
2014-12-04,23.419286727905273
2014-12-05,23.450817108154297
2014-12-08,23.636028289794922
2014-12-09,23.5611572265625
2014-12-10,23.423236846923828
2014-12-11,23.474470138549805
2014-12-12,22.96612548828125
2014-12-15,22.670576095581055
2014-12-16,22.78091049194336
2014-12-17,23.277433395385742
2014-12-18,23.770002365112305
2014-12-19,24.10891342163086
2014-12-22,24.298059463500977
2014-12-23,24.40839195251465
2014-12-24,24.40839195251465
2014-12-26,24.40839195251465
2014-12-29,24.432043075561523
2014-12-30,24.424161911010742
2014-12-31,24.073434829711914
2015-01-02,24.069501876831055
2015-01-05,23.439001083374023
2015-01-06,23.230144500732422
2015-01-07,23.375944137573242
2015-01-08,23.604511260986328
2015-01-09,23.104042053222656
2015-01-12,22.970064163208008
2015-01-13,22.85578155517578
2015-01-14,22.678449630737305
2015-01-15,22.60358428955078
2015-01-16,22.92671012878418
2015-01-20,22.859722137451172
2015-01-21,22.895187377929688
2015-01-22,23.308956146240234
2015-01-23,23.143449783325195
2015-01-26,23.257726669311523
2015-01-27,23.056753158569336
2015-01-28,22.60358428955078
2015-01-29,22.717863082885742
2015-01-30,22.49323844909668
2015-02-02,22.922775268554688
2015-02-03,23.28531265258789
2015-02-04,23.91187286376953
2015-02-05,24.03009796142578
2015-02-06,24.1483097076416
2015-02-09,24.093149185180664
2015-02-10,24.215303421020508
2015-02-11,24.365049362182617
2015-02-12,24.50782012939453
2015-02-13,24.63867950439453
2015-02-17,24.725929260253906
2015-02-18,24.48798370361328
2015-02-19,24.499881744384766
2015-02-20,24.63867950439453
2015-02-23,24.361085891723633
2015-02-24,24.61092185974121
2015-02-25,24.56730079650879
2015-02-26,24.658512115478516
2015-02-27,24.68626594543457
2015-03-02,24.81317138671875
2015-03-03,24.698169708251953
2015-03-04,24.725929260253906
2015-03-05,24.904376983642578
2015-03-06,24.65057945251465
2015-03-09,24.706096649169922
2015-03-10,24.210390090942383
2015-03-11,24.384878158569336
2015-03-12,24.844892501831055
2015-03-13,24.63867950439453
2015-03-16,24.96782684326172
2015-03-17,24.936111450195312
2015-03-18,25.229564666748047
2015-03-19,25.019390106201172
