,IPG
2014-01-02,12.032169342041016
2014-01-03,12.0458402633667
2014-01-06,11.874932289123535
2014-01-07,11.9638032913208
2014-01-08,11.977477073669434
2014-01-09,11.895440101623535
2014-01-10,12.0526762008667
2014-01-13,11.902276992797852
2014-01-14,12.127881050109863
2014-01-15,12.114205360412598
2014-01-16,11.991151809692383
2014-01-17,11.936455726623535
2014-01-21,11.984313011169434
2014-01-22,12.004823684692383
2014-01-23,11.765545845031738
2014-01-24,11.478419303894043
2014-01-27,11.259647369384766
2014-01-28,11.471583366394043
2014-01-29,11.239139556884766
2014-01-30,11.328014373779297
2014-01-31,11.157099723815918
2014-02-03,10.972517013549805
2014-02-04,11.191285133361816
2014-02-05,11.12292194366455
2014-02-06,11.416891098022461
2014-02-07,11.348526000976562
2014-02-10,11.348526000976562
2014-02-11,11.314340591430664
2014-02-12,11.594633102416992
2014-02-13,11.710857391357422
2014-02-14,11.266487121582031
2014-02-18,11.22546672821045
2014-02-19,11.416891098022461
2014-02-20,11.635656356811523
2014-02-21,11.512594223022461
2014-02-24,11.738199234008789
2014-02-25,11.751877784729004
2014-02-26,11.697184562683105
2014-02-27,12.023725509643555
2014-02-28,12.181844711303711
2014-03-03,11.838111877441406
2014-03-04,11.91373348236084
2014-03-05,11.90685749053955
2014-03-06,12.092475891113281
2014-03-07,12.202468872070312
2014-03-10,12.00310230255127
2014-03-11,12.023725509643555
2014-03-12,12.00310230255127
2014-03-13,11.954981803894043
2014-03-14,11.755616188049316
2014-03-17,11.769369125366211
2014-03-18,11.920608520507812
2014-03-19,11.762492179870605
2014-03-20,11.789990425109863
2014-03-21,11.693741798400879
2014-03-24,11.659369468688965
2014-03-25,11.638750076293945
2014-03-26,11.425634384155273
2014-03-27,11.521883010864258
2014-03-28,11.714367866516113
2014-03-31,11.783114433288574
2014-04-01,11.893107414245605
2014-04-02,11.844986915588379
2014-04-03,11.74874210357666
2014-04-04,11.631872177124023
2014-04-07,11.336261749267578
2014-04-08,11.336261749267578
