,STT
2014-01-02,55.07422637939453
2014-01-03,56.2335090637207
2014-01-06,56.22598648071289
2014-01-07,56.64000701904297
2014-01-08,56.49699783325195
2014-01-09,56.72284698486328
2014-01-10,56.369022369384766
2014-01-13,54.90108108520508
2014-01-14,55.30757141113281
2014-01-15,55.94742965698242
2014-01-16,55.49578094482422
2014-01-17,55.330162048339844
2014-01-21,55.834537506103516
2014-01-22,56.572265625
2014-01-23,54.77309036254883
2014-01-24,52.33404541015625
2014-01-27,51.41566848754883
2014-01-28,51.85226821899414
2014-01-29,50.88869857788086
2014-01-30,51.37047576904297
2014-01-31,50.39938735961914
2014-02-03,48.63032531738281
2014-02-04,49.2777214050293
2014-02-05,48.434600830078125
2014-02-06,49.62400817871094
2014-02-07,51.36294937133789
2014-02-10,51.310264587402344
2014-02-11,51.75440979003906
2014-02-12,51.79205322265625
2014-02-13,51.56620788574219
2014-02-14,51.7995719909668
2014-02-18,51.35541534423828
2014-02-19,51.227439880371094
2014-02-20,51.0543212890625
2014-02-21,51.58126449584961
2014-02-24,51.995296478271484
2014-02-25,51.09193801879883
2014-02-26,50.74568176269531
2014-02-27,50.73060989379883
2014-02-28,49.43581008911133
2014-03-03,49.08199691772461
2014-03-04,49.992881774902344
2014-03-05,50.060630798339844
2014-03-06,50.9865608215332
2014-03-07,51.29521560668945
2014-03-10,51.34036636352539
2014-03-11,50.30904006958008
2014-03-12,49.804683685302734
2014-03-13,48.540000915527344
2014-03-14,48.72819137573242
2014-03-17,49.26266098022461
2014-03-18,49.1873893737793
2014-03-19,49.79714584350586
2014-03-20,51.189823150634766
2014-03-21,51.7995719909668
2014-03-24,52.853477478027344
2014-03-25,52.81584548950195
2014-03-26,51.671592712402344
2014-03-27,51.558685302734375
2014-03-28,52.13298034667969
2014-03-31,52.55616760253906
2014-04-01,52.571258544921875
2014-04-02,52.35211944580078
2014-04-03,52.51081466674805
2014-04-04,51.57378387451172
2014-04-07,50.26649856567383
2014-04-08,49.8130989074707
2014-04-09,50.682125091552734
2014-04-10,49.23125076293945
2014-04-11,48.180870056152344
2014-04-14,48.694732666015625
2014-04-15,48.626708984375
2014-04-16,49.049888610839844
2014-04-17,49.518394470214844
2014-04-21,49.11790084838867
2014-04-22,49.38993453979492
2014-04-23,49.8055534362793
2014-04-24,49.66952133178711
2014-04-25,48.203548431396484
2014-04-28,47.97685241699219
2014-04-29,48.619163513183594
2014-04-30,48.785404205322266
2014-05-01,48.81563186645508
2014-05-02,49.38993453979492
2014-05-05,48.46047592163086
2014-05-06,48.02219009399414
2014-05-07,48.55115509033203
2014-05-08,49.087669372558594
2014-05-09,49.01210021972656
2014-05-12,49.767765045166016
2014-05-13,49.56373596191406
2014-05-14,49.01967239379883
2014-05-15,47.7652702331543
2014-05-16,47.75014114379883
2014-05-19,48.21868133544922
2014-05-20,47.780372619628906
2014-05-21,48.56626892089844
2014-05-22,48.88365173339844
2014-05-23,48.73251724243164
2014-05-27,49.24635696411133
2014-05-28,48.98944091796875
2014-05-29,49.125457763671875
2014-05-30,49.321922302246094
2014-06-02,49.1707878112793
2014-06-03,49.7148551940918
2014-06-04,50.115360260009766
2014-06-05,50.198490142822266
2014-06-06,50.62921905517578
2014-06-09,50.787906646728516
2014-06-10,50.598976135253906
2014-06-11,50.23627471923828
2014-06-12,50.0473747253418
2014-06-13,50.070030212402344
2014-06-16,49.94156265258789
2014-06-17,51.18085861206055
2014-06-18,51.24886703491211
2014-06-19,50.79545974731445
2014-06-20,51.233734130859375
2014-06-23,51.407554626464844
2014-06-24,51.04484176635742
2014-06-25,51.407554626464844
2014-06-26,51.135494232177734
2014-06-27,50.718048095703125
2014-06-30,51.05202865600586
2014-07-01,51.35563278198242
2014-07-02,51.68959426879883
2014-07-03,52.25127410888672
2014-07-07,52.0235710144043
2014-07-08,51.45430374145508
2014-07-09,51.72755432128906
2014-07-10,51.38600540161133
2014-07-11,51.31766891479492
2014-07-14,52.053924560546875
2014-07-15,52.456214904785156
2014-07-16,52.69150161743164
2014-07-17,52.46379470825195
2014-07-18,53.05585479736328
2014-07-21,52.94198989868164
2014-07-22,53.184871673583984
2014-07-23,53.35186004638672
2014-07-24,54.31581115722656
2014-07-25,54.23234176635742
2014-07-28,54.08055114746094
2014-07-29,53.90595245361328
2014-07-30,54.54353713989258
2014-07-31,53.46572494506836
2014-08-01,53.10137939453125
2014-08-04,53.488494873046875
2014-08-05,52.84331130981445
2014-08-06,53.37462615966797
2014-08-07,52.89643859863281
2014-08-08,53.40500259399414
2014-08-11,53.35945129394531
2014-08-12,52.9571647644043
2014-08-13,53.124149322509766
2014-08-14,53.26078414916992
2014-08-15,52.850894927978516
2014-08-18,53.275936126708984
2014-08-19,53.28355407714844
2014-08-20,53.46572494506836
2014-08-21,53.71619415283203
2014-08-22,53.830047607421875
2014-08-25,54.46004104614258
2014-08-26,54.801605224609375
2014-08-27,54.35377883911133
2014-08-28,54.399314880371094
2014-08-29,54.672576904296875
2014-09-02,54.9458122253418
2014-09-03,54.88507843017578
2014-09-04,54.9761848449707
2014-09-05,55.1507453918457
2014-09-08,55.17350387573242
2014-09-09,54.3082389831543
2014-09-10,54.79401397705078
2014-09-11,55.34809875488281
2014-09-12,56.22856140136719
2014-09-15,56.39555740356445
2014-09-16,56.39555740356445
2014-09-17,56.782657623291016
2014-09-18,57.48094940185547
2014-09-19,56.805419921875
2014-09-22,56.52459716796875
2014-09-23,56.12229537963867
2014-09-24,56.881324768066406
2014-09-25,56.06155014038086
2014-09-26,56.40315246582031
2014-09-29,56.098304748535156
2014-09-30,56.098304748535156
2014-10-01,55.252357482910156
2014-10-02,55.37431335449219
2014-10-03,56.08305740356445
2014-10-06,56.022090911865234
2014-10-07,54.31499099731445
2014-10-08,54.81797790527344
2014-10-09,52.668846130371094
2014-10-10,51.853389739990234
2014-10-13,50.98461151123047
2014-10-14,51.2360954284668
2014-10-15,50.15390396118164
2014-10-16,50.443504333496094
2014-10-17,51.350406646728516
2014-10-20,51.380897521972656
2014-10-21,52.5621452331543
2014-10-22,51.7467041015625
2014-10-23,52.539276123046875
2014-10-24,54.77985382080078
2014-10-27,55.14566421508789
2014-10-28,55.59531021118164
2014-10-29,56.25834655761719
2014-10-30,56.052574157714844
2014-10-31,57.50820541381836
2014-11-03,57.81304168701172
2014-11-04,58.36173629760742
2014-11-05,58.849491119384766
2014-11-06,59.32961654663086
2014-11-07,59.299137115478516
2014-11-10,59.53536605834961
2014-11-11,59.20004653930664
2014-11-12,59.02477264404297
2014-11-13,58.285545349121094
2014-11-14,57.973060607910156
2014-11-17,57.66822052001953
2014-11-18,57.81304168701172
2014-11-19,57.82828903198242
2014-11-20,58.072139739990234
2014-11-21,58.3541259765625
2014-11-24,58.84188461303711
2014-11-25,58.82661819458008
2014-11-26,58.58277130126953
2014-11-28,58.47606658935547
2014-12-01,57.93496322631836
2014-12-02,59.001922607421875
2014-12-03,59.710670471191406
2014-12-04,59.65732192993164
2014-12-05,60.41941452026367
2014-12-08,60.754730224609375
2014-12-09,60.663299560546875
2014-12-10,59.7335205078125
2014-12-11,59.59633255004883
2014-12-12,57.34052658081055
2014-12-15,57.477691650390625
2014-12-16,57.073787689208984
2014-12-17,58.57514572143555
2014-12-18,60.564208984375
2014-12-19,60.76237106323242
2014-12-22,60.70902633666992
2014-12-23,61.21963882446289
2014-12-24,61.021484375
2014-12-26,60.89191436767578
2014-12-29,60.89957046508789
2014-12-30,60.59355926513672
2014-12-31,60.05043029785156
2015-01-02,59.93567657470703
2015-01-05,58.94122314453125
2015-01-06,57.25825881958008
2015-01-07,57.79377365112305
2015-01-08,59.017704010009766
2015-01-09,58.160926818847656
2015-01-12,57.656028747558594
2015-01-13,57.518341064453125
2015-01-14,56.110816955566406
2015-01-15,55.67478942871094
2015-01-16,56.34795379638672
2015-01-20,55.99605941772461
2015-01-21,57.17412567138672
2015-01-22,58.97181701660156
2015-01-23,55.38407516479492
2015-01-26,56.0572624206543
2015-01-27,55.49119186401367
2015-01-28,54.52729797363281
2015-01-29,54.92509841918945
