,LEN
2014-01-02,35.594242095947266
2014-01-03,35.079566955566406
2014-01-06,34.483619689941406
2014-01-07,34.63711166381836
2014-01-08,34.862850189208984
2014-01-09,34.6912956237793
2014-01-10,35.386566162109375
2014-01-13,34.4745979309082
2014-01-14,34.51972198486328
2014-01-15,34.38429260253906
2014-01-16,34.70030975341797
2014-01-17,33.84252166748047
2014-01-21,33.652896881103516
2014-01-22,34.14049530029297
2014-01-23,34.49264907836914
2014-01-24,33.43619918823242
2014-01-27,33.327842712402344
2014-01-28,34.819332122802734
2014-01-29,35.253204345703125
2014-01-30,35.11762619018555
2014-01-31,36.30177307128906
2014-02-03,35.45206832885742
2014-02-04,36.02153015136719
2014-02-05,35.77748107910156
2014-02-06,37.702850341796875
2014-02-07,37.75709533691406
2014-02-10,36.961639404296875
2014-02-11,36.69046401977539
2014-02-12,36.2746467590332
2014-02-13,37.061058044433594
2014-02-14,37.494956970214844
2014-02-18,37.187618255615234
2014-02-19,37.0068359375
2014-02-20,37.32320785522461
2014-02-21,37.82940673828125
2014-02-24,37.80228805541992
2014-02-25,38.200008392333984
2014-02-26,39.5739860534668
2014-02-27,40.07114791870117
2014-02-28,39.66438293457031
2014-03-03,39.62821960449219
2014-03-04,39.519752502441406
2014-03-05,39.0045051574707
2014-03-06,38.778533935546875
2014-03-07,38.01922607421875
2014-03-10,37.09722137451172
2014-03-11,37.187618255615234
2014-03-12,37.47686767578125
2014-03-13,36.473514556884766
2014-03-14,36.17520523071289
2014-03-17,36.21138000488281
2014-03-18,36.699501037597656
2014-03-19,37.36841583251953
2014-03-20,36.4463996887207
2014-03-21,35.76844024658203
2014-03-24,35.415931701660156
2014-03-25,35.36168670654297
2014-03-26,34.954917907714844
2014-03-27,35.244178771972656
2014-03-28,35.77748107910156
2014-03-31,35.81365966796875
2014-04-01,36.518707275390625
2014-04-02,36.59102249145508
2014-04-03,36.6452522277832
2014-04-04,36.59102249145508
2014-04-07,35.424957275390625
2014-04-08,35.78653335571289
2014-04-09,35.81365966796875
2014-04-10,35.415931701660156
2014-04-11,35.009151458740234
2014-04-14,35.208003997802734
2014-04-15,35.06338882446289
2014-04-16,35.04529571533203
2014-04-17,34.54813766479492
2014-04-21,34.41240310668945
2014-04-22,34.77435302734375
2014-04-23,34.55718231201172
2014-04-24,35.75163269042969
2014-04-25,34.93723678588867
2014-04-28,35.16345977783203
2014-04-29,35.05487823486328
2014-04-30,34.91914367675781
2014-05-01,35.62493896484375
2014-05-02,36.086429595947266
2014-05-05,35.48018264770508
2014-05-06,34.928184509277344
2014-05-07,34.89199447631836
2014-05-08,34.738155364990234
2014-05-09,34.747230529785156
2014-05-12,35.4982795715332
2014-05-13,35.99593734741211
2014-05-14,34.91914367675781
