,CTAS
2014-01-02,11.195656776428223
2014-01-03,11.250631332397461
2014-01-06,11.191865921020508
2014-01-07,11.250631332397461
2014-01-08,11.22030258178711
2014-01-09,11.254423141479492
2014-01-10,11.235465049743652
2014-01-13,11.085710525512695
2014-01-14,11.182388305664062
2014-01-15,11.246840476989746
2014-01-16,11.243049621582031
2014-01-17,11.208930015563965
2014-01-21,11.343518257141113
2014-01-22,11.294232368469238
2014-01-23,11.080024719238281
2014-01-24,10.835487365722656
2014-01-27,10.803260803222656
2014-01-28,10.816529273986816
2014-01-29,10.799470901489258
2014-01-30,10.928374290466309
2014-01-31,10.818425178527832
2014-02-03,10.543556213378906
2014-02-04,10.600425720214844
2014-02-05,10.687625885009766
2014-02-06,10.704687118530273
2014-02-07,11.019362449645996
2014-02-10,10.934060096740723
2014-02-11,11.013677597045898
2014-02-12,11.087606430053711
2014-02-13,11.15584659576416
2014-02-14,11.218404769897461
2014-02-18,11.282858848571777
2014-02-19,11.171013832092285
2014-02-20,11.241154670715332
2014-02-21,11.688525199890137
2014-02-24,11.282858848571777
2014-02-25,11.366268157958984
2014-02-26,11.415550231933594
2014-02-27,11.43640422821045
2014-02-28,11.4989595413208
2014-03-03,11.379535675048828
2014-03-04,11.548248291015625
2014-03-05,11.478110313415527
2014-03-06,11.555829048156738
2014-03-07,11.633550643920898
2014-03-10,11.534976959228516
2014-03-11,11.443986892700195
2014-03-12,11.407970428466797
2014-03-13,11.301813125610352
2014-03-14,11.258214950561523
2014-03-17,11.30939769744873
2014-03-18,11.417448043823242
2014-03-19,11.296126365661621
2014-03-20,11.48569107055664
2014-03-21,11.31887435913086
2014-03-24,11.21271800994873
2014-03-25,11.263898849487305
2014-03-26,11.131205558776855
2014-03-27,11.129310607910156
2014-03-28,11.182388305664062
2014-03-31,11.299918174743652
2014-04-01,11.413655281066895
2014-04-02,11.30939769744873
2014-04-03,11.20134449005127
2014-04-04,11.040217399597168
2014-04-07,10.945432662963867
2014-04-08,10.996613502502441
2014-04-09,11.03831958770752
2014-04-10,10.759661674499512
2014-04-11,10.706582069396973
2014-04-14,10.674357414245605
2014-04-15,10.680042266845703
2014-04-16,10.797572135925293
2014-04-17,10.924581527709961
2014-04-21,10.879087448120117
2014-04-22,10.956808090209961
2014-04-23,10.964388847351074
2014-04-24,11.007990837097168
2014-04-25,10.909416198730469
2014-04-28,10.975764274597168
2014-04-29,11.017465591430664
2014-04-30,11.171013832092285
2014-05-01,11.13499641418457
2014-05-02,11.191865921020508
2014-05-05,11.195656776428223
2014-05-06,11.182388305664062
2014-05-07,11.31887435913086
2014-05-08,11.288545608520508
2014-05-09,11.335933685302734
2014-05-12,11.443986892700195
2014-05-13,11.48758602142334
2014-05-14,11.447779655456543
2014-05-15,11.406074523925781
2014-05-16,11.476214408874512
2014-05-19,11.595637321472168
2014-05-20,11.491379737854004
2014-05-21,11.584264755249023
2014-05-22,11.665775299072266
2014-05-23,11.68283748626709
2014-05-27,11.703690528869629
2014-05-28,11.732122421264648
2014-05-29,11.771932601928711
2014-05-30,11.775723457336426
2014-06-02,11.79468059539795
2014-06-03,11.787097930908203
2014-06-04,11.787097930908203
2014-06-05,11.895149230957031
2014-06-06,11.967185020446777
2014-06-09,12.069546699523926
2014-06-10,12.060070037841797
2014-06-11,11.999407768249512
2014-06-12,11.95012378692627
2014-06-13,11.963391304016113
2014-06-16,11.959601402282715
2014-06-17,12.024051666259766
2014-06-18,12.03921890258789
2014-06-19,12.105565071105957
2014-06-20,12.151060104370117
2014-06-23,11.976661682128906
2014-06-24,11.853445053100586
2014-06-25,11.93685245513916
2014-06-26,11.87619400024414
2014-06-27,11.946329116821289
2014-06-30,12.044906616210938
2014-07-01,12.13779354095459
2014-07-02,12.113146781921387
2014-07-03,12.202244758605957
2014-07-07,12.111252784729004
2014-07-08,12.037322998046875
2014-07-09,12.060070037841797
2014-07-10,11.972869873046875
2014-07-11,11.859132766723633
2014-07-14,11.988037109375
2014-07-15,11.914106369018555
2014-07-16,12.22878360748291
2014-07-17,12.027844429016113
2014-07-18,12.139687538146973
2014-07-21,12.088505744934082
2014-07-22,12.20413875579834
2014-07-23,12.13779354095459
2014-07-24,12.15295696258545
2014-07-25,12.04111385345459
2014-07-28,12.048696517944336
2014-07-29,11.965289115905762
2014-07-30,12.018367767333984
2014-07-31,11.86671257019043
2014-08-01,11.86671257019043
2014-08-04,12.130208015441895
2014-08-05,12.048696517944336
2014-08-06,11.940643310546875
2014-08-07,11.963391304016113
2014-08-08,12.207929611206055
2014-08-11,12.321667671203613
2014-08-12,12.372849464416504
2014-08-13,12.41834545135498
2014-08-14,12.416451454162598
2014-08-15,12.393701553344727
2014-08-18,12.47900676727295
2014-08-19,12.490378379821777
2014-08-20,12.50365161895752
2014-08-21,12.494173049926758
2014-08-22,12.460051536560059
2014-08-25,12.522608757019043
2014-08-26,12.515023231506348
2014-08-27,12.47900676727295
2014-08-28,12.488484382629395
2014-08-29,12.537771224975586
2014-09-02,12.630658149719238
2014-09-03,12.579474449157715
2014-09-04,12.617386817932129
2014-09-05,12.636345863342285
2014-09-08,12.571894645690918
2014-09-09,12.577580451965332
2014-09-10,12.590850830078125
2014-09-11,12.596537590026855
2014-09-12,12.575684547424316
2014-09-15,12.676152229309082
2014-09-16,12.674256324768066
2014-09-17,12.685633659362793
2014-09-18,12.742502212524414
2014-09-19,12.731127738952637
2014-09-22,12.717856407165527
2014-09-23,12.592745780944824
2014-09-24,12.681840896606445
2014-09-25,12.509336471557617
2014-09-26,12.56241512298584
2014-09-29,12.501752853393555
2014-09-30,13.381332397460938
2014-10-01,13.013580322265625
2014-10-02,12.94533634185791
2014-10-03,13.333938598632812
2014-10-06,13.250533103942871
2014-10-07,13.026847839355469
2014-10-08,13.4552640914917
2014-10-09,13.167126655578613
2014-10-10,12.996514320373535
2014-10-13,12.784204483032227
2014-10-14,12.841073989868164
2014-10-15,12.901734352111816
2014-10-16,12.971874237060547
2014-10-17,13.13489818572998
2014-10-20,13.08940315246582
2014-10-21,13.491280555725098
2014-10-22,13.335836410522461
2014-10-23,13.466638565063477
2014-10-24,13.500758171081543
2014-10-27,13.510234832763672
2014-10-28,13.612601280212402
2014-10-29,13.612601280212402
2014-10-30,13.779417037963867
2014-10-31,13.883674621582031
2014-11-03,13.750981330871582
2014-11-04,13.538667678833008
2014-11-05,13.672661781311035
2014-11-06,13.804703712463379
2014-11-07,13.787227630615234
2014-11-10,13.80859088897705
2014-11-11,13.806648254394531
2014-11-12,13.84742546081543
2014-11-13,13.818299293518066
2014-11-14,13.934812545776367
2014-11-17,13.9445219039917
2014-11-18,13.977534294128418
2014-11-19,13.940634727478027
2014-11-20,13.967823028564453
2014-11-21,13.9658784866333
2014-11-24,14.148415565490723
2014-11-25,14.187251091003418
2014-11-26,14.181426048278809
2014-11-28,14.204731941223145
2014-12-01,13.94257926940918
2014-12-02,14.055205345153809
2014-12-03,14.200847625732422
2014-12-04,14.14064884185791
2014-12-05,14.185311317443848
2014-12-08,14.175601959228516
2014-12-09,14.255217552185059
2014-12-10,13.956171035766602
2014-12-11,14.13676643371582
2014-12-12,13.793055534362793
2014-12-15,13.89014720916748
2014-12-16,13.89014720916748
2014-12-17,14.144529342651367
2014-12-18,14.464938163757324
2014-12-19,15.385383605957031
2014-12-22,15.464999198913574
2014-12-23,15.464999198913574
2014-12-24,15.507721900939941
2014-12-26,15.499956130981445
2014-12-29,15.45140552520752
2014-12-30,15.344603538513184
2014-12-31,15.231976509094238
2015-01-02,15.233918190002441
2015-01-05,14.956233024597168
2015-01-06,14.927104949951172
2015-01-07,14.849431037902832
2015-01-08,15.09410285949707
2015-01-09,14.975648880004883
2015-01-12,14.880497932434082
2015-01-13,15.051380157470703
2015-01-14,15.063030242919922
2015-01-15,15.080510139465332
2015-01-16,15.327127456665039
2015-01-20,15.299941062927246
2015-01-21,15.428104400634766
2015-01-22,15.501893043518066
2015-01-23,15.492189407348633
2015-01-26,15.529082298278809
2015-01-27,15.511604309082031
2015-01-28,15.214498519897461
2015-01-29,15.511604309082031
2015-01-30,15.282464981079102
2015-02-02,15.540730476379395
2015-02-03,15.66889476776123
2015-02-04,15.536848068237305
2015-02-05,15.631999969482422
2015-02-06,15.542671203613281
2015-02-09,15.470824241638184
2015-02-10,15.64753246307373
2015-02-11,15.71744155883789
2015-02-12,15.964056015014648
2015-02-13,15.853373527526855
2015-02-17,15.896089553833008
2015-02-18,15.903861045837402
2015-02-19,15.921337127685547
2015-02-20,16.014545440673828
2015-02-23,16.057266235351562
2015-02-24,16.150476455688477
2015-02-25,16.25339698791504
2015-02-26,16.3135929107666
2015-02-27,16.210678100585938
2015-03-02,16.410686492919922
2015-03-03,16.35243034362793
2015-03-04,16.26698875427246
2015-03-05,16.10581398010254
2015-03-06,15.977646827697754
2015-03-09,16.280580520629883
2015-03-10,15.880560874938965
2015-03-11,15.859196662902832
2015-03-12,16.090280532836914
2015-03-13,16.032018661499023
2015-03-16,16.577688217163086
2015-03-17,16.55632972717285
2015-03-18,16.731096267700195
2015-03-19,16.30388641357422
2015-03-20,16.030086517333984
2015-03-23,16.278640747070312
2015-03-24,16.25922203063965
2015-03-25,15.865023612976074
2015-03-26,15.754335403442383
2015-03-27,15.997071266174316
2015-03-30,16.066972732543945
2015-03-31,15.851430892944336
2015-04-01,15.86696720123291
2015-04-02,16.057266235351562
2015-04-06,15.888320922851562
2015-04-07,15.921337127685547
2015-04-08,15.948519706726074
2015-04-09,15.853373527526855
2015-04-10,15.987360000610352
2015-04-13,15.791231155395508
2015-04-14,15.861143112182617
2015-04-15,15.967942237854004
2015-04-16,15.948519706726074
2015-04-17,15.802882194519043
2015-04-20,15.872791290283203
2015-04-21,15.931048393249512
2015-04-22,15.932989120483398
2015-04-23,15.983479499816895
2015-04-24,15.948519706726074
2015-04-27,15.849489212036133
2015-04-28,15.824241638183594
2015-04-29,15.66889476776123
2015-04-30,15.52519416809082
2015-05-01,15.781523704528809
2015-05-04,15.830069541931152
2015-05-05,15.72909164428711
2015-05-06,15.676664352416992
2015-05-07,15.752395629882812
2015-05-08,16.002901077270508
2015-05-11,16.199020385742188
2015-05-12,16.014545440673828
2015-05-13,16.340784072875977
2015-05-14,16.529138565063477
2015-05-15,16.59322166442871
2015-05-18,16.762161254882812
2015-05-19,16.74274253845215
2015-05-20,16.760223388671875
2015-05-21,16.74662971496582
2015-05-22,16.70196533203125
2015-05-26,16.663129806518555
