,WTW
2014-01-02,97.53335571289062
2014-01-03,96.65033721923828
2014-01-06,96.67240905761719
2014-01-07,96.95940399169922
2014-01-08,97.11392211914062
2014-01-09,97.79827117919922
2014-01-10,97.59957885742188
2014-01-13,97.29051971435547
2014-01-14,97.90866088867188
2014-01-15,98.30604553222656
2014-01-16,97.79827117919922
2014-01-17,97.93075561523438
2014-01-21,98.90209197998047
2014-01-22,100.05006408691406
2014-01-23,99.0345687866211
2014-01-24,96.4516372680664
2014-01-27,95.48026275634766
2014-01-28,96.36331939697266
2014-01-29,95.5023422241211
2014-01-30,96.12047576904297
2014-01-31,95.06082916259766
2014-02-03,92.96354675292969
2014-02-04,92.38955688476562
2014-02-05,92.89732360839844
2014-02-06,92.19090270996094
2014-02-07,94.11152648925781
2014-02-10,94.95043182373047
2014-02-11,96.14256286621094
2014-02-12,91.9701156616211
2014-02-13,91.39612579345703
2014-02-14,91.52861785888672
2014-02-18,91.61690521240234
2014-02-19,92.23504638671875
2014-02-20,93.9349365234375
2014-02-21,93.3167953491211
2014-02-24,93.14017486572266
2014-02-25,92.72071838378906
2014-02-26,90.29232025146484
2014-02-27,91.06502532958984
2014-02-28,90.86634063720703
2014-03-03,90.64555358886719
2014-03-04,92.23504638671875
2014-03-05,93.44926452636719
2014-03-06,95.48026275634766
2014-03-07,95.06082916259766
2014-03-10,94.44266510009766
2014-03-11,94.88420104980469
2014-03-12,94.46475982666016
2014-03-13,94.31021881103516
2014-03-14,93.5816879272461
2014-03-17,94.35438537597656
2014-03-18,95.52442169189453
2014-03-19,94.81796264648438
2014-03-20,95.45819091796875
2014-03-21,95.52442169189453
2014-03-24,93.67000579833984
2014-03-25,95.01666259765625
2014-03-26,93.82451629638672
2014-03-27,94.71388244628906
2014-03-28,95.00292205810547
2014-03-31,98.11557006835938
2014-04-01,98.2712173461914
2014-04-02,97.89324188232422
2014-04-03,98.16004180908203
2014-04-04,96.9816665649414
2014-04-07,95.58096313476562
2014-04-08,95.11406707763672
2014-04-09,95.62543487548828
2014-04-10,94.64718627929688
2014-04-11,92.8685073852539
2014-04-14,93.24646759033203
2014-04-15,93.17979431152344
2014-04-16,94.00240325927734
2014-04-17,93.93570709228516
2014-04-21,94.15805053710938
2014-04-22,95.22523498535156
2014-04-23,95.35863494873047
2014-04-24,95.00292205810547
2014-04-25,95.84777069091797
2014-04-28,95.55874633789062
2014-04-29,96.04788208007812
2014-04-30,91.13431549072266
2014-05-01,92.66841888427734
2014-05-02,91.64568328857422
2014-05-05,91.60121154785156
2014-05-06,91.15653228759766
2014-05-07,92.31267547607422
2014-05-08,91.97917938232422
2014-05-09,92.46830749511719
2014-05-12,92.77958679199219
2014-05-13,92.8907241821289
2014-05-14,92.57948303222656
2014-05-15,92.13479614257812
2014-05-16,93.13530731201172
2014-05-19,93.2242431640625
2014-05-20,92.49056243896484
2014-05-21,91.60121154785156
2014-05-22,92.2015151977539
2014-05-23,92.2904281616211
2014-05-27,93.02413940429688
2014-05-28,92.0681381225586
2014-05-29,92.64615631103516
2014-05-30,93.24646759033203
2014-06-02,93.35765075683594
2014-06-03,93.91349792480469
2014-06-04,95.0251693725586
2014-06-05,94.13580322265625
2014-06-06,95.29196166992188
2014-06-09,95.44757843017578
2014-06-10,95.64768981933594
2014-06-11,95.26969909667969
2014-06-12,95.4920425415039
2014-06-13,95.84777069091797
2014-06-16,95.5364761352539
2014-06-17,95.91447448730469
2014-06-18,97.09283447265625
2014-06-19,96.91499328613281
2014-06-20,97.22624969482422
2014-06-23,97.18177032470703
2014-06-24,96.84827423095703
2014-06-25,96.62593078613281
2014-06-26,96.49161529541016
2014-06-27,96.5587387084961
2014-06-30,96.93934631347656
2014-07-01,98.43934631347656
2014-07-02,97.25276947021484
2014-07-03,97.25276947021484
2014-07-07,96.8498306274414
2014-07-08,96.26773834228516
2014-07-09,96.26773834228516
2014-07-10,95.86475372314453
2014-07-11,96.08863067626953
2014-07-14,95.70803833007812
2014-07-15,94.92446899414062
2014-07-16,95.12593078613281
2014-07-17,95.0363998413086
2014-07-18,95.10356140136719
2014-07-21,95.23786926269531
2014-07-22,95.640869140625
2014-07-23,95.88713836669922
2014-07-24,95.77519989013672
2014-07-25,92.99906921386719
2014-07-28,93.49166107177734
2014-07-29,92.99906921386719
2014-07-30,90.87224578857422
2014-07-31,91.23046875
2014-08-01,90.80512237548828
2014-08-04,89.95435333251953
2014-08-05,90.13346099853516
2014-08-06,89.70806884765625
2014-08-07,90.24537658691406
2014-08-08,91.4095458984375
2014-08-11,91.7229995727539
2014-08-12,91.52149963378906
2014-08-13,92.349853515625
2014-08-14,92.59614562988281
2014-08-15,92.37222290039062
2014-08-18,92.50657653808594
2014-08-19,92.48417663574219
2014-08-20,93.04387664794922
2014-08-21,93.71550750732422
2014-08-22,93.24537658691406
2014-08-25,93.60358428955078
2014-08-26,93.1334457397461
2014-08-27,93.73790740966797
2014-08-28,93.67074584960938
2014-08-29,93.96177673339844
2014-09-02,94.83491516113281
2014-09-03,94.90208435058594
2014-09-04,94.99162292480469
2014-09-05,94.63341522216797
2014-09-08,94.76773071289062
2014-09-09,94.61100006103516
2014-09-10,94.81253051757812
2014-09-11,95.4841537475586
2014-09-12,95.37222290039062
2014-09-15,95.26029205322266
2014-09-16,94.81253051757812
2014-09-17,95.39459991455078
2014-09-18,95.9319076538086
2014-09-19,95.37222290039062
2014-09-22,93.89460754394531
2014-09-23,92.81999206542969
2014-09-24,93.78267669677734
2014-09-25,92.46178436279297
2014-09-26,93.09325408935547
2014-09-29,93.36385345458984
2014-09-30,93.36385345458984
2014-10-01,91.67250061035156
2014-10-02,91.64990997314453
2014-10-03,93.13833618164062
2014-10-06,93.07069396972656
2014-10-07,91.67250061035156
2014-10-08,92.48435974121094
2014-10-09,91.10867309570312
2014-10-10,90.56745910644531
2014-10-13,90.00366973876953
2014-10-14,90.22918701171875
2014-10-15,89.55262756347656
2014-10-16,89.10160064697266
2014-10-17,90.8606185913086
2014-10-20,91.35676574707031
2014-10-21,92.64221954345703
2014-10-22,91.98821258544922
2014-10-23,91.3342056274414
2014-10-24,91.51460266113281
2014-10-27,92.66476440429688
2014-10-28,93.79234313964844
