,VMC
2014-01-02,53.82720184326172
2014-01-03,53.74464416503906
2014-01-06,53.258480072021484
2014-01-07,53.97397232055664
2014-01-08,54.44178771972656
2014-01-09,54.872920989990234
2014-01-10,54.50599670410156
2014-01-13,53.808860778808594
2014-01-14,54.31336212158203
2014-01-15,54.744510650634766
2014-01-16,54.95549011230469
2014-01-17,54.716983795166016
2014-01-21,55.01968002319336
2014-01-22,54.6711311340332
2014-01-23,56.239707946777344
2014-01-24,54.64358139038086
2014-01-27,53.24013900756836
2014-01-28,56.487369537353516
2014-01-29,57.111141204833984
2014-01-30,56.5791015625
2014-01-31,56.624961853027344
2014-02-03,54.16660690307617
2014-02-04,54.92796325683594
2014-02-05,55.21232604980469
2014-02-06,60.22994613647461
2014-02-07,59.40438461303711
2014-02-10,59.789649963378906
2014-02-11,60.11989212036133
2014-02-12,59.973121643066406
2014-02-13,60.54182815551758
2014-02-14,60.84453582763672
2014-02-18,60.94544982910156
2014-02-19,59.551151275634766
2014-02-20,59.94589614868164
2014-02-21,60.34064483642578
2014-02-24,59.69804000854492
2014-02-25,60.175411224365234
2014-02-26,61.469810485839844
2014-02-27,62.360233306884766
2014-02-28,62.360233306884766
2014-03-03,62.755008697509766
2014-03-04,63.351722717285156
2014-03-05,62.60810852050781
2014-03-06,62.41532897949219
2014-03-07,63.204811096191406
2014-03-10,62.55303955078125
2014-03-11,61.94715118408203
2014-03-12,61.442237854003906
2014-03-13,60.395729064941406
2014-03-14,60.799659729003906
2014-03-17,61.258644104003906
2014-03-18,61.87371063232422
2014-03-19,61.69011306762695
2014-03-20,61.515689849853516
2014-03-21,60.689483642578125
2014-03-24,59.78065490722656
2014-03-25,60.50589370727539
2014-03-26,59.312469482421875
2014-03-27,59.77146911621094
2014-03-28,60.94651794433594
2014-03-31,61.001609802246094
2014-04-01,61.02914047241211
2014-04-02,60.331459045410156
2014-04-03,60.90061950683594
2014-04-04,60.89142990112305
2014-04-07,58.816741943359375
2014-04-08,58.71575927734375
2014-04-09,59.77146911621094
2014-04-10,59.505252838134766
2014-04-11,58.49543762207031
2014-04-14,58.34855651855469
2014-04-15,58.43116760253906
2014-04-16,59.56033706665039
2014-04-17,59.44099044799805
2014-04-21,59.87246322631836
2014-04-22,59.312469482421875
2014-04-23,59.12887191772461
2014-04-24,59.89999771118164
2014-04-25,58.816741943359375
2014-04-28,56.81549072265625
2014-04-29,58.75248336791992
2014-04-30,59.23903274536133
2014-05-01,59.46853256225586
2014-05-02,59.808197021484375
2014-05-05,59.67967987060547
2014-05-06,58.128257751464844
2014-05-07,57.12761306762695
2014-05-08,56.09025955200195
2014-05-09,55.007015228271484
2014-05-12,57.04499816894531
2014-05-13,56.60434341430664
2014-05-14,55.8883056640625
2014-05-15,54.84178161621094
2014-05-16,55.47518539428711
2014-05-19,55.61289596557617
2014-05-20,54.68571090698242
2014-05-21,54.318511962890625
2014-05-22,55.044349670410156
2014-05-23,56.220394134521484
2014-05-27,56.36738586425781
2014-05-28,56.42252731323242
2014-05-29,55.981510162353516
2014-05-30,56.01826095581055
2014-06-02,56.29388427734375
2014-06-03,56.03663635253906
2014-06-04,56.30307388305664
2014-06-05,57.69964599609375
2014-06-06,58.3703498840332
2014-06-09,58.25090408325195
2014-06-10,59.638275146484375
2014-06-11,58.88486099243164
2014-06-12,58.747047424316406
2014-06-13,59.49125671386719
2014-06-16,59.298316955566406
2014-06-17,58.66434860229492
2014-06-18,59.89553451538086
2014-06-19,59.73014831542969
2014-06-20,59.94146728515625
2014-06-23,59.72096252441406
2014-06-24,58.673553466796875
2014-06-25,58.34278106689453
2014-06-26,57.910953521728516
2014-06-27,58.71030044555664
2014-06-30,58.57246780395508
2014-07-01,59.08699417114258
2014-07-02,58.3703498840332
2014-07-03,59.13294982910156
2014-07-07,58.56329345703125
2014-07-08,59.077823638916016
2014-07-09,59.647438049316406
2014-07-10,59.261558532714844
2014-07-11,59.86796951293945
2014-07-14,59.14213943481445
2014-07-15,58.985923767089844
2014-07-16,59.17888259887695
2014-07-17,57.87419891357422
2014-07-18,58.84811782836914
2014-07-21,58.39792251586914
2014-07-22,59.32586669921875
2014-07-23,60.49272537231445
2014-07-24,60.59380340576172
2014-07-25,59.904720306396484
2014-07-28,59.25237274169922
2014-07-29,60.13441467285156
2014-07-30,60.03334426879883
2014-07-31,58.002830505371094
2014-08-01,58.19578170776367
2014-08-04,58.13146209716797
2014-08-05,57.194297790527344
2014-08-06,57.34130859375
2014-08-07,56.50520706176758
2014-08-08,56.93704605102539
2014-08-11,56.67977523803711
2014-08-12,56.85435485839844
2014-08-13,56.99216079711914
2014-08-14,57.0013542175293
2014-08-15,56.47765350341797
2014-08-18,57.85582733154297
2014-08-19,57.883392333984375
2014-08-20,57.644508361816406
2014-08-21,57.956878662109375
2014-08-22,57.58019256591797
2014-08-25,57.46062088012695
2014-08-26,58.56424331665039
2014-08-27,58.325111389160156
2014-08-28,58.14118194580078
2014-08-29,58.288330078125
2014-09-02,57.70896530151367
2014-09-03,57.06517791748047
2014-09-04,57.046783447265625
2014-09-05,57.68135452270508
2014-09-08,57.41465759277344
2014-09-09,56.74330520629883
2014-09-10,57.08357620239258
2014-09-11,58.08600997924805
2014-09-12,57.589385986328125
2014-09-15,57.31349182128906
2014-09-16,57.672157287597656
2014-09-17,58.21476364135742
2014-09-18,57.42384338378906
2014-09-19,57.249107360839844
2014-09-22,56.76169204711914
2014-09-23,56.734100341796875
2014-09-24,57.59858322143555
2014-09-25,56.41221618652344
2014-09-26,56.40301513671875
2014-09-29,55.75005340576172
2014-09-30,55.391387939453125
2014-10-01,54.168243408203125
2014-10-02,54.057884216308594
2014-10-03,54.4073486328125
2014-10-06,53.809566497802734
2014-10-07,52.678375244140625
2014-10-08,53.331336975097656
2014-10-09,52.724361419677734
2014-10-10,51.979427337646484
2014-10-13,50.83905029296875
2014-10-14,51.25290298461914
2014-10-15,51.75870895385742
2014-10-16,52.209346771240234
2014-10-17,54.34296417236328
2014-10-20,54.68324279785156
2014-10-21,55.40978240966797
2014-10-22,54.58207321166992
