,JKHY
2014-01-02,50.75762176513672
2014-01-03,51.47325897216797
2014-01-06,51.4034423828125
2014-01-07,51.647789001464844
2014-01-08,52.18016815185547
2014-01-09,52.1627082824707
2014-01-10,52.18016815185547
2014-01-13,51.02816390991211
2014-01-14,51.56924819946289
2014-01-15,51.612892150878906
2014-01-16,51.52561569213867
2014-01-17,50.93215560913086
2014-01-21,51.298702239990234
2014-01-22,51.82234573364258
2014-01-23,51.68272018432617
2014-01-24,50.172889709472656
2014-01-27,48.68053436279297
2014-01-28,49.41361999511719
2014-01-29,48.5932502746582
2014-01-30,49.48344039916992
2014-01-31,48.68053436279297
2014-02-03,46.85655212402344
2014-02-04,47.71180725097656
2014-02-05,47.61581039428711
2014-02-06,47.99980163574219
2014-02-07,49.047080993652344
2014-02-10,49.212890625
2014-02-11,49.67543029785156
2014-02-12,50.06816482543945
2014-02-13,50.26888656616211
2014-02-14,50.27762222290039
2014-02-18,50.556884765625
2014-02-19,50.58307647705078
2014-02-20,50.748905181884766
2014-02-21,50.93215560913086
2014-02-24,51.33512878417969
2014-02-25,51.18620681762695
2014-02-26,51.18620681762695
2014-02-27,51.52785873413086
2014-02-28,50.923397064208984
2014-03-03,50.494144439697266
2014-03-04,51.06357192993164
2014-03-05,50.76572036743164
2014-03-06,50.476619720458984
2014-03-07,50.36274719238281
2014-03-10,50.65182876586914
2014-03-11,50.15251159667969
2014-03-12,50.35398483276367
2014-03-13,49.4166374206543
2014-03-14,49.45167541503906
2014-03-17,49.82836151123047
2014-03-18,50.056129455566406
2014-03-19,49.39910888671875
2014-03-20,49.39910888671875
2014-03-21,49.469200134277344
2014-03-24,48.86473846435547
2014-03-25,48.64573287963867
2014-03-26,47.971187591552734
2014-03-27,48.21647644042969
2014-03-28,48.225242614746094
2014-03-31,48.84720993041992
2014-04-01,49.556800842285156
2014-04-02,49.16259002685547
2014-04-03,49.29399108886719
2014-04-04,48.61069869995117
2014-04-07,47.81351089477539
2014-04-08,48.35664367675781
2014-04-09,48.75960922241211
2014-04-10,47.27912521362305
2014-04-11,46.6308708190918
2014-04-14,46.70095443725586
2014-04-15,47.480621337890625
2014-04-16,48.20772933959961
2014-04-17,48.35664367675781
2014-04-21,48.21647644042969
2014-04-22,48.137638092041016
2014-04-23,47.971187591552734
2014-04-24,47.96243667602539
2014-04-25,47.54194641113281
2014-04-28,47.7521858215332
2014-04-29,47.647071838378906
2014-04-30,48.321598052978516
