,GOOGL
2014-01-02,27.75524139404297
2014-01-03,27.552770614624023
2014-01-06,27.859966278076172
2014-01-07,28.397058486938477
2014-01-08,28.456153869628906
2014-01-09,28.1821231842041
2014-01-10,28.180627822875977
2014-01-13,28.0010986328125
2014-01-14,28.659868240356445
2014-01-15,28.64042091369629
2014-01-16,28.829923629760742
2014-01-17,28.688045501708984
2014-01-21,29.016435623168945
2014-01-22,29.049348831176758
2014-01-23,28.926671981811523
2014-01-24,28.02229118347168
2014-01-27,27.458768844604492
2014-01-28,28.00184440612793
2014-01-29,27.600645065307617
2014-01-30,28.31053352355957
2014-01-31,29.447057723999023
2014-02-03,28.26166343688965
2014-02-04,28.37960433959961
2014-02-05,28.505273818969727
2014-02-06,28.923179626464844
2014-02-07,29.359037399291992
2014-02-10,29.24658203125
2014-02-11,29.67670440673828
2014-02-12,29.58968162536621
2014-02-13,29.919069290161133
2014-02-14,29.991378784179688
2014-02-18,30.19285011291504
2014-02-19,29.979909896850586
2014-02-20,30.024044036865234
2014-02-21,30.016063690185547
2014-02-24,30.23349380493164
2014-02-25,30.420255661010742
2014-02-26,30.42449378967285
2014-02-27,30.400556564331055
2014-02-28,30.311790466308594
2014-03-03,29.988636016845703
2014-03-04,30.293336868286133
2014-03-05,30.376867294311523
2014-03-06,30.41053009033203
2014-03-07,30.29034423828125
2014-03-10,30.210058212280273
2014-03-11,29.921314239501953
2014-03-12,30.103586196899414
2014-03-13,29.64877700805664
2014-03-14,29.243337631225586
2014-03-17,29.724578857421875
2014-03-18,30.20232582092285
2014-03-19,29.902860641479492
2014-03-20,29.85074806213379
2014-03-21,29.49867057800293
2014-03-24,28.872560501098633
2014-03-25,28.892261505126953
2014-03-26,28.22525978088379
2014-03-27,27.784164428710938
2014-03-28,27.930532455444336
2014-03-31,27.789897918701172
2014-04-01,28.29806900024414
2014-04-02,28.30330467224121
2014-04-03,28.47178840637207
2014-04-04,27.16402816772461
2014-04-07,26.933862686157227
2014-04-08,27.774812698364258
2014-04-09,28.249591827392578
2014-04-10,27.235767364501953
2014-04-11,26.79088020324707
2014-04-14,27.16153907775879
2014-04-15,27.335905075073242
2014-04-16,28.093158721923828
2014-04-17,27.068872451782227
2014-04-21,26.871091842651367
2014-04-22,27.176483154296875
2014-04-23,26.778425216674805
2014-04-24,26.6254825592041
2014-04-25,26.060529708862305
2014-04-28,26.05455207824707
2014-04-29,26.71963882446289
2014-04-30,26.64739990234375
2014-05-01,26.829242706298828
2014-05-02,26.597084045410156
2014-05-05,26.66982078552246
2014-05-06,26.03412437438965
2014-05-07,25.806447982788086
2014-05-08,25.9145565032959
2014-05-09,26.235891342163086
2014-05-12,26.82425880432129
2014-05-13,26.979198455810547
2014-05-14,26.62398910522461
2014-05-15,26.36043930053711
2014-05-16,26.319589614868164
2014-05-19,26.844186782836914
2014-05-20,26.921905517578125
2014-05-21,27.385726928710938
2014-05-22,27.672183990478516
2014-05-23,28.088178634643555
2014-05-27,28.639678955078125
2014-05-28,28.419475555419922
2014-05-29,28.424957275390625
2014-05-30,28.47926139831543
2014-06-02,28.115079879760742
2014-06-03,27.625356674194336
2014-06-04,27.58799171447754
2014-06-05,28.144474029541016
2014-06-06,28.199275970458984
2014-06-09,28.433427810668945
2014-06-10,28.312366485595703
2014-06-11,28.272510528564453
2014-06-12,27.87395477294922
2014-06-13,27.916301727294922
2014-06-16,27.515256881713867
2014-06-17,27.43155860900879
2014-06-18,27.931747436523438
2014-06-19,28.147464752197266
2014-06-20,28.22368812561035
2014-06-23,28.610782623291016
2014-06-24,28.52359962463379
2014-06-25,29.19068145751953
2014-06-26,29.132890701293945
2014-06-27,29.17872428894043
2014-06-30,29.12790870666504
2014-07-01,29.467676162719727
2014-07-02,29.43230438232422
2014-07-03,29.54688835144043
2014-07-07,29.431310653686523
2014-07-08,28.815542221069336
2014-07-09,29.062644958496094
2014-07-10,28.897245407104492
2014-07-11,29.226551055908203
2014-07-14,29.605676651000977
2014-07-15,29.545894622802734
2014-07-16,29.424333572387695
2014-07-17,28.93610382080078
2014-07-18,30.146217346191406
2014-07-21,29.813922882080078
2014-07-22,30.069496154785156
2014-07-23,30.150203704833984
2014-07-24,30.041595458984375
2014-07-25,29.79598617553711
2014-07-28,29.842817306518555
2014-07-29,29.590232849121094
2014-07-30,29.66446304321289
2014-07-31,28.872835159301758
2014-08-01,28.57640838623047
2014-08-04,29.008342742919922
2014-08-05,28.553489685058594
2014-08-06,28.620746612548828
2014-08-07,28.48723030090332
2014-08-08,28.79262351989746
2014-08-11,28.758249282836914
2014-08-12,28.50267791748047
2014-08-13,29.12242889404297
2014-08-14,29.126911163330078
2014-08-15,29.080081939697266
2014-08-18,29.527957916259766
2014-08-19,29.74765968322754
2014-08-20,29.662967681884766
2014-08-21,29.514009475708008
2014-08-22,29.519989013671875
2014-08-25,29.421842575073242
2014-08-26,29.299785614013672
2014-08-27,29.04471206665039
2014-08-28,28.91119384765625
2014-08-29,29.012826919555664
2014-09-02,29.325193405151367
2014-09-03,29.36953353881836
2014-09-04,29.54987907409668
2014-09-05,29.78104019165039
2014-09-08,29.97284507751465
2014-09-09,29.49159049987793
2014-09-10,29.563827514648438
2014-09-11,29.448745727539062
2014-09-12,29.13936996459961
2014-09-15,28.976957321166992
2014-09-16,29.332664489746094
2014-09-17,29.55735206604004
2014-09-18,29.755634307861328
2014-09-19,30.16066551208496
2014-09-22,29.755634307861328
2014-09-23,29.452232360839844
2014-09-24,29.812925338745117
2014-09-25,29.15680503845215
2014-09-26,29.28882598876953
2014-09-29,29.28434181213379
2014-09-30,29.314233779907227
2014-10-01,28.876819610595703
2014-10-02,28.93909454345703
2014-10-03,29.206623077392578
2014-10-06,29.282848358154297
2014-10-07,28.601318359375
2014-10-08,29.08157730102539
2014-10-09,28.43741226196289
2014-10-10,27.65923309326172
2014-10-13,27.139116287231445
2014-10-14,27.335407257080078
2014-10-15,26.938846588134766
2014-10-16,26.749032974243164
2014-10-17,26.054052352905273
2014-10-20,26.522851943969727
2014-10-21,26.804332733154297
2014-10-22,27.03649139404297
2014-10-23,27.58251190185547
2014-10-24,27.345869064331055
2014-10-27,27.394689559936523
2014-10-28,27.84605598449707
2014-10-29,27.821643829345703
2014-10-30,27.912315368652344
2014-10-31,28.290943145751953
2014-11-03,28.08668327331543
2014-11-04,28.107606887817383
2014-11-05,27.69709587097168
2014-11-06,27.484865188598633
2014-11-07,27.49134063720703
2014-11-10,27.810686111450195
2014-11-11,27.963132858276367
2014-11-12,27.81167984008789
2014-11-13,27.721508026123047
2014-11-14,27.65923309326172
2014-11-17,27.233278274536133
2014-11-18,27.12716293334961
2014-11-19,27.26117706298828
2014-11-20,27.089797973632812
2014-11-21,27.195913314819336
2014-11-24,27.27512550354004
2014-11-25,27.3623104095459
2014-11-26,27.287580490112305
2014-11-28,27.354835510253906
2014-12-01,26.885038375854492
2014-12-02,26.832231521606445
2014-12-03,26.751523971557617
2014-12-04,27.031009674072266
2014-12-05,26.308629989624023
2014-12-08,26.440650939941406
2014-12-09,26.70867919921875
2014-12-10,26.306636810302734
2014-12-11,26.509401321411133
2014-12-12,25.9813175201416
2014-12-15,25.69883918762207
2014-12-16,24.818035125732422
2014-12-17,25.231037139892578
2014-12-18,25.638063430786133
2014-12-19,25.908082962036133
2014-12-22,26.51886749267578
2014-12-23,26.841197967529297
2014-12-24,26.749530792236328
2014-12-26,26.978200912475586
2014-12-29,26.768461227416992
2014-12-30,26.667327880859375
2014-12-31,26.437164306640625
2015-01-02,26.381864547729492
2015-01-05,25.87918472290039
2015-01-06,25.240501403808594
2015-01-07,25.166271209716797
2015-01-08,25.25395393371582
2015-01-09,24.94556999206543
2015-01-12,24.763233184814453
2015-01-13,24.999374389648438
2015-01-14,25.205127716064453
2015-01-15,25.10947608947754
2015-01-16,25.430810928344727
2015-01-20,25.404905319213867
2015-01-21,25.925518035888672
2015-01-22,26.767963409423828
2015-01-23,26.999622344970703
2015-01-26,26.73906898498535
2015-01-27,25.96537208557129
2015-01-28,25.528953552246094
2015-01-29,25.568811416625977
2015-01-30,26.780418395996094
2015-02-02,26.513885498046875
2015-02-03,26.568687438964844
2015-02-04,26.20998764038086
2015-02-05,26.39581298828125
2015-02-06,26.59758186340332
2015-02-09,26.3684139251709
2015-02-10,26.910446166992188
2015-02-11,26.802837371826172
