,VTR
2014-01-02,39.69514465332031
2014-01-03,39.67417907714844
2014-01-06,40.65924072265625
2014-01-07,40.67321014404297
2014-01-08,40.442657470703125
2014-01-09,40.547454833984375
2014-01-10,42.40576171875
2014-01-13,41.846866607666016
2014-01-14,41.874820709228516
2014-01-15,42.119327545166016
2014-01-16,42.75506591796875
2014-01-17,42.58741760253906
2014-01-21,43.17424011230469
2014-01-22,43.06245803833008
2014-01-23,42.94369125366211
2014-01-24,42.88780212402344
2014-01-27,42.86684799194336
2014-01-28,43.188209533691406
2014-01-29,43.03453063964844
2014-01-30,43.19518280029297
2014-01-31,43.586402893066406
2014-02-03,42.999576568603516
2014-02-04,43.30697250366211
2014-02-05,42.99259948730469
2014-02-06,43.17424011230469
2014-02-07,43.27204895019531
2014-02-10,43.97763442993164
2014-02-11,43.75408935546875
2014-02-12,43.160255432128906
2014-02-13,43.733116149902344
2014-02-14,42.97861862182617
2014-02-18,42.90877151489258
2014-02-19,43.251094818115234
2014-02-20,42.72013854980469
2014-02-21,42.34986877441406
2014-02-24,43.111358642578125
2014-02-25,42.95767593383789
2014-02-26,43.27204895019531
2014-02-27,43.6213493347168
2014-02-28,43.6143798828125
2014-03-03,43.865848541259766
2014-03-04,44.48063278198242
2014-03-05,44.54069137573242
2014-03-06,43.791656494140625
2014-03-07,42.75284957885742
2014-03-10,42.759925842285156
2014-03-11,43.21925354003906
2014-03-12,43.254600524902344
2014-03-13,42.73871612548828
2014-03-14,42.936588287353516
2014-03-17,42.8376579284668
2014-03-18,43.02846145629883
2014-03-19,41.63633346557617
2014-03-20,41.777671813964844
2014-03-21,42.138065338134766
2014-03-24,41.97553634643555
2014-03-25,42.441917419433594
2014-03-26,41.96140670776367
2014-03-27,42.357120513916016
2014-03-28,42.6539192199707
2014-03-31,42.80232238769531
2014-04-01,43.38179016113281
2014-04-02,43.31112289428711
2014-04-03,43.388858795166016
2014-04-04,43.80577850341797
2014-04-07,44.51948928833008
2014-04-08,45.233245849609375
2014-04-09,44.94350051879883
2014-04-10,44.61136245727539
2014-04-11,44.62551498413086
2014-04-14,45.353355407714844
2014-04-15,46.639488220214844
2014-04-16,46.236690521240234
2014-04-17,46.02469253540039
2014-04-21,45.93282699584961
2014-04-22,45.5794792175293
2014-04-23,45.643096923828125
2014-04-24,45.44524383544922
2014-04-25,45.47350311279297
2014-04-28,46.44868087768555
2014-04-29,46.58295440673828
2014-04-30,46.696006774902344
2014-05-01,47.09174728393555
2014-05-02,47.02107238769531
2014-05-05,47.3320198059082
2014-05-06,47.367347717285156
2014-05-07,47.967994689941406
2014-05-08,48.33546829223633
2014-05-09,47.8831901550293
2014-05-12,47.29667282104492
2014-05-13,47.077613830566406
2014-05-14,47.40972900390625
2014-05-15,47.649993896484375
2014-05-16,48.208255767822266
2014-05-19,47.65708541870117
2014-05-20,47.53693389892578
2014-05-21,46.86562728881836
2014-05-22,46.731346130371094
2014-05-23,47.367347717285156
2014-05-27,47.51573181152344
2014-05-28,46.80200958251953
2014-05-29,46.950408935546875
2014-05-30,47.20481491088867
2014-06-02,45.88336181640625
2014-06-03,45.819759368896484
2014-06-04,45.8018913269043
2014-06-05,46.93103790283203
2014-06-06,46.723785400390625
2014-06-09,45.980552673339844
2014-06-10,45.623226165771484
2014-06-11,45.501747131347656
2014-06-12,45.508888244628906
2014-06-13,45.48030090332031
2014-06-16,45.208736419677734
2014-06-17,44.815670013427734
2014-06-18,44.98719024658203
2014-06-19,45.837623596191406
2014-06-20,46.1949577331543
2014-06-23,45.980552673339844
2014-06-24,46.01628112792969
2014-06-25,45.55177307128906
2014-06-26,45.60893249511719
2014-06-27,45.837623596191406
2014-06-30,45.80903625488281
2014-07-01,45.9734001159668
2014-07-02,45.7876091003418
2014-07-03,45.673248291015625
2014-07-07,46.1306266784668
2014-07-08,45.90195083618164
2014-07-09,45.980552673339844
2014-07-10,46.16636657714844
2014-07-11,45.88051223754883
2014-07-14,45.909088134765625
2014-07-15,45.737579345703125
2014-07-16,46.030574798583984
2014-07-17,45.85906219482422
2014-07-18,46.25926971435547
2014-07-21,46.0377197265625
2014-07-22,45.9591178894043
2014-07-23,45.9448127746582
2014-07-24,46.22353744506836
2014-07-25,45.88766098022461
2014-07-28,46.33787155151367
2014-07-29,46.08774185180664
2014-07-30,45.637516021728516
2014-07-31,45.38025665283203
2014-08-01,45.49458312988281
2014-08-04,45.759010314941406
2014-08-05,45.06578826904297
2014-08-06,44.872840881347656
2014-08-07,44.9085807800293
2014-08-08,45.337371826171875
2014-08-11,45.49458312988281
2014-08-12,45.18729782104492
2014-08-13,46.30929946899414
2014-08-14,46.48795700073242
2014-08-15,46.402198791503906
2014-08-18,46.802406311035156
2014-08-19,46.88101577758789
2014-08-20,47.09539794921875
2014-08-21,47.08110809326172
2014-08-22,46.88101577758789
2014-08-25,46.76667022705078
2014-08-26,46.630863189697266
2014-08-27,46.838130950927734
2014-08-28,47.04536819458008
2014-08-29,47.009639739990234
2014-09-02,46.7452278137207
2014-09-03,47.19545364379883
2014-09-04,47.11685562133789
2014-09-05,47.16687774658203
2014-09-08,46.64518737792969
2014-09-09,46.2735595703125
2014-09-10,46.17599868774414
2014-09-11,46.32776641845703
