,FIS
2014-01-02,44.158546447753906
2014-01-03,44.283531188964844
2014-01-06,44.033573150634766
2014-01-07,44.116905212402344
2014-01-08,44.158546447753906
2014-01-09,44.17521667480469
2014-01-10,44.158546447753906
2014-01-13,43.35869598388672
2014-01-14,43.69196319580078
2014-01-15,43.65864562988281
2014-01-16,43.775291442871094
2014-01-17,43.941932678222656
2014-01-21,44.36684036254883
2014-01-22,44.57514953613281
2014-01-23,44.36684036254883
2014-01-24,42.3588752746582
2014-01-27,41.97562026977539
2014-01-28,42.4588737487793
2014-01-29,42.50050735473633
2014-01-30,43.09209442138672
2014-01-31,42.24223327636719
2014-02-03,40.7175178527832
2014-02-04,42.450538635253906
2014-02-05,42.80879592895508
2014-02-06,43.72529602050781
2014-02-07,44.7501220703125
2014-02-10,44.183536529541016
2014-02-11,44.25852966308594
2014-02-12,44.616798400878906
2014-02-13,45.0500602722168
2014-02-14,44.87507629394531
2014-02-18,45.25001525878906
2014-02-19,44.92506790161133
2014-02-20,45.21669387817383
2014-02-21,45.2750129699707
2014-02-24,45.7415885925293
2014-02-25,45.78325271606445
2014-02-26,45.95821762084961
2014-02-27,46.67475509643555
2014-02-28,46.33315658569336
2014-03-03,46.01655197143555
2014-03-04,47.1163444519043
2014-03-05,46.266502380371094
2014-03-06,46.36648178100586
2014-03-07,46.21650695800781
2014-03-10,45.94989776611328
2014-03-11,45.79157638549805
2014-03-12,45.61660385131836
2014-03-13,44.62914276123047
2014-03-14,44.143760681152344
2014-03-17,44.72955322265625
2014-03-18,45.340457916259766
2014-03-19,45.08940124511719
2014-03-20,45.43251037597656
2014-03-21,45.332088470458984
2014-03-24,44.47849655151367
2014-03-25,44.41154098510742
2014-03-26,43.94291305541992
2014-03-27,43.79228591918945
2014-03-28,44.260921478271484
2014-03-31,44.72955322265625
2014-04-01,45.12286376953125
2014-04-02,45.32370376586914
2014-04-03,45.32370376586914
2014-04-04,44.49524688720703
2014-04-07,44.27766036987305
2014-04-08,44.08518600463867
2014-04-09,44.36134338378906
2014-04-10,43.357120513916016
2014-04-11,42.913597106933594
2014-04-14,43.24832534790039
2014-04-15,43.641658782958984
2014-04-16,43.93453598022461
2014-04-17,44.08518600463867
2014-04-21,43.94291305541992
2014-04-22,43.94291305541992
2014-04-23,44.60403823852539
2014-04-24,43.976402282714844
2014-04-25,43.3487548828125
2014-04-28,43.43244552612305
2014-04-29,44.185611724853516
2014-04-30,44.71281433105469
2014-05-01,44.86345672607422
2014-05-02,45.49108123779297
2014-05-05,45.59988784790039
2014-05-06,44.94713592529297
2014-05-07,44.95552444458008
2014-05-08,44.75465774536133
2014-05-09,44.98060607910156
2014-05-12,45.95134735107422
2014-05-13,45.750511169433594
2014-05-14,45.43251037597656
2014-05-15,45.0224609375
2014-05-16,44.687721252441406
2014-05-19,45.005706787109375
2014-05-20,44.55381774902344
2014-05-21,44.545448303222656
2014-05-22,44.461769104003906
2014-05-23,44.67097091674805
2014-05-27,44.888553619384766
2014-05-28,45.13960647583008
2014-05-29,45.240028381347656
2014-05-30,45.315345764160156
2014-06-02,45.315345764160156
2014-06-03,45.1898193359375
2014-06-04,45.34883499145508
2014-06-05,45.65008544921875
2014-06-06,46.085243225097656
2014-06-09,46.15220260620117
2014-06-10,46.12709426879883
2014-06-11,45.549659729003906
2014-06-12,45.10417556762695
2014-06-13,45.26386642456055
2014-06-16,45.10417556762695
2014-06-17,45.45720672607422
2014-06-18,45.356346130371094
2014-06-19,45.558074951171875
2014-06-20,45.75981521606445
2014-06-23,45.894283294677734
2014-06-24,45.860679626464844
2014-06-25,46.47427749633789
2014-06-26,45.95313262939453
2014-06-27,46.0708122253418
2014-06-30,46.01197052001953
2014-07-01,46.16326904296875
2014-07-02,46.171688079833984
2014-07-03,46.60034942626953
