,PAYC
2014-04-15,15.152982711791992
2014-04-16,15.419515609741213
2014-04-17,16.04142951965332
2014-04-21,15.893356323242188
2014-04-22,15.774894714355469
2014-04-23,15.863739013671877
2014-04-24,15.547846794128418
2014-04-25,15.103622436523438
2014-04-28,14.777857780456545
2014-04-29,15.083879470825195
2014-04-30,15.212210655212402
2014-05-01,15.468873977661133
2014-05-02,15.59720516204834
2014-05-05,15.47874641418457
2014-05-06,15.113494873046877
2014-05-07,14.85683250427246
2014-05-08,14.985162734985352
2014-05-09,14.323762893676758
2014-05-12,13.90915298461914
2014-05-13,13.691976547241213
2014-05-14,13.889409065246582
2014-05-15,14.106585502624512
2014-05-16,13.632747650146484
2014-05-19,13.070063591003418
2014-05-20,13.820307731628418
2014-05-21,13.820307731628418
2014-05-22,15.182597160339355
2014-05-23,14.343505859375
2014-05-27,13.849921226501465
2014-05-28,13.07993507385254
2014-05-29,13.306982040405272
2014-05-30,13.178650856018066
2014-06-02,13.36621379852295
2014-06-03,13.849921226501465
2014-06-04,14.11645793914795
2014-06-05,13.988125801086426
2014-06-06,14.264532089233398
2014-06-09,14.452093124389648
2014-06-10,14.244790077209473
2014-06-11,14.274404525756836
2014-06-12,13.790693283081056
2014-06-13,13.820307731628418
2014-06-16,14.254660606384276
2014-06-17,13.820307731628418
2014-06-18,13.988125801086426
2014-06-19,14.106585502624512
2014-06-20,13.938769340515137
2014-06-23,14.452093124389648
2014-06-24,14.511322975158691
2014-06-25,14.531067848205566
2014-06-26,14.531067848205566
2014-06-27,13.800565719604492
2014-06-30,14.40273666381836
2014-07-01,14.412606239318848
2014-07-02,14.067100524902344
2014-07-03,14.491581916809082
2014-07-07,13.840051651000977
2014-07-08,13.257625579833984
2014-07-09,13.247753143310549
2014-07-10,13.12929344177246
2014-07-11,12.862757682800291
2014-07-14,13.119422912597656
2014-07-15,12.803528785705566
2014-07-16,12.68506908416748
2014-07-17,12.250717163085938
2014-07-18,12.319817543029783
2014-07-21,12.615965843200684
2014-07-22,12.45802116394043
2014-07-23,12.67519760131836
2014-07-24,12.83314323425293
2014-07-25,12.83314323425293
2014-07-28,12.793658256530762
2014-07-29,12.71468448638916
2014-07-30,12.83314323425293
2014-07-31,12.615965843200684
2014-08-01,12.487635612487791
2014-08-04,12.527122497558594
2014-08-05,12.329689025878906
2014-08-06,13.652490615844728
2014-08-07,13.642619132995604
2014-08-08,13.405699729919434
2014-08-11,13.731464385986328
2014-08-12,13.71172046661377
2014-08-13,14.56068229675293
2014-08-14,15.064136505126951
2014-08-15,16.623855590820312
2014-08-18,16.23886489868164
2014-08-19,15.982200622558594
2014-08-20,15.567590713500977
2014-08-21,16.327707290649414
2014-08-22,17.226028442382812
2014-08-25,17.028594970703125
2014-08-26,17.81832504272461
2014-08-27,17.749223709106445
2014-08-28,17.6505069732666
2014-08-29,17.68999671936035
2014-09-02,17.847938537597656
2014-09-03,17.12731170654297
2014-09-04,16.436294555664062
2014-09-05,16.219120025634766
2014-09-08,16.179630279541016
2014-09-09,15.903227806091309
2014-09-10,16.1500186920166
2014-09-11,16.485652923583984
2014-09-12,17.512306213378906
2014-09-15,16.939748764038086
2014-09-16,17.66037940979004
2014-09-17,17.50243377685547
2014-09-18,17.81832504272461
2014-09-19,18.74626350402832
2014-09-22,18.04537582397461
2014-09-23,18.06511688232422
2014-09-24,18.183578491210938
2014-09-25,16.771930694580078
2014-09-26,16.998979568481445
2014-09-29,16.692956924438477
2014-09-30,16.347450256347656
2014-10-01,15.893356323242188
2014-10-02,16.09078598022461
2014-10-03,16.357322692871094
2014-10-06,15.942712783813477
2014-10-07,15.55771827697754
2014-10-08,15.47874641418457
2014-10-09,14.689014434814451
2014-10-10,14.689014434814451
2014-10-13,14.787729263305664
2014-10-14,14.846960067749023
2014-10-15,16.051300048828125
2014-10-16,16.544883728027344
2014-10-17,16.219120025634766
2014-10-20,16.13027572631836
2014-10-21,16.456039428710938
2014-10-22,16.268476486206055
2014-10-23,16.317838668823242
2014-10-24,16.298095703125
2014-10-27,16.357322692871094
2014-10-28,16.692956924438477
2014-10-29,16.554758071899414
2014-10-30,17.206281661987305
2014-10-31,17.522174835205078
2014-11-03,17.45307731628418
2014-11-04,17.50243377685547
2014-11-05,20.87853622436523
2014-11-06,21.312891006469727
2014-11-07,21.14507293701172
2014-11-10,21.78672790527344
2014-11-11,22.21120834350586
2014-11-12,22.063133239746097
2014-11-13,22.30992317199707
2014-11-14,23.38593864440918
2014-11-17,24.53104782104492
2014-11-18,24.521177291870117
2014-11-19,25.360265731811523
2014-11-20,25.765003204345703
2014-11-21,26.584348678588867
2014-11-24,27.117416381835938
2014-11-25,27.324724197387695
2014-11-26,27.926897048950195
2014-11-28,28.38098907470703
2014-12-01,28.015737533569336
2014-12-02,27.245750427246097
2014-12-03,26.574478149414062
2014-12-04,26.919986724853516
2014-12-05,26.97921562194824
2014-12-08,26.08089828491211
