,UDR
2014-01-02,15.831592559814453
2014-01-03,16.110532760620117
2014-01-06,16.226186752319336
2014-01-07,16.144550323486328
2014-01-08,16.031171798706055
2014-01-09,16.120494842529297
2014-01-10,16.1892147064209
2014-01-13,16.051776885986328
2014-01-14,16.216697692871094
2014-01-15,16.374740600585938
2014-01-16,16.470947265625
2014-01-17,16.429719924926758
2014-01-21,16.608373641967773
2014-01-22,16.64272689819336
2014-01-23,16.470947265625
2014-01-24,16.299156188964844
2014-01-27,16.079267501831055
2014-01-28,16.340391159057617
2014-01-29,16.3060302734375
2014-01-30,16.766414642333984
2014-01-31,16.725187301635742
2014-02-03,16.52591896057129
2014-02-04,16.635862350463867
2014-02-05,17.000045776367188
2014-02-06,17.357370376586914
2014-02-07,17.584121704101562
2014-02-10,17.749046325683594
2014-02-11,17.90020751953125
2014-02-12,17.769651412963867
2014-02-13,17.790266036987305
2014-02-14,17.81088638305664
2014-02-18,17.824628829956055
2014-02-19,17.831501007080078
2014-02-20,17.707809448242188
2014-02-21,17.652841567993164
2014-02-24,17.62535285949707
2014-02-25,17.77652931213379
2014-02-26,17.742168426513672
2014-02-27,17.707809448242188
2014-02-28,17.735300064086914
2014-03-03,17.968931198120117
2014-03-04,18.25065803527832
2014-03-05,18.29875373840332
2014-03-06,18.085742950439453
2014-03-07,17.9345703125
2014-03-10,17.632226943969727
2014-03-11,17.728425979614258
2014-03-12,17.77652931213379
2014-03-13,17.62535285949707
2014-03-14,17.67345428466797
2014-03-17,17.7215576171875
2014-03-18,17.742168426513672
2014-03-19,17.29551887512207
2014-03-20,17.49479866027832
2014-03-21,17.391721725463867
2014-03-24,17.336753845214844
2014-03-25,17.749046325683594
2014-03-26,17.577251434326172
2014-03-27,17.61160659790039
2014-03-28,17.645963668823242
2014-03-31,17.749046325683594
2014-04-01,17.769651412963867
2014-04-02,17.728425979614258
2014-04-03,17.666584014892578
2014-04-04,17.76278305053711
2014-04-07,17.783607482910156
2014-04-08,18.047380447387695
2014-04-09,17.929370880126953
2014-04-10,17.79054832458496
2014-04-11,17.54759979248047
2014-04-14,17.55454444885254
2014-04-15,17.686429977416992
2014-04-16,17.846078872680664
2014-04-17,17.651721954345703
2014-04-21,17.832199096679688
2014-04-22,17.873842239379883
2014-04-23,17.755840301513672
2014-04-24,17.936317443847656
2014-04-25,17.832199096679688
2014-04-28,17.929370880126953
2014-04-29,17.929370880126953
2014-04-30,17.950197219848633
2014-05-01,18.012664794921875
2014-05-02,18.2070255279541
2014-05-05,18.283382415771484
2014-05-06,18.3042049407959
2014-05-07,18.602676391601562
2014-05-08,18.727630615234375
2014-05-09,18.790096282958984
2014-05-12,19.026098251342773
2014-05-13,18.956684112548828
2014-05-14,18.92198371887207
2014-05-15,18.998340606689453
2014-05-16,19.16492462158203
2014-05-19,19.255159378051758
2014-05-20,19.178808212280273
2014-05-21,19.102453231811523
2014-05-22,19.06080436706543
2014-05-23,19.13022232055664
2014-05-27,19.185749053955078
2014-05-28,19.0677490234375
2014-05-29,19.09551239013672
2014-05-30,19.102453231811523
2014-06-02,19.157981872558594
2014-06-03,19.227392196655273
2014-06-04,19.262102127075195
2014-06-05,19.60222625732422
2014-06-06,19.44952392578125
2014-06-09,19.06080436706543
2014-06-10,18.970571517944336
2014-06-11,18.984453201293945
2014-06-12,19.05385971069336
2014-06-13,19.13022232055664
2014-06-16,19.088573455810547
2014-06-17,19.102453231811523
2014-06-18,19.255159378051758
2014-06-19,19.48422622680664
2014-06-20,19.629995346069336
2014-06-23,19.560585021972656
2014-06-24,19.5744571685791
2014-06-25,19.713285446166992
2014-06-26,19.761873245239258
2014-06-27,19.879884719848633
2014-06-30,19.87293815612793
2014-07-01,19.949283599853516
2014-07-02,19.86600112915039
2014-07-03,19.761873245239258
2014-07-07,19.7757625579834
2014-07-08,19.93688201904297
2014-07-09,19.866830825805664
2014-07-10,19.92286491394043
2014-07-11,19.96489715576172
2014-07-14,20.069976806640625
2014-07-15,20.182064056396484
2014-07-16,20.182064056396484
2014-07-17,20.041961669921875
2014-07-18,20.1750545501709
2014-07-21,19.999927520751953
2014-07-22,20.076984405517578
2014-07-23,20.062978744506836
2014-07-24,20.196073532104492
2014-07-25,20.04896354675293
2014-07-28,20.29414939880371
2014-07-29,20.28013801574707
2014-07-30,20.532331466674805
2014-07-31,20.371204376220703
2014-08-01,20.252117156982422
2014-08-04,20.434253692626953
2014-08-05,20.315166473388672
2014-08-06,20.308156967163086
2014-08-07,20.413236618041992
2014-08-08,20.5183162689209
2014-08-11,20.609375
2014-08-12,20.609375
2014-08-13,20.83354949951172
2014-08-14,20.672428131103516
2014-08-15,20.6444034576416
2014-08-18,20.88958740234375
2014-08-19,20.88258934020996
2014-08-20,20.97365379333496
2014-08-21,20.98065948486328
2014-08-22,20.812536239624023
2014-08-25,20.798521041870117
2014-08-26,20.85456657409668
2014-08-27,20.85456657409668
2014-08-28,20.847558975219727
2014-08-29,20.95964813232422
2014-09-02,21.001676559448242
2014-09-03,21.169801712036133
2014-09-04,21.050718307495117
2014-09-05,21.211833953857422
2014-09-08,21.225839614868164
2014-09-09,21.127769470214844
2014-09-10,20.532331466674805
2014-09-11,20.54633331298828
2014-09-12,19.83880615234375
2014-09-15,19.69170379638672
2014-09-16,19.866830825805664
2014-09-17,19.712711334228516
2014-09-18,19.516565322875977
2014-09-19,19.502553939819336
2014-09-22,19.362445831298828
2014-09-23,19.1943302154541
2014-09-24,19.103254318237305
2014-09-25,19.04021453857422
2014-09-26,19.22934913635254
2014-09-29,19.145286560058594
2014-09-30,19.089248657226562
2014-10-01,19.103254318237305
2014-10-02,19.166303634643555
2014-10-03,19.1943302154541
2014-10-06,19.285398483276367
2014-10-07,19.236352920532227
2014-10-08,19.660690307617188
2014-10-09,19.75263214111328
2014-10-10,19.731414794921875
2014-10-13,19.83749008178711
2014-10-14,20.396196365356445
2014-10-15,20.615432739257812
2014-10-16,20.382055282592773
2014-10-17,20.16988754272461
2014-10-20,20.601293563842773
2014-10-21,20.629579544067383
2014-10-22,20.72151756286621
2014-10-23,20.933679580688477
2014-10-24,20.74273109436035
2014-10-27,20.898324966430664
2014-10-28,20.919536590576172
2014-10-29,20.891252517700195
2014-10-30,20.976116180419922
2014-10-31,21.379236221313477
2014-11-03,21.71869468688965
2014-11-04,21.77527618408203
2014-11-05,21.570178985595703
2014-11-06,21.400449752807617
2014-11-07,21.3438663482666
2014-11-10,21.647972106933594
2014-11-11,21.591394424438477
2014-11-12,21.329727172851562
2014-11-13,21.400449752807617
2014-11-14,21.124631881713867
2014-11-17,21.251937866210938
2014-11-18,21.273151397705078
2014-11-19,20.976116180419922
2014-11-20,20.969039916992188
2014-11-21,21.209497451782227
2014-11-24,21.372161865234375
2014-11-25,21.365083694458008
2014-11-26,21.704547882080078
2014-11-28,21.768203735351562
2014-12-01,21.71869468688965
