,NDAQ
2014-01-02,10.915392875671387
2014-01-03,11.07689380645752
2014-01-06,11.104743003845215
2014-01-07,11.157646179199219
2014-01-08,11.188279151916504
2014-01-09,11.204986572265625
2014-01-10,11.115880012512207
2014-01-13,10.901468276977539
2014-01-14,11.065756797790527
2014-01-15,11.004496574401855
2014-01-16,11.132589340209961
2014-01-17,11.060190200805664
2014-01-21,10.971084594726562
2014-01-22,10.998932838439941
2014-01-23,10.776167869567871
2014-01-24,10.469868659973145
2014-01-27,10.391900062561035
2014-01-28,10.483789443969727
2014-01-29,10.358484268188477
2014-01-30,10.695412635803223
2014-01-31,10.62302017211914
2014-02-03,10.338994979858398
2014-02-04,10.522775650024414
2014-02-05,10.62302017211914
2014-02-06,10.539480209350586
2014-02-07,10.453161239624023
2014-02-10,10.444804191589355
2014-02-11,10.684277534484863
2014-02-12,10.745535850524902
2014-02-13,10.7733793258667
2014-02-14,10.781737327575684
2014-02-18,10.89033317565918
2014-02-19,11.018421173095703
2014-02-20,10.993362426757812
2014-02-21,10.840213775634766
2014-02-24,10.893118858337402
2014-02-25,10.879192352294922
2014-02-26,10.678707122802734
2014-02-27,10.698200225830078
2014-02-28,10.689847946166992
2014-03-03,10.678707122802734
2014-03-04,11.088035583496094
2014-03-05,11.149292945861816
2014-03-06,11.333072662353516
2014-03-07,11.358137130737305
2014-03-10,11.213339805603027
2014-03-11,11.012850761413574
2014-03-12,11.007264137268066
2014-03-13,10.845229148864746
2014-03-14,10.987707138061523
2014-03-17,11.099455833435059
2014-03-18,10.755827903747559
2014-03-19,10.476458549499512
2014-03-20,10.473665237426758
2014-03-21,10.487632751464844
2014-03-24,10.641288757324219
2014-03-25,10.658052444458008
2014-03-26,10.50439453125
2014-03-27,10.375884056091309
2014-03-28,10.258549690246582
2014-03-31,10.320009231567383
2014-04-01,9.99593734741211
2014-04-02,10.331185340881348
2014-04-03,10.180320739746094
2014-04-04,10.141212463378906
2014-04-07,9.998730659484863
2014-04-08,9.724946975708008
2014-04-09,9.744502067565918
2014-04-10,9.747294425964355
2014-04-11,9.713772773742676
2014-04-14,9.61319637298584
2014-04-15,9.534975051879883
2014-04-16,9.702591896057129
2014-04-17,9.780820846557617
2014-04-21,9.912125587463379
2014-04-22,10.230611801147461
2014-04-23,10.227815628051758
2014-04-24,10.132829666137695
2014-04-25,10.071367263793945
2014-04-28,10.141212463378906
2014-04-29,10.1970853805542
2014-04-30,10.30883502960205
2014-05-01,10.317214012145996
2014-05-02,10.294866561889648
2014-05-05,10.252958297729492
2014-05-06,10.141212463378906
2014-05-07,10.300454139709473
2014-05-08,10.213847160339355
2014-05-09,10.16076374053955
2014-05-12,10.289278030395508
2014-05-13,10.19987964630127
2014-05-14,10.205467224121094
2014-05-15,10.118858337402344
2014-05-16,10.074162483215332
2014-05-19,10.116066932678223
2014-05-20,9.987552642822266
2014-05-21,10.141212463378906
2014-05-22,10.157974243164062
2014-05-23,10.183115005493164
2014-05-27,10.314420700073242
2014-05-28,10.442931175231934
2014-05-29,10.535127639770508
2014-05-30,10.588210105895996
2014-06-02,10.55189037322998
2014-06-03,10.630110740661621
2014-06-04,10.660843849182129
2014-06-05,10.532333374023438
2014-06-06,10.507187843322754
2014-06-09,10.537918090820312
2014-06-10,10.375884056091309
2014-06-11,10.230021476745605
2014-06-12,10.32258415222168
2014-06-13,10.30295181274414
2014-06-16,10.252462387084961
2014-06-17,10.448813438415527
2014-06-18,10.628337860107422
2014-06-19,10.527356147766113
2014-06-20,10.597482681274414
2014-06-23,10.903230667114258
2014-06-24,10.580652236938477
2014-06-25,10.530159950256348
2014-06-26,10.664800643920898
2014-06-27,10.726513862609863
2014-06-30,10.83310604095459
2014-07-01,11.032262802124023
2014-07-02,11.12202262878418
2014-07-03,11.20337200164795
2014-07-07,11.138855934143066
2014-07-08,10.917258262634277
2014-07-09,10.973358154296875
2014-07-10,10.827494621276855
2014-07-11,10.97055435180664
2014-07-14,11.287525177001953
2014-07-15,11.228617668151855
2014-07-16,11.304354667663574
2014-07-17,11.39130973815918
2014-07-18,11.497903823852539
2014-07-21,11.517539978027344
2014-07-22,11.626935958862305
2014-07-23,11.54278564453125
2014-07-24,11.842923164367676
2014-07-25,11.882194519042969
2014-07-28,12.016839027404785
2014-07-29,12.019641876220703
2014-07-30,12.033670425415039
2014-07-31,11.834508895874023
2014-08-01,11.772796630859375
2014-08-04,11.856950759887695
2014-08-05,11.691449165344238
2014-08-06,11.70267391204834
2014-08-07,11.63535213470459
2014-08-08,11.677431106567383
2014-08-11,11.772796630859375
2014-08-12,11.663400650024414
2014-08-13,11.792433738708496
2014-08-14,11.845730781555176
2014-08-15,11.814872741699219
2014-08-18,11.879389762878418
2014-08-19,11.918662071228027
2014-08-20,11.985981941223145
2014-08-21,11.99159049987793
2014-08-22,11.99720287322998
2014-08-25,12.19074821472168
2014-08-26,12.235630989074707
2014-08-27,12.263683319091797
2014-08-28,12.286123275756836
2014-08-29,12.193553924560547
2014-09-02,12.207579612731934
2014-09-03,12.168314933776855
2014-09-04,12.095380783081055
2014-09-05,12.095380783081055
2014-09-08,12.140260696411133
2014-09-09,12.047693252563477
2014-09-10,12.202510833740234
2014-09-11,12.196878433227539
2014-09-12,12.346070289611816
2014-09-15,12.289772033691406
2014-09-16,12.377034187316895
2014-09-17,12.346070289611816
2014-09-18,12.306663513183594
2014-09-19,12.357331275939941
2014-09-22,12.174365997314453
2014-09-23,11.982950210571289
2014-09-24,12.044878959655762
2014-09-25,11.822504043579102
2014-09-26,11.932283401489258
