,INVH
2017-02-01,16.752023696899414
2017-02-02,16.94466209411621
2017-02-03,17.279708862304688
2017-02-06,17.363468170166016
2017-02-07,17.422103881835938
2017-02-08,17.455604553222656
2017-02-09,17.48910903930664
2017-02-10,17.60637855529785
2017-02-13,17.589616775512695
2017-02-14,17.614748001098633
2017-02-15,17.514236450195312
2017-02-16,17.556114196777344
2017-02-17,17.715261459350586
2017-02-21,17.98328971862793
2017-02-22,18.06705093383789
2017-02-23,18.07543182373047
2017-02-24,18.09217834472656
2017-02-27,18.268077850341797
2017-02-28,18.25132942199707
2017-03-01,18.033544540405273
2017-03-02,18.19269561767578
2017-03-03,18.268077850341797
2017-03-06,18.360212326049805
2017-03-07,18.268077850341797
2017-03-08,18.0502986907959
2017-03-09,17.790637969970703
2017-03-10,17.92465591430664
2017-03-13,17.90791130065918
2017-03-14,17.79901695251465
2017-03-15,18.02517318725586
2017-03-16,17.991666793823242
2017-03-17,18.09217834472656
2017-03-20,18.04192352294922
2017-03-21,17.916282653808594
2017-03-22,18.0084171295166
2017-03-23,18.000041961669922
2017-03-24,18.07543182373047
2017-03-27,18.033544540405273
2017-03-28,18.12568473815918
2017-03-29,18.16756820678711
2017-03-30,18.21782112121582
2017-03-31,18.28483009338379
2017-04-03,18.1173095703125
2017-04-04,18.04192352294922
2017-04-05,18.07543182373047
2017-04-06,18.175941467285156
2017-04-07,18.100557327270508
2017-04-10,18.12568473815918
2017-04-11,18.0502986907959
2017-04-12,18.0502986907959
2017-04-13,17.83252716064453
2017-04-17,18.150814056396484
2017-04-18,18.234580993652344
2017-04-19,18.21782112121582
2017-04-20,18.000041961669922
2017-04-21,18.142436981201172
2017-04-24,18.12568473815918
2017-04-25,18.19269561767578
2017-04-26,18.1591854095459
2017-04-27,18.083805084228516
2017-04-28,18.0502986907959
2017-05-01,18.1591854095459
2017-05-02,18.02517318725586
2017-05-03,17.991666793823242
2017-05-04,17.75714111328125
2017-05-05,17.815771102905273
2017-05-08,17.82415008544922
2017-05-09,17.96653938293457
2017-05-10,18.150814056396484
2017-05-11,18.39438819885254
2017-05-12,18.302001953125
2017-05-15,18.39438819885254
2017-05-16,17.94923210144043
2017-05-17,18.092021942138672
2017-05-18,18.18441390991211
2017-05-19,18.293601989746097
