,LNT
2014-01-02,17.80118751525879
2014-01-03,17.76963233947754
2014-01-06,17.69951820373535
2014-01-07,17.867786407470703
2014-01-08,17.804683685302734
2014-01-09,17.98346519470215
2014-01-10,18.18328857421875
2014-01-13,18.000993728637695
2014-01-14,18.053573608398438
2014-01-15,17.97294807434082
2014-01-16,18.032550811767578
2014-01-17,17.979965209960938
2014-01-21,18.20081329345703
2014-01-22,18.155237197875977
2014-01-23,18.120187759399414
2014-01-24,17.79067039489746
2014-01-27,17.871288299560547
2014-01-28,17.930889129638672
2014-01-29,17.97691535949707
2014-01-30,18.323915481567383
2014-01-31,18.398277282714844
2014-02-03,18.040651321411133
2014-02-04,18.0689754486084
2014-02-05,17.91672134399414
2014-02-06,18.019405364990234
2014-02-07,18.161041259765625
2014-02-10,18.284969329833984
2014-02-11,18.610719680786133
2014-02-12,18.639055252075195
2014-02-13,18.816099166870117
2014-02-14,19.003765106201172
2014-02-18,19.07103729248047
2014-02-19,18.840883255004883
2014-02-20,19.014394760131836
2014-02-21,19.032089233398438
2014-02-24,18.947111129760742
2014-02-25,19.046260833740234
2014-02-26,19.03917694091797
2014-02-27,19.00022315979004
2014-02-28,19.20559310913086
2014-03-03,18.947111129760742
2014-03-04,19.223299026489258
2014-03-05,19.035633087158203
2014-03-06,18.904617309570312
2014-03-07,19.025014877319336
2014-03-10,19.007305145263672
2014-03-11,18.87629508972168
2014-03-12,19.18080711364746
2014-03-13,19.36846923828125
2014-03-14,19.36846923828125
2014-03-17,19.538429260253906
2014-03-18,19.563217163085938
2014-03-19,19.209135055541992
2014-03-20,19.0922794342041
2014-03-21,19.24808120727539
2014-03-24,19.297653198242188
2014-03-25,19.428667068481445
2014-03-26,19.711933135986328
2014-03-27,19.72609519958496
2014-03-28,19.796913146972656
2014-03-31,20.115591049194336
2014-04-01,20.027070999145508
2014-04-02,20.080183029174805
2014-04-03,20.030609130859375
2014-04-04,19.984575271606445
2014-04-07,19.842952728271484
2014-04-08,19.94208526611328
2014-04-09,19.959793090820312
2014-04-10,20.012907028198242
2014-04-11,20.094345092773438
2014-04-14,20.218273162841797
2014-04-15,20.50154685974121
2014-04-16,20.657344818115234
2014-04-17,20.441354751586914
2014-04-21,20.345748901367188
2014-04-22,20.384689331054688
2014-04-23,20.469680786132812
2014-04-24,20.494462966918945
2014-04-25,20.80251693725586
2014-04-28,20.845382690429688
2014-04-29,20.76679801940918
2014-04-30,20.888242721557617
2014-05-01,20.995405197143555
2014-05-02,20.61320686340332
2014-05-05,20.870384216308594
2014-05-06,20.71322250366211
2014-05-07,21.00968360900879
2014-05-08,20.831092834472656
2014-05-09,20.53819465637207
2014-05-12,20.42746925354004
2014-05-13,20.484621047973633
2014-05-14,20.563199996948242
2014-05-15,20.481050491333008
2014-05-16,20.552486419677734
2014-05-19,20.24530792236328
2014-05-20,20.17030143737793
2014-05-21,20.20601463317871
2014-05-22,20.35245704650879
2014-05-23,20.391756057739258
2014-05-27,20.498912811279297
2014-05-28,20.695356369018555
2014-05-29,20.62749481201172
2014-05-30,20.823949813842773
2014-06-02,20.79180335998535
2014-06-03,20.75251579284668
2014-06-04,20.78466033935547
2014-06-05,20.966825485229492
2014-06-06,20.9632511138916
2014-06-09,20.870384216308594
2014-06-10,20.748939514160156
2014-06-11,20.459619522094727
2014-06-12,20.54534339904785
2014-06-13,20.595359802246094
2014-06-16,20.845382690429688
2014-06-17,20.827524185180664
2014-06-18,21.188283920288086
2014-06-19,21.28829002380371
2014-06-20,21.22042465209961
2014-06-23,21.159704208374023
2014-06-24,21.23471450805664
2014-06-25,21.384727478027344
2014-06-26,21.42759132385254
2014-06-27,21.459749221801758
2014-06-30,21.73834991455078
2014-07-01,21.45616912841797
2014-07-02,20.9632511138916
2014-07-03,20.923959732055664
2014-07-07,20.9632511138916
2014-07-08,21.131128311157227
2014-07-09,21.091838836669922
2014-07-10,21.270431518554688
2014-07-11,21.120412826538086
2014-07-14,20.913246154785156
2014-07-15,21.052539825439453
2014-07-16,20.9918270111084
2014-07-17,20.813236236572266
2014-07-18,21.052539825439453
2014-07-21,21.03825569152832
2014-07-22,21.145416259765625
2014-07-23,21.191856384277344
2014-07-24,21.20970916748047
2014-07-25,20.998971939086914
2014-07-28,21.36687660217285
2014-07-29,21.10028076171875
2014-07-30,20.754438400268555
2014-07-31,20.354551315307617
2014-08-01,20.48063850402832
2014-08-04,20.36175537109375
2014-08-05,20.141992568969727
2014-08-06,19.943859100341797
2014-08-07,19.857393264770508
2014-08-08,20.13839340209961
2014-08-11,20.102365493774414
2014-08-12,20.123977661132812
2014-08-13,20.32573127746582
2014-08-14,20.422998428344727
2014-08-15,20.495044708251953
2014-08-18,20.484243392944336
2014-08-19,20.68958854675293
2014-08-20,20.761642456054688
2014-08-21,20.822877883911133
2014-08-22,20.740020751953125
2014-08-25,20.93815803527832
2014-08-26,20.68958854675293
2014-08-27,20.887731552124023
2014-08-28,20.992206573486328
2014-08-29,21.071462631225586
2014-09-02,20.934566497802734
2014-09-03,21.06425666809082
2014-09-04,21.067861557006836
2014-09-05,21.330848693847656
2014-09-08,21.2371768951416
2014-09-09,20.920154571533203
2014-09-10,20.83008575439453
2014-09-11,21.021018981933594
2014-09-12,20.56709861755371
2014-09-15,20.613935470581055
2014-09-16,20.776046752929688
2014-09-17,20.718408584594727
2014-09-18,20.545486450195312
2014-09-19,20.65715980529785
2014-09-22,20.5202693939209
2014-09-23,20.289697647094727
2014-09-24,20.14920425415039
2014-09-25,19.889814376831055
2014-09-26,19.929439544677734
2014-09-29,19.954662322998047
2014-09-30,19.961868286132812
2014-10-01,20.102365493774414
2014-10-02,20.113176345825195
2014-10-03,20.33653450012207
2014-10-06,20.293310165405273
2014-10-07,20.27889633178711
2014-10-08,20.67517852783203
2014-10-09,20.282499313354492
2014-10-10,20.50225830078125
2014-10-13,20.58871841430664
2014-10-14,20.999401092529297
2014-10-15,20.73642349243164
2014-10-16,20.801265716552734
2014-10-17,20.920154571533203
2014-10-20,21.348857879638672
2014-10-21,21.507373809814453
2014-10-22,21.608243942260742
2014-10-23,21.64786720275879
2014-10-24,21.745136260986328
2014-10-27,21.828001022338867
2014-10-28,21.982908248901367
2014-10-29,21.942949295043945
2014-10-30,22.491525650024414
2014-10-31,22.491525650024414
2014-11-03,22.665904998779297
2014-11-04,22.458829879760742
2014-11-05,22.92020606994629
2014-11-06,22.44792938232422
2014-11-07,22.79669189453125
2014-11-10,23.032838821411133
2014-11-11,23.043733596801758
2014-11-12,22.70223617553711
2014-11-13,22.444293975830078
2014-11-14,22.44066047668457
2014-11-17,22.553285598754883
2014-11-18,22.727663040161133
2014-11-19,22.724029541015625
2014-11-20,22.66227149963379
2014-11-21,22.600515365600586
2014-11-24,22.47335433959961
2014-11-25,22.451566696166992
2014-11-26,22.596878051757812
2014-11-28,22.840286254882812
2014-12-01,23.05099868774414
2014-12-02,23.152719497680664
2014-12-03,23.239910125732422
2014-12-04,23.334365844726562
2014-12-05,23.159982681274414
2014-12-08,23.425189971923828
2014-12-09,23.47968864440918
2014-12-10,23.16361427307129
2014-12-11,23.36343002319336
2014-12-12,23.032838821411133
2014-12-15,22.763996124267578
2014-12-16,22.800315856933594
2014-12-17,23.30893898010254
2014-12-18,23.77758026123047
2014-12-19,23.78485107421875
2014-12-22,24.01372718811035
2014-12-23,24.090011596679688
2014-12-24,24.48964500427246
2014-12-26,24.758481979370117
2014-12-29,25.18352699279785
2014-12-30,24.59861946105957
2014-12-31,24.129976272583008
2015-01-02,24.159038543701172
2015-01-05,23.864776611328125
2015-01-06,23.788484573364258
2015-01-07,24.18083953857422
2015-01-08,24.56229591369629
2015-01-09,24.21354103088379
2015-01-12,24.148149490356445
2015-01-13,24.315261840820312
2015-01-14,24.762107849121094
2015-01-15,24.820234298706055
2015-01-16,25.285249710083008
2015-01-20,25.274351119995117
2015-01-21,25.45599937438965
2015-01-22,25.448734283447266
2015-01-23,25.503225326538086
2015-01-26,25.492328643798828
2015-01-27,25.437837600708008
2015-01-28,25.338964462280273
2015-01-29,25.749082565307617
2015-01-30,25.12293243408203
2015-02-02,25.240100860595703
2015-02-03,25.30602264404297
2015-02-04,24.939844131469727
2015-02-05,25.196168899536133
2015-02-06,24.086669921875
2015-02-09,23.669231414794922
2015-02-10,24.196521759033203
2015-02-11,23.676559448242188
2015-02-12,23.60332679748535
2015-02-13,23.27743148803711
2015-02-17,23.222503662109375
2015-02-18,23.815704345703125
2015-02-19,23.636281967163086
2015-02-20,23.65825080871582
2015-02-23,23.834003448486328
2015-02-24,23.987804412841797
2015-02-25,23.57036781311035
2015-02-26,23.32869529724121
2015-02-27,23.288419723510742
2015-03-02,22.85267448425293
2015-03-03,22.9368896484375
2015-03-04,22.73550033569336
2015-03-05,22.775781631469727
2015-03-06,22.061756134033203
2015-03-09,22.226524353027344
2015-03-10,22.215538024902344
2015-03-11,22.083721160888672
2015-03-12,22.39130401611328
2015-03-13,22.160614013671875
2015-03-16,22.62564468383789
2015-03-17,22.589025497436523
2015-03-18,23.07604217529297
2015-03-19,22.96619415283203
2015-03-20,23.281095504760742
2015-03-23,23.226171493530273
2015-03-24,22.900278091430664
2015-03-25,22.70987319946289
2015-03-26,22.446224212646484
2015-03-27,22.570728302001953
2015-03-30,22.91493034362793
2015-03-31,23.068714141845703
2015-04-01,23.013790130615234
2015-04-02,23.035764694213867
2015-04-06,23.306726455688477
2015-04-07,22.9222469329834
2015-04-08,22.89295196533203
2015-04-09,22.889297485351562
2015-04-10,23.119976043701172
2015-04-13,22.973512649536133
2015-04-14,23.072378158569336
2015-04-15,22.999143600463867
2015-04-16,22.838024139404297
2015-04-17,22.75747299194336
2015-04-20,23.09800910949707
2015-04-21,22.9222469329834
2015-04-22,22.9771728515625
2015-04-23,23.0247745513916
2015-04-24,23.189558029174805
2015-04-27,22.816057205200195
2015-04-28,22.98599624633789
2015-04-29,22.816059112548828
2015-04-30,22.339496612548828
2015-05-01,22.538984298706055
2015-05-04,22.85669708251953
2015-05-05,22.328407287597656
2015-05-06,22.236053466796875
2015-05-07,22.272993087768555
2015-05-08,22.261911392211914
2015-05-11,22.199108123779297
2015-05-12,22.128917694091797
2015-05-13,21.970064163208008
2015-05-14,22.26560401916504
2015-05-15,22.535293579101562
2015-05-18,22.62026023864746
2015-05-19,22.631343841552734
2015-05-20,22.683067321777344
2015-05-21,22.657207489013672
2015-05-22,22.612869262695312
