,LRCX
2014-01-02,2.3438878059387207
2014-01-03,2.3434524536132812
2014-01-06,2.3134751319885254
2014-01-07,2.342149257659912
2014-01-08,2.3538801670074463
2014-01-09,2.3547487258911133
2014-01-10,2.384291410446167
2014-01-13,2.3712575435638428
2014-01-14,2.428171396255493
2014-01-15,2.4307777881622314
2014-01-16,2.3851609230041504
2014-01-17,2.3560519218444824
2014-01-21,2.365610361099243
2014-01-22,2.4060144424438477
2014-01-23,2.3477959632873535
2014-01-24,2.2274539470672607
2014-01-27,2.2139854431152344
2014-01-28,2.2252817153930664
2014-01-29,2.2265841960906982
2014-01-30,2.2270185947418213
2014-01-31,2.198779582977295
2014-02-03,2.1105844974517822
2014-02-04,2.1488161087036133
2014-02-05,2.170105218887329
2014-02-06,2.217895269393921
2014-02-07,2.2526512145996094
2014-02-10,2.241790294647217
2014-02-11,2.2869739532470703
2014-02-12,2.2882771492004395
2014-02-13,2.255258083343506
2014-02-14,2.280022621154785
2014-02-18,2.2487409114837646
2014-02-19,2.2587342262268066
2014-02-20,2.27437424659729
2014-02-21,2.2708990573883057
2014-02-24,2.286104917526245
2014-02-25,2.283498525619507
2014-02-26,2.286539316177368
2014-02-27,2.2517828941345215
2014-02-28,2.2474381923675537
2014-03-03,2.2209362983703613
2014-03-04,2.2139854431152344
2014-03-05,2.2604715824127197
2014-03-06,2.317819833755493
2014-03-07,2.317819833755493
2014-03-10,2.306089401245117
2014-03-11,2.3000080585479736
2014-03-12,2.33085298538208
2014-03-13,2.2995731830596924
2014-03-14,2.2852365970611572
2014-03-17,2.3143444061279297
2014-03-18,2.3821184635162354
2014-03-19,2.3673479557037354
2014-03-20,2.4516332149505615
2014-03-21,2.449025869369507
2014-03-24,2.450328826904297
2014-03-25,2.4585840702056885
2014-03-26,2.396021842956543
2014-03-27,2.366044759750366
2014-03-28,2.3673479557037354
2014-03-31,2.38950514793396
2014-04-01,2.416440963745117
2014-04-02,2.475092649459839
2014-04-03,2.505938768386841
2014-04-04,2.432950735092163
2014-04-07,2.3821184635162354
2014-04-08,2.3682162761688232
2014-04-09,2.432950735092163
2014-04-10,2.3056552410125732
2014-04-11,2.286539316177368
2014-04-14,2.2869739532470703
2014-04-15,2.2752439975738525
2014-04-16,2.263947010040283
2014-04-17,2.2913174629211426
2014-04-21,2.29262113571167
2014-04-22,2.304786443710327
2014-04-23,2.2700300216674805
2014-04-24,2.531137704849243
2014-04-25,2.449025869369507
2014-04-28,2.4555423259735107
2014-04-29,2.444681167602539
2014-04-30,2.5028984546661377
2014-05-01,2.4850850105285645
2014-05-02,2.498987913131714
2014-05-05,2.485520124435425
2014-05-06,2.463362693786621
2014-05-07,2.4703128337860107
2014-05-08,2.4729206562042236
2014-05-09,2.4842162132263184
2014-05-12,2.530703544616699
2014-05-13,2.486823558807373
2014-05-14,2.4472875595092773
2014-05-15,2.426868438720703
2014-05-16,2.542433977127075
2014-05-19,2.561114549636841
2014-05-20,2.5563366413116455
2014-05-21,2.5828375816345215
2014-05-22,2.57197642326355
2014-05-23,2.633234739303589
2014-05-27,2.6853694915771484
2014-05-28,2.6827619075775146
2014-05-29,2.684065580368042
2014-05-30,2.6953606605529785
2014-06-02,2.707092761993408
2014-06-03,2.8087539672851562
2014-06-04,2.8048441410064697
2014-06-05,2.824828863143921
2014-06-06,2.823961019515991
2014-06-09,2.8335461616516113
2014-06-10,2.8409509658813477
2014-06-11,2.8505358695983887
2014-06-12,2.854457139968872
2014-06-13,2.8622994422912598
2014-06-16,2.8967158794403076
2014-06-17,2.9032509326934814
2014-06-18,2.898895025253296
2014-06-19,2.8792898654937744
2014-06-20,2.8888750076293945
2014-06-23,2.9437665939331055
2014-06-24,2.8958446979522705
2014-06-25,2.90063738822937
2014-06-26,2.897151231765747
2014-06-27,2.9167563915252686
2014-06-30,2.9442026615142822
2014-07-01,2.9895119667053223
2014-07-02,2.99299693107605
2014-07-03,3.006503105163574
2014-07-07,2.989076852798462
2014-07-08,3.0352563858032227
2014-07-09,3.1158535480499268
2014-07-10,3.0971195697784424
2014-07-11,3.1162900924682617
2014-07-14,3.120645761489868
2014-07-15,3.0997345447540283
2014-07-16,3.0997345447540283
2014-07-17,3.0810012817382812
2014-07-18,3.123260498046875
2014-07-21,3.134587526321411
2014-07-22,3.1184678077697754
2014-07-23,3.078822612762451
2014-07-24,3.045276641845703
2014-07-25,3.0282859802246094
2014-07-28,3.011730909347534
