,SWKS
2014-01-02,22.810077667236328
2014-01-03,23.076475143432617
2014-01-06,23.00154685974121
2014-01-07,23.13474464416504
2014-01-08,23.242969512939453
2014-01-09,23.076475143432617
2014-01-10,23.101444244384766
2014-01-13,23.675861358642578
2014-01-14,24.075456619262695
2014-01-15,24.23362922668457
2014-01-16,23.82570457458496
2014-01-17,25.41575813293457
2014-01-21,25.990171432495117
2014-01-22,26.29818344116211
2014-01-23,26.16499137878418
2014-01-24,25.61554527282715
2014-01-27,25.290878295898438
2014-01-28,25.016159057617188
2014-01-29,25.091081619262695
2014-01-30,25.440725326538086
2014-01-31,25.182662963867188
2014-02-03,24.6165714263916
2014-02-04,24.733118057250977
2014-02-05,24.857988357543945
2014-02-06,25.19098663330078
2014-02-07,25.365808486938477
2014-02-10,25.557279586791992
2014-02-11,25.881948471069336
2014-02-12,26.739404678344727
2014-02-13,26.731081008911133
2014-02-14,26.639503479003906
2014-02-18,26.473011016845703
2014-02-19,26.07341766357422
2014-02-20,27.738384246826172
2014-02-21,27.238895416259766
2014-02-24,28.637483596801758
2014-02-25,28.10468292236328
2014-02-26,29.15361213684082
2014-02-27,29.095327377319336
2014-02-28,29.519901275634766
2014-03-03,30.135936737060547
2014-03-04,30.59380340576172
2014-03-05,30.635425567626953
2014-03-06,30.80193519592285
2014-03-07,30.51055335998535
2014-03-10,30.385683059692383
2014-03-11,30.160919189453125
2014-03-12,31.06831169128418
2014-03-13,30.660411834716797
2014-03-14,30.535520553588867
2014-03-17,30.70203971862793
2014-03-18,31.209848403930664
2014-03-19,31.376338958740234
2014-03-20,32.69166564941406
2014-03-21,31.259798049926758
2014-03-24,31.11827850341797
2014-03-25,31.40131950378418
2014-03-26,30.585487365722656
2014-03-27,30.727005004882812
2014-03-28,30.751983642578125
2014-03-31,31.234819412231445
2014-04-01,31.30974769592285
2014-04-02,31.284772872924805
2014-04-03,31.35968017578125
2014-04-04,29.88619613647461
2014-04-07,29.736343383789062
2014-04-08,29.98609733581543
2014-04-09,30.710369110107422
2014-04-10,29.561525344848633
2014-04-11,29.053709030151367
2014-04-14,29.411678314208984
2014-04-15,29.7696475982666
2014-04-16,29.811267852783203
2014-04-17,30.03605079650879
2014-04-21,30.818580627441406
2014-04-22,31.601106643676758
2014-04-23,34.5481071472168
2014-04-24,35.09754943847656
2014-04-25,34.51482009887695
2014-04-28,34.448219299316406
2014-04-29,34.1568489074707
2014-04-30,34.173484802246094
2014-05-01,34.339988708496094
2014-05-02,34.48983383178711
2014-05-05,34.93938446044922
2014-05-06,34.43989562988281
2014-05-07,34.173484802246094
2014-05-08,34.498165130615234
2014-05-09,34.51485824584961
2014-05-12,35.65839385986328
2014-05-13,35.49144744873047
2014-05-14,34.990623474121094
2014-05-15,34.08915328979492
2014-05-16,34.014041900634766
2014-05-19,34.314537048339844
2014-05-20,33.83039474487305
2014-05-21,34.439720153808594
2014-05-22,34.423038482666016
2014-05-23,34.88211441040039
2014-05-27,35.20765686035156
2014-05-28,35.257755279541016
2014-05-29,35.816993713378906
2014-05-30,36.1508674621582
2014-06-02,35.950538635253906
2014-06-03,38.10406494140625
2014-06-04,39.030582427978516
2014-06-05,38.796871185302734
2014-06-06,39.072330474853516
2014-06-09,38.972145080566406
2014-06-10,39.13075256347656
2014-06-11,39.90701675415039
2014-06-12,39.164127349853516
2014-06-13,39.38949966430664
2014-06-16,39.53974914550781
2014-06-17,40.02388000488281
2014-06-18,39.67329025268555
2014-06-19,39.63157272338867
2014-06-20,40.34941101074219
2014-06-23,39.97379684448242
2014-06-24,39.072330474853516
2014-06-25,39.05563735961914
2014-06-26,38.69669723510742
2014-06-27,38.4462776184082
2014-06-30,39.19752502441406
2014-07-01,39.840248107910156
2014-07-02,39.748416900634766
2014-07-03,40.14073944091797
2014-07-07,39.556453704833984
2014-07-08,39.37281799316406
2014-07-09,39.790164947509766
2014-07-10,39.10569763183594
2014-07-11,39.422889709472656
2014-07-14,39.614871978759766
2014-07-15,39.68999481201172
2014-07-16,39.88197708129883
2014-07-17,38.680015563964844
2014-07-18,44.13060760498047
2014-07-21,45.27414321899414
2014-07-22,45.257450103759766
2014-07-23,44.614723205566406
2014-07-24,43.94696044921875
2014-07-25,42.93697738647461
2014-07-28,43.554649353027344
2014-07-29,43.52127456665039
2014-07-30,43.54631042480469
2014-07-31,42.369384765625
2014-08-01,43.46284866333008
