,V
2014-01-02,51.229278564453125
2014-01-03,51.2640266418457
2014-01-06,50.95575714111328
2014-01-07,51.345176696777344
2014-01-08,51.50975036621094
2014-01-09,51.43788528442383
2014-01-10,51.257080078125
2014-01-13,50.740177154541016
2014-01-14,51.609413146972656
2014-01-15,51.86671447753906
2014-01-16,51.405433654785156
2014-01-17,53.81843566894531
2014-01-21,53.76048278808594
2014-01-22,54.006187438964844
2014-01-23,52.90747833251953
2014-01-24,51.2849006652832
2014-01-27,50.11895751953125
2014-01-28,51.217681884765625
2014-01-29,50.32758712768555
2014-01-30,51.19914627075195
2014-01-31,49.935855865478516
2014-02-03,49.48152542114258
2014-02-04,49.72956085205078
2014-02-05,49.97757339477539
2014-02-06,50.76567459106445
2014-02-07,51.40775680541992
2014-02-10,51.122642517089844
2014-02-11,51.53524398803711
2014-02-12,52.05540084838867
2014-02-13,52.02754211425781
2014-02-14,52.48035430908203
2014-02-18,52.49428939819336
2014-02-19,51.98805618286133
2014-02-20,51.89053726196289
2014-02-21,51.867313385009766
2014-02-24,52.524478912353516
2014-02-25,52.73811721801758
2014-02-26,52.505882263183594
2014-02-27,52.54536819458008
2014-02-28,52.46642303466797
2014-03-03,51.42145919799805
2014-03-04,52.364253997802734
2014-03-05,51.739585876464844
2014-03-06,51.983402252197266
2014-03-07,52.37818145751953
2014-03-10,52.364253997802734
2014-03-11,52.75437545776367
2014-03-12,52.50358200073242
2014-03-13,51.2681884765625
2014-03-14,51.265872955322266
2014-03-17,51.964839935302734
2014-03-18,52.5755615234375
2014-03-19,51.97412109375
2014-03-20,51.509700775146484
2014-03-21,51.869632720947266
2014-03-24,51.26123046875
2014-03-25,50.71552276611328
2014-03-26,50.083900451660156
2014-03-27,50.10480499267578
2014-03-28,49.25025177001953
2014-03-31,50.125694274902344
2014-04-01,49.85633087158203
2014-04-02,49.8470573425293
2014-04-03,49.92831802368164
2014-04-04,48.23082733154297
2014-04-07,47.23462677001953
2014-04-08,47.044212341308594
2014-04-09,48.19368362426758
2014-04-10,46.80271530151367
2014-04-11,45.660221099853516
2014-04-14,46.67732620239258
2014-04-15,47.38325500488281
2014-04-16,48.61630630493164
2014-04-17,48.28888702392578
2014-04-21,48.56290054321289
2014-04-22,48.757972717285156
2014-04-23,48.49091720581055
2014-04-24,48.625614166259766
2014-04-25,46.194332122802734
2014-04-28,46.772544860839844
2014-04-29,47.06280517578125
2014-04-30,47.04887008666992
2014-05-01,47.856964111328125
2014-05-02,47.469173431396484
2014-05-05,48.09847640991211
2014-05-06,47.68745422363281
2014-05-07,48.463035583496094
2014-05-08,48.97391891479492
2014-05-09,48.95302963256836
2014-05-12,49.159690856933594
2014-05-13,49.24329376220703
2014-05-14,48.82451248168945
2014-05-15,48.26383590698242
2014-05-16,48.81288146972656
2014-05-19,48.94083786010742
2014-05-20,48.373165130615234
2014-05-21,48.880348205566406
2014-05-22,48.71051025390625
2014-05-23,49.338680267333984
2014-05-27,49.904022216796875
2014-05-28,49.741153717041016
2014-05-29,49.94358444213867
2014-05-30,49.98078918457031
2014-06-02,49.676029205322266
2014-06-03,49.164180755615234
2014-06-04,49.18976593017578
2014-06-05,49.373565673828125
2014-06-06,49.55503845214844
2014-06-09,49.45732498168945
2014-06-10,49.845855712890625
2014-06-11,49.48059844970703
2014-06-12,49.26887130737305
2014-06-13,49.15720748901367
2014-06-16,48.91292190551758
2014-06-17,49.0455436706543
2014-06-18,49.14789581298828
2014-06-19,48.93153762817383
2014-06-20,48.738433837890625
2014-06-23,48.73377990722656
2014-06-24,48.342926025390625
2014-06-25,48.63839340209961
2014-06-26,48.61512756347656
2014-06-27,48.6895751953125
2014-06-30,49.02227783203125
2014-07-01,49.845855712890625
2014-07-02,49.983131408691406
2014-07-03,50.37165832519531
2014-07-07,50.42516326904297
2014-07-08,50.080833435058594
2014-07-09,50.29023742675781
2014-07-10,50.145973205566406
2014-07-11,50.48564147949219
2014-07-14,51.42324447631836
2014-07-15,51.597740173339844
2014-07-16,51.8047981262207
2014-07-17,50.69038772583008
2014-07-18,51.23014831542969
2014-07-21,51.002132415771484
2014-07-22,51.47675704956055
2014-07-23,51.462806701660156
2014-07-24,51.82107925415039
2014-07-25,49.96684265136719
2014-07-28,49.8388786315918
2014-07-29,49.6713752746582
2014-07-30,49.80166244506836
2014-07-31,49.09206008911133
2014-08-01,49.278202056884766
2014-08-04,49.359622955322266
2014-08-05,48.98272705078125
2014-08-06,49.01761245727539
2014-08-07,48.633731842041016
2014-08-08,48.9640998840332
2014-08-11,48.992042541503906
2014-08-12,48.9268798828125
2014-08-13,49.283504486083984
2014-08-14,49.53759765625
2014-08-15,48.994483947753906
2014-08-18,49.95716857910156
2014-08-19,50.11566162109375
2014-08-20,50.39539337158203
2014-08-21,50.290496826171875
2014-08-22,50.3697395324707
2014-08-25,50.353416442871094
2014-08-26,50.5189208984375
2014-08-27,50.61216735839844
2014-08-28,50.02243423461914
2014-08-29,49.53759765625
2014-09-02,50.052734375
2014-09-03,50.09235763549805
2014-09-04,49.943172454833984
2014-09-05,49.931522369384766
2014-09-08,50.2951545715332
2014-09-09,49.947837829589844
2014-09-10,50.553897857666016
2014-09-11,50.1040153503418
2014-09-12,49.89189147949219
2014-09-15,50.031742095947266
2014-09-16,50.65178680419922
2014-09-17,50.23920440673828
2014-09-18,50.45132827758789
2014-09-19,50.40703201293945
2014-09-22,49.85460662841797
2014-09-23,49.52360916137695
2014-09-24,49.978153228759766
2014-09-25,49.115692138671875
2014-09-26,49.402408599853516
2014-09-29,49.16697311401367
2014-09-30,49.73572540283203
2014-10-01,48.95252227783203
2014-10-02,48.88492965698242
2014-10-03,49.41405487060547
2014-10-06,49.367427825927734
2014-10-07,48.495662689208984
2014-10-08,49.50029754638672
2014-10-09,48.416404724121094
2014-10-10,47.78004455566406
2014-10-13,47.616878509521484
2014-10-14,47.25325012207031
2014-10-15,46.67750930786133
2014-10-16,47.31852340698242
2014-10-17,48.0178108215332
2014-10-20,48.449039459228516
2014-10-21,49.721744537353516
2014-10-22,49.16463851928711
2014-10-23,49.947837829589844
2014-10-24,49.7613639831543
2014-10-27,49.74505615234375
2014-10-28,50.51426315307617
2014-10-29,50.03642654418945
2014-10-30,55.16220474243164
2014-10-31,56.27640914916992
2014-11-03,56.30205154418945
2014-11-04,56.635379791259766
2014-11-05,58.16447067260742
2014-11-06,58.29501724243164
2014-11-07,58.840457916259766
2014-11-10,58.32298278808594
