,CNP
2014-01-02,15.34091567993164
2014-01-03,15.334198951721191
2014-01-06,15.354363441467285
2014-01-07,15.515705108642578
2014-01-08,15.354363441467285
2014-01-09,15.52915096282959
2014-01-10,15.717384338378906
2014-01-13,15.488818168640137
2014-01-14,15.616545677185059
2014-01-15,15.771163940429688
2014-01-16,15.838391304016113
2014-01-17,15.744267463684082
2014-01-21,15.939229965209961
2014-01-22,15.99300479888916
2014-01-23,15.845101356506348
2014-01-24,15.562764167785645
2014-01-27,15.58293342590332
2014-01-28,15.690492630004883
2014-01-29,15.562764167785645
2014-01-30,15.831665992736816
2014-01-31,15.730828285217285
2014-02-03,15.495525360107422
2014-02-04,15.502263069152832
2014-02-05,15.488818168640137
2014-02-06,15.58293342590332
2014-02-07,15.683768272399902
2014-02-10,15.730828285217285
2014-02-11,15.838391304016113
2014-02-12,15.823443412780762
2014-02-13,15.959268569946289
2014-02-14,16.332786560058594
2014-02-18,16.359947204589844
2014-02-19,16.39390754699707
2014-02-20,16.488981246948242
2014-02-21,16.62480926513672
2014-02-24,16.556894302368164
2014-02-25,16.4278621673584
2014-02-26,15.993221282958984
2014-02-27,16.000019073486328
2014-02-28,16.061141967773438
2014-03-03,15.945695877075195
2014-03-04,16.033973693847656
2014-03-05,15.843823432922363
2014-03-06,15.789493560791016
2014-03-07,15.748749732971191
2014-03-10,15.680829048156738
2014-03-11,15.830239295959473
2014-03-12,15.904942512512207
2014-03-13,16.25808334350586
2014-03-14,16.23091697692871
2014-03-17,16.468610763549805
2014-03-18,16.332786560058594
2014-03-19,16.210546493530273
2014-03-20,16.095094680786133
2014-03-21,16.10867691040039
2014-03-24,15.986432075500488
2014-03-25,15.884565353393555
2014-03-26,15.809867858886719
2014-03-27,15.884565353393555
2014-03-28,15.986432075500488
2014-03-31,16.088308334350586
2014-04-01,16.17659568786621
2014-04-02,16.2784481048584
2014-04-03,16.210546493530273
2014-04-04,16.163007736206055
2014-04-07,15.884565353393555
2014-04-08,16.088308334350586
2014-04-09,16.203754425048828
2014-04-10,16.27166175842285
2014-04-11,16.298828125
2014-04-14,16.332786560058594
2014-04-15,16.611225128173828
2014-04-16,16.774215698242188
2014-04-17,16.71309471130371
2014-04-21,16.570480346679688
2014-04-22,16.672348022460938
2014-04-23,16.719890594482422
2014-04-24,16.679134368896484
2014-04-25,16.882869720458984
2014-04-28,16.855703353881836
2014-04-29,16.69951057434082
2014-04-30,16.814958572387695
2014-05-01,16.801380157470703
2014-05-02,16.49578094482422
2014-05-05,16.618009567260742
2014-05-06,16.468610763549805
2014-05-07,16.645185470581055
2014-05-08,16.54331398010254
2014-05-09,16.26487922668457
2014-05-12,16.115467071533203
2014-05-13,16.074726104736328
2014-05-14,16.258573532104492
2014-05-15,16.155672073364258
2014-05-16,16.38205337524414
2014-05-19,16.12822914123535
2014-05-20,16.2174129486084
2014-05-21,16.24485206604004
2014-05-22,16.48496437072754
2014-05-23,16.375198364257812
2014-05-27,16.43693733215332
2014-05-28,16.471237182617188
2014-05-29,16.50554084777832
2014-05-30,16.546701431274414
2014-06-02,16.519258499145508
2014-06-03,16.47810173034668
2014-06-04,16.423215866088867
2014-06-05,16.53297996520996
2014-06-06,16.498682022094727
2014-06-09,16.416353225708008
2014-06-10,16.388917922973633
2014-06-11,16.33403778076172
2014-06-12,16.430082321166992
2014-06-13,16.471237182617188
2014-06-16,16.896574020385742
2014-06-17,16.793664932250977
2014-06-18,16.992612838745117
2014-06-19,17.12981414794922
2014-06-20,16.86227035522461
2014-06-23,16.882850646972656
2014-06-24,16.985754013061523
2014-06-25,17.191558837890625
2014-06-26,17.260154724121094
2014-06-27,17.397357940673828
2014-06-30,17.520845413208008
2014-07-01,17.41107749938965
2014-07-02,17.088653564453125
2014-07-03,16.992612838745117
2014-07-07,16.999467849731445
2014-07-08,17.03377914428711
2014-07-09,17.081789016723633
2014-07-10,17.191558837890625
2014-07-11,17.12981414794922
2014-07-14,16.95831298828125
2014-07-15,17.081789016723633
2014-07-16,17.09551429748535
2014-07-17,17.020050048828125
2014-07-18,17.19841766357422
2014-07-21,17.23957633972168
2014-07-22,17.23271942138672
2014-07-23,17.15039825439453
2014-07-24,17.260154724121094
2014-07-25,17.061214447021484
2014-07-28,17.253293991088867
2014-07-29,17.13667106628418
2014-07-30,16.84854507446289
2014-07-31,16.68390655517578
2014-08-01,16.80052947998047
2014-08-04,16.773082733154297
2014-08-05,16.423215866088867
2014-08-06,16.16253089904785
2014-08-07,16.38205337524414
2014-08-08,16.690765380859375
2014-08-11,16.71134376525879
2014-08-12,16.731924057006836
2014-08-13,16.78596305847168
2014-08-14,16.973012924194336
2014-08-15,16.979938507080078
2014-08-18,16.896806716918945
2014-08-19,17.07693099975586
2014-08-20,17.13235092163086
2014-08-21,17.104637145996094
2014-08-22,16.98686981201172
2014-08-25,17.173913955688477
2014-08-26,17.014577865600586
2014-08-27,17.06307601928711
2014-08-28,17.20855712890625
2014-08-29,17.20855712890625
2014-09-02,17.139280319213867
2014-09-03,17.236265182495117
2014-09-04,17.14620590209961
2014-09-05,17.333251953125
2014-09-08,17.21548080444336
2014-09-09,17.104637145996094
2014-09-10,17.049217224121094
2014-09-11,17.14620590209961
2014-09-12,16.799814224243164
2014-09-15,16.813671112060547
2014-09-16,16.924518585205078
2014-09-17,16.876022338867188
2014-09-18,16.779033660888672
2014-09-19,16.66819190979004
2014-09-22,16.522705078125
2014-09-23,16.529640197753906
2014-09-24,16.53656005859375
2014-09-25,16.585058212280273
2014-09-26,16.896806716918945
2014-09-29,16.945301055908203
2014-09-30,16.952224731445312
2014-10-01,17.000722885131836
2014-10-02,16.993793487548828
2014-10-03,17.13235092163086
2014-10-06,17.0561466217041
2014-10-07,16.95915985107422
2014-10-08,17.14620590209961
2014-10-09,16.75825309753418
2014-10-10,16.68204116821289
2014-10-13,16.044687271118164
2014-10-14,15.802223205566406
2014-10-15,15.338061332702637
2014-10-16,15.622090339660645
2014-10-17,16.051616668701172
2014-10-20,16.30794906616211
2014-10-21,16.53656005859375
2014-10-22,16.294095993041992
2014-10-23,16.501930236816406
2014-10-24,16.62662124633789
2014-10-27,16.6335506439209
2014-10-28,16.827529907226562
2014-10-29,16.765178680419922
2014-10-30,16.910661697387695
2014-10-31,17.00765037536621
2014-11-03,17.236265182495117
2014-11-04,17.06999969482422
2014-11-05,17.409456253051758
2014-11-06,17.2778263092041
2014-11-07,17.478734970092773
2014-11-10,17.58265495300293
2014-11-11,17.52722930908203
2014-11-12,17.183149337768555
2014-11-13,16.917394638061523
2014-11-14,16.81249237060547
2014-11-17,17.050268173217773
2014-11-18,17.19713592529297
2014-11-19,17.050268173217773
2014-11-20,17.015308380126953
2014-11-21,17.022296905517578
2014-11-24,17.02928924560547
2014-11-25,17.001319885253906
2014-11-26,16.973342895507812
2014-11-28,16.742557525634766
2014-12-01,16.434839248657227
2014-12-02,16.623668670654297
2014-12-03,16.847461700439453
2014-12-04,16.728572845458984
2014-12-05,16.469804763793945
2014-12-08,16.294973373413086
2014-12-09,16.399871826171875
2014-12-10,15.840385437011719
2014-12-11,15.791433334350586
2014-12-12,15.385808944702148
2014-12-15,15.064104080200195
2014-12-16,15.182991981506348
2014-12-17,15.728492736816406
2014-12-18,16.085161209106445
2014-12-19,16.15509605407715
2014-12-22,16.273988723754883
2014-12-23,16.399871826171875
2014-12-24,16.616670608520508
2014-12-26,16.735565185546875
2014-12-29,16.98733139038086
2014-12-30,16.65863800048828
2014-12-31,16.385889053344727
2015-01-02,16.52574920654297
2015-01-05,16.001237869262695
2015-01-06,15.64456558227539
