,WBA
2014-01-02,37.8360710144043
2014-01-03,37.9630126953125
2014-01-06,38.17681884765625
2014-01-07,38.42401885986328
2014-01-08,39.66006851196289
2014-01-09,40.84932327270508
2014-01-10,40.328189849853516
2014-01-13,40.221290588378906
2014-01-14,40.08766174316406
2014-01-15,39.74692153930664
2014-01-16,40.014163970947266
2014-01-17,39.52644348144531
2014-01-21,39.23914337158203
2014-01-22,39.359405517578125
2014-01-23,38.985252380371094
2014-01-24,38.2369499206543
2014-01-27,38.35053253173828
2014-01-28,38.096656799316406
2014-01-29,37.74921417236328
2014-01-30,38.256988525390625
2014-01-31,38.317115783691406
2014-02-03,37.12786102294922
2014-02-04,37.381744384765625
2014-02-05,38.65119171142578
2014-02-06,39.56652069091797
2014-02-07,40.72905349731445
2014-02-10,40.52195358276367
2014-02-11,42.89379119873047
2014-02-12,43.70890426635742
2014-02-13,44.57161331176758
2014-02-14,43.49071502685547
2014-02-18,43.3296012878418
2014-02-19,43.98081970214844
2014-02-20,44.67902755737305
2014-02-21,44.52461624145508
2014-02-24,44.65889358520508
2014-02-25,44.947574615478516
2014-02-26,44.652183532714844
2014-02-27,45.780067443847656
2014-02-28,45.61893081665039
2014-03-03,45.24968719482422
2014-03-04,46.38426971435547
2014-03-05,45.97474670410156
2014-03-06,44.78645324707031
2014-03-07,45.12212371826172
2014-03-10,44.83345031738281
2014-03-11,44.65889358520508
2014-03-12,44.934139251708984
2014-03-13,44.934139251708984
2014-03-14,45.028133392333984
2014-03-17,45.209407806396484
2014-03-18,45.115394592285156
2014-03-19,44.86701583862305
2014-03-20,44.64546203613281
2014-03-21,43.47056198120117
2014-03-24,43.1751823425293
2014-03-25,44.59176254272461
2014-03-26,43.591426849365234
2014-03-27,43.20203399658203
2014-03-28,43.88011932373047
2014-03-31,44.329933166503906
2014-04-01,44.19564437866211
2014-04-02,44.544761657714844
2014-04-03,45.04155349731445
2014-04-04,44.34335708618164
2014-04-07,43.705562591552734
2014-04-08,42.846221923828125
2014-04-09,43.98752975463867
2014-04-10,42.564247131347656
2014-04-11,43.1416130065918
2014-04-14,44.08823013305664
2014-04-15,44.31648254394531
2014-04-16,44.417198181152344
2014-04-17,44.813297271728516
2014-04-21,44.39704895019531
2014-04-22,45.23625946044922
2014-04-23,45.24296951293945
2014-04-24,45.26310348510742
2014-04-25,44.74616622924805
2014-04-28,45.28325271606445
2014-04-29,45.19596862792969
