,GOOG
2014-01-02,27.62482452392578
2014-01-03,27.423307418823242
2014-01-06,27.72905921936035
2014-01-07,28.263626098632812
2014-01-08,28.322444915771484
2014-01-09,28.049697875976562
2014-01-10,28.04821014404297
2014-01-13,27.869525909423828
2014-01-14,28.52520179748535
2014-01-15,28.505844116210938
2014-01-16,28.6944580078125
2014-01-17,28.553247451782227
2014-01-21,28.88009262084961
2014-01-22,28.912853240966797
2014-01-23,28.790748596191406
2014-01-24,27.8906192779541
2014-01-27,27.329744338989258
2014-01-28,27.870267868041992
2014-01-29,27.47095489501953
2014-01-30,28.177509307861328
2014-01-31,29.30868911743164
2014-02-03,28.128868103027344
2014-02-04,28.24625587463379
2014-02-05,28.371334075927734
2014-02-06,28.787275314331055
2014-02-07,29.22108268737793
2014-02-10,29.10915756225586
2014-02-11,29.53725814819336
2014-02-12,29.450645446777344
2014-02-13,29.778486251831055
2014-02-14,29.850454330444336
2014-02-18,30.050981521606445
2014-02-19,29.839040756225586
2014-02-20,29.88296890258789
2014-02-21,29.875022888183594
2014-02-24,30.091434478759766
2014-02-25,30.277315139770508
2014-02-26,30.281536102294922
2014-02-27,30.25771141052246
2014-02-28,30.16935920715332
2014-03-03,29.847726821899414
2014-03-04,30.15099334716797
2014-03-05,30.234134674072266
2014-03-06,30.26763916015625
2014-03-07,30.14801788330078
2014-03-10,30.068105697631836
2014-03-11,29.780717849731445
2014-03-12,29.962135314941406
2014-03-13,29.509464263916016
2014-03-14,29.105932235717773
2014-03-17,29.584909439086914
2014-03-18,30.06041145324707
2014-03-19,29.762353897094727
2014-03-20,29.710485458374023
2014-03-21,29.360061645507812
2014-03-24,28.736896514892578
2014-03-25,28.756500244140625
2014-03-26,28.092636108398438
2014-03-27,27.746849060058594
2014-03-28,27.82286834716797
2014-03-31,27.672819137573242
2014-04-01,28.179105758666992
2014-04-02,28.17115592956543
2014-04-03,28.30729103088379
2014-04-04,26.98568344116211
2014-04-07,26.737756729125977
2014-04-08,27.56997299194336
2014-04-09,28.0290584564209
2014-04-10,26.876874923706055
2014-04-11,26.362638473510742
2014-04-14,26.458032608032227
2014-04-15,26.65279769897461
2014-04-16,27.65145492553711
2014-04-17,26.635902404785156
2014-04-21,26.26426124572754
2014-04-22,26.571809768676758
2014-04-23,26.18079376220703
2014-04-24,26.09235382080078
2014-04-25,25.64618682861328
2014-04-28,25.694381713867188
2014-04-29,26.218551635742188
2014-04-30,26.166879653930664
2014-05-01,26.399900436401367
2014-05-02,26.229978561401367
