,RL
2014-01-02,141.91290283203125
2014-01-03,143.38571166992188
2014-01-06,141.35452270507812
2014-01-07,141.9371795654297
2014-01-08,139.44482421875
2014-01-09,139.89791870117188
2014-01-10,140.76377868652344
2014-01-13,135.5443115234375
2014-01-14,135.52011108398438
2014-01-15,136.013671875
2014-01-16,132.15370178222656
2014-01-17,131.4901580810547
2014-01-21,130.20346069335938
2014-01-22,129.3618927001953
2014-01-23,128.3827362060547
2014-01-24,127.54920959472656
2014-01-27,127.00707244873047
2014-01-28,126.83715057373047
2014-01-29,125.8417739868164
2014-01-30,128.0428924560547
2014-01-31,126.95853424072266
2014-02-03,124.3447265625
2014-02-04,124.76553344726562
2014-02-05,120.3390884399414
2014-02-06,123.18757629394531
2014-02-07,126.14930725097656
2014-02-10,125.6313705444336
2014-02-11,126.88568115234375
2014-02-12,125.02444458007812
2014-02-13,126.35967254638672
2014-02-14,128.17233276367188
2014-02-18,127.16891479492188
2014-02-19,127.02326965332031
2014-02-20,127.58155822753906
2014-02-21,128.18048095703125
2014-02-24,128.8844451904297
2014-02-25,129.4670867919922
2014-02-26,131.19070434570312
2014-02-27,130.92372131347656
2014-02-28,130.34918212890625
2014-03-03,129.6937255859375
2014-03-04,131.04510498046875
2014-03-05,130.64857482910156
2014-03-06,131.2230987548828
2014-03-07,132.75254821777344
2014-03-10,132.94677734375
2014-03-11,131.27975463867188
2014-03-12,131.55487060546875
2014-03-13,128.99774169921875
2014-03-14,129.53993225097656
2014-03-17,130.69712829589844
2014-03-18,132.55020141601562
2014-03-19,130.4948272705078
2014-03-20,129.85548400878906
2014-03-21,130.31680297851562
2014-03-24,129.4832763671875
2014-03-25,126.47298431396484
2014-03-26,126.99237823486328
2014-03-27,127.39820098876953
2014-03-28,128.4207305908203
2014-03-31,130.60382080078125
2014-04-01,132.86807250976562
2014-04-02,132.6165008544922
2014-04-03,132.02401733398438
2014-04-04,128.74533081054688
2014-04-07,126.26200103759766
2014-04-08,126.53787994384766
2014-04-09,127.77143096923828
2014-04-10,124.8093032836914
2014-04-11,124.61447143554688
2014-04-14,125.29624938964844
2014-04-15,126.0672378540039
2014-04-16,125.83186340332031
2014-04-17,125.28814697265625
2014-04-21,124.91477966308594
2014-04-22,125.67764282226562
2014-04-23,124.8498764038086
2014-04-24,125.47482299804688
2014-04-25,124.24120330810547
2014-04-28,122.92648315429688
2014-04-29,123.60818481445312
2014-04-30,122.84532928466797
2014-05-01,124.49281311035156
2014-05-02,125.79132843017578
2014-05-05,126.48921203613281
2014-05-06,124.89048767089844
2014-05-07,123.81109619140625
2014-05-08,123.34849548339844
2014-05-09,120.76773071289062
2014-05-12,119.57476043701172
2014-05-13,121.05184173583984
2014-05-14,119.72084045410156
2014-05-15,119.68026733398438
2014-05-16,121.546875
2014-05-19,122.53690338134766
2014-05-20,121.9444808959961
2014-05-21,122.3989486694336
2014-05-22,123.27542877197266
2014-05-23,123.94092559814453
2014-05-27,124.57393646240234
2014-05-28,123.8435287475586
2014-05-29,124.2168197631836
2014-05-30,124.55775451660156
2014-06-02,124.3061752319336
2014-06-03,125.19883728027344
2014-06-04,126.12398529052734
2014-06-05,125.19883728027344
2014-06-06,125.38545989990234
2014-06-09,126.0428695678711
2014-06-10,125.50725555419922
2014-06-11,124.52525329589844
2014-06-12,123.9166030883789
2014-06-13,124.60639190673828
2014-06-16,124.16815948486328
2014-06-17,125.53971099853516
2014-06-18,126.60284423828125
2014-06-19,125.1825942993164
2014-06-20,126.25386047363281
2014-06-23,126.67589569091797
2014-06-24,128.14479064941406
2014-06-25,126.91590881347656
2014-06-26,127.8436508178711
2014-06-27,130.56199645996094
2014-06-30,130.78172302246094
2014-07-01,131.54678344726562
2014-07-02,131.4002685546875
2014-07-03,132.56410217285156
2014-07-07,131.75025939941406
2014-07-08,130.93638610839844
2014-07-09,132.59669494628906
2014-07-10,130.19577026367188
2014-07-11,129.5121612548828
2014-07-14,129.7807159423828
2014-07-15,129.29238891601562
2014-07-16,128.59246826171875
2014-07-17,127.93318176269531
2014-07-18,128.3401336669922
2014-07-21,128.4052734375
2014-07-22,129.5934600830078
2014-07-23,129.81321716308594
2014-07-24,131.45729064941406
2014-07-25,129.92718505859375
2014-07-28,130.15509033203125
2014-07-29,128.8610382080078
2014-07-30,129.69113159179688
2014-07-31,126.85077667236328
2014-08-01,125.7845687866211
2014-08-04,127.20879364013672
2014-08-05,127.4285888671875
2014-08-06,127.68087005615234
2014-08-07,128.69009399414062
2014-08-08,130.57827758789062
2014-08-11,132.4664306640625
2014-08-12,132.48272705078125
2014-08-13,132.04327392578125
2014-08-14,132.80833435058594
2014-08-15,133.1012725830078
2014-08-18,134.5825958251953
2014-08-19,135.9173126220703
2014-08-20,137.81365966796875
2014-08-21,137.7648162841797
2014-08-22,138.17173767089844
2014-08-25,138.32638549804688
2014-08-26,137.54507446289062
2014-08-27,138.09849548339844
2014-08-28,137.58575439453125
2014-08-29,137.70782470703125
2014-09-02,138.2042999267578
2014-09-03,137.58575439453125
2014-09-04,140.361083984375
2014-09-05,140.71917724609375
2014-09-08,140.39364624023438
2014-09-09,141.2238006591797
2014-09-10,142.18411254882812
2014-09-11,141.0203094482422
2014-09-12,141.44349670410156
2014-09-15,139.16465759277344
2014-09-16,140.4750213623047
2014-09-17,140.6215057373047
2014-09-18,140.6703338623047
2014-09-19,139.97042846679688
2014-09-22,138.22869873046875
2014-09-23,138.36709594726562
2014-09-24,136.76760864257812
2014-09-25,134.58062744140625
2014-09-26,135.16818237304688
2014-09-29,134.67041015625
2014-09-30,134.42559814453125
2014-10-01,133.30764770507812
2014-10-02,136.3759002685547
2014-10-03,135.78839111328125
2014-10-06,134.14820861816406
2014-10-07,133.11180114746094
2014-10-08,135.55172729492188
2014-10-09,133.0465087890625
2014-10-10,130.9166717529297
2014-10-13,128.55020141601562
2014-10-14,128.71337890625
2014-10-15,127.88919830322266
2014-10-16,128.66444396972656
2014-10-17,127.50565338134766
2014-10-20,128.2808837890625
2014-10-21,131.5123748779297
2014-10-22,131.03089904785156
2014-10-23,131.5286865234375
2014-10-24,130.76976013183594
2014-10-27,131.66741943359375
2014-10-28,131.31651306152344
2014-10-29,132.0264434814453
2014-10-30,135.55172729492188
2014-10-31,134.51536560058594
2014-11-03,135.20083618164062
2014-11-04,133.95233154296875
2014-11-05,134.46641540527344
2014-11-06,139.86044311523438
2014-11-07,141.99026489257812
2014-11-10,140.29295349121094
2014-11-11,139.59930419921875
2014-11-12,141.1171417236328
2014-11-13,141.31295776367188
2014-11-14,142.18614196777344
2014-11-17,143.66317749023438
2014-11-18,144.0792999267578
2014-11-19,146.6090087890625
2014-11-20,146.7069549560547
2014-11-21,146.92730712890625
2014-11-24,147.96365356445312
2014-11-25,149.04083251953125
2014-11-26,148.57571411132812
2014-11-28,150.88504028320312
2014-12-01,147.93104553222656
2014-12-02,147.3598175048828
2014-12-03,149.5631103515625
