,STLD
2014-01-02,15.110798835754395
2014-01-03,15.079313278198242
2014-01-06,14.851079940795898
2014-01-07,14.945523262023926
2014-01-08,15.126533508300781
2014-01-09,15.039961814880371
2014-01-10,15.032090187072754
2014-01-13,14.599228858947754
2014-01-14,14.599228858947754
2014-01-15,14.622844696044922
2014-01-16,14.677934646606445
2014-01-17,14.473306655883789
2014-01-21,14.142755508422852
2014-01-22,14.087663650512695
2014-01-23,13.827954292297363
2014-01-24,13.347870826721191
2014-01-27,12.970100402832031
2014-01-28,13.261295318603516
2014-01-29,13.064541816711426
2014-01-30,13.15111255645752
2014-01-31,12.985838890075684
2014-02-03,12.45853328704834
2014-02-04,12.560847282409668
2014-02-05,12.678899765014648
2014-02-06,12.74973201751709
2014-02-07,12.852043151855469
2014-02-10,12.8363037109375
2014-02-11,13.465921401977539
2014-02-12,13.694157600402832
2014-02-13,13.90665054321289
2014-02-14,14.064056396484375
2014-02-18,14.174241065979004
2014-02-19,14.166372299194336
2014-02-20,14.166372299194336
2014-02-21,13.898778915405273
2014-02-24,13.434443473815918
2014-02-25,13.324254989624023
2014-02-26,13.521012306213379
2014-02-27,13.702028274536133
2014-02-28,13.725637435913086
2014-03-03,13.544624328613281
2014-03-04,13.568230628967285
2014-03-05,13.780730247497559
2014-03-06,13.90665054321289
2014-03-07,13.938138008117676
2014-03-10,13.489533424377441
2014-03-11,13.536750793457031
2014-03-12,13.308518409729004
2014-03-13,13.009452819824219
2014-03-14,13.001577377319336
2014-03-17,13.12750244140625
2014-03-18,13.324254989624023
2014-03-19,13.481658935546875
2014-03-20,13.442310333251953
2014-03-21,13.914521217346191
2014-03-24,14.087663650512695
2014-03-25,14.25294303894043
2014-03-26,14.008966445922852
2014-03-27,13.902024269104004
2014-03-28,13.814889907836914
2014-03-31,14.092142105102539
2014-04-01,14.131750106811523
2014-04-02,14.306020736694336
2014-04-03,14.749613761901855
2014-04-04,14.511975288391113
2014-04-07,14.543664932250977
2014-04-08,14.694160461425781
2014-04-09,14.89219856262207
2014-04-10,14.599105834960938
2014-04-11,14.575340270996094
2014-04-14,14.915964126586914
2014-04-15,14.939724922180176
2014-04-16,14.971413612365723
2014-04-17,14.258491516113281
2014-04-21,14.440680503845215
2014-04-22,14.408995628356934
2014-04-23,14.694160461425781
2014-04-24,14.773380279541016
2014-04-25,14.559499740600586
2014-04-28,14.321857452392578
2014-04-29,14.393157958984375
2014-04-30,14.472365379333496
2014-05-01,14.638713836669922
2014-05-02,14.638713836669922
2014-05-05,14.179271697998047
2014-05-06,14.147588729858398
2014-05-07,14.250569343566895
2014-05-08,14.21096420288086
2014-05-09,13.949553489685059
2014-05-12,14.456522941589355
2014-05-13,14.31393814086914
2014-05-14,14.369397163391113
2014-05-15,14.321857452392578
2014-05-16,14.424838066101074
2014-05-19,14.353547096252441
2014-05-20,13.981236457824707
2014-05-21,13.989158630371094
2014-05-22,13.846575736999512
2014-05-23,14.076299667358398
2014-05-27,14.155510902404785
2014-05-28,13.838655471801758
2014-05-29,13.902024269104004
2014-05-30,13.680225372314453
2014-06-02,13.608933448791504
2014-06-03,13.608933448791504
2014-06-04,13.65645980834961
2014-06-05,13.862421989440918
2014-06-06,14.0050048828125
2014-06-09,13.77528190612793
2014-06-10,13.767361640930176
2014-06-11,13.917872428894043
2014-06-12,13.680225372314453
2014-06-13,13.878262519836426
2014-06-16,13.767361640930176
2014-06-17,14.179271697998047
2014-06-18,14.393157958984375
2014-06-19,14.321857452392578
2014-06-20,14.290172576904297
2014-06-23,14.100062370300293
2014-06-24,13.941632270812988
2014-06-25,14.100062370300293
2014-06-26,14.175806045532227
2014-06-27,14.167834281921387
2014-06-30,14.311339378356934
2014-07-01,14.23958683013916
2014-07-02,14.454853057861328
2014-07-03,14.598368644714355
2014-07-07,14.478775024414062
2014-07-08,14.502691268920898
2014-07-09,14.558504104614258
2014-07-10,14.335257530212402
2014-07-11,14.510668754577637
2014-07-14,14.27945327758789
2014-07-15,14.494719505310059
2014-07-16,14.789715766906738
2014-07-17,14.630257606506348
2014-07-18,14.813633918762207
2014-07-21,16.543750762939453
2014-07-22,17.2932071685791
2014-07-23,17.37293815612793
2014-07-24,17.333072662353516
2014-07-25,17.269285202026367
2014-07-28,17.27725601196289
2014-07-29,17.093883514404297
2014-07-30,17.125776290893555
2014-07-31,16.91050148010254
2014-08-01,16.679288864135742
2014-08-04,17.261310577392578
2014-08-05,17.093883514404297
2014-08-06,17.149688720703125
2014-08-07,17.03009796142578
2014-08-08,17.396848678588867
2014-08-11,17.22144889831543
2014-08-12,17.309152603149414
2014-08-13,17.651979446411133
2014-08-14,17.6759033203125
2014-08-15,17.62807273864746
2014-08-18,18.265899658203125
2014-08-19,18.505081176757812
2014-08-20,18.465219497680664
2014-08-21,18.441301345825195
2014-08-22,18.57684326171875
2014-08-25,18.560894012451172
2014-08-26,18.82400131225586
2014-08-27,18.728322982788086
2014-08-28,18.44927406311035
2014-08-29,18.529003143310547
2014-09-02,18.505081176757812
2014-09-03,19.055208206176758
2014-09-04,19.29440689086914
2014-09-05,19.326292037963867
2014-09-08,18.91170310974121
2014-09-09,18.847917556762695
2014-09-10,18.776165008544922
2014-09-11,19.126972198486328
2014-09-12,18.943592071533203
2014-09-15,18.87183380126953
2014-09-16,19.08711051940918
2014-09-17,19.812633514404297
2014-09-18,19.89236831665039
2014-09-19,19.4299373626709
2014-09-22,19.10305404663086
2014-09-23,19.0472412109375
2014-09-24,18.60873031616211
2014-09-25,18.497106552124023
2014-09-26,18.453033447265625
2014-09-29,18.252727508544922
2014-09-30,18.116514205932617
2014-10-01,17.699859619140625
2014-10-02,17.723896026611328
2014-10-03,17.33127784729004
2014-10-06,17.307239532470703
2014-10-07,16.922636032104492
2014-10-08,17.283205032348633
2014-10-09,16.642194747924805
2014-10-10,15.985161781311035
2014-10-13,15.69670581817627
2014-10-14,16.033239364624023
2014-10-15,16.257585525512695
2014-10-16,16.77840805053711
2014-10-17,16.874555587768555
2014-10-20,16.906606674194336
2014-10-21,17.5476131439209
2014-10-22,17.83607292175293
2014-10-23,17.747926712036133
2014-10-24,17.876134872436523
2014-10-27,17.53960609436035
2014-10-28,18.100488662719727
2014-10-29,18.124528884887695
2014-10-30,18.076452255249023
2014-10-31,18.4370174407959
2014-11-03,18.156572341918945
2014-11-04,17.812034606933594
2014-11-05,17.755945205688477
2014-11-06,17.747926712036133
2014-11-07,18.012344360351562
2014-11-10,17.94824981689453
2014-11-11,17.763957977294922
2014-11-12,17.956260681152344
2014-11-13,17.908184051513672
2014-11-14,18.220678329467773
2014-11-17,18.14054298400879
2014-11-18,18.284774780273438
2014-11-19,17.731901168823242
2014-11-20,18.124528884887695
2014-11-21,18.404966354370117
2014-11-24,18.38894271850586
2014-11-25,18.805601119995117
2014-11-26,18.733488082885742
2014-11-28,18.060428619384766
2014-12-01,17.635751724243164
2014-12-02,17.5476131439209
2014-12-03,18.31682586669922
2014-12-04,18.18061065673828
2014-12-05,18.172595977783203
2014-12-08,17.787994384765625
2014-12-09,18.036386489868164
2014-12-10,17.37935447692871
2014-12-11,17.074872970581055
2014-12-12,16.321680068969727
2014-12-15,15.832923889160156
2014-12-16,15.60856819152832
2014-12-17,16.089324951171875
2014-12-18,15.656645774841309
2014-12-19,15.832923889160156
2014-12-22,15.352165222167969
2014-12-23,15.496390342712402
2014-12-24,15.544465065002441
2014-12-26,15.528435707092285
2014-12-29,15.798468589782715
2014-12-30,16.193422317504883
2014-12-31,15.911307334899902
2015-01-02,16.040281295776367
2015-01-05,15.073023796081543
2015-01-06,14.63775634765625
2015-01-07,14.847331047058105
2015-01-08,15.363202095031738
2015-01-09,15.234228134155273
2015-01-12,14.645820617675781
2015-01-13,14.11383056640625
2015-01-14,13.904255867004395
2015-01-15,13.847838401794434
2015-01-16,13.984862327575684
2015-01-20,13.807534217834473
2015-01-21,13.944562911987305
2015-01-22,14.3717622756958
2015-01-23,13.718871116638184
2015-01-26,14.081592559814453
2015-01-27,14.242795944213867
2015-01-28,14.266979217529297
2015-01-29,13.64632511138916
2015-01-30,13.734991073608398
2015-02-02,13.815594673156738
2015-02-03,14.581336975097656
2015-02-04,14.516850471496582
2015-02-05,15.347074508666992
2015-02-06,15.322903633117676
2015-02-09,15.451861381530762
2015-02-10,15.403499603271484
2015-02-11,15.443805694580078
2015-02-12,15.97579574584961
2015-02-13,16.128944396972656
2015-02-17,15.895191192626953
2015-02-18,15.55665111541748
2015-02-19,15.508279800415039
2015-02-20,15.693679809570312
2015-02-23,15.701740264892578
2015-02-24,15.87100601196289
2015-02-25,15.234228134155273
2015-02-26,14.992417335510254
2015-02-27,14.686120986938477
2015-03-02,14.557159423828125
2015-03-03,14.597458839416504
2015-03-04,14.871515274047852
2015-03-05,15.12138843536377
2015-03-06,14.69418716430664
2015-03-09,14.412071228027344
2015-03-10,13.791417121887207
2015-03-11,14.194436073303223
