,HRL
2014-01-02,17.6162052154541
2014-01-03,17.726726531982422
2014-01-06,17.679363250732422
2014-01-07,17.8767147064209
2014-01-08,17.68330955505371
2014-01-09,17.805667877197266
2014-01-10,17.99118995666504
2014-01-13,17.805667877197266
2014-01-14,18.32669448852539
2014-01-15,18.30301284790039
2014-01-16,18.409591674804688
2014-01-17,18.17569923400879
2014-01-21,18.207414627075195
2014-01-22,18.21137237548828
2014-01-23,18.072635650634766
2014-01-24,17.894241333007812
2014-01-27,18.044885635375977
2014-01-28,18.132097244262695
2014-01-29,17.58503532409668
2014-01-30,17.866485595703125
2014-01-31,18.013166427612305
2014-02-03,17.2282657623291
2014-02-04,17.101408004760742
2014-02-05,17.085554122924805
2014-02-06,17.204469680786133
2014-02-07,17.351144790649414
2014-02-10,17.311506271362305
2014-02-11,17.59693145751953
2014-02-12,17.565216064453125
2014-02-13,17.751529693603516
2014-02-14,17.90216827392578
2014-02-18,17.898210525512695
2014-02-19,17.961633682250977
2014-02-20,18.31047248840332
2014-02-21,18.51661491394043
2014-02-24,18.611757278442383
2014-02-25,18.587968826293945
2014-02-26,18.6236515045166
2014-02-27,18.69896697998047
2014-02-28,18.809965133666992
2014-03-03,18.651399612426758
2014-03-04,18.88924789428711
2014-03-05,18.972497940063477
2014-03-06,18.754465103149414
2014-03-07,18.742578506469727
2014-03-10,18.790142059326172
2014-03-11,18.6236515045166
2014-03-12,18.714818954467773
2014-03-13,18.536436080932617
2014-03-14,18.6831111907959
2014-03-17,18.69896697998047
2014-03-18,18.8416748046875
2014-03-19,18.710866928100586
2014-03-20,18.7742862701416
2014-03-21,18.75050163269043
2014-03-24,18.80600357055664
2014-03-25,19.000246047973633
2014-03-26,19.119169235229492
2014-03-27,19.107275009155273
2014-03-28,19.186559677124023
2014-03-31,19.531442642211914
2014-04-01,19.384763717651367
2014-04-02,19.210346221923828
2014-04-03,19.16277503967285
2014-04-04,18.960601806640625
2014-04-07,19.047815322875977
2014-04-08,19.01609992980957
2014-04-09,19.012134552001953
2014-04-10,18.73067855834961
2014-04-11,18.61968421936035
2014-04-14,18.83771324157715
2014-04-15,18.76636505126953
2014-04-16,18.989294052124023
2014-04-17,19.021135330200195
2014-04-21,19.013179779052734
2014-04-22,19.068920135498047
2014-04-23,19.080856323242188
2014-04-24,18.949480056762695
2014-04-25,18.969385147094727
2014-04-28,19.080856323242188
2014-04-29,18.861909866333008
2014-04-30,18.985307693481445
2014-05-01,18.953466415405273
2014-05-02,19.09678077697754
2014-05-05,18.993270874023438
2014-05-06,18.826074600219727
2014-05-07,19.176401138305664
2014-05-08,19.200284957885742
2014-05-09,19.39535140991211
2014-05-12,19.45905113220215
2014-05-13,19.64217185974121
2014-05-14,19.42720603942871
2014-05-15,19.39933204650879
2014-05-16,19.49089241027832
2014-05-19,19.53469467163086
2014-05-20,19.31970977783203
2014-05-21,18.76636505126953
2014-05-22,18.435941696166992
2014-05-23,18.575275421142578
2014-05-27,19.029098510742188
2014-05-28,18.993270874023438
2014-05-29,19.391380310058594
2014-05-30,19.590423583984375
2014-06-02,19.62226676940918
2014-06-03,19.70189094543457
2014-06-04,19.73771858215332
2014-06-05,19.68596649169922
2014-06-06,19.61431312561035
2014-06-09,19.73373794555664
2014-06-10,19.61431312561035
2014-06-11,19.335634231567383
2014-06-12,19.240100860595703
2014-06-13,19.164459228515625
2014-06-16,19.271949768066406
2014-06-17,19.315736770629883
2014-06-18,19.51080322265625
2014-06-19,19.713830947875977
2014-06-20,19.809375762939453
2014-06-23,19.58245849609375
2014-06-24,19.4431209564209
2014-06-25,19.35554313659668
2014-06-26,19.34360122680664
2014-06-27,19.526729583740234
2014-06-30,19.646160125732422
2014-07-01,19.58245849609375
2014-07-02,19.252037048339844
2014-07-03,19.29583168029785
2014-07-07,19.53469467163086
2014-07-08,19.4948787689209
2014-07-09,19.470991134643555
2014-07-10,19.391380310058594
2014-07-11,19.41127586364746
2014-07-14,19.40729522705078
2014-07-15,19.287866592407227
2014-07-16,19.168439865112305
2014-07-17,19.160444259643555
2014-07-18,19.400297164916992
2014-07-21,19.192424774169922
2014-07-22,19.288362503051758
2014-07-23,19.124465942382812
2014-07-24,19.07249641418457
2014-07-25,19.076496124267578
2014-07-28,18.932575225830078
2014-07-29,18.808652877807617
2014-07-30,18.488840103149414
2014-07-31,18.09308624267578
2014-08-01,17.993144989013672
2014-08-04,18.141054153442383
2014-08-05,18.1170711517334
2014-08-06,18.372915267944336
2014-08-07,18.217008590698242
2014-08-08,18.472854614257812
2014-08-11,18.696725845336914
2014-08-12,18.700721740722656
2014-08-13,18.76468276977539
2014-08-14,18.924585342407227
2014-08-15,18.844635009765625
2014-08-18,18.9605655670166
2014-08-19,18.99254608154297
2014-08-20,19.132461547851562
2014-08-21,19.955970764160156
2014-08-22,19.97195816040039
2014-08-25,20.039913177490234
2014-08-26,20.04391098022461
2014-08-27,20.131855010986328
2014-08-28,20.247783660888672
2014-08-29,20.259775161743164
2014-09-02,20.35572052001953
2014-09-03,20.44367027282715
2014-09-04,20.31574249267578
2014-09-05,20.419687271118164
2014-09-08,20.327733993530273
2014-09-09,20.131855010986328
2014-09-10,20.175830841064453
2014-09-11,20.211807250976562
2014-09-12,19.975948333740234
2014-09-15,20.0079288482666
2014-09-16,20.311744689941406
2014-09-17,20.211807250976562
2014-09-18,20.375709533691406
2014-09-19,20.195819854736328
2014-09-22,20.103870391845703
2014-09-23,19.987947463989258
2014-09-24,20.271770477294922
2014-09-25,19.979948043823242
2014-09-26,20.07189178466797
2014-09-29,20.30775260925293
2014-09-30,20.543609619140625
2014-10-01,20.41168975830078
2014-10-02,20.635555267333984
2014-10-03,20.70751190185547
2014-10-06,20.55160140991211
2014-10-07,20.279767990112305
2014-10-08,20.583581924438477
2014-10-09,20.635555267333984
2014-10-10,20.695514678955078
2014-10-13,20.55959701538086
2014-10-14,20.779470443725586
2014-10-15,20.32374382019043
2014-10-16,20.010698318481445
2014-10-17,20.135114669799805
2014-10-20,20.660863876342773
2014-10-21,21.074243545532227
2014-10-22,21.090295791625977
2014-10-23,21.07023048400879
2014-10-24,21.086278915405273
2014-10-27,21.082271575927734
2014-10-28,21.27090072631836
2014-10-29,21.298995971679688
2014-10-30,21.427419662475586
2014-10-31,21.636117935180664
2014-11-03,21.712366104125977
2014-11-04,21.79665184020996
2014-11-05,21.88493537902832
2014-11-06,21.888959884643555
2014-11-07,21.840795516967773
2014-11-10,21.856847763061523
2014-11-11,21.97323226928711
2014-11-12,21.93310546875
2014-11-13,22.141801834106445
2014-11-14,21.87290382385254
2014-11-17,22.11772346496582
2014-11-18,22.11772346496582
2014-11-19,22.189956665039062
2014-11-20,22.005346298217773
2014-11-21,21.804683685302734
2014-11-24,21.724414825439453
2014-11-25,20.596647262573242
2014-11-26,21.158527374267578
2014-11-28,21.303003311157227
2014-12-01,21.206687927246094
2014-12-02,21.17457389831543
2014-12-03,21.166549682617188
2014-12-04,21.07023048400879
2014-12-05,21.1785888671875
2014-12-08,21.23879051208496
2014-12-09,20.98193359375
2014-12-10,20.636783599853516
2014-12-11,20.817386627197266
2014-12-12,20.452167510986328
2014-12-15,20.367889404296875
2014-12-16,20.123075485229492
2014-12-17,20.41604995727539
2014-12-18,20.8815975189209
2014-12-19,20.98193359375
2014-12-22,21.25083351135254
2014-12-23,21.371231079101562
2014-12-24,21.303003311157227
2014-12-26,21.27090072631836
2014-12-29,21.343143463134766
2014-12-30,21.28293800354004
2014-12-31,20.909692764282227
2015-01-02,20.717052459716797
2015-01-05,20.347820281982422
2015-01-06,20.195310592651367
2015-01-07,20.524410247802734
2015-01-08,20.745141983032227
2015-01-09,20.580596923828125
2015-01-12,20.27557945251465
2015-01-13,20.347820281982422
2015-01-14,20.30367660522461
2015-01-15,20.545671463012695
2015-01-16,20.76750373840332
2015-01-20,20.95706558227539
2015-01-21,21.37249755859375
2015-01-22,21.670969009399414
2015-01-23,21.517696380615234
2015-01-26,21.481395721435547
2015-01-27,21.352333068847656
2015-01-28,21.13453483581543
2015-01-29,21.191001892089844
2015-01-30,20.658605575561523
2015-02-02,20.86833953857422
2015-02-03,21.082103729248047
2015-02-04,21.76373291015625
2015-02-05,21.783897399902344
2015-02-06,21.61046600341797
2015-02-09,21.412837982177734
2015-02-10,21.804067611694336
2015-02-11,21.751628875732422
2015-02-12,21.848426818847656
2015-02-13,22.47762107849121
2015-02-17,22.469558715820312
2015-02-18,22.642995834350586
2015-02-19,23.252016067504883
2015-02-20,23.360919952392578
2015-02-23,23.31252098083496
2015-02-24,23.300426483154297
2015-02-25,23.606948852539062
2015-02-26,23.57872200012207
2015-02-27,23.598886489868164
2015-03-02,23.598886489868164
2015-03-03,23.54241943359375
2015-03-04,23.373027801513672
2015-03-05,23.368986129760742
2015-03-06,22.89305877685547
2015-03-09,23.23589515686035
2015-03-10,22.687362670898438
2015-03-11,22.279998779296875
2015-03-12,22.570396423339844
2015-03-13,22.284027099609375
2015-03-16,22.44536018371582
2015-03-17,22.296127319335938
2015-03-18,22.618793487548828
2015-03-19,22.58249282836914
2015-03-20,22.90919303894043
2015-03-23,22.981788635253906
2015-03-24,22.768024444580078
2015-03-25,22.85272979736328
2015-03-26,22.85272979736328
2015-03-27,23.094728469848633
2015-03-30,23.135055541992188
2015-03-31,22.92935562133789
2015-04-01,23.030189514160156
2015-04-02,23.159255981445312
2015-04-06,23.32059097290039
2015-04-07,23.38915252685547
2015-04-08,23.485958099365234
2015-04-09,23.405290603637695
2015-04-10,23.37705421447754
2015-04-13,23.14312744140625
2015-04-14,23.441585540771484
2015-04-15,23.23991584777832
2015-04-16,23.276382446289062
2015-04-17,22.826730728149414
2015-04-20,22.842937469482422
2015-04-21,22.31632423400879
2015-04-22,22.3527774810791
2015-04-23,22.23125457763672
2015-04-24,22.219097137451172
2015-04-27,22.178586959838867
2015-04-28,22.2879695892334
2015-04-29,22.109725952148438
2015-04-30,22.016551971435547
2015-05-01,22.393287658691406
2015-05-04,22.57962989807129
2015-05-05,22.53506851196289
2015-05-06,22.31632423400879
2015-05-07,22.42974090576172
2015-05-08,22.672801971435547
2015-05-11,22.603931427001953
2015-05-12,22.58773422241211
2015-05-13,22.672801971435547
2015-05-14,22.976621627807617
2015-05-15,22.95635986328125
2015-05-18,22.57152557373047
2015-05-19,22.599889755249023
2015-05-20,23.551849365234375
2015-05-21,23.300683975219727
2015-05-22,23.05763053894043
2015-05-26,22.932056427001953
2015-05-27,23.669322967529297
2015-05-28,23.576143264770508
2015-05-29,23.17916488647461
2015-06-01,23.11839485168457
2015-06-02,22.99281883239746
2015-06-03,23.049528121948242
2015-06-04,22.80242919921875
2015-06-05,22.79027557373047
2015-06-08,22.745716094970703
2015-06-09,22.774066925048828
2015-06-10,23.017131805419922
2015-06-11,22.895597457885742
2015-06-12,22.871295928955078
2015-06-15,22.818635940551758
2015-06-16,22.95231056213379
2015-06-17,23.106245040893555
2015-06-18,23.20346450805664
2015-06-19,23.18726348876953
2015-06-22,23.414113998413086
2015-06-23,23.543733596801758
2015-06-24,23.519439697265625
2015-06-25,23.482975006103516
2015-06-26,23.381702423095703
2015-06-29,22.79432487487793
2015-06-30,22.834836959838867
2015-07-01,23.081937789916992
2015-07-02,23.029277801513672
2015-07-06,22.774066925048828
2015-07-07,23.231821060180664
2015-07-08,23.0535831451416
2015-07-09,23.17916488647461
2015-07-10,23.215621948242188
2015-07-13,23.5801944732666
2015-07-14,23.636913299560547
2015-07-15,23.43842315673828
2015-07-16,23.73948860168457
2015-07-17,23.442485809326172
2015-07-20,23.540128707885742
2015-07-21,23.377389907836914
2015-07-22,23.49944305419922
2015-07-23,23.458765029907227
2015-07-24,23.41807746887207
2015-07-27,23.36111831665039
2015-07-28,23.78830909729004
2015-07-29,23.922563552856445
2015-07-30,24.142261505126953
2015-07-31,24.089366912841797
2015-08-03,24.178874969482422
2015-08-04,24.532827377319336
2015-08-05,24.736255645751953
2015-08-06,24.52469825744629
2015-08-07,24.504352569580078
2015-08-10,24.760663986206055
2015-08-11,24.597925186157227
2015-08-12,24.772872924804688
2015-08-13,24.614212036132812
2015-08-14,24.90306282043457
2015-08-17,24.955947875976562
2015-08-18,24.614212036132812
2015-08-19,24.907135009765625
2015-08-20,25.871362686157227
2015-08-21,24.972230911254883
2015-08-24,24.138195037841797
2015-08-25,23.914426803588867
2015-08-26,24.593856811523438
2015-08-27,24.972230911254883
2015-08-28,25.02104949951172
2015-08-31,24.858308792114258
2015-09-01,24.26838493347168
2015-09-02,24.671165466308594
2015-09-03,24.890859603881836
2015-09-04,24.68337059020996
2015-09-08,25.261089324951172
2015-09-09,24.84203338623047
2015-09-10,24.82169532775879
2015-09-11,25.110559463500977
2015-09-14,24.97629737854004
2015-09-15,25.21633529663086
2015-09-16,25.558086395263672
2015-09-17,25.293638229370117
2015-09-18,24.85017204284668
2015-09-21,24.907135009765625
2015-09-22,24.5450439453125
2015-09-23,24.695568084716797
2015-09-24,24.89899444580078
2015-09-25,25.301769256591797
2015-09-28,25.000709533691406
2015-09-29,25.13496208190918
2015-09-30,25.757436752319336
2015-10-01,25.71675682067871
2015-10-02,26.11139488220215
2015-10-05,26.583335876464844
2015-10-06,25.948659896850586
2015-10-07,26.042232513427734
2015-10-08,26.497900009155273
2015-10-09,26.615886688232422
2015-10-12,27.01459503173828
2015-10-13,26.807106018066406
2015-10-14,26.322954177856445
2015-10-15,26.502662658691406
2015-10-16,26.915172576904297
2015-10-19,27.090795516967773
2015-10-20,26.9315128326416
2015-10-21,27.205158233642578
2015-10-22,27.972993850708008
2015-10-23,27.90764808654785
2015-10-26,27.617660522460938
2015-10-27,27.299089431762695
2015-10-28,27.621749877929688
2015-10-29,27.70343589782715
2015-10-30,27.58907699584961
2015-11-02,27.576818466186523
2015-11-03,27.678930282592773
2015-11-04,27.45429229736328
2015-11-05,27.6095027923584
2015-11-06,27.213321685791016
2015-11-09,27.196983337402344
2015-11-10,27.388948440551758
2015-11-11,27.511474609375
2015-11-12,27.131633758544922
2015-11-13,27.02544403076172
2015-11-16,27.69525909423828
2015-11-17,27.621749877929688
2015-11-18,27.95665168762207
2015-11-19,28.11593246459961
2015-11-20,27.842294692993164
2015-11-23,28.2874755859375
2015-11-24,29.128841400146484
2015-11-25,30.03962516784668
2015-11-27,30.635927200317383
2015-11-30,30.599163055419922
2015-12-01,30.840126037597656
2015-12-02,30.82788848876953
2015-12-03,30.9422550201416
2015-12-04,31.68964958190918
2015-12-07,31.636554718017578
2015-12-08,31.74275779724121
2015-12-09,31.452775955200195
2015-12-10,31.4609375
2015-12-11,31.628400802612305
2015-12-14,31.84894371032715
2015-12-15,31.861202239990234
2015-12-16,32.60860824584961
2015-12-17,32.46566390991211
2015-12-18,32.179752349853516
2015-12-21,32.53509521484375
2015-12-22,32.882259368896484
2015-12-23,32.57184600830078
