,DHR
2014-01-02,31.296031951904297
2014-01-03,31.341075897216797
2014-01-06,31.06678581237793
2014-01-07,31.32469940185547
2014-01-08,31.341075897216797
2014-01-09,31.717695236206055
2014-01-10,31.799562454223633
2014-01-13,31.173233032226562
2014-01-14,32.036983489990234
2014-01-15,32.01650619506836
2014-01-16,32.14752197265625
2014-01-17,31.877338409423828
2014-01-21,31.930561065673828
2014-01-22,31.9060001373291
2014-01-23,31.566219329833984
2014-01-24,30.346309661865234
2014-01-27,30.33402442932129
2014-01-28,30.78842544555664
2014-01-29,30.75567626953125
2014-01-30,30.82526969909668
2014-01-31,30.452739715576172
2014-02-03,29.70360565185547
2014-02-04,29.855064392089844
2014-02-05,29.674942016601562
2014-02-06,30.17438507080078
2014-02-07,30.751585006713867
2014-02-10,30.731109619140625
2014-02-11,30.862117767333984
2014-02-12,30.927610397338867
2014-02-13,31.201881408691406
2014-02-14,31.287851333618164
2014-02-18,31.08725929260254
2014-02-19,30.817075729370117
2014-02-20,31.156856536865234
2014-02-21,31.173233032226562
2014-02-24,31.341075897216797
2014-02-25,31.4475040435791
2014-02-26,31.4475040435791
2014-02-27,31.533479690551758
2014-02-28,31.312406539916992
2014-03-03,30.943988800048828
2014-03-04,31.263282775878906
2014-03-05,31.26738739013672
2014-03-06,31.472070693969727
2014-03-07,31.697216033935547
2014-03-10,31.582590103149414
2014-03-11,31.287851333618164
2014-03-12,31.03814697265625
2014-03-13,30.469120025634766
2014-03-14,30.207124710083008
2014-03-17,30.641050338745117
2014-03-18,30.80889129638672
2014-03-19,30.444562911987305
2014-03-20,30.60011100769043
2014-03-21,30.82526969909668
2014-03-24,30.424083709716797
2014-03-25,30.469120025634766
2014-03-26,30.071500778198242
2014-03-27,30.104293823242188
2014-03-28,30.280548095703125
2014-03-31,30.743759155273438
2014-04-01,30.850345611572266
2014-04-02,30.924135208129883
2014-04-03,31.08809471130371
2014-04-04,30.90773582458496
2014-04-07,30.26416015625
2014-04-08,30.346147537231445
2014-04-09,31.010221481323242
2014-04-10,30.387136459350586
