,CI
2014-01-02,80.31472778320312
2014-01-03,80.5010757446289
2014-01-06,80.2494888305664
2014-01-07,82.31793212890625
2014-01-08,81.90798950195312
2014-01-09,83.90187072753906
2014-01-10,83.1192398071289
2014-01-13,82.71857452392578
2014-01-14,83.38009643554688
2014-01-15,83.72484588623047
2014-01-16,82.75584411621094
2014-01-17,83.35213470458984
2014-01-21,83.97639465332031
2014-01-22,83.53849792480469
2014-01-23,83.42668151855469
2014-01-24,80.78059387207031
2014-01-27,81.06009674072266
2014-01-28,80.0724868774414
2014-01-29,80.01658630371094
2014-01-30,81.66573333740234
2014-01-31,80.41722869873047
2014-02-03,78.74942016601562
2014-02-04,79.15007019042969
2014-02-05,79.26185607910156
2014-02-06,79.54138946533203
2014-02-07,72.1807632446289
2014-02-10,71.50059509277344
2014-02-11,71.94783782958984
2014-02-12,70.75521850585938
2014-02-13,70.94155883789062
2014-02-14,72.40437316894531
2014-02-18,72.29259490966797
2014-02-19,71.2210922241211
2014-02-20,71.83602905273438
2014-02-21,72.05962371826172
2014-02-24,73.78333282470703
2014-02-25,72.82366943359375
2014-02-26,72.69320678710938
2014-02-27,72.48824310302734
2014-02-28,74.15602111816406
2014-03-03,73.24295806884766
2014-03-04,74.26781463623047
2014-03-05,74.2864761352539
2014-03-06,73.6715316772461
2014-03-07,73.65290832519531
2014-03-10,74.25881958007812
2014-03-11,74.5384750366211
2014-03-12,73.92322540283203
2014-03-13,72.41307830810547
2014-03-14,71.35966491699219
2014-03-17,72.50629425048828
2014-03-18,72.4223861694336
2014-03-19,74.8367691040039
2014-03-20,77.17658233642578
2014-03-21,76.47745513916016
2014-03-24,75.34016418457031
2014-03-25,74.86474609375
2014-03-26,74.57576751708984
2014-03-27,72.23594665527344
2014-03-28,74.0257797241211
2014-03-31,78.05284881591797
2014-04-01,77.41893005371094
2014-04-02,76.89694213867188
2014-04-03,77.39098358154297
2014-04-04,76.25372314453125
2014-04-07,75.38679504394531
2014-04-08,75.80624389648438
2014-04-09,76.04863739013672
2014-04-10,73.72744750976562
2014-04-11,71.88172149658203
2014-04-14,72.1054458618164
2014-04-15,72.08679962158203
2014-04-16,71.57408905029297
2014-04-17,70.51139068603516
2014-04-21,71.12664031982422
2014-04-22,72.0401840209961
2014-04-23,72.11473846435547
2014-04-24,74.09101867675781
2014-04-25,73.59696197509766
2014-04-28,72.4876480102539
2014-04-29,72.57154846191406
2014-04-30,74.61304473876953
2014-05-01,76.48676300048828
2014-05-02,77.055419921875
2014-05-05,78.09947204589844
2014-05-06,78.18335723876953
2014-05-07,79.5816650390625
2014-05-08,79.79607391357422
2014-05-09,80.6257095336914
2014-05-12,82.52740478515625
2014-05-13,82.40621948242188
2014-05-14,82.39688110351562
2014-05-15,81.52995300292969
2014-05-16,81.55790710449219
2014-05-19,82.46215057373047
2014-05-20,82.39688110351562
2014-05-21,83.1333236694336
2014-05-22,82.75115203857422
2014-05-23,83.18926239013672
2014-05-27,83.07740783691406
2014-05-28,83.4036865234375
2014-05-29,83.99095153808594
2014-05-30,83.69267272949219
2014-06-02,84.31722259521484
2014-06-03,84.2706298828125
2014-06-04,84.2799301147461
2014-06-05,84.16807556152344
2014-06-06,84.20536041259766
2014-06-09,83.74858093261719
2014-06-10,83.74858093261719
2014-06-11,85.25875091552734
2014-06-12,84.5875473022461
2014-06-13,84.84857940673828
2014-06-16,84.5502700805664
2014-06-17,83.89774322509766
2014-06-18,84.43840026855469
2014-06-19,85.17485046386719
2014-06-20,85.6316146850586
2014-06-23,85.25875091552734
2014-06-24,84.15875244140625
2014-06-25,85.86467742919922
2014-06-26,85.15619659423828
2014-06-27,85.68755340576172
2014-06-30,85.73416137695312
2014-07-01,86.340087890625
2014-07-02,86.545166015625
2014-07-03,87.30956268310547
2014-07-07,86.16297149658203
2014-07-08,85.68755340576172
