,COST
2014-01-02,94.36919403076172
2014-01-03,93.95259857177734
2014-01-06,93.23973083496094
2014-01-07,92.8071517944336
2014-01-08,91.35730743408203
2014-01-09,94.9299087524414
2014-01-10,94.40120697021484
2014-01-13,91.93402862548828
2014-01-14,93.10353088378906
2014-01-15,93.111572265625
2014-01-16,92.56683349609375
2014-01-17,93.15161895751953
2014-01-21,92.0622329711914
2014-01-22,91.11699676513672
2014-01-23,90.35601806640625
2014-01-24,89.81932067871094
2014-01-27,90.58031463623047
2014-01-28,91.62162780761719
2014-01-29,89.89942169189453
2014-01-30,90.29998016357422
2014-01-31,90.0035629272461
2014-02-03,88.25731658935547
2014-02-04,88.82605743408203
2014-02-05,88.52165985107422
2014-02-06,91.5255126953125
2014-02-07,91.34930419921875
2014-02-10,91.19711303710938
2014-02-11,92.11028289794922
2014-02-12,92.21469116210938
2014-02-13,93.01789093017578
2014-02-14,93.25078582763672
2014-02-18,92.65642547607422
2014-02-19,92.29500579833984
2014-02-20,92.41549682617188
2014-02-21,90.91350555419922
2014-02-24,91.51591491699219
2014-02-25,92.73675537109375
2014-02-26,93.07408905029297
2014-02-27,93.3471908569336
2014-02-28,93.81303405761719
2014-03-03,92.96968078613281
2014-03-04,93.69255828857422
2014-03-05,93.54800415039062
2014-03-06,90.9697265625
2014-03-07,91.1624984741211
2014-03-10,92.03797912597656
2014-03-11,92.13438415527344
2014-03-12,92.53594970703125
2014-03-13,91.89340209960938
2014-03-14,91.12232208251953
2014-03-17,91.13037872314453
2014-03-18,91.44363403320312
2014-03-19,90.64046478271484
2014-03-20,90.88943481445312
2014-03-21,91.42755126953125
2014-03-24,91.05809020996094
2014-03-25,91.50788116455078
2014-03-26,90.3512954711914
2014-03-27,89.98181915283203
2014-03-28,89.68461608886719
2014-03-31,89.70069885253906
2014-04-01,89.84526062011719
2014-04-02,89.59628295898438
2014-04-03,89.71675872802734
2014-04-04,88.87340545654297
2014-04-07,88.9858627319336
2014-04-08,90.48783874511719
2014-04-09,90.80107116699219
2014-04-10,90.02200317382812
2014-04-11,90.02200317382812
2014-04-14,90.4074935913086
2014-04-15,90.00592803955078
2014-04-16,91.15445709228516
2014-04-17,91.1624984741211
2014-04-21,91.64441680908203
2014-04-22,91.21070098876953
2014-04-23,92.1986312866211
2014-04-24,92.39138793945312
2014-04-25,92.37532043457031
2014-04-28,92.8411636352539
2014-04-29,92.68855285644531
2014-04-30,92.9134750366211
2014-05-01,92.81707000732422
2014-05-02,92.48776245117188
2014-05-05,91.9576644897461
2014-05-06,90.62435913085938
2014-05-07,89.94166564941406
2014-05-08,92.15045166015625
2014-05-09,92.68052673339844
2014-05-12,93.58013153076172
2014-05-13,93.4034423828125
2014-05-14,92.75484466552734
2014-05-15,92.12644958496094
2014-05-16,93.14156341552734
2014-05-19,93.75387573242188
2014-05-20,92.75484466552734
2014-05-21,92.2634048461914
2014-05-22,92.4325942993164
2014-05-23,92.60179901123047
2014-05-27,91.73975372314453
2014-05-28,92.03781127929688
2014-05-29,91.95729064941406
2014-05-30,93.47187805175781
2014-06-02,93.19796752929688
2014-06-03,93.06101989746094
2014-06-04,93.70555877685547
2014-06-05,94.86565399169922
2014-06-06,95.25240325927734
2014-06-09,94.88984680175781
2014-06-10,94.34197998046875
2014-06-11,93.6491470336914
2014-06-12,93.0046157836914
2014-06-13,92.89183044433594
2014-06-16,92.99656677246094
2014-06-17,93.01264190673828
2014-06-18,93.67330932617188
2014-06-19,93.66525268554688
2014-06-20,92.94013214111328
2014-06-23,92.82737731933594
2014-06-24,93.70555877685547
2014-06-25,93.67330932617188
2014-06-26,93.16573333740234
2014-06-27,93.04489135742188
2014-06-30,92.77899169921875
2014-07-01,93.0046157836914
2014-07-02,93.2543716430664
2014-07-03,93.73775482177734
2014-07-07,93.7136001586914
2014-07-08,94.63201904296875
2014-07-09,95.29061126708984
2014-07-10,95.4199447631836
2014-07-11,95.36337280273438
2014-07-14,94.83807373046875
2014-07-15,95.20984649658203
2014-07-16,95.23407745361328
2014-07-17,94.37749481201172
2014-07-18,95.14517211914062
2014-07-21,94.57950592041016
2014-07-22,94.99163818359375
2014-07-23,95.02394104003906
2014-07-24,95.46841430664062
2014-07-25,94.99163818359375
2014-07-28,94.64415740966797
2014-07-29,96.0825424194336
2014-07-30,95.500732421875
2014-07-31,94.98357391357422
2014-08-01,95.2582778930664
2014-08-04,95.47650909423828
2014-08-05,95.39568328857422
2014-08-06,96.64012908935547
2014-08-07,95.19364929199219
2014-08-08,96.29265594482422
2014-08-11,96.3088607788086
2014-08-12,96.17145538330078
2014-08-13,95.8724594116211
2014-08-14,96.37348175048828
2014-08-15,95.81590270996094
2014-08-18,96.53509521484375
2014-08-19,97.46440124511719
2014-08-20,97.70684051513672
2014-08-21,98.28059387207031
2014-08-22,98.01390075683594
2014-08-25,98.09471893310547
2014-08-26,97.852294921875
2014-08-27,97.97350311279297
2014-08-28,97.75532531738281
2014-08-29,97.84423828125
2014-09-02,98.23208618164062
2014-09-03,98.0624008178711
2014-09-04,101.13317108154297
2014-09-05,102.63622283935547
2014-09-08,102.30490112304688
2014-09-09,101.90894317626953
2014-09-10,101.95741271972656
2014-09-11,101.77156066894531
2014-09-12,101.3109359741211
2014-09-15,101.58570861816406
2014-09-16,102.16752624511719
2014-09-17,101.82810974121094
2014-09-18,102.2079086303711
2014-09-19,102.22409057617188
2014-09-22,101.68264770507812
2014-09-23,101.4240493774414
2014-09-24,103.12916564941406
2014-09-25,101.54527282714844
2014-09-26,101.44831085205078
2014-09-29,101.27055358886719
2014-09-30,101.27055358886719
2014-10-01,100.81800079345703
2014-10-02,101.65035247802734
2014-10-03,102.70087432861328
2014-10-06,101.9897232055664
2014-10-07,101.23013305664062
2014-10-08,104.0261459350586
2014-10-09,103.76753997802734
2014-10-10,104.16350555419922
2014-10-13,102.6039047241211
2014-10-14,102.02204132080078
2014-10-15,100.44628143310547
2014-10-16,99.35533142089844
2014-10-17,100.72911834716797
2014-10-20,103.77562713623047
2014-10-21,105.27870178222656
2014-10-22,105.4887924194336
2014-10-23,105.52922058105469
2014-10-24,105.40802001953125
2014-10-27,105.79585266113281
2014-10-28,105.90898895263672
2014-10-29,106.61205291748047
2014-10-30,107.47673797607422
2014-10-31,107.77571105957031
2014-11-03,108.50301361083984
2014-11-04,110.34544372558594
2014-11-05,110.3050765991211
2014-11-06,110.78182220458984
2014-11-07,111.2828369140625
2014-11-10,111.26668548583984
2014-11-11,110.74950408935547
2014-11-12,110.91559600830078
2014-11-13,112.38207244873047
2014-11-14,112.19569396972656
2014-11-17,112.18759155273438
2014-11-18,112.78715515136719
2014-11-19,113.435302734375
2014-11-20,112.8195571899414
2014-11-21,113.20033264160156
2014-11-24,113.26515197753906
2014-11-25,112.51166534423828
2014-11-26,113.22465515136719
2014-11-28,115.14480590820312
2014-12-01,115.0313720703125
2014-12-02,115.90638732910156
2014-12-03,115.60661315917969
2014-12-04,115.87397766113281
2014-12-05,116.06034851074219
2014-12-08,115.31494140625
2014-12-09,115.89017486572266
2014-12-10,113.62976837158203
2014-12-11,114.56956481933594
2014-12-12,111.70955657958984
2014-12-15,111.9607162475586
2014-12-16,111.2477798461914
2014-12-17,112.88435363769531
2014-12-18,114.69107818603516
2014-12-19,114.86123657226562
2014-12-22,116.02792358398438
2014-12-23,116.78952026367188
2014-12-24,116.38439178466797
2014-12-26,116.21422576904297
2014-12-29,116.13321685791016
2014-12-30,116.25476837158203
2014-12-31,114.84502410888672
2015-01-02,114.73158264160156
2015-01-05,113.4272232055664
2015-01-06,114.92607116699219
2015-01-07,116.9272689819336
2015-01-08,117.9318618774414
2015-01-09,116.11701965332031
2015-01-12,115.46890258789062
2015-01-13,114.310302734375
2015-01-14,112.86814880371094
2015-01-15,112.86814880371094
2015-01-16,113.20033264160156
2015-01-20,112.92486572265625
2015-01-21,112.73043060302734
2015-01-22,114.45611572265625
2015-01-23,115.08805084228516
2015-01-26,115.78488159179688
2015-01-27,114.22928619384766
2015-01-28,113.11930847167969
2015-01-29,113.94570922851562
2015-01-30,115.84969329833984
2015-02-02,118.28836059570312
2015-02-03,124.5673828125
2015-02-04,126.32544708251953
2015-02-05,124.79367065429688
2015-02-06,124.46728515625
2015-02-09,123.49629211425781
2015-02-10,124.06544494628906
2015-02-11,123.7256851196289
2015-02-12,123.9773941040039
2015-02-13,123.4236068725586
2015-02-17,123.78440856933594
2015-02-18,123.53273010253906
2015-02-19,123.06285095214844
2015-02-20,123.79280853271484
2015-02-23,124.50595092773438
2015-02-24,124.35498046875
2015-02-25,123.74246978759766
2015-02-26,123.04605865478516
2015-02-27,123.3061294555664
2015-03-02,124.12841033935547
2015-03-03,123.6501693725586
2015-03-04,123.48236083984375
2015-03-05,126.83850860595703
2015-03-06,125.47089385986328
2015-03-09,126.42740631103516
2015-03-10,124.3130111694336
2015-03-11,123.67533874511719
2015-03-12,125.38703918457031
2015-03-13,125.25269317626953
2015-03-16,125.84847259521484
2015-03-17,125.88203430175781
2015-03-18,126.6371078491211
2015-03-19,126.9560546875
2015-03-20,128.02999877929688
2015-03-23,128.31527709960938
2015-03-24,128.49147033691406
2015-03-25,126.77141571044922
2015-03-26,125.9072036743164
2015-03-27,126.25117492675781
