,AEP
2014-01-02,31.06852149963379
2014-01-03,31.055036544799805
2014-01-06,31.034841537475586
2014-01-07,31.236886978149414
2014-01-08,31.048311233520508
2014-01-09,31.169540405273438
2014-01-10,31.789165496826172
2014-01-13,31.43220329284668
2014-01-14,31.324432373046875
2014-01-15,31.28403091430664
2014-01-16,31.37158966064453
2014-01-17,31.49955940246582
2014-01-21,31.88344383239746
2014-01-22,32.00468444824219
2014-01-23,32.07875442504883
2014-01-24,31.49955940246582
2014-01-27,31.77568244934082
2014-01-28,31.997936248779297
2014-01-29,32.051822662353516
2014-01-30,32.48959732055664
2014-01-31,32.873497009277344
2014-02-03,32.53673553466797
2014-02-04,32.66469955444336
2014-02-05,32.294281005859375
2014-02-06,32.396366119384766
2014-02-07,32.689029693603516
2014-02-10,32.8387565612793
2014-02-11,33.104190826416016
2014-02-12,33.33559799194336
2014-02-13,33.825626373291016
2014-02-14,34.10466384887695
2014-02-18,34.29523849487305
2014-02-19,34.13188934326172
2014-02-20,34.261199951171875
2014-02-21,34.41093444824219
2014-02-24,34.07743835449219
2014-02-25,34.070640563964844
2014-02-26,34.213565826416016
2014-02-27,33.893680572509766
2014-02-28,34.16592025756836
2014-03-03,33.8392333984375
2014-03-04,34.06382369995117
2014-03-05,33.81200408935547
2014-03-06,33.51935577392578
2014-03-07,33.57379150390625
2014-03-10,33.49212646484375
2014-03-11,33.14503479003906
2014-03-12,33.68949508666992
2014-03-13,33.96854782104492
2014-03-14,34.10466384887695
2014-03-17,34.227176666259766
2014-03-18,34.138694763183594
2014-03-19,33.30836868286133
2014-03-20,33.179054260253906
2014-03-21,33.27433395385742
2014-03-24,33.18586730957031
2014-03-25,33.60102844238281
2014-03-26,33.56698989868164
2014-03-27,33.893680572509766
2014-03-28,34.02980041503906
2014-03-31,34.4789924621582
2014-04-01,34.30203628540039
2014-04-02,34.30884552001953
2014-04-03,34.41773986816406
2014-04-04,34.5606689453125
2014-04-07,34.49940490722656
2014-04-08,34.98942947387695
2014-04-09,35.07792663574219
2014-04-10,34.703590393066406
2014-04-11,34.642330169677734
2014-04-14,34.900970458984375
2014-04-15,35.60879135131836
2014-04-16,35.73129653930664
2014-04-17,35.20722961425781
2014-04-21,35.15279006958008
2014-04-22,35.16639709472656
2014-04-23,35.32292556762695
2014-04-24,35.61558532714844
2014-04-25,36.3302116394043
2014-04-28,37.05164337158203
2014-04-29,36.67051315307617
2014-04-30,36.62287139892578
2014-05-01,36.66371536254883
2014-05-02,35.95588302612305
2014-05-05,36.316612243652344
2014-05-06,35.96949768066406
2014-05-07,36.75965881347656
2014-05-08,36.45734405517578
2014-05-09,35.94888687133789
2014-05-12,35.564109802246094
2014-05-13,35.88703918457031
2014-05-14,35.976375579833984
