,EFX
2014-01-02,61.218994140625
2014-01-03,61.621456146240234
2014-01-06,61.049072265625
2014-01-07,61.469398498535156
2014-01-08,61.47834014892578
2014-01-09,61.496246337890625
2014-01-10,61.5319938659668
2014-01-13,60.32463455200195
2014-01-14,60.94173812866211
2014-01-15,61.80926513671875
2014-01-16,61.818214416503906
2014-01-17,63.258140563964844
2014-01-21,62.84672927856445
2014-01-22,63.902095794677734
2014-01-23,62.85566711425781
2014-01-24,62.399539947509766
2014-01-27,61.71984100341797
2014-01-28,61.59462356567383
2014-01-29,61.19215774536133
2014-01-30,63.267032623291016
2014-01-31,62.65888214111328
2014-02-03,60.92385482788086
2014-02-04,62.03285217285156
2014-02-05,60.92385482788086
2014-02-06,62.81986999511719
2014-02-07,63.45488357543945
2014-02-10,63.64269256591797
2014-02-11,63.705291748046875
2014-02-12,63.839439392089844
2014-02-13,64.24190521240234
2014-02-14,62.42635726928711
2014-02-18,62.40849304199219
2014-02-19,62.569461822509766
2014-02-20,62.37270736694336
2014-02-21,61.83416748046875
2014-02-24,62.67790603637695
2014-02-25,62.399627685546875
2014-02-26,62.68684768676758
2014-02-27,62.8484001159668
2014-02-28,62.884307861328125
2014-03-03,62.4355354309082
2014-03-04,63.43183898925781
2014-03-05,62.73174285888672
2014-03-06,63.1805305480957
2014-03-07,63.51261901855469
2014-03-10,63.95244216918945
2014-03-11,63.95244216918945
2014-03-12,64.5897216796875
2014-03-13,64.32942962646484
2014-03-14,63.75497055053711
2014-03-17,64.21273803710938
2014-03-18,65.35265350341797
2014-03-19,64.23069763183594
2014-03-20,64.62564849853516
2014-03-21,63.92554473876953
2014-03-24,63.34211349487305
2014-03-25,62.884307861328125
2014-03-26,62.09445571899414
2014-03-27,61.63670349121094
2014-03-28,61.20586013793945
2014-03-31,61.06224060058594
2014-04-01,62.588130950927734
2014-04-02,62.29191207885742
2014-04-03,62.049564361572266
2014-04-04,60.76604461669922
2014-04-07,59.886417388916016
2014-04-08,60.12876510620117
2014-04-09,60.963497161865234
2014-04-10,59.24913787841797
2014-04-11,58.378482818603516
2014-04-14,58.719566345214844
2014-04-15,59.36581039428711
2014-04-16,60.586517333984375
2014-04-17,61.58283615112305
2014-04-21,61.29560852050781
2014-04-22,61.43923568725586
2014-04-23,62.884307861328125
2014-04-24,62.004695892333984
2014-04-25,61.83416748046875
2014-04-28,62.38166809082031
2014-04-29,62.76763153076172
2014-04-30,63.5575065612793
2014-05-01,63.378013610839844
2014-05-02,63.647254943847656
2014-05-05,63.575416564941406
2014-05-06,63.5216064453125
2014-05-07,63.79088592529297
2014-05-08,63.611358642578125
2014-05-09,63.934486389160156
2014-05-12,64.31147003173828
2014-05-13,63.808834075927734
2014-05-14,63.75497055053711
2014-05-15,63.1805305480957
2014-05-16,63.48569869995117
2014-05-19,63.404930114746094
2014-05-20,62.34577560424805
2014-05-21,62.507911682128906
2014-05-22,62.56196975708008
2014-05-23,62.634033203125
2014-05-27,63.381717681884766
2014-05-28,63.36370086669922
2014-05-29,63.390743255615234
2014-05-30,63.76908874511719
2014-06-02,63.56187438964844
2014-06-03,63.066436767578125
2014-06-04,63.74203872680664
2014-06-05,64.06636810302734
2014-06-06,64.75997924804688
2014-06-09,65.2374267578125
2014-06-10,64.85008239746094
2014-06-11,64.65186309814453
2014-06-12,64.1834487915039
2014-06-13,64.57079315185547
2014-06-16,64.22848510742188
2014-06-17,64.4807357788086
2014-06-18,64.42667388916016
2014-06-19,65.53467559814453
2014-06-20,65.98509216308594
2014-06-23,65.56172180175781
2014-06-24,65.31849670410156
2014-06-25,64.85908508300781
2014-06-26,65.18336486816406
2014-06-27,65.46261596679688
2014-06-30,65.34550476074219
2014-07-01,65.18336486816406
2014-07-02,65.1292953491211
2014-07-03,65.48965454101562
2014-07-07,65.63375854492188
2014-07-08,65.48064422607422
2014-07-09,65.88601684570312
2014-07-10,66.11119842529297
2014-07-11,66.05716705322266
2014-07-14,66.30936431884766
2014-07-15,66.52558135986328
2014-07-16,66.59767150878906
2014-07-17,66.34542083740234
2014-07-18,66.05716705322266
2014-07-21,65.84097290039062
2014-07-22,67.16519165039062
2014-07-23,67.03004455566406
2014-07-24,69.0118637084961
2014-07-25,69.16498565673828
2014-07-28,69.31813049316406
2014-07-29,69.27306365966797
2014-07-30,69.53430938720703
2014-07-31,68.54339599609375
2014-08-01,68.10205078125
2014-08-04,68.36326599121094
2014-08-05,67.95790100097656
2014-08-06,66.91291046142578
2014-08-07,67.03004455566406
2014-08-08,68.11103820800781
2014-08-11,68.49839782714844
2014-08-12,68.6244888305664
2014-08-13,69.21903228759766
2014-08-14,69.63339233398438
2014-08-15,69.58837127685547
2014-08-18,70.22794342041016
2014-08-19,70.47117614746094
2014-08-20,71.00434875488281
2014-08-21,70.91399383544922
2014-08-22,70.66094207763672
2014-08-25,71.19414520263672
2014-08-26,70.95917510986328
2014-08-27,70.54348754882812
2014-08-28,70.89594268798828
2014-08-29,71.17607116699219
2014-09-02,71.12186431884766
2014-09-03,71.27546691894531
2014-09-04,71.32969665527344
2014-09-05,72.170166015625
2014-09-08,71.22126007080078
2014-09-09,70.58866119384766
2014-09-10,71.03146362304688
2014-09-11,70.8687973022461
2014-09-12,70.54348754882812
2014-09-15,70.59766387939453
2014-09-16,70.4260025024414
2014-09-17,70.27234649658203
2014-09-18,70.29045104980469
2014-09-19,69.37769317626953
2014-09-22,68.56438446044922
2014-09-23,68.01309967041016
2014-09-24,68.18477630615234
2014-09-25,67.10035705566406
2014-09-26,67.41663360595703
2014-09-29,67.15457153320312
2014-09-30,67.54315948486328
2014-10-01,66.33220672607422
2014-10-02,66.29605102539062
2014-10-03,66.91058349609375
2014-10-06,67.02803802490234
2014-10-07,65.6544189453125
2014-10-08,66.71176147460938
2014-10-09,65.33809661865234
2014-10-10,64.75975799560547
2014-10-13,63.901222229003906
2014-10-14,64.36213684082031
2014-10-15,63.59396743774414
2014-10-16,64.84107971191406
2014-10-17,65.86227416992188
2014-10-20,65.92550659179688
2014-10-21,67.54315948486328
2014-10-22,66.74787139892578
2014-10-23,65.77190399169922
2014-10-24,66.77503204345703
2014-10-27,67.59740447998047
2014-10-28,68.46495056152344
2014-10-29,67.651611328125
2014-10-30,68.28421783447266
2014-10-31,68.44688415527344
2014-11-03,68.63664245605469
2014-11-04,68.26612854003906
2014-11-05,69.0704345703125
2014-11-06,70.07356262207031
2014-11-07,70.2813949584961
2014-11-10,70.72420501708984
2014-11-11,70.69709777832031
2014-11-12,71.07666778564453
2014-11-13,70.7874755859375
2014-11-14,70.67001342773438
2014-11-17,70.60674285888672
2014-11-18,71.17607116699219
2014-11-19,70.76038360595703
2014-11-20,70.88729858398438
2014-11-21,71.19552612304688
2014-11-24,72.17466735839844
2014-11-25,72.22906494140625
2014-11-26,71.93896484375
2014-11-28,72.12028503417969
2014-12-01,71.9842758178711
2014-12-02,72.51914978027344
2014-12-03,73.7884292602539
2014-12-04,73.35328674316406
2014-12-05,73.38043212890625
2014-12-08,73.42577362060547
2014-12-09,73.7340087890625
2014-12-10,73.08128356933594
2014-12-11,73.48019409179688
2014-12-12,72.19281005859375
2014-12-15,72.40132141113281
2014-12-16,72.16559600830078
2014-12-17,71.7122802734375
2014-12-18,73.47110748291016
2014-12-19,73.48925018310547
2014-12-22,73.7340087890625
2014-12-23,74.28704071044922
2014-12-24,74.47746276855469
2014-12-26,74.27798461914062
2014-12-29,74.12384033203125
2014-12-30,73.9425277709961
2014-12-31,73.31698608398438
2015-01-02,73.7249755859375
2015-01-05,73.10845184326172
2015-01-06,72.52824401855469
2015-01-07,73.75213623046875
2015-01-08,75.32963562011719
2015-01-09,75.01234436035156
2015-01-12,74.9035415649414
2015-01-13,75.38402557373047
2015-01-14,75.22994232177734
2015-01-15,74.96698760986328
2015-01-16,75.53814697265625
2015-01-20,75.79200744628906
2015-01-21,76.52637481689453
2015-01-22,77.65962219238281
2015-01-23,77.27885437011719
2015-01-26,77.22442626953125
2015-01-27,77.45108795166016
2015-01-28,77.26072692871094
2015-01-29,77.25162506103516
2015-01-30,76.57167053222656
2015-02-02,76.57167053222656
2015-02-03,77.33324432373047
2015-02-04,77.08846282958984
2015-02-05,77.46016693115234
2015-02-06,77.29696655273438
2015-02-09,77.09751892089844
2015-02-10,77.48734283447266
2015-02-11,77.48734283447266
2015-02-12,84.07833862304688
2015-02-13,83.9151840209961
2015-02-17,83.87889099121094
2015-02-18,84.31405639648438
2015-02-19,84.29596710205078
2015-02-20,84.87619018554688
2015-02-23,84.622314453125
2015-02-24,84.37753295898438
2015-02-25,84.38661193847656
2015-02-26,84.50447082519531
2015-02-27,84.6495132446289
2015-03-02,86.25010681152344
2015-03-03,86.09551239013672
2015-03-04,85.4498291015625
2015-03-05,85.67716217041016
2015-03-06,84.92235565185547
2015-03-09,84.54949188232422
2015-03-10,83.67643737792969
2015-03-11,83.2308349609375
2015-03-12,83.66736602783203
2015-03-13,83.35814666748047
2015-03-16,83.83103942871094
2015-03-17,83.649169921875
2015-03-18,84.28573608398438
2015-03-19,84.38578796386719
2015-03-20,84.6495132446289
2015-03-23,84.4130630493164
2015-03-24,83.84013366699219
2015-03-25,82.97616577148438
2015-03-26,83.51275634765625
2015-03-27,83.64006042480469
2015-03-30,84.87689971923828
2015-03-31,84.57676696777344
2015-04-01,84.56768035888672
2015-04-02,85.00418853759766
2015-04-06,85.31341552734375
2015-04-07,84.24028015136719
2015-04-08,84.4494400024414
2015-04-09,84.52223205566406
2015-04-10,84.94966888427734
