,APTV
2014-01-02,46.14848327636719
2014-01-03,46.03199005126953
2014-01-06,46.03975296020508
2014-01-07,46.86300277709961
2014-01-08,47.18919372558594
2014-01-09,47.08045959472656
2014-01-10,47.7406120300293
2014-01-13,46.7542724609375
2014-01-14,48.13669967651367
2014-01-15,48.47065734863281
2014-01-16,48.323097229003906
2014-01-17,48.69589614868164
2014-01-21,48.92888641357422
2014-01-22,49.123050689697266
2014-01-23,48.385231018066406
2014-01-24,46.53680419921875
2014-01-27,46.28052520751953
2014-01-28,46.630008697509766
2014-01-29,46.46689987182617
2014-01-30,47.36004638671875
2014-01-31,47.290157318115234
2014-02-03,45.923255920410156
2014-02-04,46.60671615600586
2014-02-05,47.3522834777832
2014-02-06,47.802757263183594
2014-02-07,48.47065734863281
2014-02-10,48.60269546508789
2014-02-11,48.90559387207031
2014-02-12,49.775428771972656
2014-02-13,50.0327262878418
2014-02-14,49.993751525878906
2014-02-18,50.66427993774414
2014-02-19,50.796817779541016
2014-02-20,51.23345184326172
2014-02-21,51.3893928527832
2014-02-24,51.85721206665039
2014-02-25,51.80263137817383
2014-02-26,52.098915100097656
2014-02-27,51.93517303466797
2014-02-28,51.903987884521484
2014-03-03,51.670082092285156
2014-03-04,52.098915100097656
2014-03-05,51.31141662597656
2014-03-06,52.208065032958984
2014-03-07,51.95077133178711
2014-03-10,52.130104064941406
2014-03-11,52.839622497558594
2014-03-12,52.371803283691406
2014-03-13,51.27244186401367
2014-03-14,50.656490325927734
2014-03-17,51.8650016784668
2014-03-18,52.636898040771484
2014-03-19,52.35620880126953
2014-03-20,52.636898040771484
2014-03-21,51.958560943603516
2014-03-24,51.65449142456055
2014-03-25,51.015140533447266
2014-03-26,50.976158142089844
2014-03-27,51.20226287841797
2014-03-28,52.036537170410156
2014-03-31,52.9097785949707
2014-04-01,54.1884880065918
2014-04-02,54.66408920288086
2014-04-03,54.36781311035156
2014-04-04,52.87080001831055
2014-04-07,51.39719009399414
2014-04-08,51.54533386230469
2014-04-09,53.24504852294922
2014-04-10,51.95077133178711
2014-04-11,50.601905822753906
2014-04-14,51.16328430175781
2014-04-15,51.1944694519043
2014-04-16,51.381595611572266
2014-04-17,52.395198822021484
2014-04-21,52.894195556640625
2014-04-22,53.66607666015625
2014-04-23,53.60371398925781
2014-04-24,53.28403854370117
2014-04-25,51.83381652832031
2014-04-28,51.31922149658203
2014-04-29,51.63888931274414
2014-04-30,52.11450958251953
2014-05-01,52.317230224609375
2014-05-02,52.92538070678711
2014-05-05,52.96436309814453
2014-05-06,52.449771881103516
2014-05-07,52.644691467285156
2014-05-08,51.96636962890625
2014-05-09,52.11450958251953
2014-05-12,52.7406005859375
2014-05-13,52.795379638671875
2014-05-14,52.411895751953125
2014-05-15,51.621456146240234
2014-05-16,51.66841506958008
2014-05-19,52.216243743896484
2014-05-20,52.341461181640625
2014-05-21,52.850162506103516
2014-05-22,53.11625671386719
2014-05-23,54.783226013183594
2014-05-27,55.09627914428711
2014-05-28,54.337135314941406
2014-05-29,54.16496276855469
2014-05-30,54.04756546020508
2014-06-02,53.875396728515625
2014-06-03,54.54062271118164
2014-06-04,54.79888153076172
2014-06-05,55.18235778808594
2014-06-06,55.362369537353516
2014-06-09,54.971065521240234
2014-06-10,54.74409103393555
2014-06-11,54.18844985961914
2014-06-12,52.709293365478516
2014-06-13,53.21017074584961
2014-06-16,52.99104309082031
2014-06-17,52.91277313232422
2014-06-18,53.17886734008789
2014-06-19,52.73276901245117
2014-06-20,52.73276901245117
2014-06-23,52.31016540527344
2014-06-24,52.86581802368164
2014-06-25,53.21799850463867
2014-06-26,53.34321594238281
2014-06-27,53.60929870605469
2014-06-30,53.79713821411133
2014-07-01,54.64234924316406
2014-07-02,54.681488037109375
2014-07-03,54.95540237426758
2014-07-07,54.470176696777344
2014-07-08,54.30583190917969
2014-07-09,54.58757781982422
2014-07-10,54.368438720703125
2014-07-11,54.438873291015625
2014-07-14,54.58757781982422
2014-07-15,54.43104934692383
2014-07-16,54.05539321899414
2014-07-17,53.319732666015625
2014-07-18,53.69539260864258
2014-07-21,53.46842575073242
2014-07-22,53.961490631103516
2014-07-23,53.804954528808594
2014-07-24,53.703216552734375
2014-07-25,53.836265563964844
2014-07-28,53.96931076049805
2014-07-29,53.17886734008789
2014-07-30,52.88930130004883
2014-07-31,52.27885818481445
2014-08-01,52.341461181640625
2014-08-04,53.077125549316406
2014-08-05,53.562339782714844
2014-08-06,53.22582244873047
2014-08-07,52.677982330322266
2014-08-08,53.5858268737793
2014-08-11,53.428733825683594
2014-08-12,53.26377487182617
2014-08-13,53.56226348876953
2014-08-14,54.20635986328125
2014-08-15,53.923583984375
2014-08-18,54.45771408081055
2014-08-19,54.819034576416016
2014-08-20,55.447425842285156
2014-08-21,55.49456024169922
2014-08-22,55.478851318359375
2014-08-25,55.565250396728516
2014-08-26,54.991844177246094
2014-08-27,54.59125518798828
2014-08-28,54.45771408081055
2014-08-29,54.65407943725586
2014-09-02,55.22748947143555
2014-09-03,54.991844177246094
2014-09-04,55.18035888671875
